price,quantity,date,unix timestamp
1.463,27,Jun 25 2016 01: +0,1466812800
1.401,13,Jun 26 2016 01: +0,1466899200
1.404,11,Jun 27 2016 01: +0,1466985600
1.346,5,Jun 28 2016 01: +0,1467072000
1.416,10,Jun 29 2016 01: +0,1467158400
1.411,3,Jun 30 2016 01: +0,1467244800
1.402,10,Jul 01 2016 01: +0,1467331200
1.414,7,Jul 02 2016 01: +0,1467417600
2.49,4,Jul 03 2016 01: +0,1467504000
1.922,9,Jul 04 2016 01: +0,1467590400
1.746,15,Jul 05 2016 01: +0,1467676800
2.174,27,Jul 06 2016 01: +0,1467763200
4.047,9,Jul 07 2016 01: +0,1467849600
3.095,9,Jul 08 2016 01: +0,1467936000
2.996,8,Jul 09 2016 01: +0,1468022400
0.707,304,Jul 10 2016 01: +0,1468108800
0.382,127,Jul 11 2016 01: +0,1468195200
0.602,47,Jul 12 2016 01: +0,1468281600
0.523,37,Jul 13 2016 01: +0,1468368000
0.514,40,Jul 14 2016 01: +0,1468454400
0.483,37,Jul 15 2016 01: +0,1468540800
0.459,38,Jul 16 2016 01: +0,1468627200
0.452,27,Jul 17 2016 01: +0,1468713600
0.439,30,Jul 18 2016 01: +0,1468800000
0.377,44,Jul 19 2016 01: +0,1468886400
0.377,45,Jul 20 2016 01: +0,1468972800
0.395,22,Jul 21 2016 01: +0,1469059200
0.409,21,Jul 22 2016 01: +0,1469145600
0.424,28,Jul 23 2016 01: +0,1469232000
0.441,17,Jul 24 2016 01: +0,1469318400
0.445,16,Jul 25 2016 01: +0,1469404800
0.465,20,Jul 26 2016 01: +0,1469491200
0.503,26,Jul 27 2016 01: +0,1469577600
0.538,20,Jul 28 2016 01: +0,1469664000
0.507,14,Jul 29 2016 01: +0,1469750400
0.524,16,Jul 30 2016 01: +0,1469836800
0.472,21,Jul 31 2016 01: +0,1469923200
0.455,17,Aug 01 2016 01: +0,1470009600
0.488,14,Aug 02 2016 01: +0,1470096000
0.456,21,Aug 03 2016 01: +0,1470182400
0.512,17,Aug 04 2016 01: +0,1470268800
0.479,13,Aug 05 2016 01: +0,1470355200
0.432,14,Aug 06 2016 01: +0,1470441600
0.438,13,Aug 07 2016 01: +0,1470528000
0.454,19,Aug 08 2016 01: +0,1470614400
0.453,15,Aug 09 2016 01: +0,1470700800
0.509,11,Aug 10 2016 01: +0,1470787200
0.552,12,Aug 11 2016 01: +0,1470873600
0.495,13,Aug 12 2016 01: +0,1470960000
0.483,14,Aug 13 2016 01: +0,1471046400
0.544,12,Aug 14 2016 01: +0,1471132800
0.714,44,Aug 15 2016 01: +0,1471219200
0.849,25,Aug 16 2016 01: +0,1471305600
0.767,11,Aug 17 2016 01: +0,1471392000
0.794,12,Aug 18 2016 01: +0,1471478400
0.647,12,Aug 19 2016 01: +0,1471564800
0.578,7,Aug 20 2016 01: +0,1471651200
0.48,15,Aug 21 2016 01: +0,1471737600
0.461,21,Aug 22 2016 01: +0,1471824000
0.545,13,Aug 23 2016 01: +0,1471910400
0.559,19,Aug 24 2016 01: +0,1471996800
0.51,20,Aug 25 2016 01: +0,1472083200
0.461,13,Aug 26 2016 01: +0,1472169600
0.476,16,Aug 27 2016 01: +0,1472256000
0.557,13,Aug 28 2016 01: +0,1472342400
0.589,12,Aug 29 2016 01: +0,1472428800
0.57,13,Aug 30 2016 01: +0,1472515200
0.528,11,Aug 31 2016 01: +0,1472601600
0.562,10,Sep 01 2016 01: +0,1472688000
0.58,10,Sep 02 2016 01: +0,1472774400
0.615,11,Sep 03 2016 01: +0,1472860800
0.511,11,Sep 04 2016 01: +0,1472947200
0.535,6,Sep 05 2016 01: +0,1473033600
0.562,18,Sep 06 2016 01: +0,1473120000
0.589,5,Sep 07 2016 01: +0,1473206400
0.604,7,Sep 08 2016 01: +0,1473292800
0.616,6,Sep 09 2016 01: +0,1473379200
0.581,9,Sep 10 2016 01: +0,1473465600
0.575,9,Sep 11 2016 01: +0,1473552000
0.532,5,Sep 12 2016 01: +0,1473638400
0.512,9,Sep 13 2016 01: +0,1473724800
0.57,14,Sep 14 2016 01: +0,1473811200
0.519,5,Sep 15 2016 01: +0,1473897600
0.492,11,Sep 16 2016 01: +0,1473984000
0.491,18,Sep 17 2016 01: +0,1474070400
0.528,11,Sep 18 2016 01: +0,1474156800
0.528,8,Sep 19 2016 01: +0,1474243200
0.513,9,Sep 20 2016 01: +0,1474329600
0.523,12,Sep 21 2016 01: +0,1474416000
0.542,9,Sep 22 2016 01: +0,1474502400
0.559,9,Sep 23 2016 01: +0,1474588800
0.546,12,Sep 24 2016 01: +0,1474675200
0.475,16,Sep 25 2016 01: +0,1474761600
0.53,9,Sep 26 2016 01: +0,1474848000
0.596,5,Sep 27 2016 01: +0,1474934400
0.603,6,Sep 28 2016 01: +0,1475020800
0.582,5,Sep 29 2016 01: +0,1475107200
0.592,7,Sep 30 2016 01: +0,1475193600
0.507,6,Oct 01 2016 01: +0,1475280000
0.511,10,Oct 02 2016 01: +0,1475366400
0.515,6,Oct 03 2016 01: +0,1475452800
0.511,9,Oct 04 2016 01: +0,1475539200
0.529,8,Oct 05 2016 01: +0,1475625600
0.539,5,Oct 06 2016 01: +0,1475712000
0.513,13,Oct 07 2016 01: +0,1475798400
0.497,9,Oct 08 2016 01: +0,1475884800
0.494,11,Oct 09 2016 01: +0,1475971200
0.521,4,Oct 10 2016 01: +0,1476057600
0.512,5,Oct 11 2016 01: +0,1476144000
0.498,7,Oct 12 2016 01: +0,1476230400
0.552,6,Oct 13 2016 01: +0,1476316800
0.599,5,Oct 14 2016 01: +0,1476403200
0.633,8,Oct 15 2016 01: +0,1476489600
0.632,2,Oct 16 2016 01: +0,1476576000
0.609,3,Oct 17 2016 01: +0,1476662400
0.557,3,Oct 18 2016 01: +0,1476748800
0.529,5,Oct 19 2016 01: +0,1476835200
0.579,5,Oct 20 2016 01: +0,1476921600
0.57,8,Oct 21 2016 01: +0,1477008000
0.572,5,Oct 22 2016 01: +0,1477094400
0.575,9,Oct 23 2016 01: +0,1477180800
0.511,6,Oct 24 2016 01: +0,1477267200
0.581,8,Oct 25 2016 01: +0,1477353600
0.585,6,Oct 26 2016 01: +0,1477440000
0.653,6,Oct 27 2016 01: +0,1477526400
0.586,7,Oct 29 2016 01: +0,1477699200
0.547,3,Oct 30 2016 01: +0,1477785600
0.602,7,Oct 31 2016 01: +0,1477875600
0.64,6,Nov 01 2016 01: +0,1477962000
0.616,6,Nov 02 2016 01: +0,1478048400
0.515,1,Nov 03 2016 01: +0,1478134800
0.653,3,Nov 04 2016 01: +0,1478221200
0.578,5,Nov 05 2016 01: +0,1478307600
0.522,5,Nov 06 2016 01: +0,1478394000
0.584,5,Nov 07 2016 01: +0,1478480400
0.601,7,Nov 08 2016 01: +0,1478566800
0.629,6,Nov 09 2016 01: +0,1478653200
0.575,4,Nov 10 2016 01: +0,1478739600
0.582,6,Nov 11 2016 01: +0,1478826000
0.596,4,Nov 12 2016 01: +0,1478912400
0.629,8,Nov 13 2016 01: +0,1478998800
0.653,3,Nov 14 2016 01: +0,1479085200
0.622,3,Nov 15 2016 01: +0,1479171600
0.615,4,Nov 16 2016 01: +0,1479258000
0.623,2,Nov 17 2016 01: +0,1479344400
0.673,3,Nov 18 2016 01: +0,1479430800
0.63,6,Nov 19 2016 01: +0,1479517200
0.531,4,Nov 20 2016 01: +0,1479603600
0.552,8,Nov 21 2016 01: +0,1479690000
0.655,7,Nov 22 2016 01: +0,1479776400
0.662,4,Nov 23 2016 01: +0,1479862800
0.657,3,Nov 24 2016 01: +0,1479949200
0.654,2,Nov 25 2016 01: +0,1480035600
0.539,3,Nov 26 2016 01: +0,1480122000
0.549,11,Nov 27 2016 01: +0,1480208400
0.67,2,Nov 28 2016 01: +0,1480294800
0.627,5,Nov 29 2016 01: +0,1480381200
0.636,4,Nov 30 2016 01: +0,1480467600
0.606,9,Dec 01 2016 01: +0,1480554000
0.663,8,Dec 02 2016 01: +0,1480640400
0.688,5,Dec 03 2016 01: +0,1480726800
0.671,3,Dec 04 2016 01: +0,1480813200
0.654,4,Dec 05 2016 01: +0,1480899600
0.577,6,Dec 06 2016 01: +0,1480986000
0.616,11,Dec 07 2016 01: +0,1481072400
0.63,2,Dec 08 2016 01: +0,1481158800
0.578,4,Dec 09 2016 01: +0,1481245200
0.644,7,Dec 10 2016 01: +0,1481331600
0.621,4,Dec 11 2016 01: +0,1481418000
0.641,2,Dec 12 2016 01: +0,1481504400
0.569,2,Dec 13 2016 01: +0,1481590800
0.641,2,Dec 14 2016 01: +0,1481677200
0.622,6,Dec 15 2016 01: +0,1481763600
0.631,3,Dec 16 2016 01: +0,1481850000
0.661,4,Dec 17 2016 01: +0,1481936400
0.62,4,Dec 18 2016 01: +0,1482022800
0.491,3,Dec 19 2016 01: +0,1482109200
0.662,5,Dec 20 2016 01: +0,1482195600
0.687,3,Dec 21 2016 01: +0,1482282000
0.66,4,Dec 22 2016 01: +0,1482368400
0.582,6,Dec 23 2016 01: +0,1482454800
0.534,3,Dec 24 2016 01: +0,1482541200
0.6,8,Dec 25 2016 01: +0,1482627600
0.713,3,Dec 26 2016 01: +0,1482714000
0.659,6,Dec 27 2016 01: +0,1482800400
0.641,5,Dec 28 2016 01: +0,1482886800
0.725,4,Dec 29 2016 01: +0,1482973200
0.597,3,Dec 30 2016 01: +0,1483059600
0.731,5,Dec 31 2016 01: +0,1483146000
0.681,4,Jan 01 2017 01: +0,1483232400
0.647,9,Jan 02 2017 01: +0,1483318800
0.715,6,Jan 03 2017 01: +0,1483405200
0.716,5,Jan 04 2017 01: +0,1483491600
0.682,3,Jan 05 2017 01: +0,1483578000
0.889,10,Jan 06 2017 01: +0,1483664400
1.04,5,Jan 07 2017 01: +0,1483750800
0.579,2,Jan 08 2017 01: +0,1483837200
0.724,3,Jan 09 2017 01: +0,1483923600
0.661,3,Jan 10 2017 01: +0,1484010000
0.633,5,Jan 11 2017 01: +0,1484096400
0.674,4,Jan 12 2017 01: +0,1484182800
0.641,6,Jan 13 2017 01: +0,1484269200
0.519,5,Jan 14 2017 01: +0,1484355600
0.55,10,Jan 15 2017 01: +0,1484442000
0.559,7,Jan 16 2017 01: +0,1484528400
0.656,2,Jan 17 2017 01: +0,1484614800
0.616,5,Jan 18 2017 01: +0,1484701200
0.476,2,Jan 19 2017 01: +0,1484787600
0.571,5,Jan 20 2017 01: +0,1484874000
0.61,4,Jan 21 2017 01: +0,1484960400
0.602,5,Jan 22 2017 01: +0,1485046800
0.615,3,Jan 23 2017 01: +0,1485133200
0.68,5,Jan 24 2017 01: +0,1485219600
0.684,4,Jan 25 2017 01: +0,1485306000
0.672,8,Jan 26 2017 01: +0,1485392400
0.605,6,Jan 27 2017 01: +0,1485478800
0.621,7,Jan 28 2017 01: +0,1485565200
0.762,6,Jan 29 2017 01: +0,1485651600
0.623,5,Jan 30 2017 01: +0,1485738000
0.66,2,Jan 31 2017 01: +0,1485824400
0.701,3,Feb 01 2017 01: +0,1485910800
0.745,4,Feb 02 2017 01: +0,1485997200
0.7,3,Feb 03 2017 01: +0,1486083600
0.738,3,Feb 04 2017 01: +0,1486170000
0.816,1,Feb 05 2017 01: +0,1486256400
0.791,1,Feb 06 2017 01: +0,1486342800
0.812,4,Feb 07 2017 01: +0,1486429200
0.966,3,Feb 08 2017 01: +0,1486515600
0.993,1,Feb 09 2017 01: +0,1486602000
0.761,2,Feb 10 2017 01: +0,1486688400
0.734,6,Feb 11 2017 01: +0,1486774800
0.905,2,Feb 12 2017 01: +0,1486861200
0.933,3,Feb 13 2017 01: +0,1486947600
1.007,1,Feb 14 2017 01: +0,1487034000
1.0,2,Feb 15 2017 01: +0,1487120400
0.942,1,Feb 17 2017 01: +0,1487293200
0.733,2,Feb 18 2017 01: +0,1487379600
0.802,4,Feb 19 2017 01: +0,1487466000
0.766,2,Feb 20 2017 01: +0,1487552400
0.733,5,Feb 21 2017 01: +0,1487638800
0.797,4,Feb 22 2017 01: +0,1487725200
0.802,1,Feb 23 2017 01: +0,1487811600
0.8,2,Feb 24 2017 01: +0,1487898000
0.8,2,Feb 25 2017 01: +0,1487984400
0.833,2,Feb 26 2017 01: +0,1488070800
0.875,1,Feb 27 2017 01: +0,1488157200
0.824,3,Feb 28 2017 01: +0,1488243600
0.689,2,Mar 01 2017 01: +0,1488330000
0.848,3,Mar 02 2017 01: +0,1488416400
0.867,4,Mar 03 2017 01: +0,1488502800
0.873,1,Mar 04 2017 01: +0,1488589200
0.729,2,Mar 06 2017 01: +0,1488762000
0.705,1,Mar 07 2017 01: +0,1488848400
0.796,3,Mar 08 2017 01: +0,1488934800
0.861,4,Mar 09 2017 01: +0,1489021200
0.841,1,Mar 10 2017 01: +0,1489107600
0.867,2,Mar 11 2017 01: +0,1489194000
0.81,1,Mar 12 2017 01: +0,1489280400
0.795,7,Mar 13 2017 01: +0,1489366800
0.87,1,Mar 14 2017 01: +0,1489453200
0.785,2,Mar 15 2017 01: +0,1489539600
0.757,1,Mar 16 2017 01: +0,1489626000
0.54,1,Mar 17 2017 01: +0,1489712400
0.775,5,Mar 18 2017 01: +0,1489798800
0.835,3,Mar 19 2017 01: +0,1489885200
0.874,7,Mar 20 2017 01: +0,1489971600
0.897,2,Mar 21 2017 01: +0,1490058000
0.856,2,Mar 22 2017 01: +0,1490144400
0.92,3,Mar 23 2017 01: +0,1490230800
0.898,2,Mar 24 2017 01: +0,1490317200
0.998,1,Mar 25 2017 01: +0,1490403600
0.951,1,Mar 27 2017 01: +0,1490572800
0.841,4,Mar 28 2017 01: +0,1490659200
0.915,1,Mar 29 2017 01: +0,1490745600
0.751,3,Mar 30 2017 01: +0,1490832000
0.745,4,Mar 31 2017 01: +0,1490918400
0.769,3,Apr 01 2017 01: +0,1491004800
0.826,1,Apr 02 2017 01: +0,1491091200
0.837,1,Apr 03 2017 01: +0,1491177600
0.703,1,Apr 04 2017 01: +0,1491264000
0.703,1,Apr 05 2017 01: +0,1491350400
0.748,5,Apr 07 2017 01: +0,1491523200
0.781,2,Apr 08 2017 01: +0,1491609600
0.827,5,Apr 09 2017 01: +0,1491696000
0.789,3,Apr 10 2017 01: +0,1491782400
0.856,1,Apr 11 2017 01: +0,1491868800
0.94,2,Apr 12 2017 01: +0,1491955200
0.99,2,Apr 13 2017 01: +0,1492041600
0.786,1,Apr 14 2017 01: +0,1492128000
0.988,2,Apr 15 2017 01: +0,1492214400
0.933,5,Apr 16 2017 01: +0,1492300800
1.0,3,Apr 18 2017 01: +0,1492473600
0.998,5,Apr 19 2017 01: +0,1492560000
0.865,1,Apr 20 2017 01: +0,1492646400
0.794,4,Apr 21 2017 01: +0,1492732800
0.894,1,Apr 22 2017 01: +0,1492819200
0.867,4,Apr 23 2017 01: +0,1492905600
0.753,1,Apr 24 2017 01: +0,1492992000
0.798,2,Apr 26 2017 01: +0,1493164800
0.834,2,Apr 27 2017 01: +0,1493251200
0.781,3,Apr 28 2017 01: +0,1493337600
0.743,4,Apr 29 2017 01: +0,1493424000
0.841,2,Apr 30 2017 01: +0,1493510400
0.87,2,May 01 2017 01: +0,1493596800
0.933,1,May 02 2017 01: +0,1493683200
0.932,3,May 03 2017 01: +0,1493769600
0.897,2,May 04 2017 01: +0,1493856000
0.954,1,May 05 2017 01: +0,1493942400
1.015,2,May 06 2017 01: +0,1494028800
1.126,1,May 07 2017 01: +0,1494115200
0.835,1,May 08 2017 01: +0,1494201600
0.789,1,May 09 2017 01: +0,1494288000
0.891,2,May 11 2017 01: +0,1494460800
0.91,4,May 12 2017 01: +0,1494547200
0.666,2,May 13 2017 01: +0,1494633600
0.913,2,May 14 2017 01: +0,1494720000
0.913,2,May 15 2017 01: +0,1494806400
1.018,1,May 17 2017 01: +0,1494979200
0.989,1,May 18 2017 01: +0,1495065600
1.016,2,May 20 2017 01: +0,1495238400
0.97,2,May 21 2017 01: +0,1495324800
0.964,3,May 22 2017 01: +0,1495411200
0.971,1,May 24 2017 01: +0,1495584000
0.62,1,May 25 2017 01: +0,1495670400
0.709,6,May 26 2017 01: +0,1495756800
0.721,3,May 27 2017 01: +0,1495843200
0.984,3,May 28 2017 01: +0,1495929600
1.085,1,May 29 2017 01: +0,1496016000
1.09,1,May 30 2017 01: +0,1496102400
1.037,1,Jun 01 2017 01: +0,1496275200
0.947,5,Jun 03 2017 01: +0,1496448000
1.132,1,Jun 05 2017 01: +0,1496620800
1.067,1,Jun 06 2017 01: +0,1496707200
0.922,2,Jun 09 2017 01: +0,1496966400
0.935,2,Jun 10 2017 01: +0,1497052800
0.944,1,Jun 11 2017 01: +0,1497139200
0.993,1,Jun 12 2017 01: +0,1497225600
1.002,3,Jun 13 2017 01: +0,1497312000
0.96,1,Jun 15 2017 01: +0,1497484800
0.748,1,Jun 17 2017 01: +0,1497657600
0.786,1,Jun 20 2017 01: +0,1497916800
0.848,3,Jun 21 2017 01: +0,1498003200
0.645,3,Jun 23 2017 01: +0,1498176000
0.629,2,Jun 24 2017 01: +0,1498262400
0.581,3,Jun 25 2017 01: +0,1498348800
0.496,2,Jun 26 2017 01: +0,1498435200
0.598,4,Jun 27 2017 01: +0,1498521600
0.656,3,Jun 28 2017 01: +0,1498608000
0.732,3,Jun 29 2017 01: +0,1498694400
0.763,1,Jun 30 2017 01: +0,1498780800
0.886,1,Jul 01 2017 01: +0,1498867200
0.762,2,Jul 02 2017 01: +0,1498953600
0.85,2,Jul 04 2017 01: +0,1499126400
0.836,2,Jul 06 2017 01: +0,1499299200
0.884,4,Jul 07 2017 01: +0,1499385600
0.924,2,Jul 08 2017 01: +0,1499472000
0.265,1,Jul 09 2017 01: +0,1499558400
0.97,1,Jul 10 2017 01: +0,1499644800
0.827,1,Jul 11 2017 01: +0,1499731200
0.645,1,Jul 14 2017 01: +0,1499990400
0.701,2,Jul 15 2017 01: +0,1500076800
0.73,1,Jul 16 2017 01: +0,1500163200
0.705,1,Jul 17 2017 01: +0,1500249600
0.761,1,Jul 18 2017 01: +0,1500336000
0.725,4,Jul 19 2017 01: +0,1500422400
0.842,3,Jul 20 2017 01: +0,1500508800
0.878,2,Jul 21 2017 01: +0,1500595200
0.879,3,Jul 23 2017 01: +0,1500768000
0.629,3,Jul 24 2017 01: +0,1500854400
0.82,1,Jul 25 2017 01: +0,1500940800
0.834,4,Jul 26 2017 01: +0,1501027200
0.863,1,Jul 27 2017 01: +0,1501113600
0.868,1,Jul 28 2017 01: +0,1501200000
0.806,3,Jul 29 2017 01: +0,1501286400
