price,quantity,date,unix timestamp
10.215,3,May 05 2023 01: +0,1683244800
10.243,1,May 05 2023 02: +0,1683248400
10.572,3,May 05 2023 03: +0,1683252000
9.24,1,May 05 2023 04: +0,1683255600
10.577,1,May 05 2023 05: +0,1683259200
8.148,1,May 05 2023 06: +0,1683262800
9.8,2,May 05 2023 08: +0,1683270000
8.933,2,May 05 2023 09: +0,1683273600
10.969,2,May 05 2023 10: +0,1683277200
8.084,2,May 05 2023 13: +0,1683288000
6.72,1,May 05 2023 14: +0,1683291600
6.484,3,May 05 2023 16: +0,1683298800
6.497,2,May 05 2023 19: +0,1683309600
7.352,2,May 05 2023 20: +0,1683313200
6.286,4,May 05 2023 21: +0,1683316800
6.253,2,May 05 2023 23: +0,1683324000
5.27,1,May 06 2023 00: +0,1683327600
7.097,2,May 06 2023 01: +0,1683331200
5.758,2,May 06 2023 02: +0,1683334800
6.225,1,May 06 2023 04: +0,1683342000
6.231,1,May 06 2023 06: +0,1683349200
6.686,2,May 06 2023 10: +0,1683363600
6.091,2,May 06 2023 12: +0,1683370800
6.686,1,May 06 2023 14: +0,1683378000
6.399,2,May 06 2023 15: +0,1683381600
6.054,1,May 06 2023 16: +0,1683385200
5.997,4,May 06 2023 17: +0,1683388800
4.938,1,May 06 2023 18: +0,1683392400
4.937,1,May 06 2023 19: +0,1683396000
4.934,1,May 06 2023 21: +0,1683403200
4.934,1,May 06 2023 22: +0,1683406800
4.927,1,May 06 2023 23: +0,1683410400
5.941,1,May 07 2023 02: +0,1683421200
5.387,2,May 07 2023 05: +0,1683432000
5.922,1,May 07 2023 06: +0,1683435600
4.998,1,May 07 2023 07: +0,1683439200
4.957,1,May 07 2023 08: +0,1683442800
5.989,1,May 07 2023 12: +0,1683457200
4.972,1,May 07 2023 13: +0,1683460800
5.417,2,May 07 2023 15: +0,1683468000
6.706,1,May 07 2023 16: +0,1683471600
5.272,2,May 08 2023 01: +0,1683504000
5.005,1,May 08 2023 05: +0,1683518400
6.651,1,May 08 2023 07: +0,1683525600
5.664,1,May 08 2023 10: +0,1683536400
6.709,1,May 08 2023 11: +0,1683540000
