price,quantity,date,unix timestamp
1.511,81,Oct 21 2015 01: +0,1445385600
1.659,27,Oct 22 2015 01: +0,1445472000
1.295,34,Oct 23 2015 01: +0,1445558400
1.485,26,Oct 24 2015 01: +0,1445644800
1.544,22,Oct 25 2015 01: +0,1445731200
1.444,16,Oct 26 2015 01: +0,1445821200
1.303,26,Oct 27 2015 01: +0,1445907600
1.595,38,Oct 28 2015 01: +0,1445994000
2.6,52,Oct 29 2015 01: +0,1446080400
2.601,30,Oct 30 2015 01: +0,1446166800
2.483,178,Oct 31 2015 01: +0,1446253200
0.606,1285,Nov 01 2015 01: +0,1446339600
0.598,456,Nov 02 2015 01: +0,1446426000
0.555,304,Nov 03 2015 01: +0,1446512400
0.498,267,Nov 04 2015 01: +0,1446598800
0.626,131,Nov 05 2015 01: +0,1446685200
0.593,191,Nov 06 2015 01: +0,1446771600
0.632,160,Nov 07 2015 01: +0,1446858000
0.597,135,Nov 08 2015 01: +0,1446944400
0.572,142,Nov 09 2015 01: +0,1447030800
0.532,155,Nov 10 2015 01: +0,1447117200
0.478,109,Nov 11 2015 01: +0,1447203600
0.537,126,Nov 12 2015 01: +0,1447290000
0.516,132,Nov 13 2015 01: +0,1447376400
0.512,148,Nov 14 2015 01: +0,1447462800
0.568,141,Nov 15 2015 01: +0,1447549200
0.565,98,Nov 16 2015 01: +0,1447635600
0.553,94,Nov 17 2015 01: +0,1447722000
0.615,84,Nov 18 2015 01: +0,1447808400
0.541,87,Nov 19 2015 01: +0,1447894800
0.56,118,Nov 20 2015 01: +0,1447981200
0.574,115,Nov 21 2015 01: +0,1448067600
0.564,98,Nov 22 2015 01: +0,1448154000
0.55,68,Nov 23 2015 01: +0,1448240400
0.574,105,Nov 24 2015 01: +0,1448326800
0.611,84,Nov 25 2015 01: +0,1448413200
0.536,82,Nov 26 2015 01: +0,1448499600
0.536,137,Nov 27 2015 01: +0,1448586000
0.83,283,Nov 28 2015 01: +0,1448672400
0.852,155,Nov 29 2015 01: +0,1448758800
0.813,122,Nov 30 2015 01: +0,1448845200
