price,quantity,date,unix timestamp
2.564,426,Mar 21 2024 03: +0,1710990000
2.907,577,Mar 21 2024 04: +0,1710993600
2.896,534,Mar 21 2024 05: +0,1710997200
3.004,430,Mar 21 2024 06: +0,1711000800
3.135,297,Mar 21 2024 07: +0,1711004400
2.981,182,Mar 21 2024 08: +0,1711008000
2.77,194,Mar 21 2024 09: +0,1711011600
2.308,153,Mar 21 2024 10: +0,1711015200
2.124,200,Mar 21 2024 11: +0,1711018800
2.137,178,Mar 21 2024 12: +0,1711022400
2.13,132,Mar 21 2024 13: +0,1711026000
2.141,139,Mar 21 2024 14: +0,1711029600
2.137,147,Mar 21 2024 15: +0,1711033200
2.154,129,Mar 21 2024 16: +0,1711036800
2.176,139,Mar 21 2024 17: +0,1711040400
2.266,146,Mar 21 2024 18: +0,1711044000
2.328,95,Mar 21 2024 19: +0,1711047600
2.201,76,Mar 21 2024 20: +0,1711051200
2.186,62,Mar 21 2024 21: +0,1711054800
2.178,73,Mar 21 2024 22: +0,1711058400
2.181,63,Mar 21 2024 23: +0,1711062000
2.194,51,Mar 22 2024 00: +0,1711065600
2.201,43,Mar 22 2024 01: +0,1711069200
2.243,40,Mar 22 2024 02: +0,1711072800
2.233,27,Mar 22 2024 03: +0,1711076400
2.304,75,Mar 22 2024 04: +0,1711080000
2.407,35,Mar 22 2024 05: +0,1711083600
2.359,32,Mar 22 2024 06: +0,1711087200
2.317,23,Mar 22 2024 07: +0,1711090800
2.296,38,Mar 22 2024 08: +0,1711094400
2.278,33,Mar 22 2024 09: +0,1711098000
2.241,25,Mar 22 2024 10: +0,1711101600
2.245,35,Mar 22 2024 11: +0,1711105200
2.245,48,Mar 22 2024 12: +0,1711108800
2.265,35,Mar 22 2024 13: +0,1711112400
2.273,49,Mar 22 2024 14: +0,1711116000
2.273,65,Mar 22 2024 15: +0,1711119600
2.273,45,Mar 22 2024 16: +0,1711123200
2.273,56,Mar 22 2024 17: +0,1711126800
2.273,36,Mar 22 2024 18: +0,1711130400
2.265,58,Mar 22 2024 19: +0,1711134000
2.265,34,Mar 22 2024 20: +0,1711137600
2.254,53,Mar 22 2024 21: +0,1711141200
2.249,40,Mar 22 2024 22: +0,1711144800
2.249,39,Mar 22 2024 23: +0,1711148400
2.265,29,Mar 23 2024 00: +0,1711152000
2.367,33,Mar 23 2024 01: +0,1711155600
2.209,7,Mar 23 2024 02: +0,1711159200
2.288,30,Mar 23 2024 03: +0,1711162800
2.288,24,Mar 23 2024 04: +0,1711166400
2.307,28,Mar 23 2024 05: +0,1711170000
2.367,54,Mar 23 2024 06: +0,1711173600
2.43,24,Mar 23 2024 07: +0,1711177200
2.288,10,Mar 23 2024 08: +0,1711180800
2.29,18,Mar 23 2024 09: +0,1711184400
2.312,38,Mar 23 2024 10: +0,1711188000
2.312,30,Mar 23 2024 11: +0,1711191600
2.29,22,Mar 23 2024 12: +0,1711195200
2.29,32,Mar 23 2024 13: +0,1711198800
2.292,16,Mar 23 2024 14: +0,1711202400
2.312,41,Mar 23 2024 15: +0,1711206000
2.328,32,Mar 23 2024 16: +0,1711209600
2.314,21,Mar 23 2024 17: +0,1711213200
2.328,43,Mar 23 2024 18: +0,1711216800
2.328,24,Mar 23 2024 19: +0,1711220400
2.32,34,Mar 23 2024 20: +0,1711224000
2.32,28,Mar 23 2024 21: +0,1711227600
2.335,33,Mar 23 2024 22: +0,1711231200
2.32,25,Mar 23 2024 23: +0,1711234800
2.295,35,Mar 24 2024 00: +0,1711238400
2.312,13,Mar 24 2024 01: +0,1711242000
2.304,18,Mar 24 2024 02: +0,1711245600
2.346,22,Mar 24 2024 03: +0,1711249200
2.34,10,Mar 24 2024 04: +0,1711252800
2.324,10,Mar 24 2024 05: +0,1711256400
2.33,12,Mar 24 2024 06: +0,1711260000
2.336,14,Mar 24 2024 07: +0,1711263600
2.295,15,Mar 24 2024 08: +0,1711267200
2.331,10,Mar 24 2024 09: +0,1711270800
