price,quantity,date,unix timestamp
6.999,67,May 04 2022 01: +0,1651622400
6.693,28,May 05 2022 01: +0,1651708800
6.805,16,May 06 2022 01: +0,1651795200
7.061,23,May 07 2022 01: +0,1651881600
6.748,20,May 08 2022 01: +0,1651968000
6.955,12,May 09 2022 01: +0,1652054400
6.95,15,May 10 2022 01: +0,1652140800
6.123,15,May 11 2022 01: +0,1652227200
6.324,17,May 12 2022 01: +0,1652313600
5.54,19,May 13 2022 01: +0,1652400000
5.744,20,May 14 2022 01: +0,1652486400
5.202,7,May 15 2022 01: +0,1652572800
5.08,7,May 16 2022 01: +0,1652659200
4.828,11,May 17 2022 01: +0,1652745600
4.701,11,May 18 2022 01: +0,1652832000
4.581,13,May 19 2022 01: +0,1652918400
4.198,11,May 20 2022 01: +0,1653004800
3.143,7,May 21 2022 01: +0,1653091200
3.347,12,May 22 2022 01: +0,1653177600
3.317,8,May 23 2022 01: +0,1653264000
3.437,8,May 24 2022 01: +0,1653350400
4.029,17,May 25 2022 01: +0,1653436800
4.949,5,May 26 2022 01: +0,1653523200
4.853,4,May 27 2022 01: +0,1653609600
4.378,3,May 28 2022 01: +0,1653696000
3.99,3,May 29 2022 01: +0,1653782400
3.647,9,May 30 2022 01: +0,1653868800
3.518,12,May 31 2022 01: +0,1653955200
3.915,17,Jun 01 2022 01: +0,1654041600
3.898,46,Jun 02 2022 01: +0,1654128000
2.789,147,Jun 03 2022 01: +0,1654214400
2.909,107,Jun 04 2022 01: +0,1654300800
2.927,86,Jun 05 2022 01: +0,1654387200
3.101,58,Jun 06 2022 01: +0,1654473600
2.771,73,Jun 07 2022 01: +0,1654560000
2.832,56,Jun 08 2022 01: +0,1654646400
2.637,41,Jun 09 2022 01: +0,1654732800
2.929,69,Jun 10 2022 01: +0,1654819200
2.916,48,Jun 11 2022 01: +0,1654905600
2.817,69,Jun 12 2022 01: +0,1654992000
2.795,56,Jun 13 2022 01: +0,1655078400
2.913,72,Jun 14 2022 01: +0,1655164800
