price,quantity,date,unix timestamp
5.201,783,Nov 10 2021 01: +0,1636506000
4.866,183,Nov 11 2021 01: +0,1636592400
4.704,107,Nov 12 2021 01: +0,1636678800
5.0,115,Nov 13 2021 01: +0,1636765200
4.706,69,Nov 14 2021 01: +0,1636851600
4.402,64,Nov 15 2021 01: +0,1636938000
4.101,53,Nov 16 2021 01: +0,1637024400
4.593,66,Nov 17 2021 01: +0,1637110800
4.713,55,Nov 18 2021 01: +0,1637197200
4.33,44,Nov 19 2021 01: +0,1637283600
4.265,43,Nov 20 2021 01: +0,1637370000
4.046,39,Nov 21 2021 01: +0,1637456400
4.083,46,Nov 22 2021 01: +0,1637542800
4.191,34,Nov 23 2021 01: +0,1637629200
4.16,23,Nov 24 2021 01: +0,1637715600
4.328,35,Nov 25 2021 01: +0,1637802000
4.207,41,Nov 26 2021 01: +0,1637888400
4.276,26,Nov 27 2021 01: +0,1637974800
4.335,31,Nov 28 2021 01: +0,1638061200
4.488,29,Nov 29 2021 01: +0,1638147600
2.083,693,Nov 30 2021 01: +0,1638234000
1.735,380,Dec 01 2021 01: +0,1638320400
1.726,348,Dec 02 2021 01: +0,1638406800
1.907,310,Dec 03 2021 01: +0,1638493200
1.931,268,Dec 04 2021 01: +0,1638579600
1.912,255,Dec 05 2021 01: +0,1638666000
1.908,213,Dec 06 2021 01: +0,1638752400
1.983,212,Dec 07 2021 01: +0,1638838800
1.954,227,Dec 08 2021 01: +0,1638925200
1.881,213,Dec 09 2021 01: +0,1639011600
2.051,212,Dec 10 2021 01: +0,1639098000
2.234,240,Dec 11 2021 01: +0,1639184400
2.241,225,Dec 12 2021 01: +0,1639270800
2.225,182,Dec 13 2021 01: +0,1639357200
2.251,191,Dec 14 2021 01: +0,1639443600
2.35,184,Dec 15 2021 01: +0,1639530000
2.287,190,Dec 16 2021 01: +0,1639616400
2.403,214,Dec 17 2021 01: +0,1639702800
2.444,203,Dec 18 2021 01: +0,1639789200
2.388,196,Dec 19 2021 01: +0,1639875600
2.312,187,Dec 20 2021 01: +0,1639962000
2.212,154,Dec 21 2021 01: +0,1640048400
2.193,200,Dec 22 2021 01: +0,1640134800
2.079,158,Dec 23 2021 01: +0,1640221200
1.963,192,Dec 24 2021 01: +0,1640307600
1.787,163,Dec 25 2021 01: +0,1640394000
1.677,172,Dec 26 2021 01: +0,1640480400
1.769,148,Dec 27 2021 01: +0,1640566800
1.823,135,Dec 28 2021 01: +0,1640653200
1.785,148,Dec 29 2021 01: +0,1640739600
1.674,144,Dec 30 2021 01: +0,1640826000
1.709,132,Dec 31 2021 01: +0,1640912400
1.765,136,Jan 01 2022 01: +0,1640998800
1.873,142,Jan 02 2022 01: +0,1641085200
1.816,141,Jan 03 2022 01: +0,1641171600
1.699,116,Jan 04 2022 01: +0,1641258000
1.744,135,Jan 05 2022 01: +0,1641344400
1.736,137,Jan 06 2022 01: +0,1641430800
1.745,113,Jan 07 2022 01: +0,1641517200
1.774,150,Jan 08 2022 01: +0,1641603600
1.746,128,Jan 09 2022 01: +0,1641690000
1.722,128,Jan 10 2022 01: +0,1641776400
1.661,117,Jan 11 2022 01: +0,1641862800
