price,quantity,date,unix timestamp
19.065,3,Aug 15 2019 01: +0,1565827200
11.332,2,Aug 16 2019 01: +0,1565913600
13.144,1,Aug 17 2019 01: +0,1566000000
17.648,2,Aug 19 2019 01: +0,1566172800
19.206,1,Aug 21 2019 01: +0,1566345600
18.834,2,Aug 22 2019 01: +0,1566432000
18.28,1,Aug 24 2019 01: +0,1566604800
13.504,1,Aug 25 2019 01: +0,1566691200
11.944,1,Aug 26 2019 01: +0,1566777600
14.2,1,Aug 28 2019 01: +0,1566950400
14.624,1,Aug 30 2019 01: +0,1567123200
18.226,3,Aug 31 2019 01: +0,1567209600
14.054,2,Sep 02 2019 01: +0,1567382400
14.054,1,Sep 04 2019 01: +0,1567555200
14.091,1,Sep 05 2019 01: +0,1567641600
11.317,4,Sep 07 2019 01: +0,1567814400
7.825,28,Sep 08 2019 01: +0,1567900800
9.096,13,Sep 09 2019 01: +0,1567987200
8.552,10,Sep 10 2019 01: +0,1568073600
8.494,7,Sep 11 2019 01: +0,1568160000
9.659,12,Sep 12 2019 01: +0,1568246400
8.73,3,Sep 13 2019 01: +0,1568332800
7.376,11,Sep 14 2019 01: +0,1568419200
7.426,11,Sep 15 2019 01: +0,1568505600
6.291,7,Sep 16 2019 01: +0,1568592000
6.243,9,Sep 17 2019 01: +0,1568678400
5.82,7,Sep 18 2019 01: +0,1568764800
6.629,4,Sep 19 2019 01: +0,1568851200
5.782,4,Sep 20 2019 01: +0,1568937600
6.027,8,Sep 21 2019 01: +0,1569024000
6.251,7,Sep 22 2019 01: +0,1569110400
6.49,4,Sep 23 2019 01: +0,1569196800
5.819,2,Sep 24 2019 01: +0,1569283200
5.916,1,Sep 25 2019 01: +0,1569369600
7.614,5,Sep 26 2019 01: +0,1569456000
10.564,8,Sep 28 2019 01: +0,1569628800
11.556,6,Sep 29 2019 01: +0,1569715200
9.481,1,Sep 30 2019 01: +0,1569801600
6.572,1,Oct 02 2019 01: +0,1569974400
7.415,5,Oct 03 2019 01: +0,1570060800
7.017,3,Oct 04 2019 01: +0,1570147200
6.583,7,Oct 05 2019 01: +0,1570233600
6.059,3,Oct 06 2019 01: +0,1570320000
5.359,3,Oct 07 2019 01: +0,1570406400
7.476,9,Oct 08 2019 01: +0,1570492800
5.761,2,Oct 10 2019 01: +0,1570665600
8.963,1,Oct 12 2019 01: +0,1570838400
7.321,3,Oct 13 2019 01: +0,1570924800
7.017,1,Oct 14 2019 01: +0,1571011200
7.116,4,Oct 15 2019 01: +0,1571097600
7.318,3,Oct 16 2019 01: +0,1571184000
6.093,5,Oct 19 2019 01: +0,1571443200
5.873,1,Oct 20 2019 01: +0,1571529600
6.154,2,Oct 22 2019 01: +0,1571702400
5.143,4,Oct 23 2019 01: +0,1571788800
5.548,3,Oct 24 2019 01: +0,1571875200
6.246,4,Oct 25 2019 01: +0,1571961600
7.265,4,Oct 26 2019 01: +0,1572048000
5.17,1,Nov 01 2019 01: +0,1572570000
5.53,1,Nov 03 2019 01: +0,1572742800
5.518,1,Nov 05 2019 01: +0,1572915600
5.959,1,Nov 06 2019 01: +0,1573002000
6.287,1,Nov 08 2019 01: +0,1573174800
5.845,2,Nov 10 2019 01: +0,1573347600
6.435,3,Nov 14 2019 01: +0,1573693200
6.311,1,Nov 16 2019 01: +0,1573866000
5.774,1,Nov 18 2019 01: +0,1574038800
5.372,3,Nov 19 2019 01: +0,1574125200
4.537,2,Nov 20 2019 01: +0,1574211600
3.788,2,Nov 21 2019 01: +0,1574298000
4.264,2,Nov 22 2019 01: +0,1574384400
4.98,1,Nov 23 2019 01: +0,1574470800
3.474,1,Nov 24 2019 01: +0,1574557200
4.322,1,Nov 25 2019 01: +0,1574643600
5.111,1,Nov 26 2019 01: +0,1574730000
4.399,2,Nov 29 2019 01: +0,1574989200
5.103,1,Nov 30 2019 01: +0,1575075600
4.462,1,Dec 05 2019 01: +0,1575507600
4.421,2,Dec 08 2019 01: +0,1575766800
5.114,1,Dec 10 2019 01: +0,1575939600
4.147,1,Dec 17 2019 01: +0,1576544400
3.81,2,Dec 20 2019 01: +0,1576803600
3.531,2,Dec 21 2019 01: +0,1576890000
3.978,1,Dec 24 2019 01: +0,1577149200
3.466,2,Dec 25 2019 01: +0,1577235600
4.506,1,Dec 26 2019 01: +0,1577322000
4.507,3,Dec 27 2019 01: +0,1577408400
3.424,1,Dec 28 2019 01: +0,1577494800
4.312,1,Dec 30 2019 01: +0,1577667600
4.463,2,Jan 02 2020 01: +0,1577926800
4.998,1,Jan 03 2020 01: +0,1578013200
5.914,1,Jan 05 2020 01: +0,1578186000
5.116,2,Jan 07 2020 01: +0,1578358800
5.325,2,Jan 09 2020 01: +0,1578531600
5.953,2,Jan 10 2020 01: +0,1578618000
5.878,1,Jan 12 2020 01: +0,1578790800
5.337,2,Jan 16 2020 01: +0,1579136400
5.113,1,Jan 17 2020 01: +0,1579222800
5.927,2,Jan 18 2020 01: +0,1579309200
7.345,1,Jan 23 2020 01: +0,1579741200
6.458,4,Jan 30 2020 01: +0,1580346000
5.741,1,Feb 01 2020 01: +0,1580518800
7.017,1,Feb 03 2020 01: +0,1580691600
5.84,1,Feb 05 2020 01: +0,1580864400
6.842,1,Feb 07 2020 01: +0,1581037200
6.873,1,Feb 08 2020 01: +0,1581123600
7.13,1,Feb 10 2020 01: +0,1581296400
5.539,1,Feb 12 2020 01: +0,1581469200
5.421,2,Feb 13 2020 01: +0,1581555600
5.492,1,Feb 14 2020 01: +0,1581642000
7.201,1,Feb 15 2020 01: +0,1581728400
