price,quantity,date,unix timestamp
4.482,17,May 04 2022 01: +0,1651622400
3.783,13,May 05 2022 01: +0,1651708800
4.327,9,May 06 2022 01: +0,1651795200
4.15,7,May 07 2022 01: +0,1651881600
3.965,4,May 08 2022 01: +0,1651968000
5.303,4,May 09 2022 01: +0,1652054400
4.891,4,May 10 2022 01: +0,1652140800
4.594,5,May 11 2022 01: +0,1652227200
5.298,3,May 12 2022 01: +0,1652313600
4.577,11,May 13 2022 01: +0,1652400000
5.293,15,May 14 2022 01: +0,1652486400
5.265,4,May 15 2022 01: +0,1652572800
5.092,4,May 16 2022 01: +0,1652659200
6.124,5,May 17 2022 01: +0,1652745600
5.314,3,May 19 2022 01: +0,1652918400
6.777,3,May 20 2022 01: +0,1653004800
3.873,11,May 21 2022 01: +0,1653091200
3.467,3,May 22 2022 01: +0,1653177600
3.755,1,May 23 2022 01: +0,1653264000
3.322,4,May 24 2022 01: +0,1653350400
4.573,9,May 25 2022 01: +0,1653436800
3.823,3,May 27 2022 01: +0,1653609600
4.213,1,May 28 2022 01: +0,1653696000
4.079,2,Jun 01 2022 01: +0,1654041600
2.938,2,Jun 02 2022 01: +0,1654128000
2.331,47,Jun 03 2022 01: +0,1654214400
2.01,36,Jun 04 2022 01: +0,1654300800
2.225,28,Jun 05 2022 01: +0,1654387200
2.118,18,Jun 06 2022 01: +0,1654473600
2.068,28,Jun 07 2022 01: +0,1654560000
2.027,11,Jun 08 2022 01: +0,1654646400
2.078,17,Jun 09 2022 01: +0,1654732800
1.972,19,Jun 10 2022 01: +0,1654819200
1.881,26,Jun 11 2022 01: +0,1654905600
1.865,10,Jun 12 2022 01: +0,1654992000
2.015,21,Jun 13 2022 01: +0,1655078400
2.335,22,Jun 14 2022 01: +0,1655164800
2.253,28,Jun 15 2022 01: +0,1655251200
1.946,22,Jun 16 2022 01: +0,1655337600
2.121,23,Jun 17 2022 01: +0,1655424000
1.79,25,Jun 18 2022 01: +0,1655510400
1.737,20,Jun 19 2022 01: +0,1655596800
1.64,17,Jun 20 2022 01: +0,1655683200
1.622,13,Jun 21 2022 01: +0,1655769600
1.583,17,Jun 22 2022 01: +0,1655856000
