price,quantity,date,unix timestamp
0.207,589,Jun 25 2016 01: +0,1466812800
0.213,442,Jun 26 2016 01: +0,1466899200
0.216,343,Jun 27 2016 01: +0,1466985600
0.209,399,Jun 28 2016 01: +0,1467072000
0.22,293,Jun 29 2016 01: +0,1467158400
0.225,348,Jun 30 2016 01: +0,1467244800
0.226,322,Jul 01 2016 01: +0,1467331200
0.209,462,Jul 02 2016 01: +0,1467417600
0.208,488,Jul 03 2016 01: +0,1467504000
0.164,1248,Jul 04 2016 01: +0,1467590400
0.17,1100,Jul 05 2016 01: +0,1467676800
0.239,864,Jul 06 2016 01: +0,1467763200
0.3,466,Jul 07 2016 01: +0,1467849600
0.215,225,Jul 08 2016 01: +0,1467936000
0.216,197,Jul 09 2016 01: +0,1468022400
0.162,657,Jul 10 2016 01: +0,1468108800
0.137,370,Jul 11 2016 01: +0,1468195200
0.169,168,Jul 12 2016 01: +0,1468281600
0.194,134,Jul 13 2016 01: +0,1468368000
0.191,97,Jul 14 2016 01: +0,1468454400
0.189,95,Jul 15 2016 01: +0,1468540800
0.189,111,Jul 16 2016 01: +0,1468627200
0.205,74,Jul 17 2016 01: +0,1468713600
0.206,73,Jul 18 2016 01: +0,1468800000
0.205,70,Jul 19 2016 01: +0,1468886400
0.199,70,Jul 20 2016 01: +0,1468972800
0.201,57,Jul 21 2016 01: +0,1469059200
0.203,76,Jul 22 2016 01: +0,1469145600
0.203,83,Jul 23 2016 01: +0,1469232000
0.214,55,Jul 24 2016 01: +0,1469318400
0.219,61,Jul 25 2016 01: +0,1469404800
0.222,61,Jul 26 2016 01: +0,1469491200
0.215,48,Jul 27 2016 01: +0,1469577600
0.224,51,Jul 28 2016 01: +0,1469664000
0.232,30,Jul 29 2016 01: +0,1469750400
0.228,42,Jul 30 2016 01: +0,1469836800
0.234,37,Jul 31 2016 01: +0,1469923200
0.228,43,Aug 01 2016 01: +0,1470009600
0.229,50,Aug 02 2016 01: +0,1470096000
0.22,38,Aug 03 2016 01: +0,1470182400
0.236,29,Aug 04 2016 01: +0,1470268800
0.23,47,Aug 05 2016 01: +0,1470355200
0.235,40,Aug 06 2016 01: +0,1470441600
0.227,32,Aug 07 2016 01: +0,1470528000
0.227,38,Aug 08 2016 01: +0,1470614400
0.233,41,Aug 09 2016 01: +0,1470700800
0.237,20,Aug 10 2016 01: +0,1470787200
0.224,36,Aug 11 2016 01: +0,1470873600
0.227,40,Aug 12 2016 01: +0,1470960000
0.236,43,Aug 13 2016 01: +0,1471046400
0.229,37,Aug 14 2016 01: +0,1471132800
0.228,36,Aug 15 2016 01: +0,1471219200
0.227,36,Aug 16 2016 01: +0,1471305600
0.237,49,Aug 17 2016 01: +0,1471392000
0.237,49,Aug 18 2016 01: +0,1471478400
0.248,25,Aug 19 2016 01: +0,1471564800
0.247,37,Aug 20 2016 01: +0,1471651200
0.25,34,Aug 21 2016 01: +0,1471737600
0.246,34,Aug 22 2016 01: +0,1471824000
0.249,42,Aug 23 2016 01: +0,1471910400
0.254,44,Aug 24 2016 01: +0,1471996800
0.254,42,Aug 25 2016 01: +0,1472083200
0.255,29,Aug 26 2016 01: +0,1472169600
0.264,34,Aug 27 2016 01: +0,1472256000
0.266,41,Aug 28 2016 01: +0,1472342400
0.262,36,Aug 29 2016 01: +0,1472428800
0.278,30,Aug 30 2016 01: +0,1472515200
0.279,26,Aug 31 2016 01: +0,1472601600
0.298,23,Sep 01 2016 01: +0,1472688000
0.297,21,Sep 02 2016 01: +0,1472774400
0.281,21,Sep 03 2016 01: +0,1472860800
0.311,20,Sep 04 2016 01: +0,1472947200
0.317,18,Sep 05 2016 01: +0,1473033600
0.286,18,Sep 06 2016 01: +0,1473120000
0.305,19,Sep 07 2016 01: +0,1473206400
0.298,28,Sep 08 2016 01: +0,1473292800
0.305,30,Sep 09 2016 01: +0,1473379200
0.297,21,Sep 10 2016 01: +0,1473465600
0.324,16,Sep 11 2016 01: +0,1473552000
0.319,15,Sep 12 2016 01: +0,1473638400
0.327,14,Sep 13 2016 01: +0,1473724800
0.304,11,Sep 14 2016 01: +0,1473811200
0.314,21,Sep 15 2016 01: +0,1473897600
0.303,13,Sep 16 2016 01: +0,1473984000
0.302,33,Sep 17 2016 01: +0,1474070400
0.307,19,Sep 18 2016 01: +0,1474156800
0.31,12,Sep 19 2016 01: +0,1474243200
0.318,11,Sep 20 2016 01: +0,1474329600
0.314,15,Sep 21 2016 01: +0,1474416000
0.307,18,Sep 22 2016 01: +0,1474502400
0.307,18,Sep 23 2016 01: +0,1474588800
0.304,29,Sep 24 2016 01: +0,1474675200
0.298,23,Sep 25 2016 01: +0,1474761600
0.303,17,Sep 26 2016 01: +0,1474848000
0.306,18,Sep 27 2016 01: +0,1474934400
0.309,15,Sep 28 2016 01: +0,1475020800
0.305,20,Sep 29 2016 01: +0,1475107200
0.299,22,Sep 30 2016 01: +0,1475193600
0.295,67,Oct 01 2016 01: +0,1475280000
0.3,23,Oct 02 2016 01: +0,1475366400
0.293,20,Oct 03 2016 01: +0,1475452800
0.315,8,Oct 04 2016 01: +0,1475539200
0.319,8,Oct 05 2016 01: +0,1475625600
0.314,10,Oct 06 2016 01: +0,1475712000
0.283,16,Oct 07 2016 01: +0,1475798400
0.308,19,Oct 08 2016 01: +0,1475884800
0.295,13,Oct 09 2016 01: +0,1475971200
0.308,15,Oct 10 2016 01: +0,1476057600
0.289,6,Oct 11 2016 01: +0,1476144000
0.288,11,Oct 12 2016 01: +0,1476230400
0.31,16,Oct 13 2016 01: +0,1476316800
0.278,8,Oct 14 2016 01: +0,1476403200
0.283,9,Oct 15 2016 01: +0,1476489600
0.284,17,Oct 16 2016 01: +0,1476576000
0.266,15,Oct 17 2016 01: +0,1476662400
0.279,15,Oct 18 2016 01: +0,1476748800
0.284,10,Oct 19 2016 01: +0,1476835200
0.273,22,Oct 20 2016 01: +0,1476921600
0.272,20,Oct 21 2016 01: +0,1477008000
0.276,13,Oct 22 2016 01: +0,1477094400
0.284,14,Oct 23 2016 01: +0,1477180800
0.278,19,Oct 24 2016 01: +0,1477267200
0.283,14,Oct 25 2016 01: +0,1477353600
0.279,17,Oct 26 2016 01: +0,1477440000
0.288,9,Oct 27 2016 01: +0,1477526400
0.289,25,Oct 28 2016 01: +0,1477612800
0.322,15,Oct 29 2016 01: +0,1477699200
0.283,26,Oct 30 2016 01: +0,1477785600
0.276,9,Oct 31 2016 01: +0,1477875600
0.284,11,Nov 01 2016 01: +0,1477962000
0.291,10,Nov 02 2016 01: +0,1478048400
0.287,6,Nov 03 2016 01: +0,1478134800
0.301,6,Nov 04 2016 01: +0,1478221200
0.299,21,Nov 05 2016 01: +0,1478307600
0.343,12,Nov 06 2016 01: +0,1478394000
0.308,11,Nov 07 2016 01: +0,1478480400
0.296,7,Nov 08 2016 01: +0,1478566800
0.282,15,Nov 09 2016 01: +0,1478653200
0.324,10,Nov 10 2016 01: +0,1478739600
0.295,20,Nov 11 2016 01: +0,1478826000
0.295,12,Nov 12 2016 01: +0,1478912400
0.29,13,Nov 13 2016 01: +0,1478998800
0.29,9,Nov 14 2016 01: +0,1479085200
0.277,8,Nov 15 2016 01: +0,1479171600
0.295,21,Nov 16 2016 01: +0,1479258000
0.336,15,Nov 17 2016 01: +0,1479344400
0.935,19,Nov 18 2016 01: +0,1479430800
0.377,10,Nov 19 2016 01: +0,1479517200
0.329,7,Nov 20 2016 01: +0,1479603600
0.321,9,Nov 21 2016 01: +0,1479690000
0.305,12,Nov 22 2016 01: +0,1479776400
0.265,17,Nov 23 2016 01: +0,1479862800
0.265,31,Nov 24 2016 01: +0,1479949200
0.357,49,Nov 25 2016 01: +0,1480035600
1.378,78,Nov 26 2016 01: +0,1480122000
0.316,16,Nov 27 2016 01: +0,1480208400
0.272,23,Nov 28 2016 01: +0,1480294800
0.28,18,Nov 29 2016 01: +0,1480381200
0.283,8,Nov 30 2016 01: +0,1480467600
0.278,18,Dec 01 2016 01: +0,1480554000
0.291,18,Dec 02 2016 01: +0,1480640400
0.31,14,Dec 03 2016 01: +0,1480726800
0.342,12,Dec 04 2016 01: +0,1480813200
0.314,10,Dec 05 2016 01: +0,1480899600
0.293,26,Dec 06 2016 01: +0,1480986000
0.308,11,Dec 07 2016 01: +0,1481072400
0.299,17,Dec 08 2016 01: +0,1481158800
0.321,16,Dec 09 2016 01: +0,1481245200
0.333,19,Dec 10 2016 01: +0,1481331600
0.324,10,Dec 11 2016 01: +0,1481418000
0.324,10,Dec 12 2016 01: +0,1481504400
0.32,12,Dec 13 2016 01: +0,1481590800
0.327,8,Dec 14 2016 01: +0,1481677200
0.298,12,Dec 15 2016 01: +0,1481763600
0.317,11,Dec 16 2016 01: +0,1481850000
0.321,11,Dec 17 2016 01: +0,1481936400
0.336,10,Dec 18 2016 01: +0,1482022800
0.318,13,Dec 19 2016 01: +0,1482109200
0.301,12,Dec 20 2016 01: +0,1482195600
0.323,6,Dec 21 2016 01: +0,1482282000
0.293,7,Dec 22 2016 01: +0,1482368400
0.305,12,Dec 23 2016 01: +0,1482454800
0.316,16,Dec 24 2016 01: +0,1482541200
0.305,11,Dec 25 2016 01: +0,1482627600
0.306,21,Dec 26 2016 01: +0,1482714000
0.337,7,Dec 27 2016 01: +0,1482800400
0.378,8,Dec 28 2016 01: +0,1482886800
0.472,4,Dec 29 2016 01: +0,1482973200
0.464,5,Dec 30 2016 01: +0,1483059600
0.464,3,Dec 31 2016 01: +0,1483146000
0.342,10,Jan 01 2017 01: +0,1483232400
0.324,14,Jan 02 2017 01: +0,1483318800
0.361,11,Jan 03 2017 01: +0,1483405200
0.401,6,Jan 04 2017 01: +0,1483491600
0.431,13,Jan 05 2017 01: +0,1483578000
0.315,15,Jan 06 2017 01: +0,1483664400
