price,quantity,date,unix timestamp
5.604,80,Jul 07 2017 01: +0,1499385600
4.997,199,Jul 08 2017 01: +0,1499472000
5.516,115,Jul 09 2017 01: +0,1499558400
5.36,83,Jul 10 2017 01: +0,1499644800
5.118,74,Jul 11 2017 01: +0,1499731200
5.057,51,Jul 12 2017 01: +0,1499817600
4.719,49,Jul 13 2017 01: +0,1499904000
4.429,54,Jul 14 2017 01: +0,1499990400
3.967,47,Jul 15 2017 01: +0,1500076800
4.136,70,Jul 16 2017 01: +0,1500163200
4.443,56,Jul 17 2017 01: +0,1500249600
4.514,63,Jul 18 2017 01: +0,1500336000
4.874,53,Jul 19 2017 01: +0,1500422400
5.215,54,Jul 20 2017 01: +0,1500508800
4.796,54,Jul 21 2017 01: +0,1500595200
5.126,106,Jul 22 2017 01: +0,1500681600
3.164,2089,Jul 23 2017 01: +0,1500768000
2.449,976,Jul 24 2017 01: +0,1500854400
2.836,324,Jul 25 2017 01: +0,1500940800
3.363,155,Jul 26 2017 01: +0,1501027200
3.035,135,Jul 27 2017 01: +0,1501113600
2.976,129,Jul 28 2017 01: +0,1501200000
2.952,94,Jul 29 2017 01: +0,1501286400
2.837,100,Jul 30 2017 01: +0,1501372800
2.73,84,Jul 31 2017 01: +0,1501459200
2.812,108,Aug 01 2017 01: +0,1501545600
2.869,90,Aug 02 2017 01: +0,1501632000
2.692,77,Aug 03 2017 01: +0,1501718400
2.595,89,Aug 04 2017 01: +0,1501804800
2.435,71,Aug 05 2017 01: +0,1501891200
2.391,78,Aug 06 2017 01: +0,1501977600
2.425,80,Aug 07 2017 01: +0,1502064000
2.674,55,Aug 08 2017 01: +0,1502150400
2.569,62,Aug 09 2017 01: +0,1502236800
2.757,70,Aug 10 2017 01: +0,1502323200
2.624,58,Aug 11 2017 01: +0,1502409600
2.633,57,Aug 12 2017 01: +0,1502496000
2.627,53,Aug 13 2017 01: +0,1502582400
2.633,59,Aug 14 2017 01: +0,1502668800
2.674,83,Aug 15 2017 01: +0,1502755200
3.164,80,Aug 16 2017 01: +0,1502841600
3.129,32,Aug 17 2017 01: +0,1502928000
2.934,32,Aug 18 2017 01: +0,1503014400
3.022,38,Aug 19 2017 01: +0,1503100800
2.828,35,Aug 20 2017 01: +0,1503187200
2.898,42,Aug 21 2017 01: +0,1503273600
2.722,44,Aug 22 2017 01: +0,1503360000
2.609,42,Aug 23 2017 01: +0,1503446400
2.657,25,Aug 24 2017 01: +0,1503532800
2.612,26,Aug 25 2017 01: +0,1503619200
2.644,28,Aug 26 2017 01: +0,1503705600
2.42,28,Aug 27 2017 01: +0,1503792000
2.45,26,Aug 28 2017 01: +0,1503878400
2.671,30,Aug 29 2017 01: +0,1503964800
2.526,24,Aug 30 2017 01: +0,1504051200
2.517,17,Aug 31 2017 01: +0,1504137600
2.433,28,Sep 01 2017 01: +0,1504224000
2.482,21,Sep 02 2017 01: +0,1504310400
2.406,20,Sep 03 2017 01: +0,1504396800
2.449,41,Sep 04 2017 01: +0,1504483200
2.628,20,Sep 05 2017 01: +0,1504569600
2.742,20,Sep 06 2017 01: +0,1504656000
2.722,24,Sep 07 2017 01: +0,1504742400
2.936,18,Sep 08 2017 01: +0,1504828800
2.977,24,Sep 09 2017 01: +0,1504915200
2.828,28,Sep 10 2017 01: +0,1505001600
2.936,20,Sep 11 2017 01: +0,1505088000
2.973,12,Sep 12 2017 01: +0,1505174400
2.74,25,Sep 13 2017 01: +0,1505260800
2.93,21,Sep 14 2017 01: +0,1505347200
2.756,20,Sep 15 2017 01: +0,1505433600
2.806,20,Sep 16 2017 01: +0,1505520000
2.692,21,Sep 17 2017 01: +0,1505606400
2.885,24,Sep 18 2017 01: +0,1505692800
2.803,21,Sep 19 2017 01: +0,1505779200
2.646,20,Sep 20 2017 01: +0,1505865600
2.762,26,Sep 21 2017 01: +0,1505952000
2.608,53,Sep 22 2017 01: +0,1506038400
2.727,23,Sep 23 2017 01: +0,1506124800
2.55,38,Sep 24 2017 01: +0,1506211200
2.54,16,Sep 25 2017 01: +0,1506297600
2.571,24,Sep 26 2017 01: +0,1506384000
2.505,22,Sep 27 2017 01: +0,1506470400
2.412,15,Sep 28 2017 01: +0,1506556800
2.374,24,Sep 29 2017 01: +0,1506643200
2.312,30,Sep 30 2017 01: +0,1506729600
2.308,33,Oct 01 2017 01: +0,1506816000
2.258,21,Oct 02 2017 01: +0,1506902400
2.09,34,Oct 03 2017 01: +0,1506988800
2.024,24,Oct 04 2017 01: +0,1507075200
2.138,19,Oct 05 2017 01: +0,1507161600
2.139,20,Oct 06 2017 01: +0,1507248000
2.058,23,Oct 07 2017 01: +0,1507334400
2.117,11,Oct 08 2017 01: +0,1507420800
2.164,13,Oct 09 2017 01: +0,1507507200
2.24,35,Oct 10 2017 01: +0,1507593600
2.421,11,Oct 11 2017 01: +0,1507680000
2.36,25,Oct 12 2017 01: +0,1507766400
2.416,10,Oct 13 2017 01: +0,1507852800
2.437,20,Oct 14 2017 01: +0,1507939200
2.391,16,Oct 15 2017 01: +0,1508025600
2.419,16,Oct 16 2017 01: +0,1508112000
2.355,17,Oct 17 2017 01: +0,1508198400
2.302,20,Oct 18 2017 01: +0,1508284800
2.236,15,Oct 19 2017 01: +0,1508371200
2.244,24,Oct 20 2017 01: +0,1508457600
2.338,17,Oct 21 2017 01: +0,1508544000
2.255,26,Oct 22 2017 01: +0,1508630400
2.307,19,Oct 23 2017 01: +0,1508716800
2.27,20,Oct 24 2017 01: +0,1508803200
2.344,22,Oct 25 2017 01: +0,1508889600
2.178,15,Oct 26 2017 01: +0,1508976000
2.303,34,Oct 27 2017 01: +0,1509062400
2.226,12,Oct 28 2017 01: +0,1509148800
2.118,17,Oct 29 2017 01: +0,1509235200
2.115,12,Oct 30 2017 01: +0,1509325200
2.177,14,Oct 31 2017 01: +0,1509411600
2.097,15,Nov 01 2017 01: +0,1509498000
2.064,17,Nov 02 2017 01: +0,1509584400
2.085,19,Nov 03 2017 01: +0,1509670800
2.13,18,Nov 04 2017 01: +0,1509757200
2.111,19,Nov 05 2017 01: +0,1509843600
2.1,17,Nov 06 2017 01: +0,1509930000
2.102,11,Nov 07 2017 01: +0,1510016400
2.018,16,Nov 08 2017 01: +0,1510102800
2.027,15,Nov 09 2017 01: +0,1510189200
2.059,23,Nov 10 2017 01: +0,1510275600
2.012,26,Nov 11 2017 01: +0,1510362000
2.062,20,Nov 12 2017 01: +0,1510448400
2.057,14,Nov 13 2017 01: +0,1510534800
2.117,19,Nov 14 2017 01: +0,1510621200
2.23,19,Nov 15 2017 01: +0,1510707600
2.288,24,Nov 16 2017 01: +0,1510794000
2.271,12,Nov 17 2017 01: +0,1510880400
2.302,19,Nov 18 2017 01: +0,1510966800
2.281,22,Nov 19 2017 01: +0,1511053200
2.251,18,Nov 20 2017 01: +0,1511139600
2.259,19,Nov 21 2017 01: +0,1511226000
2.393,14,Nov 22 2017 01: +0,1511312400
2.025,23,Nov 23 2017 01: +0,1511398800
2.024,8,Nov 24 2017 01: +0,1511485200
1.965,21,Nov 25 2017 01: +0,1511571600
1.935,12,Nov 26 2017 01: +0,1511658000
1.973,21,Nov 27 2017 01: +0,1511744400
2.078,15,Nov 28 2017 01: +0,1511830800
2.046,13,Nov 29 2017 01: +0,1511917200
2.022,7,Nov 30 2017 01: +0,1512003600
2.263,17,Dec 01 2017 01: +0,1512090000
2.287,12,Dec 02 2017 01: +0,1512176400
2.164,15,Dec 03 2017 01: +0,1512262800
2.122,13,Dec 04 2017 01: +0,1512349200
2.079,13,Dec 05 2017 01: +0,1512435600
2.143,9,Dec 06 2017 01: +0,1512522000
2.197,20,Dec 07 2017 01: +0,1512608400
2.216,15,Dec 08 2017 01: +0,1512694800
2.058,9,Dec 09 2017 01: +0,1512781200
2.057,24,Dec 10 2017 01: +0,1512867600
2.079,13,Dec 11 2017 01: +0,1512954000
2.04,17,Dec 12 2017 01: +0,1513040400
2.134,14,Dec 13 2017 01: +0,1513126800
2.043,18,Dec 14 2017 01: +0,1513213200
2.12,19,Dec 15 2017 01: +0,1513299600
1.968,27,Dec 16 2017 01: +0,1513386000
1.877,20,Dec 17 2017 01: +0,1513472400
1.766,5,Dec 18 2017 01: +0,1513558800
1.791,24,Dec 19 2017 01: +0,1513645200
1.716,17,Dec 20 2017 01: +0,1513731600
1.712,18,Dec 21 2017 01: +0,1513818000
1.644,21,Dec 22 2017 01: +0,1513904400
1.652,21,Dec 23 2017 01: +0,1513990800
1.59,16,Dec 24 2017 01: +0,1514077200
1.655,25,Dec 25 2017 01: +0,1514163600
1.658,16,Dec 26 2017 01: +0,1514250000
1.631,25,Dec 27 2017 01: +0,1514336400
1.62,25,Dec 28 2017 01: +0,1514422800
1.573,27,Dec 29 2017 01: +0,1514509200
1.61,23,Dec 30 2017 01: +0,1514595600
1.578,22,Dec 31 2017 01: +0,1514682000
1.504,29,Jan 01 2018 01: +0,1514768400
1.465,24,Jan 02 2018 01: +0,1514854800
1.427,17,Jan 03 2018 01: +0,1514941200
1.456,19,Jan 04 2018 01: +0,1515027600
1.413,35,Jan 05 2018 01: +0,1515114000
1.435,21,Jan 06 2018 01: +0,1515200400
1.55,20,Jan 07 2018 01: +0,1515286800
1.559,18,Jan 08 2018 01: +0,1515373200
1.576,17,Jan 09 2018 01: +0,1515459600
1.526,9,Jan 10 2018 01: +0,1515546000
1.58,15,Jan 11 2018 01: +0,1515632400
1.52,18,Jan 12 2018 01: +0,1515718800
1.395,34,Jan 13 2018 01: +0,1515805200
1.369,32,Jan 14 2018 01: +0,1515891600
1.42,20,Jan 15 2018 01: +0,1515978000
1.372,22,Jan 16 2018 01: +0,1516064400
1.405,33,Jan 17 2018 01: +0,1516150800
1.48,19,Jan 18 2018 01: +0,1516237200
1.567,25,Jan 19 2018 01: +0,1516323600
1.647,51,Jan 20 2018 01: +0,1516410000
1.702,18,Jan 21 2018 01: +0,1516496400
1.709,18,Jan 22 2018 01: +0,1516582800
1.774,22,Jan 23 2018 01: +0,1516669200
1.713,15,Jan 24 2018 01: +0,1516755600
1.748,18,Jan 25 2018 01: +0,1516842000
1.6,18,Jan 26 2018 01: +0,1516928400
1.515,20,Jan 27 2018 01: +0,1517014800
1.66,47,Jan 28 2018 01: +0,1517101200
1.867,42,Jan 29 2018 01: +0,1517187600
1.93,25,Jan 30 2018 01: +0,1517274000
1.936,12,Jan 31 2018 01: +0,1517360400
1.858,16,Feb 01 2018 01: +0,1517446800
1.905,29,Feb 02 2018 01: +0,1517533200
2.038,18,Feb 03 2018 01: +0,1517619600
2.114,12,Feb 04 2018 01: +0,1517706000
2.174,9,Feb 05 2018 01: +0,1517792400
2.258,10,Feb 06 2018 01: +0,1517878800
2.275,7,Feb 07 2018 01: +0,1517965200
2.228,4,Feb 08 2018 01: +0,1518051600
2.057,9,Feb 09 2018 01: +0,1518138000
2.186,10,Feb 10 2018 01: +0,1518224400
2.204,6,Feb 11 2018 01: +0,1518310800
2.269,8,Feb 12 2018 01: +0,1518397200
2.096,4,Feb 13 2018 01: +0,1518483600
2.31,4,Feb 14 2018 01: +0,1518570000
2.164,6,Feb 15 2018 01: +0,1518656400
2.279,14,Feb 16 2018 01: +0,1518742800
2.234,14,Feb 17 2018 01: +0,1518829200
2.244,5,Feb 18 2018 01: +0,1518915600
2.266,3,Feb 19 2018 01: +0,1519002000
2.368,7,Feb 20 2018 01: +0,1519088400
2.322,5,Feb 21 2018 01: +0,1519174800
2.442,5,Feb 22 2018 01: +0,1519261200
