price,quantity,date,unix timestamp
2.164,43,Mar 18 2016 01: +0,1458262800
1.596,23,Mar 19 2016 01: +0,1458349200
2.825,13,Mar 20 2016 01: +0,1458435600
1.734,7,Mar 21 2016 01: +0,1458522000
1.52,9,Mar 22 2016 01: +0,1458608400
1.211,7,Mar 23 2016 01: +0,1458694800
1.237,10,Mar 24 2016 01: +0,1458781200
1.05,5,Mar 25 2016 01: +0,1458867600
1.161,7,Mar 26 2016 01: +0,1458954000
1.471,7,Mar 27 2016 01: +0,1459040400
2.012,8,Mar 28 2016 01: +0,1459123200
1.801,8,Mar 29 2016 01: +0,1459209600
1.516,20,Mar 30 2016 01: +0,1459296000
1.111,14,Mar 31 2016 01: +0,1459382400
1.145,14,Apr 01 2016 01: +0,1459468800
0.955,12,Apr 02 2016 01: +0,1459555200
0.342,508,Apr 03 2016 01: +0,1459641600
0.421,151,Apr 04 2016 01: +0,1459728000
0.511,73,Apr 05 2016 01: +0,1459814400
0.632,21,Apr 06 2016 01: +0,1459900800
0.518,37,Apr 07 2016 01: +0,1459987200
0.46,28,Apr 08 2016 01: +0,1460073600
0.427,51,Apr 09 2016 01: +0,1460160000
0.438,38,Apr 10 2016 01: +0,1460246400
0.441,24,Apr 11 2016 01: +0,1460332800
0.377,42,Apr 12 2016 01: +0,1460419200
0.39,33,Apr 13 2016 01: +0,1460505600
0.445,14,Apr 14 2016 01: +0,1460592000
0.419,15,Apr 15 2016 01: +0,1460678400
0.423,35,Apr 16 2016 01: +0,1460764800
0.419,24,Apr 17 2016 01: +0,1460851200
0.421,21,Apr 18 2016 01: +0,1460937600
0.426,32,Apr 19 2016 01: +0,1461024000
0.388,21,Apr 20 2016 01: +0,1461110400
0.4,21,Apr 21 2016 01: +0,1461196800
0.393,20,Apr 22 2016 01: +0,1461283200
0.409,25,Apr 23 2016 01: +0,1461369600
0.386,16,Apr 24 2016 01: +0,1461456000
0.415,59,Apr 25 2016 01: +0,1461542400
0.534,8,Apr 26 2016 01: +0,1461628800
0.411,29,Apr 27 2016 01: +0,1461715200
0.439,20,Apr 28 2016 01: +0,1461801600
0.434,15,Apr 29 2016 01: +0,1461888000
0.434,22,Apr 30 2016 01: +0,1461974400
0.446,17,May 01 2016 01: +0,1462060800
0.414,23,May 02 2016 01: +0,1462147200
0.402,14,May 03 2016 01: +0,1462233600
0.439,16,May 04 2016 01: +0,1462320000
0.446,18,May 05 2016 01: +0,1462406400
0.436,14,May 06 2016 01: +0,1462492800
0.452,19,May 07 2016 01: +0,1462579200
0.446,13,May 08 2016 01: +0,1462665600
0.469,11,May 09 2016 01: +0,1462752000
0.461,8,May 10 2016 01: +0,1462838400
0.434,15,May 11 2016 01: +0,1462924800
0.456,15,May 12 2016 01: +0,1463011200
0.46,16,May 13 2016 01: +0,1463097600
0.53,12,May 14 2016 01: +0,1463184000
0.517,15,May 15 2016 01: +0,1463270400
0.513,12,May 16 2016 01: +0,1463356800
0.473,8,May 17 2016 01: +0,1463443200
0.445,5,May 18 2016 01: +0,1463529600
0.467,4,May 19 2016 01: +0,1463616000
0.48,10,May 20 2016 01: +0,1463702400
0.451,15,May 21 2016 01: +0,1463788800
0.444,13,May 22 2016 01: +0,1463875200
0.461,16,May 23 2016 01: +0,1463961600
0.464,22,May 24 2016 01: +0,1464048000
0.481,11,May 25 2016 01: +0,1464134400
0.469,10,May 26 2016 01: +0,1464220800
0.476,9,May 27 2016 01: +0,1464307200
0.48,16,May 28 2016 01: +0,1464393600
0.496,11,May 29 2016 01: +0,1464480000
0.492,7,May 30 2016 01: +0,1464566400
0.489,7,May 31 2016 01: +0,1464652800
0.478,17,Jun 01 2016 01: +0,1464739200
0.491,10,Jun 02 2016 01: +0,1464825600
0.475,9,Jun 03 2016 01: +0,1464912000
0.505,9,Jun 04 2016 01: +0,1464998400
0.464,10,Jun 05 2016 01: +0,1465084800
0.478,13,Jun 06 2016 01: +0,1465171200
0.473,9,Jun 07 2016 01: +0,1465257600
0.456,6,Jun 08 2016 01: +0,1465344000
0.5,10,Jun 09 2016 01: +0,1465430400
0.486,11,Jun 10 2016 01: +0,1465516800
0.483,5,Jun 11 2016 01: +0,1465603200
0.504,9,Jun 12 2016 01: +0,1465689600
0.53,7,Jun 13 2016 01: +0,1465776000
0.532,5,Jun 14 2016 01: +0,1465862400
0.481,6,Jun 15 2016 01: +0,1465948800
0.452,8,Jun 16 2016 01: +0,1466035200
0.429,13,Jun 17 2016 01: +0,1466121600
0.501,22,Jun 18 2016 01: +0,1466208000
