price,quantity,date,unix timestamp
1.316,11,Jan 13 2017 01: +0,1484269200
0.646,14,Jan 14 2017 01: +0,1484355600
0.744,12,Jan 15 2017 01: +0,1484442000
0.725,7,Jan 16 2017 01: +0,1484528400
0.807,6,Jan 17 2017 01: +0,1484614800
0.918,4,Jan 18 2017 01: +0,1484701200
0.869,3,Jan 19 2017 01: +0,1484787600
0.788,3,Jan 20 2017 01: +0,1484874000
0.793,5,Jan 21 2017 01: +0,1484960400
0.978,5,Jan 22 2017 01: +0,1485046800
0.775,6,Jan 23 2017 01: +0,1485133200
0.855,6,Jan 24 2017 01: +0,1485219600
0.828,4,Jan 25 2017 01: +0,1485306000
0.805,4,Jan 26 2017 01: +0,1485392400
0.784,6,Jan 27 2017 01: +0,1485478800
1.066,3,Jan 28 2017 01: +0,1485565200
0.419,156,Jan 29 2017 01: +0,1485651600
0.354,102,Jan 30 2017 01: +0,1485738000
0.389,34,Jan 31 2017 01: +0,1485824400
0.437,20,Feb 01 2017 01: +0,1485910800
0.437,25,Feb 02 2017 01: +0,1485997200
0.428,20,Feb 03 2017 01: +0,1486083600
0.461,17,Feb 04 2017 01: +0,1486170000
0.487,19,Feb 05 2017 01: +0,1486256400
0.528,6,Feb 06 2017 01: +0,1486342800
0.471,14,Feb 07 2017 01: +0,1486429200
0.481,13,Feb 08 2017 01: +0,1486515600
0.562,7,Feb 09 2017 01: +0,1486602000
0.533,11,Feb 10 2017 01: +0,1486688400
0.573,9,Feb 11 2017 01: +0,1486774800
0.598,6,Feb 12 2017 01: +0,1486861200
0.563,3,Feb 13 2017 01: +0,1486947600
0.516,4,Feb 14 2017 01: +0,1487034000
0.471,8,Feb 15 2017 01: +0,1487120400
0.52,14,Feb 16 2017 01: +0,1487206800
0.542,5,Feb 17 2017 01: +0,1487293200
0.504,5,Feb 18 2017 01: +0,1487379600
0.527,6,Feb 19 2017 01: +0,1487466000
0.521,9,Feb 20 2017 01: +0,1487552400
0.539,5,Feb 21 2017 01: +0,1487638800
0.551,11,Feb 22 2017 01: +0,1487725200
0.544,3,Feb 23 2017 01: +0,1487811600
0.519,8,Feb 24 2017 01: +0,1487898000
0.548,10,Feb 25 2017 01: +0,1487984400
0.552,6,Feb 26 2017 01: +0,1488070800
0.613,12,Feb 27 2017 01: +0,1488157200
0.617,4,Feb 28 2017 01: +0,1488243600
0.591,7,Mar 01 2017 01: +0,1488330000
0.568,4,Mar 02 2017 01: +0,1488416400
0.602,5,Mar 03 2017 01: +0,1488502800
0.591,8,Mar 04 2017 01: +0,1488589200
0.614,7,Mar 05 2017 01: +0,1488675600
0.528,5,Mar 06 2017 01: +0,1488762000
0.61,6,Mar 07 2017 01: +0,1488848400
0.614,8,Mar 08 2017 01: +0,1488934800
0.675,5,Mar 09 2017 01: +0,1489021200
0.832,2,Mar 10 2017 01: +0,1489107600
0.834,6,Mar 11 2017 01: +0,1489194000
0.802,2,Mar 12 2017 01: +0,1489280400
0.928,1,Mar 13 2017 01: +0,1489366800
0.702,3,Mar 15 2017 01: +0,1489539600
0.755,5,Mar 16 2017 01: +0,1489626000
0.711,1,Mar 17 2017 01: +0,1489712400
0.642,4,Mar 18 2017 01: +0,1489798800
0.579,2,Mar 19 2017 01: +0,1489885200
0.598,6,Mar 20 2017 01: +0,1489971600
0.672,1,Mar 21 2017 01: +0,1490058000
0.709,3,Mar 22 2017 01: +0,1490144400
0.614,6,Mar 23 2017 01: +0,1490230800
0.474,3,Mar 24 2017 01: +0,1490317200
0.595,11,Mar 25 2017 01: +0,1490403600
0.722,9,Mar 26 2017 01: +0,1490490000
0.807,4,Mar 27 2017 01: +0,1490572800
0.769,2,Mar 28 2017 01: +0,1490659200
0.682,3,Mar 29 2017 01: +0,1490745600
0.645,2,Mar 30 2017 01: +0,1490832000
0.805,2,Mar 31 2017 01: +0,1490918400
0.854,4,Apr 01 2017 01: +0,1491004800
0.743,6,Apr 02 2017 01: +0,1491091200
0.722,6,Apr 03 2017 01: +0,1491177600
0.694,7,Apr 04 2017 01: +0,1491264000
0.876,3,Apr 05 2017 01: +0,1491350400
0.678,2,Apr 06 2017 01: +0,1491436800
0.774,5,Apr 07 2017 01: +0,1491523200
0.82,6,Apr 08 2017 01: +0,1491609600
0.816,1,Apr 09 2017 01: +0,1491696000
0.838,12,Apr 10 2017 01: +0,1491782400
0.864,1,Apr 11 2017 01: +0,1491868800
0.778,2,Apr 12 2017 01: +0,1491955200
0.759,6,Apr 13 2017 01: +0,1492041600
0.739,2,Apr 14 2017 01: +0,1492128000
0.68,8,Apr 15 2017 01: +0,1492214400
0.694,4,Apr 16 2017 01: +0,1492300800
0.707,7,Apr 17 2017 01: +0,1492387200
0.676,3,Apr 18 2017 01: +0,1492473600
0.69,4,Apr 19 2017 01: +0,1492560000
0.715,8,Apr 20 2017 01: +0,1492646400
0.781,11,Apr 21 2017 01: +0,1492732800
0.787,7,Apr 22 2017 01: +0,1492819200
0.794,3,Apr 23 2017 01: +0,1492905600
0.79,4,Apr 24 2017 01: +0,1492992000
0.765,2,Apr 25 2017 01: +0,1493078400
0.811,1,Apr 26 2017 01: +0,1493164800
0.785,6,Apr 27 2017 01: +0,1493251200
0.764,5,Apr 28 2017 01: +0,1493337600
0.802,4,Apr 29 2017 01: +0,1493424000
0.831,4,Apr 30 2017 01: +0,1493510400
0.785,3,May 01 2017 01: +0,1493596800
0.722,4,May 02 2017 01: +0,1493683200
0.841,8,May 03 2017 01: +0,1493769600
0.908,2,May 04 2017 01: +0,1493856000
0.879,6,May 05 2017 01: +0,1493942400
0.944,1,May 06 2017 01: +0,1494028800
0.939,3,May 07 2017 01: +0,1494115200
0.93,3,May 08 2017 01: +0,1494201600
0.928,2,May 10 2017 01: +0,1494374400
0.912,4,May 11 2017 01: +0,1494460800
0.547,1,May 12 2017 01: +0,1494547200
0.894,6,May 13 2017 01: +0,1494633600
0.924,1,May 14 2017 01: +0,1494720000
0.951,1,May 15 2017 01: +0,1494806400
0.913,2,May 16 2017 01: +0,1494892800
0.785,5,May 17 2017 01: +0,1494979200
0.945,1,May 18 2017 01: +0,1495065600
0.695,1,May 19 2017 01: +0,1495152000
0.832,6,May 20 2017 01: +0,1495238400
0.844,2,May 21 2017 01: +0,1495324800
0.966,2,May 22 2017 01: +0,1495411200
0.98,7,May 23 2017 01: +0,1495497600
0.9,2,May 24 2017 01: +0,1495584000
0.842,4,May 25 2017 01: +0,1495670400
0.912,2,May 26 2017 01: +0,1495756800
0.99,3,May 27 2017 01: +0,1495843200
1.016,1,May 28 2017 01: +0,1495929600
1.09,1,May 29 2017 01: +0,1496016000
1.008,2,May 30 2017 01: +0,1496102400
1.107,2,May 31 2017 01: +0,1496188800
1.106,2,Jun 01 2017 01: +0,1496275200
1.015,2,Jun 02 2017 01: +0,1496361600
1.109,3,Jun 03 2017 01: +0,1496448000
1.069,2,Jun 04 2017 01: +0,1496534400
1.092,1,Jun 06 2017 01: +0,1496707200
1.067,1,Jun 07 2017 01: +0,1496793600
1.09,1,Jun 08 2017 01: +0,1496880000
1.026,2,Jun 09 2017 01: +0,1496966400
1.016,2,Jun 10 2017 01: +0,1497052800
0.948,1,Jun 11 2017 01: +0,1497139200
0.965,1,Jun 12 2017 01: +0,1497225600
1.019,1,Jun 13 2017 01: +0,1497312000
0.984,1,Jun 14 2017 01: +0,1497398400
0.996,2,Jun 15 2017 01: +0,1497484800
1.042,2,Jun 16 2017 01: +0,1497571200
0.835,1,Jun 18 2017 01: +0,1497744000
0.872,2,Jun 20 2017 01: +0,1497916800
0.827,7,Jun 21 2017 01: +0,1498003200
0.867,4,Jun 22 2017 01: +0,1498089600
0.935,1,Jun 24 2017 01: +0,1498262400
1.027,1,Jun 25 2017 01: +0,1498348800
0.893,4,Jun 28 2017 01: +0,1498608000
0.986,2,Jul 02 2017 01: +0,1498953600
0.915,4,Jul 03 2017 01: +0,1499040000
0.846,3,Jul 04 2017 01: +0,1499126400
0.921,3,Jul 06 2017 01: +0,1499299200
1.04,4,Jul 07 2017 01: +0,1499385600
0.97,6,Jul 08 2017 01: +0,1499472000
0.877,1,Jul 09 2017 01: +0,1499558400
0.902,2,Jul 10 2017 01: +0,1499644800
0.8,2,Jul 11 2017 01: +0,1499731200
0.876,4,Jul 12 2017 01: +0,1499817600
0.934,1,Jul 13 2017 01: +0,1499904000
0.902,2,Jul 14 2017 01: +0,1499990400
0.943,1,Jul 15 2017 01: +0,1500076800
1.05,2,Jul 16 2017 01: +0,1500163200
0.885,1,Jul 17 2017 01: +0,1500249600
0.96,2,Jul 18 2017 01: +0,1500336000
1.038,1,Jul 19 2017 01: +0,1500422400
0.926,1,Jul 20 2017 01: +0,1500508800
0.89,1,Jul 22 2017 01: +0,1500681600
0.879,7,Jul 23 2017 01: +0,1500768000
0.741,1,Jul 25 2017 01: +0,1500940800
0.811,5,Jul 26 2017 01: +0,1501027200
0.919,3,Jul 27 2017 01: +0,1501113600
1.006,2,Jul 28 2017 01: +0,1501200000
1.041,2,Jul 29 2017 01: +0,1501286400
0.911,1,Jul 30 2017 01: +0,1501372800
1.054,2,Jul 31 2017 01: +0,1501459200
1.057,1,Aug 01 2017 01: +0,1501545600
0.988,1,Aug 02 2017 01: +0,1501632000
0.926,2,Aug 03 2017 01: +0,1501718400
1.079,1,Aug 04 2017 01: +0,1501804800
1.089,2,Aug 05 2017 01: +0,1501891200
1.1,1,Aug 06 2017 01: +0,1501977600
1.062,2,Aug 08 2017 01: +0,1502150400
0.955,3,Aug 11 2017 01: +0,1502409600
1.069,2,Aug 12 2017 01: +0,1502496000
1.09,3,Aug 14 2017 01: +0,1502668800
0.786,1,Aug 16 2017 01: +0,1502841600
0.923,2,Aug 17 2017 01: +0,1502928000
1.075,1,Aug 18 2017 01: +0,1503014400
0.49,1,Aug 19 2017 01: +0,1503100800
1.011,1,Aug 21 2017 01: +0,1503273600
1.037,1,Aug 23 2017 01: +0,1503446400
0.786,1,Aug 24 2017 01: +0,1503532800
1.002,2,Aug 25 2017 01: +0,1503619200
1.043,1,Aug 26 2017 01: +0,1503705600
1.044,2,Aug 27 2017 01: +0,1503792000
1.069,3,Aug 29 2017 01: +0,1503964800
1.009,2,Aug 30 2017 01: +0,1504051200
0.927,1,Aug 31 2017 01: +0,1504137600
0.906,2,Sep 01 2017 01: +0,1504224000
1.075,1,Sep 02 2017 01: +0,1504310400
1.098,3,Sep 03 2017 01: +0,1504396800
1.082,1,Sep 04 2017 01: +0,1504483200
0.819,1,Sep 05 2017 01: +0,1504569600
0.954,1,Sep 06 2017 01: +0,1504656000
1.169,6,Sep 07 2017 01: +0,1504742400
1.323,1,Sep 10 2017 01: +0,1505001600
1.442,2,Sep 15 2017 01: +0,1505433600
1.032,1,Sep 16 2017 01: +0,1505520000
1.465,1,Sep 17 2017 01: +0,1505606400
1.416,1,Sep 18 2017 01: +0,1505692800
1.131,1,Sep 19 2017 01: +0,1505779200
1.31,1,Sep 22 2017 01: +0,1506038400
1.322,1,Sep 26 2017 01: +0,1506384000
1.332,1,Sep 28 2017 01: +0,1506556800
1.423,1,Sep 29 2017 01: +0,1506643200
1.57,1,Oct 01 2017 01: +0,1506816000
1.018,1,Oct 06 2017 01: +0,1507248000
1.813,2,Oct 12 2017 01: +0,1507766400
1.313,1,Oct 15 2017 01: +0,1508025600
1.274,1,Oct 20 2017 01: +0,1508457600
1.463,1,Oct 21 2017 01: +0,1508544000
1.245,1,Oct 25 2017 01: +0,1508889600
1.236,1,Oct 30 2017 01: +0,1509325200
1.201,1,Oct 31 2017 01: +0,1509411600
1.63,1,Nov 05 2017 01: +0,1509843600
1.628,1,Nov 07 2017 01: +0,1510016400
1.591,1,Nov 19 2017 01: +0,1511053200
1.601,1,Nov 20 2017 01: +0,1511139600
1.591,1,Nov 23 2017 01: +0,1511398800
1.654,1,Nov 25 2017 01: +0,1511571600
1.674,1,Nov 29 2017 01: +0,1511917200
1.721,1,Nov 30 2017 01: +0,1512003600
1.776,1,Dec 04 2017 01: +0,1512349200
1.009,1,Dec 07 2017 01: +0,1512608400
1.788,1,Dec 13 2017 01: +0,1513126800
1.825,1,Dec 15 2017 01: +0,1513299600
1.0,1,Dec 17 2017 01: +0,1513472400
1.837,1,Dec 18 2017 01: +0,1513558800
1.009,1,Dec 21 2017 01: +0,1513818000
0.988,1,Dec 28 2017 01: +0,1514422800
1.472,1,Dec 31 2017 01: +0,1514682000
1.603,2,Jan 02 2018 01: +0,1514854800
1.739,1,Jan 04 2018 01: +0,1515027600
1.808,12,Jan 05 2018 01: +0,1515114000
2.59,3,Jan 06 2018 01: +0,1515200400
3.327,1,Jan 07 2018 01: +0,1515286800
1.406,2,Jan 10 2018 01: +0,1515546000
1.861,1,Jan 19 2018 01: +0,1516323600
0.951,1,Feb 06 2018 01: +0,1517878800
0.868,4,Feb 08 2018 01: +0,1518051600
0.927,5,Feb 10 2018 01: +0,1518224400
1.108,4,Feb 11 2018 01: +0,1518310800
0.706,1,Feb 13 2018 01: +0,1518483600
1.243,3,Feb 14 2018 01: +0,1518570000
1.259,1,Feb 16 2018 01: +0,1518742800
1.35,1,Feb 19 2018 01: +0,1519002000
1.376,1,Feb 23 2018 01: +0,1519347600
1.376,2,Feb 24 2018 01: +0,1519434000
