price,quantity,date,unix timestamp
0.677,119,Aug 15 2015 01: +0,1439596800
0.672,39,Aug 16 2015 01: +0,1439683200
0.653,33,Aug 17 2015 01: +0,1439769600
0.652,32,Aug 18 2015 01: +0,1439856000
0.693,16,Aug 19 2015 01: +0,1439942400
0.586,287,Aug 20 2015 01: +0,1440028800
0.419,968,Aug 21 2015 01: +0,1440115200
1.047,591,Aug 22 2015 01: +0,1440201600
0.231,634,Aug 23 2015 01: +0,1440288000
0.22,332,Aug 24 2015 01: +0,1440374400
0.283,115,Aug 25 2015 01: +0,1440460800
0.285,118,Aug 26 2015 01: +0,1440547200
0.281,101,Aug 27 2015 01: +0,1440633600
0.272,108,Aug 28 2015 01: +0,1440720000
0.287,98,Aug 29 2015 01: +0,1440806400
0.293,92,Aug 30 2015 01: +0,1440892800
0.269,90,Aug 31 2015 01: +0,1440979200
0.259,79,Sep 01 2015 01: +0,1441065600
0.256,87,Sep 02 2015 01: +0,1441152000
0.27,65,Sep 03 2015 01: +0,1441238400
0.246,84,Sep 04 2015 01: +0,1441324800
0.267,85,Sep 05 2015 01: +0,1441411200
0.268,83,Sep 06 2015 01: +0,1441497600
0.25,69,Sep 07 2015 01: +0,1441584000
0.266,72,Sep 08 2015 01: +0,1441670400
0.266,47,Sep 09 2015 01: +0,1441756800
0.274,73,Sep 10 2015 01: +0,1441843200
0.267,77,Sep 11 2015 01: +0,1441929600
0.287,53,Sep 12 2015 01: +0,1442016000
0.281,58,Sep 13 2015 01: +0,1442102400
0.279,56,Sep 14 2015 01: +0,1442188800
0.281,66,Sep 15 2015 01: +0,1442275200
0.29,69,Sep 16 2015 01: +0,1442361600
0.279,57,Sep 17 2015 01: +0,1442448000
0.323,60,Sep 18 2015 01: +0,1442534400
0.34,76,Sep 19 2015 01: +0,1442620800
0.302,85,Sep 20 2015 01: +0,1442707200
0.298,65,Sep 21 2015 01: +0,1442793600
0.306,60,Sep 22 2015 01: +0,1442880000
0.335,47,Sep 23 2015 01: +0,1442966400
0.324,61,Sep 24 2015 01: +0,1443052800
0.325,57,Sep 25 2015 01: +0,1443139200
0.398,59,Sep 26 2015 01: +0,1443225600
0.378,46,Sep 27 2015 01: +0,1443312000
0.363,41,Sep 28 2015 01: +0,1443398400
0.352,32,Sep 29 2015 01: +0,1443484800
0.34,50,Sep 30 2015 01: +0,1443571200
0.341,43,Oct 01 2015 01: +0,1443657600
0.342,54,Oct 02 2015 01: +0,1443744000
0.347,59,Oct 03 2015 01: +0,1443830400
0.337,47,Oct 04 2015 01: +0,1443916800
0.344,37,Oct 05 2015 01: +0,1444003200
0.348,40,Oct 06 2015 01: +0,1444089600
0.363,33,Oct 07 2015 01: +0,1444176000
0.354,27,Oct 08 2015 01: +0,1444262400
0.337,40,Oct 09 2015 01: +0,1444348800
0.336,52,Oct 10 2015 01: +0,1444435200
0.364,44,Oct 11 2015 01: +0,1444521600
0.348,30,Oct 12 2015 01: +0,1444608000
0.308,46,Oct 13 2015 01: +0,1444694400
0.348,35,Oct 14 2015 01: +0,1444780800
0.34,30,Oct 15 2015 01: +0,1444867200
0.342,45,Oct 16 2015 01: +0,1444953600
0.362,41,Oct 17 2015 01: +0,1445040000
0.372,34,Oct 18 2015 01: +0,1445126400
0.343,29,Oct 19 2015 01: +0,1445212800
0.302,36,Oct 20 2015 01: +0,1445299200
0.249,57,Oct 21 2015 01: +0,1445385600
0.262,33,Oct 22 2015 01: +0,1445472000
0.276,35,Oct 23 2015 01: +0,1445558400
0.284,45,Oct 24 2015 01: +0,1445644800
0.281,47,Oct 25 2015 01: +0,1445731200
