price,quantity,date,unix timestamp
0.787,858,Aug 05 2014 01: +0,1407196800
0.759,403,Aug 06 2014 01: +0,1407283200
0.758,320,Aug 07 2014 01: +0,1407369600
0.748,200,Aug 08 2014 01: +0,1407456000
0.687,230,Aug 09 2014 01: +0,1407542400
0.74,222,Aug 10 2014 01: +0,1407628800
0.721,244,Aug 11 2014 01: +0,1407715200
0.715,303,Aug 12 2014 01: +0,1407801600
0.637,355,Aug 13 2014 01: +0,1407888000
0.55,688,Aug 14 2014 01: +0,1407974400
0.507,548,Aug 15 2014 01: +0,1408060800
0.567,298,Aug 16 2014 01: +0,1408147200
0.267,3249,Aug 17 2014 01: +0,1408233600
0.225,1260,Aug 18 2014 01: +0,1408320000
0.421,814,Aug 19 2014 01: +0,1408406400
0.453,398,Aug 20 2014 01: +0,1408492800
0.399,297,Aug 21 2014 01: +0,1408579200
0.431,320,Aug 22 2014 01: +0,1408665600
0.424,288,Aug 23 2014 01: +0,1408752000
0.418,251,Aug 24 2014 01: +0,1408838400
0.421,287,Aug 25 2014 01: +0,1408924800
0.41,259,Aug 26 2014 01: +0,1409011200
0.44,221,Aug 27 2014 01: +0,1409097600
0.452,236,Aug 28 2014 01: +0,1409184000
0.455,250,Aug 29 2014 01: +0,1409270400
0.6,334,Aug 30 2014 01: +0,1409356800
0.88,260,Aug 31 2014 01: +0,1409443200
0.908,312,Sep 01 2014 01: +0,1409529600
1.197,258,Sep 02 2014 01: +0,1409616000
0.963,139,Sep 03 2014 01: +0,1409702400
0.81,117,Sep 04 2014 01: +0,1409788800
0.703,165,Sep 05 2014 01: +0,1409875200
0.675,170,Sep 06 2014 01: +0,1409961600
0.663,153,Sep 07 2014 01: +0,1410048000
0.649,129,Sep 08 2014 01: +0,1410134400
0.628,112,Sep 09 2014 01: +0,1410220800
0.615,123,Sep 10 2014 01: +0,1410307200
0.564,144,Sep 11 2014 01: +0,1410393600
0.559,145,Sep 12 2014 01: +0,1410480000
0.525,178,Sep 13 2014 01: +0,1410566400
0.566,159,Sep 14 2014 01: +0,1410652800
