price,quantity,date,unix timestamp
11.763,9,Jul 08 2017 01: +0,1499472000
17.777,3,Jul 09 2017 01: +0,1499558400
14.06,10,Jul 10 2017 01: +0,1499644800
12.364,3,Jul 11 2017 01: +0,1499731200
11.857,4,Jul 12 2017 01: +0,1499817600
11.566,3,Jul 13 2017 01: +0,1499904000
12.063,2,Jul 14 2017 01: +0,1499990400
12.17,2,Jul 15 2017 01: +0,1500076800
15.645,6,Jul 16 2017 01: +0,1500163200
22.016,7,Jul 18 2017 01: +0,1500336000
27.699,3,Jul 20 2017 01: +0,1500508800
27.577,4,Jul 21 2017 01: +0,1500595200
13.889,3,Jul 22 2017 01: +0,1500681600
11.132,68,Jul 23 2017 01: +0,1500768000
7.365,50,Jul 24 2017 01: +0,1500854400
11.078,19,Jul 25 2017 01: +0,1500940800
13.667,12,Jul 26 2017 01: +0,1501027200
12.446,8,Jul 27 2017 01: +0,1501113600
12.592,9,Jul 28 2017 01: +0,1501200000
12.994,5,Jul 29 2017 01: +0,1501286400
12.42,5,Jul 30 2017 01: +0,1501372800
11.652,5,Jul 31 2017 01: +0,1501459200
11.738,7,Aug 01 2017 01: +0,1501545600
12.118,2,Aug 02 2017 01: +0,1501632000
10.477,3,Aug 03 2017 01: +0,1501718400
10.447,5,Aug 04 2017 01: +0,1501804800
13.352,3,Aug 05 2017 01: +0,1501891200
12.7,3,Aug 06 2017 01: +0,1501977600
13.35,5,Aug 07 2017 01: +0,1502064000
12.665,1,Aug 08 2017 01: +0,1502150400
12.647,1,Aug 10 2017 01: +0,1502323200
9.455,1,Aug 11 2017 01: +0,1502409600
9.188,3,Aug 12 2017 01: +0,1502496000
11.285,2,Aug 13 2017 01: +0,1502582400
8.227,3,Aug 14 2017 01: +0,1502668800
8.749,2,Aug 15 2017 01: +0,1502755200
9.661,1,Aug 16 2017 01: +0,1502841600
9.524,2,Aug 17 2017 01: +0,1502928000
9.613,4,Aug 18 2017 01: +0,1503014400
10.088,1,Aug 19 2017 01: +0,1503100800
10.015,1,Aug 20 2017 01: +0,1503187200
8.001,3,Aug 22 2017 01: +0,1503360000
9.327,1,Aug 23 2017 01: +0,1503446400
9.397,1,Aug 24 2017 01: +0,1503532800
8.726,2,Aug 25 2017 01: +0,1503619200
7.866,1,Aug 28 2017 01: +0,1503878400
7.875,1,Aug 29 2017 01: +0,1503964800
1.203,1,Aug 31 2017 01: +0,1504137600
7.711,2,Sep 01 2017 01: +0,1504224000
7.642,2,Sep 02 2017 01: +0,1504310400
7.861,2,Sep 03 2017 01: +0,1504396800
8.972,2,Sep 04 2017 01: +0,1504483200
8.485,4,Sep 05 2017 01: +0,1504569600
8.64,1,Sep 06 2017 01: +0,1504656000
9.678,1,Sep 07 2017 01: +0,1504742400
9.834,5,Sep 08 2017 01: +0,1504828800
8.985,2,Sep 10 2017 01: +0,1505001600
10.288,1,Sep 11 2017 01: +0,1505088000
11.39,1,Sep 12 2017 01: +0,1505174400
10.579,2,Sep 14 2017 01: +0,1505347200
9.184,1,Sep 16 2017 01: +0,1505520000
9.291,2,Sep 17 2017 01: +0,1505606400
9.35,2,Sep 18 2017 01: +0,1505692800
11.208,2,Sep 19 2017 01: +0,1505779200
11.355,1,Sep 20 2017 01: +0,1505865600
12.577,1,Sep 21 2017 01: +0,1505952000
9.599,3,Sep 23 2017 01: +0,1506124800
11.522,2,Sep 24 2017 01: +0,1506211200
9.999,2,Sep 26 2017 01: +0,1506384000
11.396,3,Sep 27 2017 01: +0,1506470400
10.658,2,Sep 28 2017 01: +0,1506556800
10.935,2,Sep 29 2017 01: +0,1506643200
12.503,1,Sep 30 2017 01: +0,1506729600
12.395,1,Oct 01 2017 01: +0,1506816000
11.168,2,Oct 02 2017 01: +0,1506902400
12.038,2,Oct 04 2017 01: +0,1507075200
12.527,1,Oct 06 2017 01: +0,1507248000
11.316,1,Oct 10 2017 01: +0,1507593600
10.036,2,Oct 13 2017 01: +0,1507852800
11.085,1,Oct 19 2017 01: +0,1508371200
7.49,1,Oct 20 2017 01: +0,1508457600
8.817,1,Oct 23 2017 01: +0,1508716800
8.754,2,Oct 24 2017 01: +0,1508803200
7.804,1,Oct 27 2017 01: +0,1509062400
10.844,2,Nov 01 2017 01: +0,1509498000
11.1,1,Nov 03 2017 01: +0,1509670800
11.206,2,Nov 04 2017 01: +0,1509757200
8.58,1,Nov 05 2017 01: +0,1509843600
11.01,1,Nov 07 2017 01: +0,1510016400
10.994,1,Nov 09 2017 01: +0,1510189200
8.342,1,Nov 10 2017 01: +0,1510275600
10.116,1,Nov 12 2017 01: +0,1510448400
6.648,2,Nov 17 2017 01: +0,1510880400
8.203,2,Nov 18 2017 01: +0,1510966800
5.512,1,Nov 20 2017 01: +0,1511139600
7.901,2,Nov 21 2017 01: +0,1511226000
5.699,2,Nov 23 2017 01: +0,1511398800
