price,quantity,date,unix timestamp
0.839,991,Nov 21 2014 01: +0,1416531600
0.852,595,Nov 22 2014 01: +0,1416618000
0.848,381,Nov 23 2014 01: +0,1416704400
0.846,316,Nov 24 2014 01: +0,1416790800
0.847,221,Nov 25 2014 01: +0,1416877200
0.845,310,Nov 26 2014 01: +0,1416963600
0.84,405,Nov 27 2014 01: +0,1417050000
0.544,2252,Nov 28 2014 01: +0,1417136400
0.305,7972,Nov 29 2014 01: +0,1417222800
0.202,12991,Nov 30 2014 01: +0,1417309200
0.2,8303,Dec 01 2014 01: +0,1417395600
0.332,4275,Dec 02 2014 01: +0,1417482000
0.411,2744,Dec 03 2014 01: +0,1417568400
0.391,1544,Dec 04 2014 01: +0,1417654800
0.357,1719,Dec 05 2014 01: +0,1417741200
0.404,1790,Dec 06 2014 01: +0,1417827600
0.444,1951,Dec 07 2014 01: +0,1417914000
0.491,1699,Dec 08 2014 01: +0,1418000400
0.494,1341,Dec 09 2014 01: +0,1418086800
0.435,1489,Dec 10 2014 01: +0,1418173200
0.453,1245,Dec 11 2014 01: +0,1418259600
0.446,1319,Dec 12 2014 01: +0,1418346000
0.432,1280,Dec 13 2014 01: +0,1418432400
0.438,1359,Dec 14 2014 01: +0,1418518800
0.467,978,Dec 15 2014 01: +0,1418605200
0.454,941,Dec 16 2014 01: +0,1418691600
0.433,1155,Dec 17 2014 01: +0,1418778000
0.413,914,Dec 18 2014 01: +0,1418864400
0.405,1125,Dec 19 2014 01: +0,1418950800
0.431,913,Dec 20 2014 01: +0,1419037200
0.429,1227,Dec 21 2014 01: +0,1419123600
0.465,953,Dec 22 2014 01: +0,1419210000
0.464,832,Dec 23 2014 01: +0,1419296400
0.583,1280,Dec 24 2014 01: +0,1419382800
0.647,1064,Dec 25 2014 01: +0,1419469200
0.665,898,Dec 26 2014 01: +0,1419555600
0.729,966,Dec 27 2014 01: +0,1419642000
0.925,943,Dec 28 2014 01: +0,1419728400
0.78,899,Dec 29 2014 01: +0,1419814800
0.795,655,Dec 30 2014 01: +0,1419901200
0.85,599,Dec 31 2014 01: +0,1419987600
0.761,641,Jan 01 2015 01: +0,1420074000
0.736,770,Jan 02 2015 01: +0,1420160400
0.805,637,Jan 03 2015 01: +0,1420246800
0.846,686,Jan 04 2015 01: +0,1420333200
0.906,1707,Jan 05 2015 01: +0,1420419600
0.897,789,Jan 06 2015 01: +0,1420506000
0.897,533,Jan 07 2015 01: +0,1420592400
0.903,621,Jan 08 2015 01: +0,1420678800
0.865,781,Jan 09 2015 01: +0,1420765200
0.856,695,Jan 10 2015 01: +0,1420851600
0.885,537,Jan 11 2015 01: +0,1420938000
0.898,510,Jan 12 2015 01: +0,1421024400
0.865,416,Jan 13 2015 01: +0,1421110800
0.819,545,Jan 14 2015 01: +0,1421197200
0.798,512,Jan 15 2015 01: +0,1421283600
0.791,578,Jan 16 2015 01: +0,1421370000
0.798,678,Jan 17 2015 01: +0,1421456400
0.805,574,Jan 18 2015 01: +0,1421542800
0.804,488,Jan 19 2015 01: +0,1421629200
0.825,452,Jan 20 2015 01: +0,1421715600
0.828,412,Jan 21 2015 01: +0,1421802000
0.823,566,Jan 22 2015 01: +0,1421888400
0.8,572,Jan 23 2015 01: +0,1421974800
0.735,839,Jan 24 2015 01: +0,1422061200
0.786,657,Jan 25 2015 01: +0,1422147600
0.805,572,Jan 26 2015 01: +0,1422234000
0.829,571,Jan 27 2015 01: +0,1422320400
0.826,468,Jan 28 2015 01: +0,1422406800
0.859,461,Jan 29 2015 01: +0,1422493200
0.927,538,Jan 30 2015 01: +0,1422579600
0.928,480,Jan 31 2015 01: +0,1422666000
0.938,508,Feb 01 2015 01: +0,1422752400
1.004,345,Feb 02 2015 01: +0,1422838800
1.123,411,Feb 03 2015 01: +0,1422925200
1.476,389,Feb 04 2015 01: +0,1423011600
1.521,272,Feb 05 2015 01: +0,1423098000
1.44,330,Feb 06 2015 01: +0,1423184400
1.408,314,Feb 07 2015 01: +0,1423270800
