price,quantity,date,unix timestamp
0.215,201,Jul 07 2017 01: +0,1499385600
0.195,687,Jul 08 2017 01: +0,1499472000
0.198,399,Jul 09 2017 01: +0,1499558400
0.207,291,Jul 10 2017 01: +0,1499644800
0.203,253,Jul 11 2017 01: +0,1499731200
0.215,231,Jul 12 2017 01: +0,1499817600
0.217,196,Jul 13 2017 01: +0,1499904000
0.211,175,Jul 14 2017 01: +0,1499990400
0.2,215,Jul 15 2017 01: +0,1500076800
0.204,265,Jul 16 2017 01: +0,1500163200
0.206,225,Jul 17 2017 01: +0,1500249600
0.207,256,Jul 18 2017 01: +0,1500336000
0.214,223,Jul 19 2017 01: +0,1500422400
0.196,239,Jul 20 2017 01: +0,1500508800
0.212,220,Jul 21 2017 01: +0,1500595200
0.21,433,Jul 22 2017 01: +0,1500681600
0.076,7695,Jul 23 2017 01: +0,1500768000
0.059,4081,Jul 24 2017 01: +0,1500854400
0.078,1636,Jul 25 2017 01: +0,1500940800
0.105,661,Jul 26 2017 01: +0,1501027200
0.106,601,Jul 27 2017 01: +0,1501113600
0.103,547,Jul 28 2017 01: +0,1501200000
0.107,458,Jul 29 2017 01: +0,1501286400
0.107,477,Jul 30 2017 01: +0,1501372800
0.106,465,Jul 31 2017 01: +0,1501459200
0.095,517,Aug 01 2017 01: +0,1501545600
0.095,457,Aug 02 2017 01: +0,1501632000
0.097,508,Aug 03 2017 01: +0,1501718400
0.094,446,Aug 04 2017 01: +0,1501804800
0.091,411,Aug 05 2017 01: +0,1501891200
0.089,395,Aug 06 2017 01: +0,1501977600
0.091,405,Aug 07 2017 01: +0,1502064000
0.093,465,Aug 08 2017 01: +0,1502150400
0.096,406,Aug 09 2017 01: +0,1502236800
0.095,406,Aug 10 2017 01: +0,1502323200
0.106,233,Aug 11 2017 01: +0,1502409600
0.106,272,Aug 12 2017 01: +0,1502496000
0.1,287,Aug 13 2017 01: +0,1502582400
0.103,259,Aug 14 2017 01: +0,1502668800
0.1,299,Aug 15 2017 01: +0,1502755200
0.101,263,Aug 16 2017 01: +0,1502841600
0.1,267,Aug 17 2017 01: +0,1502928000
0.102,289,Aug 18 2017 01: +0,1503014400
0.106,277,Aug 19 2017 01: +0,1503100800
0.109,226,Aug 20 2017 01: +0,1503187200
0.108,229,Aug 21 2017 01: +0,1503273600
0.105,241,Aug 22 2017 01: +0,1503360000
0.113,222,Aug 23 2017 01: +0,1503446400
0.115,230,Aug 24 2017 01: +0,1503532800
0.119,225,Aug 25 2017 01: +0,1503619200
0.123,211,Aug 26 2017 01: +0,1503705600
0.119,215,Aug 27 2017 01: +0,1503792000
0.122,230,Aug 28 2017 01: +0,1503878400
0.121,226,Aug 29 2017 01: +0,1503964800
0.121,209,Aug 30 2017 01: +0,1504051200
0.118,234,Aug 31 2017 01: +0,1504137600
0.128,212,Sep 01 2017 01: +0,1504224000
0.135,248,Sep 02 2017 01: +0,1504310400
0.137,181,Sep 03 2017 01: +0,1504396800
0.138,149,Sep 04 2017 01: +0,1504483200
0.135,138,Sep 05 2017 01: +0,1504569600
0.13,162,Sep 06 2017 01: +0,1504656000
0.133,141,Sep 07 2017 01: +0,1504742400
0.135,172,Sep 08 2017 01: +0,1504828800
0.141,177,Sep 09 2017 01: +0,1504915200
0.141,181,Sep 10 2017 01: +0,1505001600
0.136,153,Sep 11 2017 01: +0,1505088000
0.137,158,Sep 12 2017 01: +0,1505174400
0.133,148,Sep 13 2017 01: +0,1505260800
0.134,146,Sep 14 2017 01: +0,1505347200
0.136,262,Sep 15 2017 01: +0,1505433600
0.144,261,Sep 16 2017 01: +0,1505520000
0.147,213,Sep 17 2017 01: +0,1505606400
0.149,203,Sep 18 2017 01: +0,1505692800
0.15,163,Sep 19 2017 01: +0,1505779200
0.153,142,Sep 20 2017 01: +0,1505865600
0.15,147,Sep 21 2017 01: +0,1505952000
0.154,193,Sep 22 2017 01: +0,1506038400
0.154,205,Sep 23 2017 01: +0,1506124800
0.153,206,Sep 24 2017 01: +0,1506211200
0.154,149,Sep 25 2017 01: +0,1506297600
0.148,205,Sep 26 2017 01: +0,1506384000
0.147,156,Sep 27 2017 01: +0,1506470400
0.142,131,Sep 28 2017 01: +0,1506556800
