price,quantity,date,unix timestamp
3.856,36,Aug 14 2019 01: +0,1565740800
4.5,54,Aug 15 2019 01: +0,1565827200
4.258,59,Aug 16 2019 01: +0,1565913600
4.277,36,Aug 17 2019 01: +0,1566000000
4.044,36,Aug 18 2019 01: +0,1566086400
4.27,29,Aug 19 2019 01: +0,1566172800
4.328,26,Aug 20 2019 01: +0,1566259200
4.24,17,Aug 21 2019 01: +0,1566345600
4.307,49,Aug 22 2019 01: +0,1566432000
6.152,46,Aug 23 2019 01: +0,1566518400
8.147,56,Aug 24 2019 01: +0,1566604800
7.36,31,Aug 25 2019 01: +0,1566691200
6.79,30,Aug 26 2019 01: +0,1566777600
6.823,30,Aug 27 2019 01: +0,1566864000
7.8,29,Aug 28 2019 01: +0,1566950400
8.67,41,Aug 29 2019 01: +0,1567036800
10.434,36,Aug 30 2019 01: +0,1567123200
8.8,34,Aug 31 2019 01: +0,1567209600
7.815,25,Sep 01 2019 01: +0,1567296000
6.382,40,Sep 02 2019 01: +0,1567382400
6.389,31,Sep 03 2019 01: +0,1567468800
6.149,8,Sep 04 2019 01: +0,1567555200
6.329,18,Sep 05 2019 01: +0,1567641600
5.986,24,Sep 06 2019 01: +0,1567728000
4.552,417,Sep 07 2019 01: +0,1567814400
3.079,2215,Sep 08 2019 01: +0,1567900800
3.345,1283,Sep 09 2019 01: +0,1567987200
3.434,1099,Sep 10 2019 01: +0,1568073600
3.461,878,Sep 11 2019 01: +0,1568160000
3.35,782,Sep 12 2019 01: +0,1568246400
3.283,808,Sep 13 2019 01: +0,1568332800
3.043,794,Sep 14 2019 01: +0,1568419200
3.123,758,Sep 15 2019 01: +0,1568505600
3.112,672,Sep 16 2019 01: +0,1568592000
2.907,546,Sep 17 2019 01: +0,1568678400
2.706,649,Sep 18 2019 01: +0,1568764800
2.79,517,Sep 19 2019 01: +0,1568851200
2.712,570,Sep 20 2019 01: +0,1568937600
2.791,648,Sep 21 2019 01: +0,1569024000
2.79,494,Sep 22 2019 01: +0,1569110400
2.504,454,Sep 23 2019 01: +0,1569196800
2.37,375,Sep 24 2019 01: +0,1569283200
2.293,353,Sep 25 2019 01: +0,1569369600
2.835,222,Sep 26 2019 01: +0,1569456000
3.519,201,Sep 27 2019 01: +0,1569542400
