price,quantity,date,unix timestamp
14.685,170,May 04 2022 01: +0,1651622400
15.639,63,May 05 2022 01: +0,1651708800
21.088,52,May 06 2022 01: +0,1651795200
20.741,36,May 07 2022 01: +0,1651881600
21.915,25,May 08 2022 01: +0,1651968000
24.737,38,May 09 2022 01: +0,1652054400
21.155,25,May 10 2022 01: +0,1652140800
24.624,45,May 11 2022 01: +0,1652227200
35.784,35,May 12 2022 01: +0,1652313600
35.108,41,May 13 2022 01: +0,1652400000
43.573,45,May 14 2022 01: +0,1652486400
48.384,30,May 15 2022 01: +0,1652572800
45.525,23,May 16 2022 01: +0,1652659200
30.407,42,May 17 2022 01: +0,1652745600
29.0,20,May 18 2022 01: +0,1652832000
25.609,22,May 19 2022 01: +0,1652918400
17.789,25,May 20 2022 01: +0,1653004800
15.443,13,May 21 2022 01: +0,1653091200
13.99,14,May 22 2022 01: +0,1653177600
15.145,15,May 23 2022 01: +0,1653264000
17.219,7,May 24 2022 01: +0,1653350400
18.74,8,May 25 2022 01: +0,1653436800
18.567,14,May 26 2022 01: +0,1653523200
19.383,10,May 27 2022 01: +0,1653609600
19.144,9,May 28 2022 01: +0,1653696000
19.776,13,May 29 2022 01: +0,1653782400
19.875,12,May 30 2022 01: +0,1653868800
17.506,6,May 31 2022 01: +0,1653955200
16.561,9,Jun 01 2022 01: +0,1654041600
14.175,71,Jun 02 2022 01: +0,1654128000
10.28,336,Jun 03 2022 01: +0,1654214400
11.135,186,Jun 04 2022 01: +0,1654300800
12.365,155,Jun 05 2022 01: +0,1654387200
12.801,138,Jun 06 2022 01: +0,1654473600
12.297,122,Jun 07 2022 01: +0,1654560000
12.428,119,Jun 08 2022 01: +0,1654646400
12.273,93,Jun 09 2022 01: +0,1654732800
11.759,118,Jun 10 2022 01: +0,1654819200
12.177,138,Jun 11 2022 01: +0,1654905600
11.759,117,Jun 12 2022 01: +0,1654992000
11.902,107,Jun 13 2022 01: +0,1655078400
13.218,84,Jun 14 2022 01: +0,1655164800
13.329,112,Jun 15 2022 01: +0,1655251200
13.497,109,Jun 16 2022 01: +0,1655337600
15.22,93,Jun 17 2022 01: +0,1655424000
16.316,125,Jun 18 2022 01: +0,1655510400
14.594,112,Jun 19 2022 01: +0,1655596800
12.821,105,Jun 20 2022 01: +0,1655683200
13.03,87,Jun 21 2022 01: +0,1655769600
12.859,82,Jun 22 2022 01: +0,1655856000
12.064,84,Jun 23 2022 01: +0,1655942400
11.927,101,Jun 24 2022 01: +0,1656028800
12.2,54,Jun 25 2022 01: +0,1656115200
12.075,105,Jun 26 2022 01: +0,1656201600
12.223,62,Jun 27 2022 01: +0,1656288000
12.388,75,Jun 28 2022 01: +0,1656374400
12.945,79,Jun 29 2022 01: +0,1656460800
12.803,65,Jun 30 2022 01: +0,1656547200
13.735,77,Jul 01 2022 01: +0,1656633600
13.181,94,Jul 02 2022 01: +0,1656720000
12.533,110,Jul 03 2022 01: +0,1656806400
12.144,87,Jul 04 2022 01: +0,1656892800
12.403,90,Jul 05 2022 01: +0,1656979200
12.335,106,Jul 06 2022 01: +0,1657065600
11.692,72,Jul 07 2022 01: +0,1657152000
