price,quantity,date,unix timestamp
0.714,29,Oct 21 2021 01: +0,1634774400
1.2,1324,Oct 22 2021 01: +0,1634860800
1.35,594,Oct 23 2021 01: +0,1634947200
1.461,400,Oct 24 2021 01: +0,1635033600
1.751,394,Oct 25 2021 01: +0,1635120000
1.711,311,Oct 26 2021 01: +0,1635206400
1.906,314,Oct 27 2021 01: +0,1635292800
1.947,221,Oct 28 2021 01: +0,1635379200
1.902,239,Oct 29 2021 01: +0,1635465600
1.592,272,Oct 30 2021 01: +0,1635552000
1.359,357,Oct 31 2021 01: +0,1635638400
1.463,240,Nov 01 2021 01: +0,1635728400
1.602,211,Nov 02 2021 01: +0,1635814800
1.493,211,Nov 03 2021 01: +0,1635901200
1.498,211,Nov 04 2021 01: +0,1635987600
1.501,165,Nov 05 2021 01: +0,1636074000
1.518,194,Nov 06 2021 01: +0,1636160400
1.486,193,Nov 07 2021 01: +0,1636246800
1.428,157,Nov 08 2021 01: +0,1636333200
1.463,127,Nov 09 2021 01: +0,1636419600
1.501,216,Nov 10 2021 01: +0,1636506000
1.482,142,Nov 11 2021 01: +0,1636592400
1.528,118,Nov 12 2021 01: +0,1636678800
1.583,136,Nov 13 2021 01: +0,1636765200
1.531,68,Nov 14 2021 01: +0,1636851600
1.73,103,Nov 15 2021 01: +0,1636938000
1.729,104,Nov 16 2021 01: +0,1637024400
2.064,139,Nov 17 2021 01: +0,1637110800
2.147,73,Nov 18 2021 01: +0,1637197200
2.135,63,Nov 19 2021 01: +0,1637283600
2.215,58,Nov 20 2021 01: +0,1637370000
2.295,42,Nov 21 2021 01: +0,1637456400
2.229,72,Nov 22 2021 01: +0,1637542800
2.409,47,Nov 23 2021 01: +0,1637629200
2.23,32,Nov 24 2021 01: +0,1637715600
2.132,49,Nov 25 2021 01: +0,1637802000
2.046,55,Nov 26 2021 01: +0,1637888400
2.097,63,Nov 27 2021 01: +0,1637974800
2.049,96,Nov 28 2021 01: +0,1638061200
1.976,85,Nov 29 2021 01: +0,1638147600
0.61,2358,Nov 30 2021 01: +0,1638234000
0.57,1440,Dec 01 2021 01: +0,1638320400
0.542,1214,Dec 02 2021 01: +0,1638406800
0.627,965,Dec 03 2021 01: +0,1638493200
0.626,969,Dec 04 2021 01: +0,1638579600
0.602,843,Dec 05 2021 01: +0,1638666000
0.597,735,Dec 06 2021 01: +0,1638752400
0.63,860,Dec 07 2021 01: +0,1638838800
0.69,840,Dec 08 2021 01: +0,1638925200
0.648,710,Dec 09 2021 01: +0,1639011600
0.611,919,Dec 10 2021 01: +0,1639098000
0.598,995,Dec 11 2021 01: +0,1639184400
0.6,867,Dec 12 2021 01: +0,1639270800
0.631,808,Dec 13 2021 01: +0,1639357200
0.648,810,Dec 14 2021 01: +0,1639443600
0.61,779,Dec 15 2021 01: +0,1639530000
0.631,799,Dec 16 2021 01: +0,1639616400
0.628,751,Dec 17 2021 01: +0,1639702800
0.674,792,Dec 18 2021 01: +0,1639789200
0.681,778,Dec 19 2021 01: +0,1639875600
