price,quantity,date,unix timestamp
0.412,36,Jul 07 2017 01: +0,1499385600
0.371,129,Jul 08 2017 01: +0,1499472000
0.365,59,Jul 09 2017 01: +0,1499558400
0.361,51,Jul 10 2017 01: +0,1499644800
0.394,51,Jul 11 2017 01: +0,1499731200
0.399,46,Jul 12 2017 01: +0,1499817600
0.387,38,Jul 13 2017 01: +0,1499904000
0.417,34,Jul 14 2017 01: +0,1499990400
0.387,44,Jul 15 2017 01: +0,1500076800
0.408,42,Jul 16 2017 01: +0,1500163200
0.393,45,Jul 17 2017 01: +0,1500249600
0.38,50,Jul 18 2017 01: +0,1500336000
0.408,53,Jul 19 2017 01: +0,1500422400
0.383,53,Jul 20 2017 01: +0,1500508800
0.437,54,Jul 21 2017 01: +0,1500595200
0.394,100,Jul 22 2017 01: +0,1500681600
0.174,1585,Jul 23 2017 01: +0,1500768000
0.159,711,Jul 24 2017 01: +0,1500854400
0.203,274,Jul 25 2017 01: +0,1500940800
0.234,127,Jul 26 2017 01: +0,1501027200
0.247,188,Jul 27 2017 01: +0,1501113600
0.333,247,Jul 28 2017 01: +0,1501200000
0.311,129,Jul 29 2017 01: +0,1501286400
0.272,91,Jul 30 2017 01: +0,1501372800
0.247,128,Jul 31 2017 01: +0,1501459200
0.24,97,Aug 01 2017 01: +0,1501545600
0.229,89,Aug 02 2017 01: +0,1501632000
0.231,99,Aug 03 2017 01: +0,1501718400
0.226,87,Aug 04 2017 01: +0,1501804800
0.206,79,Aug 05 2017 01: +0,1501891200
0.21,73,Aug 06 2017 01: +0,1501977600
0.215,88,Aug 07 2017 01: +0,1502064000
0.218,61,Aug 08 2017 01: +0,1502150400
0.217,76,Aug 09 2017 01: +0,1502236800
0.216,86,Aug 10 2017 01: +0,1502323200
0.219,72,Aug 11 2017 01: +0,1502409600
0.218,58,Aug 12 2017 01: +0,1502496000
0.199,100,Aug 13 2017 01: +0,1502582400
0.207,77,Aug 14 2017 01: +0,1502668800
0.21,74,Aug 15 2017 01: +0,1502755200
0.213,78,Aug 16 2017 01: +0,1502841600
0.225,67,Aug 17 2017 01: +0,1502928000
0.228,41,Aug 18 2017 01: +0,1503014400
0.23,38,Aug 19 2017 01: +0,1503100800
0.219,47,Aug 20 2017 01: +0,1503187200
0.213,63,Aug 21 2017 01: +0,1503273600
0.226,50,Aug 22 2017 01: +0,1503360000
0.225,32,Aug 23 2017 01: +0,1503446400
0.22,43,Aug 24 2017 01: +0,1503532800
0.214,48,Aug 25 2017 01: +0,1503619200
0.224,60,Aug 26 2017 01: +0,1503705600
0.222,59,Aug 27 2017 01: +0,1503792000
0.232,71,Aug 28 2017 01: +0,1503878400
0.235,30,Aug 29 2017 01: +0,1503964800
0.224,41,Aug 30 2017 01: +0,1504051200
0.24,37,Aug 31 2017 01: +0,1504137600
0.244,41,Sep 01 2017 01: +0,1504224000
0.249,43,Sep 02 2017 01: +0,1504310400
0.249,48,Sep 03 2017 01: +0,1504396800
0.255,34,Sep 04 2017 01: +0,1504483200
0.261,42,Sep 05 2017 01: +0,1504569600
0.258,27,Sep 06 2017 01: +0,1504656000
0.264,63,Sep 07 2017 01: +0,1504742400
0.298,27,Sep 08 2017 01: +0,1504828800
0.282,39,Sep 09 2017 01: +0,1504915200
0.281,36,Sep 10 2017 01: +0,1505001600
0.276,27,Sep 11 2017 01: +0,1505088000
0.281,15,Sep 12 2017 01: +0,1505174400
0.266,28,Sep 13 2017 01: +0,1505260800
0.267,17,Sep 14 2017 01: +0,1505347200
0.271,26,Sep 15 2017 01: +0,1505433600
0.278,33,Sep 16 2017 01: +0,1505520000
0.262,37,Sep 17 2017 01: +0,1505606400
0.265,30,Sep 18 2017 01: +0,1505692800
0.271,29,Sep 19 2017 01: +0,1505779200
0.268,42,Sep 20 2017 01: +0,1505865600
0.264,36,Sep 21 2017 01: +0,1505952000
0.251,42,Sep 22 2017 01: +0,1506038400
0.268,30,Sep 23 2017 01: +0,1506124800
0.269,28,Sep 24 2017 01: +0,1506211200
0.273,40,Sep 25 2017 01: +0,1506297600
0.265,32,Sep 26 2017 01: +0,1506384000
0.272,21,Sep 27 2017 01: +0,1506470400
0.253,23,Sep 28 2017 01: +0,1506556800
0.246,34,Sep 29 2017 01: +0,1506643200
0.266,26,Sep 30 2017 01: +0,1506729600
0.253,34,Oct 01 2017 01: +0,1506816000
0.249,37,Oct 02 2017 01: +0,1506902400
0.262,24,Oct 03 2017 01: +0,1506988800
0.266,29,Oct 04 2017 01: +0,1507075200
0.266,20,Oct 05 2017 01: +0,1507161600
0.258,24,Oct 06 2017 01: +0,1507248000
0.253,50,Oct 07 2017 01: +0,1507334400
0.254,20,Oct 08 2017 01: +0,1507420800
0.259,31,Oct 09 2017 01: +0,1507507200
0.261,23,Oct 10 2017 01: +0,1507593600
0.249,21,Oct 11 2017 01: +0,1507680000
0.245,22,Oct 12 2017 01: +0,1507766400
0.252,37,Oct 13 2017 01: +0,1507852800
0.258,30,Oct 14 2017 01: +0,1507939200
0.27,29,Oct 15 2017 01: +0,1508025600
0.27,29,Oct 16 2017 01: +0,1508112000
0.277,53,Oct 17 2017 01: +0,1508198400
0.268,19,Oct 18 2017 01: +0,1508284800
0.274,21,Oct 19 2017 01: +0,1508371200
0.259,25,Oct 20 2017 01: +0,1508457600
0.27,41,Oct 21 2017 01: +0,1508544000
0.288,12,Oct 22 2017 01: +0,1508630400
0.282,19,Oct 23 2017 01: +0,1508716800
0.285,11,Oct 24 2017 01: +0,1508803200
0.259,14,Oct 25 2017 01: +0,1508889600
0.263,14,Oct 26 2017 01: +0,1508976000
0.246,15,Oct 27 2017 01: +0,1509062400
0.258,33,Oct 28 2017 01: +0,1509148800
0.255,19,Oct 29 2017 01: +0,1509235200
0.264,11,Oct 30 2017 01: +0,1509325200
