price,quantity,date,unix timestamp
0.411,54,May 04 2022 01: +0,1651622400
0.457,31,May 05 2022 01: +0,1651708800
0.394,29,May 06 2022 01: +0,1651795200
0.439,38,May 07 2022 01: +0,1651881600
0.424,22,May 08 2022 01: +0,1651968000
0.455,16,May 09 2022 01: +0,1652054400
0.565,32,May 10 2022 01: +0,1652140800
0.692,13,May 11 2022 01: +0,1652227200
0.671,21,May 12 2022 01: +0,1652313600
0.598,40,May 13 2022 01: +0,1652400000
0.518,23,May 14 2022 01: +0,1652486400
0.511,20,May 15 2022 01: +0,1652572800
0.452,15,May 16 2022 01: +0,1652659200
0.393,16,May 17 2022 01: +0,1652745600
0.376,12,May 18 2022 01: +0,1652832000
0.363,21,May 19 2022 01: +0,1652918400
0.386,13,May 20 2022 01: +0,1653004800
0.359,11,May 21 2022 01: +0,1653091200
0.36,11,May 22 2022 01: +0,1653177600
0.331,15,May 23 2022 01: +0,1653264000
0.273,8,May 24 2022 01: +0,1653350400
0.335,11,May 25 2022 01: +0,1653436800
0.392,6,May 26 2022 01: +0,1653523200
0.344,8,May 27 2022 01: +0,1653609600
0.374,4,May 28 2022 01: +0,1653696000
0.396,9,May 29 2022 01: +0,1653782400
0.335,7,May 30 2022 01: +0,1653868800
0.303,3,May 31 2022 01: +0,1653955200
0.37,2,Jun 01 2022 01: +0,1654041600
0.283,42,Jun 02 2022 01: +0,1654128000
0.134,179,Jun 03 2022 01: +0,1654214400
0.139,130,Jun 04 2022 01: +0,1654300800
0.15,126,Jun 05 2022 01: +0,1654387200
0.141,83,Jun 06 2022 01: +0,1654473600
0.151,106,Jun 07 2022 01: +0,1654560000
0.156,82,Jun 08 2022 01: +0,1654646400
0.164,87,Jun 09 2022 01: +0,1654732800
0.167,82,Jun 10 2022 01: +0,1654819200
0.148,87,Jun 11 2022 01: +0,1654905600
0.16,65,Jun 12 2022 01: +0,1654992000
0.15,72,Jun 13 2022 01: +0,1655078400
0.155,78,Jun 14 2022 01: +0,1655164800
0.167,98,Jun 15 2022 01: +0,1655251200
0.162,100,Jun 16 2022 01: +0,1655337600
0.167,63,Jun 17 2022 01: +0,1655424000
0.153,83,Jun 18 2022 01: +0,1655510400
0.149,113,Jun 19 2022 01: +0,1655596800
0.155,80,Jun 20 2022 01: +0,1655683200
0.146,72,Jun 21 2022 01: +0,1655769600
0.15,54,Jun 22 2022 01: +0,1655856000
0.144,83,Jun 23 2022 01: +0,1655942400
0.144,51,Jun 24 2022 01: +0,1656028800
0.141,60,Jun 25 2022 01: +0,1656115200
0.138,88,Jun 26 2022 01: +0,1656201600
0.138,49,Jun 27 2022 01: +0,1656288000
0.127,72,Jun 28 2022 01: +0,1656374400
0.138,66,Jun 29 2022 01: +0,1656460800
0.128,51,Jun 30 2022 01: +0,1656547200
0.138,66,Jul 01 2022 01: +0,1656633600
0.134,63,Jul 02 2022 01: +0,1656720000
0.14,85,Jul 03 2022 01: +0,1656806400
0.141,80,Jul 04 2022 01: +0,1656892800
0.126,97,Jul 05 2022 01: +0,1656979200
0.125,82,Jul 06 2022 01: +0,1657065600
0.131,87,Jul 07 2022 01: +0,1657152000
0.131,70,Jul 08 2022 01: +0,1657238400
0.117,61,Jul 09 2022 01: +0,1657324800
0.112,79,Jul 10 2022 01: +0,1657411200
0.1,55,Jul 11 2022 01: +0,1657497600
0.1,56,Jul 12 2022 01: +0,1657584000
0.114,53,Jul 13 2022 01: +0,1657670400
0.11,56,Jul 14 2022 01: +0,1657756800
0.111,51,Jul 15 2022 01: +0,1657843200
0.106,51,Jul 16 2022 01: +0,1657929600
0.112,49,Jul 17 2022 01: +0,1658016000
0.114,65,Jul 18 2022 01: +0,1658102400
0.116,53,Jul 19 2022 01: +0,1658188800
0.131,35,Jul 20 2022 01: +0,1658275200
0.124,62,Jul 21 2022 01: +0,1658361600
0.118,67,Jul 22 2022 01: +0,1658448000
0.122,55,Jul 23 2022 01: +0,1658534400
0.118,53,Jul 24 2022 01: +0,1658620800
0.12,52,Jul 25 2022 01: +0,1658707200
0.125,49,Jul 26 2022 01: +0,1658793600
0.122,34,Jul 27 2022 01: +0,1658880000
0.118,56,Jul 28 2022 01: +0,1658966400
0.127,42,Jul 29 2022 01: +0,1659052800
0.121,61,Jul 30 2022 01: +0,1659139200
0.12,54,Jul 31 2022 01: +0,1659225600
0.122,46,Aug 01 2022 01: +0,1659312000
0.115,62,Aug 02 2022 01: +0,1659398400
0.127,65,Aug 03 2022 01: +0,1659484800
0.131,56,Aug 04 2022 01: +0,1659571200
0.121,50,Aug 05 2022 01: +0,1659657600
0.129,79,Aug 06 2022 01: +0,1659744000
0.131,79,Aug 07 2022 01: +0,1659830400
0.141,73,Aug 08 2022 01: +0,1659916800
0.145,31,Aug 09 2022 01: +0,1660003200
0.144,39,Aug 10 2022 01: +0,1660089600
0.131,64,Aug 11 2022 01: +0,1660176000
0.139,35,Aug 12 2022 01: +0,1660262400
0.137,38,Aug 13 2022 01: +0,1660348800
0.136,28,Aug 14 2022 01: +0,1660435200
0.141,46,Aug 15 2022 01: +0,1660521600
0.142,36,Aug 16 2022 01: +0,1660608000
0.125,92,Aug 17 2022 01: +0,1660694400
0.114,46,Aug 18 2022 01: +0,1660780800
0.106,23,Aug 19 2022 01: +0,1660867200
0.104,21,Aug 20 2022 01: +0,1660953600
0.112,38,Aug 21 2022 01: +0,1661040000
0.11,52,Aug 22 2022 01: +0,1661126400
0.111,25,Aug 23 2022 01: +0,1661212800
0.106,35,Aug 24 2022 01: +0,1661299200
0.107,29,Aug 25 2022 01: +0,1661385600
0.113,32,Aug 26 2022 01: +0,1661472000
0.111,23,Aug 27 2022 01: +0,1661558400
0.115,42,Aug 28 2022 01: +0,1661644800
0.109,31,Aug 29 2022 01: +0,1661731200
0.111,58,Aug 30 2022 01: +0,1661817600
0.108,29,Aug 31 2022 01: +0,1661904000
0.102,30,Sep 01 2022 01: +0,1661990400
0.099,36,Sep 02 2022 01: +0,1662076800
0.101,40,Sep 03 2022 01: +0,1662163200
0.104,29,Sep 04 2022 01: +0,1662249600
0.107,27,Sep 05 2022 01: +0,1662336000
0.095,15,Sep 06 2022 01: +0,1662422400
0.1,24,Sep 07 2022 01: +0,1662508800
0.102,39,Sep 08 2022 01: +0,1662595200
0.102,20,Sep 09 2022 01: +0,1662681600
0.105,17,Sep 10 2022 01: +0,1662768000
0.101,25,Sep 11 2022 01: +0,1662854400
0.102,24,Sep 12 2022 01: +0,1662940800
0.102,29,Sep 13 2022 01: +0,1663027200
0.102,29,Sep 14 2022 01: +0,1663113600
0.11,23,Sep 15 2022 01: +0,1663200000
0.113,75,Sep 16 2022 01: +0,1663286400
0.125,41,Sep 17 2022 01: +0,1663372800
0.117,36,Sep 18 2022 01: +0,1663459200
0.107,16,Sep 19 2022 01: +0,1663545600
0.117,20,Sep 20 2022 01: +0,1663632000
0.106,25,Sep 21 2022 01: +0,1663718400
0.109,17,Sep 22 2022 01: +0,1663804800
0.11,23,Sep 23 2022 01: +0,1663891200
0.118,54,Sep 24 2022 01: +0,1663977600
0.121,28,Sep 25 2022 01: +0,1664064000
0.116,14,Sep 26 2022 01: +0,1664150400
0.108,21,Sep 27 2022 01: +0,1664236800
0.108,14,Sep 28 2022 01: +0,1664323200
0.105,51,Sep 29 2022 01: +0,1664409600
0.111,37,Sep 30 2022 01: +0,1664496000
0.108,44,Oct 01 2022 01: +0,1664582400
0.104,33,Oct 02 2022 01: +0,1664668800
0.11,47,Oct 03 2022 01: +0,1664755200
0.117,20,Oct 04 2022 01: +0,1664841600
0.103,23,Oct 05 2022 01: +0,1664928000
0.112,30,Oct 06 2022 01: +0,1665014400
0.107,37,Oct 07 2022 01: +0,1665100800
0.11,14,Oct 08 2022 01: +0,1665187200
0.136,45,Oct 09 2022 01: +0,1665273600
0.133,26,Oct 10 2022 01: +0,1665360000
0.116,29,Oct 11 2022 01: +0,1665446400
0.108,16,Oct 12 2022 01: +0,1665532800
0.112,38,Oct 13 2022 01: +0,1665619200
0.113,21,Oct 14 2022 01: +0,1665705600
0.123,35,Oct 15 2022 01: +0,1665792000
0.115,20,Oct 16 2022 01: +0,1665878400
0.118,32,Oct 17 2022 01: +0,1665964800
0.116,18,Oct 18 2022 01: +0,1666051200
0.124,40,Oct 19 2022 01: +0,1666137600
0.128,23,Oct 20 2022 01: +0,1666224000
0.121,25,Oct 21 2022 01: +0,1666310400
0.11,51,Oct 22 2022 01: +0,1666396800
0.119,37,Oct 23 2022 01: +0,1666483200
0.106,18,Oct 24 2022 01: +0,1666569600
0.112,28,Oct 25 2022 01: +0,1666656000
0.125,63,Oct 26 2022 01: +0,1666742400
0.132,33,Oct 27 2022 01: +0,1666828800
0.15,27,Oct 28 2022 01: +0,1666915200
0.149,17,Oct 29 2022 01: +0,1667001600
0.133,23,Oct 30 2022 01: +0,1667088000
0.128,19,Oct 31 2022 01: +0,1667178000
0.122,16,Nov 01 2022 01: +0,1667264400
0.129,15,Nov 02 2022 01: +0,1667350800
0.144,15,Nov 03 2022 01: +0,1667437200
0.141,18,Nov 04 2022 01: +0,1667523600
0.155,27,Nov 05 2022 01: +0,1667610000
0.145,22,Nov 06 2022 01: +0,1667696400
0.135,19,Nov 07 2022 01: +0,1667782800
0.143,23,Nov 08 2022 01: +0,1667869200
0.121,5,Nov 09 2022 01: +0,1667955600
0.143,18,Nov 10 2022 01: +0,1668042000
0.148,38,Nov 11 2022 01: +0,1668128400
0.146,18,Nov 12 2022 01: +0,1668214800
0.144,25,Nov 13 2022 01: +0,1668301200
0.143,17,Nov 14 2022 01: +0,1668387600
0.132,14,Nov 15 2022 01: +0,1668474000
0.147,21,Nov 16 2022 01: +0,1668560400
0.14,11,Nov 17 2022 01: +0,1668646800
0.149,18,Nov 18 2022 01: +0,1668733200
0.144,30,Nov 19 2022 01: +0,1668819600
0.137,21,Nov 20 2022 01: +0,1668906000
0.141,16,Nov 21 2022 01: +0,1668992400
0.142,26,Nov 22 2022 01: +0,1669078800
0.131,27,Nov 23 2022 01: +0,1669165200
0.131,13,Nov 24 2022 01: +0,1669251600
0.135,16,Nov 25 2022 01: +0,1669338000
0.122,12,Nov 26 2022 01: +0,1669424400
0.121,24,Nov 27 2022 01: +0,1669510800
0.119,17,Nov 28 2022 01: +0,1669597200
0.127,8,Nov 29 2022 01: +0,1669683600
0.124,8,Nov 30 2022 01: +0,1669770000
0.129,13,Dec 01 2022 01: +0,1669856400
0.12,13,Dec 02 2022 01: +0,1669942800
0.133,18,Dec 03 2022 01: +0,1670029200
0.126,15,Dec 04 2022 01: +0,1670115600
0.121,8,Dec 05 2022 01: +0,1670202000
0.132,28,Dec 06 2022 01: +0,1670288400
0.133,23,Dec 07 2022 01: +0,1670374800
0.128,22,Dec 08 2022 01: +0,1670461200
0.128,21,Dec 09 2022 01: +0,1670547600
0.129,41,Dec 10 2022 01: +0,1670634000
0.136,21,Dec 11 2022 01: +0,1670720400
0.135,20,Dec 12 2022 01: +0,1670806800
0.138,16,Dec 13 2022 01: +0,1670893200
0.117,21,Dec 14 2022 01: +0,1670979600
0.128,19,Dec 15 2022 01: +0,1671066000
0.136,18,Dec 16 2022 01: +0,1671152400
0.143,7,Dec 17 2022 01: +0,1671238800
0.125,6,Dec 18 2022 01: +0,1671325200
0.129,17,Dec 19 2022 01: +0,1671411600
0.138,31,Dec 20 2022 01: +0,1671498000
0.139,8,Dec 21 2022 01: +0,1671584400
0.143,9,Dec 22 2022 01: +0,1671670800
0.136,16,Dec 23 2022 01: +0,1671757200
0.131,9,Dec 24 2022 01: +0,1671843600
0.132,11,Dec 25 2022 01: +0,1671930000
0.138,11,Dec 26 2022 01: +0,1672016400
0.137,11,Dec 27 2022 01: +0,1672102800
0.132,9,Dec 28 2022 01: +0,1672189200
0.129,15,Dec 29 2022 01: +0,1672275600
0.14,12,Dec 30 2022 01: +0,1672362000
0.151,9,Dec 31 2022 01: +0,1672448400
0.149,12,Jan 01 2023 01: +0,1672534800
0.147,5,Jan 02 2023 01: +0,1672621200
0.152,8,Jan 03 2023 01: +0,1672707600
0.159,7,Jan 04 2023 01: +0,1672794000
0.165,10,Jan 05 2023 01: +0,1672880400
0.164,11,Jan 06 2023 01: +0,1672966800
0.174,36,Jan 07 2023 01: +0,1673053200
0.179,8,Jan 08 2023 01: +0,1673139600
0.204,6,Jan 09 2023 01: +0,1673226000
0.218,30,Jan 10 2023 01: +0,1673312400
0.291,3,Jan 11 2023 01: +0,1673398800
0.247,9,Jan 12 2023 01: +0,1673485200
0.227,10,Jan 13 2023 01: +0,1673571600
0.223,9,Jan 14 2023 01: +0,1673658000
0.225,11,Jan 15 2023 01: +0,1673744400
0.23,9,Jan 16 2023 01: +0,1673830800
0.226,8,Jan 17 2023 01: +0,1673917200
0.235,9,Jan 18 2023 01: +0,1674003600
0.24,6,Jan 19 2023 01: +0,1674090000
0.249,8,Jan 20 2023 01: +0,1674176400
0.243,17,Jan 21 2023 01: +0,1674262800
0.234,17,Jan 22 2023 01: +0,1674349200
0.244,10,Jan 23 2023 01: +0,1674435600
0.221,23,Jan 24 2023 01: +0,1674522000
0.265,21,Jan 25 2023 01: +0,1674608400
0.243,13,Jan 26 2023 01: +0,1674694800
0.27,9,Jan 27 2023 01: +0,1674781200
0.303,19,Jan 28 2023 01: +0,1674867600
0.316,7,Jan 29 2023 01: +0,1674954000
0.266,12,Jan 30 2023 01: +0,1675040400
0.222,4,Jan 31 2023 01: +0,1675126800
0.301,7,Feb 01 2023 01: +0,1675213200
0.279,10,Feb 02 2023 01: +0,1675299600
0.29,14,Feb 03 2023 01: +0,1675386000
0.285,12,Feb 04 2023 01: +0,1675472400
0.289,13,Feb 05 2023 01: +0,1675558800
0.28,7,Feb 06 2023 01: +0,1675645200
0.296,10,Feb 07 2023 01: +0,1675731600
0.303,10,Feb 08 2023 01: +0,1675818000
0.275,6,Feb 09 2023 01: +0,1675904400
0.29,16,Feb 10 2023 01: +0,1675990800
0.28,18,Feb 11 2023 01: +0,1676077200
0.283,21,Feb 12 2023 01: +0,1676163600
0.269,13,Feb 13 2023 01: +0,1676250000
0.287,8,Feb 14 2023 01: +0,1676336400
0.246,2,Feb 14 2023 22: +0,1676412000
0.251,1,Feb 14 2023 23: +0,1676415600
0.251,1,Feb 15 2023 09: +0,1676451600
0.28,1,Feb 15 2023 13: +0,1676466000
0.252,2,Feb 15 2023 16: +0,1676476800
0.271,2,Feb 15 2023 20: +0,1676491200
0.306,1,Feb 15 2023 21: +0,1676494800
0.242,1,Feb 15 2023 23: +0,1676502000
0.278,2,Feb 16 2023 07: +0,1676530800
0.252,1,Feb 16 2023 10: +0,1676541600
0.3,1,Feb 16 2023 12: +0,1676548800
0.249,2,Feb 16 2023 14: +0,1676556000
0.301,6,Feb 16 2023 15: +0,1676559600
0.278,2,Feb 16 2023 17: +0,1676566800
0.305,1,Feb 16 2023 19: +0,1676574000
0.3,5,Feb 16 2023 22: +0,1676584800
0.254,3,Feb 16 2023 23: +0,1676588400
0.255,1,Feb 17 2023 11: +0,1676631600
0.265,2,Feb 17 2023 15: +0,1676646000
0.258,1,Feb 17 2023 16: +0,1676649600
0.309,4,Feb 17 2023 17: +0,1676653200
0.29,2,Feb 17 2023 23: +0,1676674800
0.252,1,Feb 18 2023 05: +0,1676696400
0.24,1,Feb 18 2023 08: +0,1676707200
0.269,2,Feb 18 2023 13: +0,1676725200
0.295,2,Feb 18 2023 15: +0,1676732400
0.259,2,Feb 18 2023 16: +0,1676736000
0.288,1,Feb 18 2023 18: +0,1676743200
0.279,2,Feb 18 2023 19: +0,1676746800
0.255,1,Feb 18 2023 20: +0,1676750400
0.299,1,Feb 18 2023 21: +0,1676754000
0.307,4,Feb 18 2023 22: +0,1676757600
0.311,2,Feb 18 2023 23: +0,1676761200
0.249,1,Feb 19 2023 00: +0,1676764800
0.248,1,Feb 19 2023 06: +0,1676786400
0.314,2,Feb 19 2023 08: +0,1676793600
0.248,1,Feb 19 2023 09: +0,1676797200
0.319,1,Feb 19 2023 10: +0,1676800800
0.273,1,Feb 19 2023 12: +0,1676808000
0.286,2,Feb 19 2023 13: +0,1676811600
0.253,1,Feb 19 2023 15: +0,1676818800
0.34,1,Feb 19 2023 16: +0,1676822400
0.342,4,Feb 19 2023 20: +0,1676836800
0.258,2,Feb 20 2023 02: +0,1676858400
0.237,1,Feb 20 2023 05: +0,1676869200
0.29,2,Feb 20 2023 17: +0,1676912400
0.344,1,Feb 20 2023 18: +0,1676916000
0.265,1,Feb 20 2023 21: +0,1676926800
0.256,1,Feb 21 2023 01: +0,1676941200
0.334,5,Feb 21 2023 09: +0,1676970000
0.343,1,Feb 21 2023 14: +0,1676988000
0.272,1,Feb 21 2023 15: +0,1676991600
0.29,2,Feb 21 2023 16: +0,1676995200
0.256,1,Feb 21 2023 17: +0,1676998800
0.264,1,Feb 22 2023 01: +0,1677027600
0.265,1,Feb 22 2023 10: +0,1677060000
0.265,1,Feb 22 2023 12: +0,1677067200
0.269,2,Feb 22 2023 16: +0,1677081600
0.256,1,Feb 22 2023 20: +0,1677096000
0.32,2,Feb 22 2023 21: +0,1677099600
0.332,1,Feb 22 2023 23: +0,1677106800
0.331,2,Feb 23 2023 00: +0,1677110400
0.268,1,Feb 23 2023 01: +0,1677114000
0.23,2,Feb 23 2023 12: +0,1677153600
0.256,1,Feb 23 2023 13: +0,1677157200
0.326,3,Feb 23 2023 15: +0,1677164400
0.341,2,Feb 23 2023 18: +0,1677175200
0.265,1,Feb 23 2023 20: +0,1677182400
