price,quantity,date,unix timestamp
1.73,8,May 05 2023 01: +0,1683244800
2.334,26,May 05 2023 02: +0,1683248400
2.333,17,May 05 2023 03: +0,1683252000
2.737,11,May 05 2023 04: +0,1683255600
2.761,12,May 05 2023 05: +0,1683259200
2.786,11,May 05 2023 06: +0,1683262800
3.417,10,May 05 2023 07: +0,1683266400
2.323,8,May 05 2023 08: +0,1683270000
2.221,7,May 05 2023 09: +0,1683273600
1.928,7,May 05 2023 10: +0,1683277200
1.935,3,May 05 2023 11: +0,1683280800
1.905,13,May 05 2023 12: +0,1683284400
1.981,4,May 05 2023 13: +0,1683288000
1.917,6,May 05 2023 14: +0,1683291600
1.953,11,May 05 2023 15: +0,1683295200
1.923,11,May 05 2023 16: +0,1683298800
2.115,10,May 05 2023 17: +0,1683302400
2.049,7,May 05 2023 18: +0,1683306000
2.041,13,May 05 2023 19: +0,1683309600
2.381,4,May 05 2023 20: +0,1683313200
2.049,5,May 05 2023 21: +0,1683316800
2.029,6,May 05 2023 22: +0,1683320400
2.017,5,May 05 2023 23: +0,1683324000
2.026,6,May 06 2023 00: +0,1683327600
2.021,8,May 06 2023 01: +0,1683331200
2.025,4,May 06 2023 02: +0,1683334800
2.044,4,May 06 2023 03: +0,1683338400
2.033,7,May 06 2023 04: +0,1683342000
2.052,7,May 06 2023 05: +0,1683345600
2.344,5,May 06 2023 06: +0,1683349200
2.268,8,May 06 2023 07: +0,1683352800
2.247,2,May 06 2023 08: +0,1683356400
2.104,2,May 06 2023 09: +0,1683360000
2.001,3,May 06 2023 10: +0,1683363600
2.266,2,May 06 2023 11: +0,1683367200
2.153,5,May 06 2023 12: +0,1683370800
2.022,6,May 06 2023 13: +0,1683374400
2.009,4,May 06 2023 14: +0,1683378000
2.012,6,May 06 2023 15: +0,1683381600
2.063,2,May 06 2023 16: +0,1683385200
2.019,6,May 06 2023 17: +0,1683388800
1.993,5,May 06 2023 18: +0,1683392400
2.001,5,May 06 2023 19: +0,1683396000
1.961,5,May 06 2023 20: +0,1683399600
2.033,7,May 06 2023 21: +0,1683403200
2.004,2,May 06 2023 22: +0,1683406800
2.022,2,May 06 2023 23: +0,1683410400
2.061,2,May 07 2023 00: +0,1683414000
2.064,4,May 07 2023 01: +0,1683417600
2.022,3,May 07 2023 02: +0,1683421200
2.121,7,May 07 2023 03: +0,1683424800
2.032,2,May 07 2023 04: +0,1683428400
1.89,2,May 07 2023 05: +0,1683432000
2.177,5,May 07 2023 06: +0,1683435600
2.03,2,May 07 2023 08: +0,1683442800
2.189,3,May 07 2023 09: +0,1683446400
1.993,3,May 07 2023 10: +0,1683450000
2.022,5,May 07 2023 11: +0,1683453600
2.022,4,May 07 2023 12: +0,1683457200
2.01,2,May 07 2023 13: +0,1683460800
2.137,3,May 07 2023 14: +0,1683464400
2.111,4,May 07 2023 15: +0,1683468000
2.1,4,May 07 2023 16: +0,1683471600
2.081,4,May 07 2023 17: +0,1683475200
2.065,3,May 07 2023 18: +0,1683478800
2.038,4,May 07 2023 19: +0,1683482400
2.051,3,May 07 2023 20: +0,1683486000
2.15,2,May 07 2023 21: +0,1683489600
2.065,4,May 07 2023 22: +0,1683493200
2.088,3,May 07 2023 23: +0,1683496800
2.169,1,May 08 2023 00: +0,1683500400
1.929,1,May 08 2023 01: +0,1683504000
2.241,1,May 08 2023 03: +0,1683511200
1.992,2,May 08 2023 04: +0,1683514800
1.978,1,May 08 2023 08: +0,1683529200
2.145,3,May 08 2023 09: +0,1683532800
1.777,2,May 08 2023 13: +0,1683547200
1.758,1,May 08 2023 15: +0,1683554400
1.769,4,May 08 2023 16: +0,1683558000
1.78,4,May 08 2023 17: +0,1683561600
1.859,6,May 08 2023 18: +0,1683565200
1.804,2,May 08 2023 19: +0,1683568800
2.075,1,May 08 2023 20: +0,1683572400
1.782,4,May 08 2023 21: +0,1683576000
1.765,2,May 08 2023 22: +0,1683579600
1.856,2,May 08 2023 23: +0,1683583200
1.775,2,May 09 2023 01: +0,1683590400
1.84,1,May 09 2023 03: +0,1683597600
1.767,2,May 09 2023 04: +0,1683601200
1.84,1,May 09 2023 07: +0,1683612000
1.861,1,May 09 2023 08: +0,1683615600
1.965,2,May 09 2023 09: +0,1683619200
1.961,1,May 09 2023 12: +0,1683630000
1.961,1,May 09 2023 13: +0,1683633600
1.968,1,May 09 2023 16: +0,1683644400
1.649,3,May 09 2023 17: +0,1683648000
1.777,1,May 09 2023 18: +0,1683651600
1.742,1,May 09 2023 19: +0,1683655200
1.775,2,May 09 2023 21: +0,1683662400
1.513,1,May 09 2023 22: +0,1683666000
1.79,3,May 09 2023 23: +0,1683669600
1.769,1,May 10 2023 00: +0,1683673200
