price,quantity,date,unix timestamp
0.818,17,Oct 21 2015 01: +0,1445385600
0.756,8,Oct 22 2015 01: +0,1445472000
0.768,10,Oct 23 2015 01: +0,1445558400
1.103,5,Oct 24 2015 01: +0,1445644800
0.902,1,Oct 25 2015 01: +0,1445731200
0.772,6,Oct 26 2015 01: +0,1445821200
0.892,4,Oct 27 2015 01: +0,1445907600
1.067,6,Oct 28 2015 01: +0,1445994000
0.991,4,Oct 29 2015 01: +0,1446080400
0.721,6,Oct 30 2015 01: +0,1446166800
0.516,21,Oct 31 2015 01: +0,1446253200
0.303,187,Nov 01 2015 01: +0,1446339600
0.3,78,Nov 02 2015 01: +0,1446426000
0.36,43,Nov 03 2015 01: +0,1446512400
0.295,32,Nov 04 2015 01: +0,1446598800
0.304,39,Nov 05 2015 01: +0,1446685200
0.31,28,Nov 06 2015 01: +0,1446771600
0.314,33,Nov 07 2015 01: +0,1446858000
0.302,35,Nov 08 2015 01: +0,1446944400
0.312,15,Nov 09 2015 01: +0,1447030800
0.31,23,Nov 10 2015 01: +0,1447117200
0.305,27,Nov 11 2015 01: +0,1447203600
0.29,22,Nov 12 2015 01: +0,1447290000
0.271,21,Nov 13 2015 01: +0,1447376400
0.306,30,Nov 14 2015 01: +0,1447462800
0.318,27,Nov 15 2015 01: +0,1447549200
0.331,25,Nov 16 2015 01: +0,1447635600
0.36,16,Nov 17 2015 01: +0,1447722000
0.345,17,Nov 18 2015 01: +0,1447808400
0.325,15,Nov 19 2015 01: +0,1447894800
0.313,19,Nov 20 2015 01: +0,1447981200
0.324,29,Nov 21 2015 01: +0,1448067600
0.31,23,Nov 22 2015 01: +0,1448154000
0.324,10,Nov 23 2015 01: +0,1448240400
0.355,23,Nov 24 2015 01: +0,1448326800
0.348,13,Nov 25 2015 01: +0,1448413200
0.302,17,Nov 26 2015 01: +0,1448499600
0.277,22,Nov 27 2015 01: +0,1448586000
0.305,18,Nov 28 2015 01: +0,1448672400
0.279,30,Nov 29 2015 01: +0,1448758800
0.283,17,Nov 30 2015 01: +0,1448845200
0.257,24,Dec 01 2015 01: +0,1448931600
0.307,17,Dec 02 2015 01: +0,1449018000
0.333,14,Dec 03 2015 01: +0,1449104400
0.359,14,Dec 04 2015 01: +0,1449190800
0.347,22,Dec 05 2015 01: +0,1449277200
0.339,26,Dec 06 2015 01: +0,1449363600
0.34,11,Dec 07 2015 01: +0,1449450000
0.372,19,Dec 08 2015 01: +0,1449536400
0.376,15,Dec 09 2015 01: +0,1449622800
0.384,18,Dec 10 2015 01: +0,1449709200
0.381,26,Dec 11 2015 01: +0,1449795600
0.415,22,Dec 12 2015 01: +0,1449882000
0.433,10,Dec 13 2015 01: +0,1449968400
0.432,14,Dec 14 2015 01: +0,1450054800
0.505,29,Dec 15 2015 01: +0,1450141200
0.822,11,Dec 16 2015 01: +0,1450227600
0.572,23,Dec 17 2015 01: +0,1450314000
0.439,4,Dec 18 2015 01: +0,1450400400
0.454,9,Dec 19 2015 01: +0,1450486800
0.45,11,Dec 20 2015 01: +0,1450573200
0.44,8,Dec 21 2015 01: +0,1450659600
0.451,4,Dec 22 2015 01: +0,1450746000
0.47,9,Dec 23 2015 01: +0,1450832400
0.468,11,Dec 24 2015 01: +0,1450918800
0.392,7,Dec 25 2015 01: +0,1451005200
0.427,14,Dec 26 2015 01: +0,1451091600
0.412,14,Dec 27 2015 01: +0,1451178000
0.466,10,Dec 28 2015 01: +0,1451264400
0.469,7,Dec 29 2015 01: +0,1451350800
0.485,9,Dec 30 2015 01: +0,1451437200
0.529,7,Dec 31 2015 01: +0,1451523600
0.579,7,Jan 01 2016 01: +0,1451610000
0.541,5,Jan 02 2016 01: +0,1451696400
0.471,7,Jan 03 2016 01: +0,1451782800
0.424,9,Jan 04 2016 01: +0,1451869200
0.405,7,Jan 05 2016 01: +0,1451955600
0.419,12,Jan 06 2016 01: +0,1452042000
0.48,19,Jan 07 2016 01: +0,1452128400
0.531,6,Jan 08 2016 01: +0,1452214800
0.582,6,Jan 09 2016 01: +0,1452301200
0.547,5,Jan 10 2016 01: +0,1452387600
0.562,11,Jan 11 2016 01: +0,1452474000
0.794,22,Jan 12 2016 01: +0,1452560400
0.621,3,Jan 13 2016 01: +0,1452646800
0.715,2,Jan 14 2016 01: +0,1452733200
0.588,4,Jan 15 2016 01: +0,1452819600
0.585,4,Jan 16 2016 01: +0,1452906000
0.548,11,Jan 17 2016 01: +0,1452992400
0.557,4,Jan 18 2016 01: +0,1453078800
0.698,7,Jan 19 2016 01: +0,1453165200
0.653,8,Jan 20 2016 01: +0,1453251600
0.781,4,Jan 21 2016 01: +0,1453338000
0.675,4,Jan 22 2016 01: +0,1453424400
0.745,10,Jan 23 2016 01: +0,1453510800
0.725,12,Jan 24 2016 01: +0,1453597200
0.862,2,Jan 25 2016 01: +0,1453683600
0.89,3,Jan 26 2016 01: +0,1453770000
0.988,4,Jan 27 2016 01: +0,1453856400
0.778,2,Jan 28 2016 01: +0,1453942800
0.86,3,Jan 29 2016 01: +0,1454029200
0.662,10,Jan 30 2016 01: +0,1454115600
0.65,7,Jan 31 2016 01: +0,1454202000
0.669,3,Feb 01 2016 01: +0,1454288400
0.711,7,Feb 02 2016 01: +0,1454374800
0.747,6,Feb 03 2016 01: +0,1454461200
0.847,7,Feb 04 2016 01: +0,1454547600
0.786,10,Feb 05 2016 01: +0,1454634000
0.789,4,Feb 06 2016 01: +0,1454720400
0.758,3,Feb 07 2016 01: +0,1454806800
0.814,5,Feb 08 2016 01: +0,1454893200
0.701,4,Feb 09 2016 01: +0,1454979600
0.708,3,Feb 10 2016 01: +0,1455066000
0.872,22,Feb 11 2016 01: +0,1455152400
1.051,9,Feb 12 2016 01: +0,1455238800
0.929,3,Feb 13 2016 01: +0,1455325200
0.813,6,Feb 14 2016 01: +0,1455411600
0.805,4,Feb 15 2016 01: +0,1455498000
0.867,8,Feb 16 2016 01: +0,1455584400
0.809,6,Feb 17 2016 01: +0,1455670800
0.62,7,Feb 18 2016 01: +0,1455757200
0.577,8,Feb 19 2016 01: +0,1455843600
0.674,12,Feb 20 2016 01: +0,1455930000
0.698,5,Feb 21 2016 01: +0,1456016400
0.695,8,Feb 22 2016 01: +0,1456102800
0.695,10,Feb 23 2016 01: +0,1456189200
0.626,5,Feb 24 2016 01: +0,1456275600
0.627,6,Feb 25 2016 01: +0,1456362000
0.607,6,Feb 26 2016 01: +0,1456448400
0.665,15,Feb 27 2016 01: +0,1456534800
0.633,4,Feb 28 2016 01: +0,1456621200
0.711,6,Feb 29 2016 01: +0,1456707600
0.737,10,Mar 01 2016 01: +0,1456794000
0.705,7,Mar 02 2016 01: +0,1456880400
0.645,7,Mar 03 2016 01: +0,1456966800
0.717,6,Mar 04 2016 01: +0,1457053200
0.625,8,Mar 05 2016 01: +0,1457139600
0.658,8,Mar 06 2016 01: +0,1457226000
0.629,4,Mar 07 2016 01: +0,1457312400
0.619,9,Mar 08 2016 01: +0,1457398800
0.643,7,Mar 09 2016 01: +0,1457485200
0.687,3,Mar 10 2016 01: +0,1457571600
0.703,3,Mar 11 2016 01: +0,1457658000
0.7,6,Mar 12 2016 01: +0,1457744400
0.685,6,Mar 13 2016 01: +0,1457830800
0.702,4,Mar 14 2016 01: +0,1457917200
0.648,3,Mar 15 2016 01: +0,1458003600
0.674,5,Mar 16 2016 01: +0,1458090000
0.693,3,Mar 17 2016 01: +0,1458176400
0.67,6,Mar 18 2016 01: +0,1458262800
0.673,2,Mar 19 2016 01: +0,1458349200
0.639,3,Mar 20 2016 01: +0,1458435600
0.623,4,Mar 21 2016 01: +0,1458522000
0.613,3,Mar 22 2016 01: +0,1458608400
0.637,8,Mar 23 2016 01: +0,1458694800
0.627,2,Mar 24 2016 01: +0,1458781200
0.521,1,Mar 25 2016 01: +0,1458867600
0.616,7,Mar 26 2016 01: +0,1458954000
0.595,3,Mar 27 2016 01: +0,1459040400
0.556,5,Mar 28 2016 01: +0,1459123200
0.578,3,Mar 29 2016 01: +0,1459209600
0.539,3,Mar 30 2016 01: +0,1459296000
0.583,6,Mar 31 2016 01: +0,1459382400
0.595,4,Apr 01 2016 01: +0,1459468800
0.68,5,Apr 02 2016 01: +0,1459555200
0.54,3,Apr 03 2016 01: +0,1459641600
0.676,7,Apr 04 2016 01: +0,1459728000
0.552,2,Apr 05 2016 01: +0,1459814400
0.733,1,Apr 06 2016 01: +0,1459900800
0.714,1,Apr 07 2016 01: +0,1459987200
0.729,3,Apr 08 2016 01: +0,1460073600
0.878,11,Apr 09 2016 01: +0,1460160000
1.026,1,Apr 11 2016 01: +0,1460332800
1.009,3,Apr 12 2016 01: +0,1460419200
0.946,2,Apr 13 2016 01: +0,1460505600
0.816,3,Apr 15 2016 01: +0,1460678400
0.808,1,Apr 17 2016 01: +0,1460851200
0.68,1,Apr 18 2016 01: +0,1460937600
0.684,3,Apr 19 2016 01: +0,1461024000
0.708,2,Apr 20 2016 01: +0,1461110400
0.703,3,Apr 22 2016 01: +0,1461283200
0.695,3,Apr 23 2016 01: +0,1461369600
0.733,3,Apr 24 2016 01: +0,1461456000
0.697,3,Apr 25 2016 01: +0,1461542400
0.805,3,Apr 26 2016 01: +0,1461628800
0.64,3,Apr 27 2016 01: +0,1461715200
0.743,3,Apr 28 2016 01: +0,1461801600
0.84,2,Apr 29 2016 01: +0,1461888000
0.89,3,May 01 2016 01: +0,1462060800
0.802,2,May 02 2016 01: +0,1462147200
1.219,23,May 03 2016 01: +0,1462233600
1.99,3,May 04 2016 01: +0,1462320000
1.39,3,May 06 2016 01: +0,1462492800
0.939,3,May 07 2016 01: +0,1462579200
0.86,3,May 08 2016 01: +0,1462665600
0.812,4,May 09 2016 01: +0,1462752000
0.763,3,May 10 2016 01: +0,1462838400
0.79,2,May 11 2016 01: +0,1462924800
0.753,2,May 12 2016 01: +0,1463011200
0.681,3,May 13 2016 01: +0,1463097600
0.738,2,May 14 2016 01: +0,1463184000
0.762,2,May 15 2016 01: +0,1463270400
0.751,2,May 16 2016 01: +0,1463356800
0.577,2,May 17 2016 01: +0,1463443200
0.666,1,May 18 2016 01: +0,1463529600
0.593,2,May 19 2016 01: +0,1463616000
0.616,3,May 20 2016 01: +0,1463702400
0.553,1,May 21 2016 01: +0,1463788800
0.512,4,May 22 2016 01: +0,1463875200
0.519,2,May 23 2016 01: +0,1463961600
0.522,6,May 24 2016 01: +0,1464048000
0.526,3,May 25 2016 01: +0,1464134400
0.525,5,May 26 2016 01: +0,1464220800
0.509,8,May 27 2016 01: +0,1464307200
0.54,4,May 28 2016 01: +0,1464393600
0.534,7,May 29 2016 01: +0,1464480000
0.602,14,May 30 2016 01: +0,1464566400
0.847,4,May 31 2016 01: +0,1464652800
0.965,3,Jun 01 2016 01: +0,1464739200
1.121,1,Jun 02 2016 01: +0,1464825600
1.068,4,Jun 03 2016 01: +0,1464912000
0.989,3,Jun 04 2016 01: +0,1464998400
0.852,1,Jun 05 2016 01: +0,1465084800
0.831,3,Jun 06 2016 01: +0,1465171200
0.808,2,Jun 08 2016 01: +0,1465344000
0.812,2,Jun 09 2016 01: +0,1465430400
0.749,3,Jun 10 2016 01: +0,1465516800
0.67,1,Jun 12 2016 01: +0,1465689600
0.679,3,Jun 13 2016 01: +0,1465776000
0.744,1,Jun 14 2016 01: +0,1465862400
0.919,16,Jun 15 2016 01: +0,1465948800
1.27,10,Jun 16 2016 01: +0,1466035200
6.729,20,Jun 17 2016 01: +0,1466121600
3.851,2,Jun 18 2016 01: +0,1466208000
