price,quantity,date,unix timestamp
0.429,33,Jan 13 2017 01: +0,1484269200
0.479,10,Jan 14 2017 01: +0,1484355600
0.459,12,Jan 15 2017 01: +0,1484442000
0.469,7,Jan 16 2017 01: +0,1484528400
0.454,11,Jan 17 2017 01: +0,1484614800
0.447,10,Jan 18 2017 01: +0,1484701200
0.465,7,Jan 19 2017 01: +0,1484787600
0.459,6,Jan 20 2017 01: +0,1484874000
0.427,11,Jan 21 2017 01: +0,1484960400
0.407,14,Jan 22 2017 01: +0,1485046800
0.404,11,Jan 23 2017 01: +0,1485133200
0.396,10,Jan 24 2017 01: +0,1485219600
0.428,16,Jan 25 2017 01: +0,1485306000
0.357,18,Jan 26 2017 01: +0,1485392400
0.358,11,Jan 27 2017 01: +0,1485478800
0.386,17,Jan 28 2017 01: +0,1485565200
0.236,199,Jan 29 2017 01: +0,1485651600
0.175,205,Jan 30 2017 01: +0,1485738000
0.206,73,Jan 31 2017 01: +0,1485824400
0.22,54,Feb 01 2017 01: +0,1485910800
0.226,57,Feb 02 2017 01: +0,1485997200
0.227,54,Feb 03 2017 01: +0,1486083600
0.23,57,Feb 04 2017 01: +0,1486170000
0.237,38,Feb 05 2017 01: +0,1486256400
0.216,45,Feb 06 2017 01: +0,1486342800
0.229,50,Feb 07 2017 01: +0,1486429200
0.23,31,Feb 08 2017 01: +0,1486515600
0.232,37,Feb 09 2017 01: +0,1486602000
0.233,45,Feb 10 2017 01: +0,1486688400
0.241,59,Feb 11 2017 01: +0,1486774800
0.244,41,Feb 12 2017 01: +0,1486861200
0.238,43,Feb 13 2017 01: +0,1486947600
0.234,43,Feb 14 2017 01: +0,1487034000
0.245,36,Feb 15 2017 01: +0,1487120400
0.242,18,Feb 16 2017 01: +0,1487206800
0.244,37,Feb 17 2017 01: +0,1487293200
0.248,31,Feb 18 2017 01: +0,1487379600
0.245,28,Feb 19 2017 01: +0,1487466000
0.249,18,Feb 20 2017 01: +0,1487552400
0.242,24,Feb 21 2017 01: +0,1487638800
0.244,19,Feb 22 2017 01: +0,1487725200
0.248,30,Feb 23 2017 01: +0,1487811600
0.247,35,Feb 24 2017 01: +0,1487898000
0.256,26,Feb 25 2017 01: +0,1487984400
0.254,36,Feb 26 2017 01: +0,1488070800
0.26,25,Feb 27 2017 01: +0,1488157200
0.257,21,Feb 28 2017 01: +0,1488243600
0.251,26,Mar 01 2017 01: +0,1488330000
0.253,35,Mar 02 2017 01: +0,1488416400
0.266,38,Mar 03 2017 01: +0,1488502800
0.275,19,Mar 04 2017 01: +0,1488589200
0.27,17,Mar 05 2017 01: +0,1488675600
0.27,17,Mar 06 2017 01: +0,1488762000
0.272,18,Mar 07 2017 01: +0,1488848400
0.274,20,Mar 08 2017 01: +0,1488934800
0.276,14,Mar 09 2017 01: +0,1489021200
0.277,19,Mar 10 2017 01: +0,1489107600
0.277,16,Mar 11 2017 01: +0,1489194000
0.266,35,Mar 12 2017 01: +0,1489280400
0.276,17,Mar 13 2017 01: +0,1489366800
0.273,18,Mar 14 2017 01: +0,1489453200
0.275,20,Mar 15 2017 01: +0,1489539600
0.279,24,Mar 16 2017 01: +0,1489626000
0.277,16,Mar 17 2017 01: +0,1489712400
0.281,19,Mar 18 2017 01: +0,1489798800
0.297,34,Mar 19 2017 01: +0,1489885200
0.284,25,Mar 20 2017 01: +0,1489971600
0.298,23,Mar 21 2017 01: +0,1490058000
0.301,15,Mar 22 2017 01: +0,1490144400
0.297,27,Mar 23 2017 01: +0,1490230800
0.304,27,Mar 24 2017 01: +0,1490317200
0.318,13,Mar 25 2017 01: +0,1490403600
0.293,25,Mar 26 2017 01: +0,1490490000
0.299,17,Mar 27 2017 01: +0,1490572800
0.298,25,Mar 28 2017 01: +0,1490659200
0.31,15,Mar 29 2017 01: +0,1490745600
0.307,13,Mar 30 2017 01: +0,1490832000
0.299,28,Mar 31 2017 01: +0,1490918400
0.319,18,Apr 01 2017 01: +0,1491004800
0.316,15,Apr 02 2017 01: +0,1491091200
0.302,11,Apr 03 2017 01: +0,1491177600
0.308,25,Apr 04 2017 01: +0,1491264000
0.314,10,Apr 05 2017 01: +0,1491350400
0.314,24,Apr 06 2017 01: +0,1491436800
0.325,14,Apr 07 2017 01: +0,1491523200
0.302,16,Apr 08 2017 01: +0,1491609600
0.311,25,Apr 09 2017 01: +0,1491696000
0.321,26,Apr 10 2017 01: +0,1491782400
0.304,12,Apr 11 2017 01: +0,1491868800
0.31,16,Apr 12 2017 01: +0,1491955200
0.319,23,Apr 13 2017 01: +0,1492041600
0.331,18,Apr 14 2017 01: +0,1492128000
0.312,22,Apr 15 2017 01: +0,1492214400
0.325,19,Apr 16 2017 01: +0,1492300800
0.322,17,Apr 17 2017 01: +0,1492387200
0.32,23,Apr 18 2017 01: +0,1492473600
0.34,22,Apr 19 2017 01: +0,1492560000
0.343,35,Apr 20 2017 01: +0,1492646400
0.349,15,Apr 21 2017 01: +0,1492732800
0.331,29,Apr 22 2017 01: +0,1492819200
0.329,9,Apr 23 2017 01: +0,1492905600
0.329,10,Apr 24 2017 01: +0,1492992000
0.348,25,Apr 25 2017 01: +0,1493078400
0.346,14,Apr 26 2017 01: +0,1493164800
0.345,7,Apr 27 2017 01: +0,1493251200
0.347,18,Apr 28 2017 01: +0,1493337600
0.342,15,Apr 29 2017 01: +0,1493424000
0.344,17,Apr 30 2017 01: +0,1493510400
0.349,18,May 01 2017 01: +0,1493596800
0.351,12,May 02 2017 01: +0,1493683200
0.309,14,May 03 2017 01: +0,1493769600
0.349,17,May 04 2017 01: +0,1493856000
0.361,5,May 05 2017 01: +0,1493942400
0.351,8,May 06 2017 01: +0,1494028800
0.346,11,May 07 2017 01: +0,1494115200
0.343,17,May 08 2017 01: +0,1494201600
0.354,10,May 09 2017 01: +0,1494288000
0.335,13,May 10 2017 01: +0,1494374400
0.341,15,May 11 2017 01: +0,1494460800
0.352,10,May 12 2017 01: +0,1494547200
0.361,9,May 13 2017 01: +0,1494633600
0.349,16,May 14 2017 01: +0,1494720000
0.349,16,May 15 2017 01: +0,1494806400
0.352,19,May 16 2017 01: +0,1494892800
0.356,20,May 17 2017 01: +0,1494979200
0.355,27,May 18 2017 01: +0,1495065600
0.369,10,May 19 2017 01: +0,1495152000
0.343,15,May 20 2017 01: +0,1495238400
0.352,13,May 21 2017 01: +0,1495324800
0.35,17,May 22 2017 01: +0,1495411200
0.338,14,May 23 2017 01: +0,1495497600
0.295,18,May 24 2017 01: +0,1495584000
0.326,19,May 25 2017 01: +0,1495670400
0.357,18,May 26 2017 01: +0,1495756800
0.35,19,May 27 2017 01: +0,1495843200
0.337,25,May 28 2017 01: +0,1495929600
0.349,20,May 29 2017 01: +0,1496016000
0.339,10,May 30 2017 01: +0,1496102400
0.356,15,May 31 2017 01: +0,1496188800
0.355,14,Jun 01 2017 01: +0,1496275200
0.354,12,Jun 02 2017 01: +0,1496361600
0.349,15,Jun 03 2017 01: +0,1496448000
0.355,7,Jun 04 2017 01: +0,1496534400
0.358,19,Jun 05 2017 01: +0,1496620800
0.35,13,Jun 06 2017 01: +0,1496707200
0.351,8,Jun 07 2017 01: +0,1496793600
0.337,17,Jun 08 2017 01: +0,1496880000
0.343,12,Jun 09 2017 01: +0,1496966400
0.351,20,Jun 10 2017 01: +0,1497052800
0.345,16,Jun 11 2017 01: +0,1497139200
0.343,13,Jun 12 2017 01: +0,1497225600
0.351,3,Jun 13 2017 01: +0,1497312000
0.33,14,Jun 14 2017 01: +0,1497398400
0.347,5,Jun 15 2017 01: +0,1497484800
0.339,12,Jun 16 2017 01: +0,1497571200
0.334,7,Jun 17 2017 01: +0,1497657600
0.333,8,Jun 18 2017 01: +0,1497744000
0.333,7,Jun 19 2017 01: +0,1497830400
0.338,8,Jun 20 2017 01: +0,1497916800
0.307,24,Jun 21 2017 01: +0,1498003200
0.322,5,Jun 22 2017 01: +0,1498089600
0.311,8,Jun 23 2017 01: +0,1498176000
0.315,13,Jun 24 2017 01: +0,1498262400
0.305,11,Jun 25 2017 01: +0,1498348800
0.312,16,Jun 26 2017 01: +0,1498435200
0.311,10,Jun 27 2017 01: +0,1498521600
0.321,10,Jun 28 2017 01: +0,1498608000
0.333,7,Jun 29 2017 01: +0,1498694400
0.337,4,Jun 30 2017 01: +0,1498780800
0.336,9,Jul 01 2017 01: +0,1498867200
0.339,14,Jul 02 2017 01: +0,1498953600
0.333,34,Jul 03 2017 01: +0,1499040000
0.327,22,Jul 04 2017 01: +0,1499126400
0.337,9,Jul 05 2017 01: +0,1499212800
0.322,19,Jul 06 2017 01: +0,1499299200
0.33,19,Jul 07 2017 01: +0,1499385600
0.287,7,Jul 08 2017 01: +0,1499472000
0.28,9,Jul 09 2017 01: +0,1499558400
0.263,9,Jul 10 2017 01: +0,1499644800
0.275,4,Jul 11 2017 01: +0,1499731200
0.275,9,Jul 12 2017 01: +0,1499817600
0.273,7,Jul 13 2017 01: +0,1499904000
0.272,9,Jul 14 2017 01: +0,1499990400
0.26,6,Jul 15 2017 01: +0,1500076800
0.287,9,Jul 16 2017 01: +0,1500163200
0.279,10,Jul 17 2017 01: +0,1500249600
0.287,7,Jul 18 2017 01: +0,1500336000
0.29,12,Jul 19 2017 01: +0,1500422400
0.288,9,Jul 20 2017 01: +0,1500508800
0.279,6,Jul 21 2017 01: +0,1500595200
0.271,13,Jul 22 2017 01: +0,1500681600
0.26,8,Jul 23 2017 01: +0,1500768000
0.199,13,Jul 24 2017 01: +0,1500854400
0.221,5,Jul 25 2017 01: +0,1500940800
0.271,5,Jul 26 2017 01: +0,1501027200
0.301,8,Jul 27 2017 01: +0,1501113600
0.268,5,Jul 28 2017 01: +0,1501200000
0.3,5,Jul 29 2017 01: +0,1501286400
0.263,4,Jul 30 2017 01: +0,1501372800
0.315,4,Jul 31 2017 01: +0,1501459200
0.305,5,Aug 01 2017 01: +0,1501545600
0.266,4,Aug 02 2017 01: +0,1501632000
0.282,12,Aug 03 2017 01: +0,1501718400
0.255,7,Aug 04 2017 01: +0,1501804800
0.292,5,Aug 05 2017 01: +0,1501891200
0.274,3,Aug 06 2017 01: +0,1501977600
0.283,8,Aug 07 2017 01: +0,1502064000
0.281,5,Aug 08 2017 01: +0,1502150400
0.3,11,Aug 09 2017 01: +0,1502236800
0.324,3,Aug 10 2017 01: +0,1502323200
0.337,2,Aug 11 2017 01: +0,1502409600
0.304,4,Aug 12 2017 01: +0,1502496000
0.267,6,Aug 13 2017 01: +0,1502582400
0.327,3,Aug 14 2017 01: +0,1502668800
0.299,4,Aug 15 2017 01: +0,1502755200
0.323,1,Aug 16 2017 01: +0,1502841600
0.328,2,Aug 17 2017 01: +0,1502928000
0.329,1,Aug 18 2017 01: +0,1503014400
0.333,4,Aug 19 2017 01: +0,1503100800
0.255,4,Aug 20 2017 01: +0,1503187200
0.261,3,Aug 21 2017 01: +0,1503273600
0.273,3,Aug 22 2017 01: +0,1503360000
0.251,5,Aug 23 2017 01: +0,1503446400
