price,quantity,date,unix timestamp
33.765,1,Sep 05 2013 01: +0,1378339200
47.562,1,Sep 11 2013 01: +0,1378857600
46.297,1,Oct 01 2013 01: +0,1380585600
41.333,1,Oct 02 2013 01: +0,1380672000
65.757,1,Oct 08 2013 01: +0,1381190400
68.151,1,Oct 23 2013 01: +0,1382486400
78.084,1,Nov 02 2013 01: +0,1383354000
78.581,1,Nov 09 2013 01: +0,1383958800
61.956,1,Nov 19 2013 01: +0,1384822800
61.975,3,Nov 28 2013 01: +0,1385600400
67.504,1,Nov 29 2013 01: +0,1385686800
68.231,1,Dec 02 2013 01: +0,1385946000
61.875,2,Dec 08 2013 01: +0,1386464400
95.161,1,Dec 11 2013 01: +0,1386723600
71.11,1,Dec 22 2013 01: +0,1387674000
70.373,1,Dec 23 2013 01: +0,1387760400
76.391,1,Dec 24 2013 01: +0,1387846800
95.732,1,Dec 28 2013 01: +0,1388192400
78.74,1,Jan 05 2014 01: +0,1388883600
81.407,1,Jan 08 2014 01: +0,1389142800
79.248,1,Jan 10 2014 01: +0,1389315600
71.964,1,Jan 13 2014 01: +0,1389574800
70.04,1,Jan 14 2014 01: +0,1389661200
61.825,1,Jan 20 2014 01: +0,1390179600
88.352,1,Jan 21 2014 01: +0,1390266000
84.964,2,Jan 26 2014 01: +0,1390698000
54.987,1,Jan 28 2014 01: +0,1390870800
60.995,2,Feb 01 2014 01: +0,1391216400
76.005,2,Feb 02 2014 01: +0,1391302800
79.061,1,Feb 03 2014 01: +0,1391389200
77.235,2,Feb 05 2014 01: +0,1391562000
76.082,1,Feb 11 2014 01: +0,1392080400
76.129,1,Feb 14 2014 01: +0,1392339600
38.039,1,Feb 15 2014 01: +0,1392426000
71.503,1,Feb 17 2014 01: +0,1392598800
76.252,1,Feb 18 2014 01: +0,1392685200
96.902,1,Feb 28 2014 01: +0,1393549200
58.996,1,Mar 02 2014 01: +0,1393722000
56.906,1,Mar 03 2014 01: +0,1393808400
