price,quantity,date,unix timestamp
344.351,3,Oct 02 2021 01: +0,1633132800
397.027,1,Oct 07 2021 01: +0,1633564800
384.453,1,Oct 08 2021 01: +0,1633651200
382.41,1,Oct 10 2021 01: +0,1633824000
357.504,1,Oct 15 2021 01: +0,1634256000
429.73,1,Nov 02 2021 01: +0,1635814800
408.4,1,Nov 13 2021 01: +0,1636765200
424.687,1,Nov 17 2021 01: +0,1637110800
382.601,1,Nov 26 2021 01: +0,1637888400
420.973,1,Dec 03 2021 01: +0,1638493200
443.671,1,Dec 04 2021 01: +0,1638579600
460.917,1,Jan 02 2022 01: +0,1641085200
452.414,1,Jan 12 2022 01: +0,1641949200
441.379,1,Feb 13 2022 01: +0,1644714000
381.424,1,Feb 17 2022 01: +0,1645059600
473.871,2,Feb 25 2022 01: +0,1645750800
479.289,1,Feb 28 2022 01: +0,1646010000
475.624,1,Apr 01 2022 01: +0,1648771200
502.069,1,May 22 2022 01: +0,1653177600
560.831,1,May 31 2022 01: +0,1653955200
544.561,1,Jun 30 2022 01: +0,1656547200
475.625,1,Aug 21 2022 01: +0,1661040000
578.194,1,Aug 22 2022 01: +0,1661126400
556.481,1,Sep 06 2022 01: +0,1662422400
571.428,1,Dec 15 2022 01: +0,1671066000
657.943,1,Dec 18 2022 01: +0,1671325200
611.855,1,Jan 03 2023 01: +0,1672707600
595.556,1,Jan 16 2023 01: +0,1673830800
633.168,1,Jan 27 2023 01: +0,1674781200
596.433,1,Jan 29 2023 01: +0,1674954000
654.165,1,Mar 21 2023 03: +0,1679367600
613.138,1,Mar 24 2023 05: +0,1679634000
