price,quantity,date,unix timestamp
85.466,1,Jun 18 2016 01: +0,1466208000
154.581,1,Jul 03 2016 01: +0,1467504000
120.964,1,Jul 05 2016 01: +0,1467676800
123.662,1,Jul 18 2016 01: +0,1468800000
99.47,1,Jul 27 2016 01: +0,1469577600
222.687,2,Jul 28 2016 01: +0,1469664000
127.178,1,Jul 31 2016 01: +0,1469923200
124.076,1,Aug 11 2016 01: +0,1470873600
90.266,2,Aug 17 2016 01: +0,1471392000
72.938,3,Aug 22 2016 01: +0,1471824000
93.953,1,Aug 27 2016 01: +0,1472256000
100.777,1,Aug 31 2016 01: +0,1472601600
95.125,1,Sep 02 2016 01: +0,1472774400
111.467,1,Sep 04 2016 01: +0,1472947200
70.388,1,Sep 11 2016 01: +0,1473552000
66.655,2,Sep 19 2016 01: +0,1474243200
66.587,1,Sep 22 2016 01: +0,1474502400
78.236,2,Sep 23 2016 01: +0,1474588800
92.319,1,Oct 07 2016 01: +0,1475798400
63.207,1,Oct 12 2016 01: +0,1476230400
91.697,2,Oct 14 2016 01: +0,1476403200
62.857,1,Oct 24 2016 01: +0,1477267200
61.951,2,Oct 25 2016 01: +0,1477353600
72.183,1,Oct 28 2016 01: +0,1477612800
59.062,2,Nov 04 2016 01: +0,1478221200
61.372,2,Nov 09 2016 01: +0,1478653200
67.514,1,Nov 10 2016 01: +0,1478739600
65.137,1,Nov 11 2016 01: +0,1478826000
55.591,1,Nov 12 2016 01: +0,1478912400
62.104,1,Nov 14 2016 01: +0,1479085200
69.218,1,Nov 25 2016 01: +0,1480035600
57.207,2,Dec 02 2016 01: +0,1480640400
64.989,2,Dec 03 2016 01: +0,1480726800
65.752,1,Dec 04 2016 01: +0,1480813200
95.545,1,Dec 06 2016 01: +0,1480986000
74.346,1,Dec 12 2016 01: +0,1481504400
85.612,1,Dec 24 2016 01: +0,1482541200
59.67,1,Dec 29 2016 01: +0,1482973200
98.378,1,Jan 02 2017 01: +0,1483318800
66.469,1,Jan 08 2017 01: +0,1483837200
93.011,1,Jan 10 2017 01: +0,1484010000
92.627,1,Jan 15 2017 01: +0,1484442000
91.443,1,Jan 19 2017 01: +0,1484787600
104.637,1,Jan 20 2017 01: +0,1484874000
92.446,1,Jan 22 2017 01: +0,1485046800
95.12,1,Jan 27 2017 01: +0,1485478800
78.706,1,Jan 29 2017 01: +0,1485651600
75.48,1,Jan 31 2017 01: +0,1485824400
70.541,1,Feb 04 2017 01: +0,1486170000
92.561,1,Feb 06 2017 01: +0,1486342800
71.733,1,Feb 07 2017 01: +0,1486429200
75.0,1,Feb 10 2017 01: +0,1486688400
92.561,1,Feb 11 2017 01: +0,1486774800
121.785,1,Feb 13 2017 01: +0,1486947600
100.422,2,Mar 05 2017 01: +0,1488675600
114.134,2,Mar 15 2017 01: +0,1489539600
106.41,1,Mar 17 2017 01: +0,1489712400
78.583,1,Mar 26 2017 01: +0,1490490000
108.451,1,Mar 30 2017 01: +0,1490832000
78.515,1,Apr 04 2017 01: +0,1491264000
82.993,1,Apr 05 2017 01: +0,1491350400
107.156,1,Apr 14 2017 01: +0,1492128000
90.759,1,Apr 22 2017 01: +0,1492819200
89.487,3,Apr 23 2017 01: +0,1492905600
78.175,1,Apr 25 2017 01: +0,1493078400
91.25,1,May 01 2017 01: +0,1493596800
95.024,2,May 02 2017 01: +0,1493683200
99.273,1,May 09 2017 01: +0,1494288000
106.374,1,May 10 2017 01: +0,1494374400
74.388,1,May 16 2017 01: +0,1494892800
111.537,1,May 23 2017 01: +0,1495497600
96.994,1,May 27 2017 01: +0,1495843200
106.243,1,May 31 2017 01: +0,1496188800
81.375,1,Jun 04 2017 01: +0,1496534400
83.189,2,Jun 11 2017 01: +0,1497139200
105.589,1,Jun 14 2017 01: +0,1497398400
80.174,1,Jun 15 2017 01: +0,1497484800
80.233,1,Jun 18 2017 01: +0,1497744000
98.794,2,Jun 20 2017 01: +0,1497916800
79.321,1,Jun 23 2017 01: +0,1498176000
105.878,1,Jun 30 2017 01: +0,1498780800
75.546,1,Jul 10 2017 01: +0,1499644800
82.441,1,Jul 14 2017 01: +0,1499990400
76.198,1,Jul 17 2017 01: +0,1500249600
81.728,1,Jul 18 2017 01: +0,1500336000
94.298,1,Jul 22 2017 01: +0,1500681600
121.694,1,Jul 23 2017 01: +0,1500768000
124.08,1,Jul 25 2017 01: +0,1500940800
105.924,1,Jul 27 2017 01: +0,1501113600
121.445,1,Aug 02 2017 01: +0,1501632000
81.426,1,Aug 06 2017 01: +0,1501977600
78.145,1,Aug 09 2017 01: +0,1502236800
96.399,1,Aug 10 2017 01: +0,1502323200
90.369,1,Aug 13 2017 01: +0,1502582400
96.681,1,Aug 17 2017 01: +0,1502928000
112.061,1,Aug 22 2017 01: +0,1503360000
67.88,1,Aug 30 2017 01: +0,1504051200
113.023,1,Sep 01 2017 01: +0,1504224000
86.865,1,Sep 10 2017 01: +0,1505001600
108.798,1,Sep 23 2017 01: +0,1506124800
100.28,1,Sep 24 2017 01: +0,1506211200
98.5,1,Oct 01 2017 01: +0,1506816000
78.995,1,Oct 07 2017 01: +0,1507334400
105.836,1,Oct 15 2017 01: +0,1508025600
81.253,1,Oct 19 2017 01: +0,1508371200
87.808,1,Nov 11 2017 01: +0,1510362000
81.873,1,Nov 18 2017 01: +0,1510966800
77.814,1,Nov 22 2017 01: +0,1511312400
82.724,1,Nov 27 2017 01: +0,1511744400
80.856,1,Dec 02 2017 01: +0,1512176400
56.272,1,Dec 05 2017 01: +0,1512435600
65.563,1,Dec 21 2017 01: +0,1513818000
66.235,1,Dec 23 2017 01: +0,1513990800
76.1,1,Jan 09 2018 01: +0,1515459600
74.453,1,Jan 15 2018 01: +0,1515978000
86.932,2,Jan 25 2018 01: +0,1516842000
92.246,1,Jan 27 2018 01: +0,1517014800
77.067,3,Jan 28 2018 01: +0,1517101200
94.88,1,Feb 06 2018 01: +0,1517878800
98.582,1,Feb 14 2018 01: +0,1518570000
117.434,1,Feb 21 2018 01: +0,1519174800
