price,quantity,date,unix timestamp
49.629,1,Oct 05 2013 01: +0,1380931200
57.776,1,Nov 05 2013 01: +0,1383613200
38.459,1,Nov 17 2013 01: +0,1384650000
37.901,1,Nov 18 2013 01: +0,1384736400
53.854,1,Nov 23 2013 01: +0,1385168400
40.138,1,Nov 26 2013 01: +0,1385427600
55.801,1,Nov 27 2013 01: +0,1385514000
57.075,1,Dec 04 2013 01: +0,1386118800
66.176,1,Dec 07 2013 01: +0,1386378000
56.957,1,Dec 13 2013 01: +0,1386896400
55.11,2,Jan 02 2014 01: +0,1388624400
54.017,3,Jan 07 2014 01: +0,1389056400
58.105,1,Jan 10 2014 01: +0,1389315600
61.612,1,Jan 19 2014 01: +0,1390093200
47.42,1,Jan 27 2014 01: +0,1390784400
56.5,2,Jan 30 2014 01: +0,1391043600
74.268,1,Jan 31 2014 01: +0,1391130000
71.162,1,Feb 08 2014 01: +0,1391821200
22.38,2,Feb 11 2014 01: +0,1392080400
56.019,3,Feb 14 2014 01: +0,1392339600
61.822,1,Feb 17 2014 01: +0,1392598800
52.029,1,Feb 18 2014 01: +0,1392685200
52.481,1,Feb 25 2014 01: +0,1393290000
47.641,1,Feb 28 2014 01: +0,1393549200
56.99,1,Mar 01 2014 01: +0,1393635600
45.778,2,Mar 02 2014 01: +0,1393722000
38.643,1,Mar 04 2014 01: +0,1393894800
45.53,1,Mar 05 2014 01: +0,1393981200
47.262,4,Mar 07 2014 01: +0,1394154000
45.831,1,Mar 08 2014 01: +0,1394240400
49.878,2,Mar 11 2014 01: +0,1394499600
45.467,1,Mar 13 2014 01: +0,1394672400
54.954,1,Mar 15 2014 01: +0,1394845200
27.083,2,Mar 16 2014 01: +0,1394931600
56.281,1,Mar 17 2014 01: +0,1395018000
48.266,1,Mar 19 2014 01: +0,1395190800
49.129,1,Mar 21 2014 01: +0,1395363600
49.63,1,Mar 22 2014 01: +0,1395450000
41.008,1,Mar 25 2014 01: +0,1395709200
49.462,1,Mar 29 2014 01: +0,1396054800
45.767,1,Mar 31 2014 01: +0,1396224000
52.5,4,Apr 01 2014 01: +0,1396310400
49.754,1,Apr 03 2014 01: +0,1396483200
61.957,2,Apr 04 2014 01: +0,1396569600
54.454,2,Apr 05 2014 01: +0,1396656000
53.046,3,Apr 06 2014 01: +0,1396742400
51.014,2,Apr 07 2014 01: +0,1396828800
51.074,1,Apr 08 2014 01: +0,1396915200
52.532,1,Apr 10 2014 01: +0,1397088000
57.385,1,Apr 11 2014 01: +0,1397174400
46.325,1,Apr 12 2014 01: +0,1397260800
54.903,1,Apr 14 2014 01: +0,1397433600
62.158,3,Apr 15 2014 01: +0,1397520000
51.956,2,Apr 16 2014 01: +0,1397606400
46.132,3,Apr 17 2014 01: +0,1397692800
45.767,1,Apr 18 2014 01: +0,1397779200
57.767,3,Apr 19 2014 01: +0,1397865600
52.503,4,Apr 20 2014 01: +0,1397952000
53.073,2,Apr 22 2014 01: +0,1398124800
56.732,3,Apr 23 2014 01: +0,1398211200
57.81,1,Apr 24 2014 01: +0,1398297600
60.018,1,Apr 26 2014 01: +0,1398470400
46.94,2,Apr 27 2014 01: +0,1398556800
52.696,1,Apr 28 2014 01: +0,1398643200
56.824,1,May 01 2014 01: +0,1398902400
51.599,1,May 02 2014 01: +0,1398988800
35.016,3,May 05 2014 01: +0,1399248000
51.521,1,May 08 2014 01: +0,1399507200
53.725,3,May 09 2014 01: +0,1399593600
51.661,2,May 10 2014 01: +0,1399680000
48.796,3,May 12 2014 01: +0,1399852800
41.409,1,May 13 2014 01: +0,1399939200
44.862,3,May 14 2014 01: +0,1400025600
44.163,3,May 15 2014 01: +0,1400112000
50.92,1,May 18 2014 01: +0,1400371200
43.715,3,May 20 2014 01: +0,1400544000
44.153,2,May 23 2014 01: +0,1400803200
43.772,2,May 24 2014 01: +0,1400889600
