price,quantity,date,unix timestamp
166.081,1,May 06 2014 01: +0,1399334400
95.132,1,May 10 2014 01: +0,1399680000
78.585,1,May 17 2014 01: +0,1400284800
72.501,2,May 19 2014 01: +0,1400457600
72.31,2,May 20 2014 01: +0,1400544000
74.446,1,May 21 2014 01: +0,1400630400
84.352,1,May 23 2014 01: +0,1400803200
61.821,1,May 24 2014 01: +0,1400889600
90.648,1,May 27 2014 01: +0,1401148800
71.344,1,May 29 2014 01: +0,1401321600
85.612,1,May 31 2014 01: +0,1401494400
72.689,2,Jun 03 2014 01: +0,1401753600
75.385,1,Jun 04 2014 01: +0,1401840000
69.134,3,Jun 05 2014 01: +0,1401926400
67.39,1,Jun 10 2014 01: +0,1402358400
76.302,1,Jun 12 2014 01: +0,1402531200
76.111,1,Jun 16 2014 01: +0,1402876800
64.516,1,Jun 19 2014 01: +0,1403136000
66.597,2,Jun 20 2014 01: +0,1403222400
67.475,2,Jun 21 2014 01: +0,1403308800
69.591,1,Jun 22 2014 01: +0,1403395200
55.396,1,Jun 25 2014 01: +0,1403654400
67.3,2,Jun 27 2014 01: +0,1403827200
53.492,2,Jun 28 2014 01: +0,1403913600
78.999,1,Jun 30 2014 01: +0,1404086400
70.301,1,Jul 01 2014 01: +0,1404172800
57.067,1,Jul 02 2014 01: +0,1404259200
54.318,2,Jul 04 2014 01: +0,1404432000
62.774,2,Jul 05 2014 01: +0,1404518400
59.917,1,Jul 07 2014 01: +0,1404691200
61.426,2,Jul 09 2014 01: +0,1404864000
74.437,1,Jul 10 2014 01: +0,1404950400
57.431,2,Jul 11 2014 01: +0,1405036800
60.39,1,Jul 13 2014 01: +0,1405209600
57.917,1,Jul 14 2014 01: +0,1405296000
62.925,4,Jul 15 2014 01: +0,1405382400
62.404,2,Jul 16 2014 01: +0,1405468800
64.377,3,Jul 18 2014 01: +0,1405641600
69.128,2,Jul 19 2014 01: +0,1405728000
64.213,3,Jul 24 2014 01: +0,1406160000
59.846,2,Jul 25 2014 01: +0,1406246400
64.391,2,Jul 26 2014 01: +0,1406332800
54.964,3,Jul 27 2014 01: +0,1406419200
62.887,3,Jul 28 2014 01: +0,1406505600
63.847,2,Jul 29 2014 01: +0,1406592000
