price,quantity,date,unix timestamp
332.401,2,Jun 16 2016 01: +0,1466035200
334.432,1,Jun 19 2016 01: +0,1466294400
330.869,1,Jun 26 2016 01: +0,1466899200
330.034,1,Jun 27 2016 01: +0,1466985600
330.868,1,Jul 01 2016 01: +0,1467331200
315.565,1,Jul 03 2016 01: +0,1467504000
320.139,1,Jul 05 2016 01: +0,1467676800
328.81,2,Jul 08 2016 01: +0,1467936000
330.638,1,Jul 16 2016 01: +0,1468627200
330.868,2,Jul 21 2016 01: +0,1469059200
331.02,2,Jul 23 2016 01: +0,1469232000
330.869,1,Aug 01 2016 01: +0,1470009600
326.467,1,Aug 05 2016 01: +0,1470355200
329.626,1,Aug 06 2016 01: +0,1470441600
329.207,1,Aug 08 2016 01: +0,1470614400
327.268,2,Aug 13 2016 01: +0,1471046400
283.1,1,Aug 14 2016 01: +0,1471132800
302.167,2,Aug 16 2016 01: +0,1471305600
330.865,1,Aug 20 2016 01: +0,1471651200
313.177,3,Aug 22 2016 01: +0,1471824000
325.84,1,Aug 28 2016 01: +0,1472342400
330.873,1,Aug 31 2016 01: +0,1472601600
328.1,2,Sep 05 2016 01: +0,1473033600
389.201,1,Sep 06 2016 01: +0,1473120000
384.594,1,Sep 07 2016 01: +0,1473206400
332.623,1,Sep 16 2016 01: +0,1473984000
324.579,1,Sep 17 2016 01: +0,1474070400
330.88,1,Sep 18 2016 01: +0,1474156800
330.871,1,Sep 19 2016 01: +0,1474243200
325.385,2,Sep 21 2016 01: +0,1474416000
332.245,2,Sep 23 2016 01: +0,1474588800
330.872,2,Sep 25 2016 01: +0,1474761600
344.211,1,Sep 26 2016 01: +0,1474848000
353.602,1,Oct 02 2016 01: +0,1475366400
328.64,2,Oct 03 2016 01: +0,1475452800
289.866,1,Oct 05 2016 01: +0,1475625600
307.891,2,Oct 07 2016 01: +0,1475798400
330.083,1,Oct 10 2016 01: +0,1476057600
348.041,1,Oct 21 2016 01: +0,1477008000
344.558,1,Oct 22 2016 01: +0,1477094400
304.793,1,Oct 24 2016 01: +0,1477267200
304.959,1,Oct 26 2016 01: +0,1477440000
330.052,2,Oct 27 2016 01: +0,1477526400
330.871,1,Oct 29 2016 01: +0,1477699200
311.385,2,Nov 02 2016 01: +0,1478048400
325.935,1,Nov 07 2016 01: +0,1478480400
328.905,1,Nov 08 2016 01: +0,1478566800
321.774,2,Nov 11 2016 01: +0,1478826000
310.186,1,Nov 13 2016 01: +0,1478998800
318.015,1,Nov 18 2016 01: +0,1479430800
330.873,1,Nov 19 2016 01: +0,1479517200
315.601,1,Nov 21 2016 01: +0,1479690000
322.602,1,Nov 22 2016 01: +0,1479776400
306.695,3,Nov 26 2016 01: +0,1480122000
314.333,2,Nov 28 2016 01: +0,1480294800
308.444,3,Nov 30 2016 01: +0,1480467600
316.467,1,Dec 02 2016 01: +0,1480640400
323.784,2,Dec 03 2016 01: +0,1480726800
330.869,1,Dec 04 2016 01: +0,1480813200
330.869,1,Dec 05 2016 01: +0,1480899600
319.29,1,Dec 08 2016 01: +0,1481158800
316.613,2,Dec 10 2016 01: +0,1481331600
323.422,1,Dec 18 2016 01: +0,1482022800
330.869,1,Dec 23 2016 01: +0,1482454800
310.306,1,Dec 24 2016 01: +0,1482541200
310.314,1,Dec 25 2016 01: +0,1482627600
307.725,1,Dec 27 2016 01: +0,1482800400
321.555,1,Dec 28 2016 01: +0,1482886800
319.507,1,Dec 31 2016 01: +0,1483146000
313.226,1,Jan 06 2017 01: +0,1483664400
313.813,1,Jan 08 2017 01: +0,1483837200
330.869,1,Jan 10 2017 01: +0,1484010000
330.869,1,Jan 11 2017 01: +0,1484096400
308.259,1,Jan 12 2017 01: +0,1484182800
316.915,1,Jan 13 2017 01: +0,1484269200
324.657,1,Jan 14 2017 01: +0,1484355600
329.312,2,Jan 16 2017 01: +0,1484528400
314.188,1,Jan 17 2017 01: +0,1484614800
330.873,1,Jan 25 2017 01: +0,1485306000
328.785,1,Jan 26 2017 01: +0,1485392400
330.869,1,Jan 28 2017 01: +0,1485565200
321.646,1,Feb 03 2017 01: +0,1486083600
328.371,2,Feb 14 2017 01: +0,1487034000
313.151,1,Feb 15 2017 01: +0,1487120400
376.231,1,Feb 18 2017 01: +0,1487379600
330.083,1,Feb 25 2017 01: +0,1487984400
339.951,1,Mar 01 2017 01: +0,1488330000
324.781,1,Mar 03 2017 01: +0,1488502800
330.869,1,Mar 08 2017 01: +0,1488934800
313.945,1,Mar 09 2017 01: +0,1489021200
330.08,1,Mar 14 2017 01: +0,1489453200
377.53,1,Mar 20 2017 01: +0,1489971600
330.869,1,Mar 28 2017 01: +0,1490659200
317.568,1,Apr 02 2017 01: +0,1491091200
288.708,1,Apr 05 2017 01: +0,1491350400
315.906,1,Apr 09 2017 01: +0,1491696000
316.203,1,Apr 16 2017 01: +0,1492300800
318.139,1,Apr 19 2017 01: +0,1492560000
319.901,2,Apr 22 2017 01: +0,1492819200
390.335,1,Apr 25 2017 01: +0,1493078400
309.487,1,Apr 28 2017 01: +0,1493337600
510.221,2,May 04 2017 01: +0,1493856000
418.549,1,May 05 2017 01: +0,1493942400
525.255,1,May 07 2017 01: +0,1494115200
426.024,1,May 10 2017 01: +0,1494374400
503.159,1,May 11 2017 01: +0,1494460800
424.125,1,May 14 2017 01: +0,1494720000
419.194,1,May 17 2017 01: +0,1494979200
424.331,1,May 18 2017 01: +0,1495065600
523.186,1,May 20 2017 01: +0,1495238400
451.641,1,May 23 2017 01: +0,1495497600
488.851,1,May 25 2017 01: +0,1495670400
515.927,1,May 27 2017 01: +0,1495843200
419.377,1,May 28 2017 01: +0,1495929600
483.304,2,Jun 03 2017 01: +0,1496448000
484.081,1,Jun 04 2017 01: +0,1496534400
463.943,1,Jun 07 2017 01: +0,1496793600
437.571,1,Jun 09 2017 01: +0,1496966400
404.575,1,Jun 13 2017 01: +0,1497312000
472.745,1,Jun 18 2017 01: +0,1497744000
386.836,1,Jun 20 2017 01: +0,1497916800
460.472,1,Jun 22 2017 01: +0,1498089600
502.099,1,Jun 23 2017 01: +0,1498176000
372.34,3,Jun 26 2017 01: +0,1498435200
364.183,1,Jun 27 2017 01: +0,1498521600
427.205,2,Jun 28 2017 01: +0,1498608000
331.283,1,Jun 30 2017 01: +0,1498780800
332.598,1,Jul 02 2017 01: +0,1498953600
334.715,1,Jul 03 2017 01: +0,1499040000
463.157,1,Jul 04 2017 01: +0,1499126400
332.936,1,Jul 08 2017 01: +0,1499472000
442.48,1,Jul 10 2017 01: +0,1499644800
358.555,3,Jul 12 2017 01: +0,1499817600
415.657,1,Jul 13 2017 01: +0,1499904000
433.868,1,Jul 14 2017 01: +0,1499990400
433.857,1,Jul 15 2017 01: +0,1500076800
439.549,3,Jul 16 2017 01: +0,1500163200
494.163,1,Jul 19 2017 01: +0,1500422400
386.281,1,Jul 21 2017 01: +0,1500595200
451.832,2,Jul 24 2017 01: +0,1500854400
392.08,1,Jul 25 2017 01: +0,1500940800
475.543,1,Jul 26 2017 01: +0,1501027200
474.904,1,Jul 27 2017 01: +0,1501113600
393.536,1,Jul 28 2017 01: +0,1501200000
383.348,1,Jul 29 2017 01: +0,1501286400
497.085,1,Jul 31 2017 01: +0,1501459200
475.624,1,Aug 01 2017 01: +0,1501545600
489.322,1,Aug 04 2017 01: +0,1501804800
494.536,1,Aug 05 2017 01: +0,1501891200
491.428,1,Aug 06 2017 01: +0,1501977600
496.304,1,Aug 08 2017 01: +0,1502150400
495.248,1,Aug 11 2017 01: +0,1502409600
473.616,2,Aug 12 2017 01: +0,1502496000
473.226,1,Aug 13 2017 01: +0,1502582400
480.597,1,Aug 16 2017 01: +0,1502841600
383.672,1,Aug 17 2017 01: +0,1502928000
458.27,1,Aug 20 2017 01: +0,1503187200
433.298,1,Aug 21 2017 01: +0,1503273600
415.118,2,Aug 22 2017 01: +0,1503360000
409.21,2,Aug 23 2017 01: +0,1503446400
375.508,1,Aug 24 2017 01: +0,1503532800
376.372,1,Aug 27 2017 01: +0,1503792000
438.616,2,Aug 28 2017 01: +0,1503878400
443.514,2,Aug 30 2017 01: +0,1504051200
388.052,1,Aug 31 2017 01: +0,1504137600
387.588,1,Sep 01 2017 01: +0,1504224000
424.4,2,Sep 02 2017 01: +0,1504310400
396.555,1,Sep 06 2017 01: +0,1504656000
385.162,1,Sep 08 2017 01: +0,1504828800
472.705,1,Sep 09 2017 01: +0,1504915200
387.738,1,Sep 10 2017 01: +0,1505001600
474.669,2,Sep 11 2017 01: +0,1505088000
483.158,1,Sep 15 2017 01: +0,1505433600
394.178,2,Sep 16 2017 01: +0,1505520000
458.348,3,Sep 20 2017 01: +0,1505865600
504.319,1,Sep 22 2017 01: +0,1506038400
385.255,1,Sep 23 2017 01: +0,1506124800
523.898,1,Sep 26 2017 01: +0,1506384000
547.249,1,Sep 28 2017 01: +0,1506556800
470.843,1,Sep 29 2017 01: +0,1506643200
416.039,3,Oct 02 2017 01: +0,1506902400
447.021,1,Oct 03 2017 01: +0,1506988800
514.336,1,Oct 05 2017 01: +0,1507161600
489.491,1,Oct 13 2017 01: +0,1507852800
503.593,1,Oct 18 2017 01: +0,1508284800
464.345,1,Oct 20 2017 01: +0,1508457600
418.549,1,Oct 22 2017 01: +0,1508630400
402.683,1,Oct 28 2017 01: +0,1509148800
478.195,1,Oct 29 2017 01: +0,1509235200
448.582,1,Nov 01 2017 01: +0,1509498000
380.502,1,Nov 02 2017 01: +0,1509584400
475.625,1,Nov 03 2017 01: +0,1509670800
366.42,1,Nov 04 2017 01: +0,1509757200
379.59,1,Nov 08 2017 01: +0,1510102800
428.06,1,Nov 09 2017 01: +0,1510189200
407.403,2,Nov 13 2017 01: +0,1510534800
364.576,3,Nov 16 2017 01: +0,1510794000
377.247,2,Nov 18 2017 01: +0,1510966800
