price,quantity,date,unix timestamp
230.359,1,Jan 15 2015 01: +0,1421283600
94.538,1,Jan 18 2015 01: +0,1421542800
111.993,1,Feb 22 2015 01: +0,1424566800
219.325,1,Feb 23 2015 01: +0,1424653200
161.485,2,Mar 28 2015 01: +0,1427504400
133.681,1,Mar 30 2015 01: +0,1427673600
178.895,2,Mar 31 2015 01: +0,1427760000
143.588,2,Apr 01 2015 01: +0,1427846400
177.594,1,Apr 02 2015 01: +0,1427932800
204.039,1,Apr 04 2015 01: +0,1428105600
191.899,1,Apr 06 2015 01: +0,1428278400
214.046,1,Apr 08 2015 01: +0,1428451200
131.919,1,Apr 15 2015 01: +0,1429056000
205.84,1,Apr 16 2015 01: +0,1429142400
130.415,1,Apr 23 2015 01: +0,1429747200
123.42,5,May 01 2015 01: +0,1430438400
190.25,1,May 02 2015 01: +0,1430524800
147.116,2,May 06 2015 01: +0,1430870400
173.706,1,May 07 2015 01: +0,1430956800
149.253,3,May 09 2015 01: +0,1431129600
176.188,1,May 10 2015 01: +0,1431216000
172.992,1,May 12 2015 01: +0,1431388800
168.784,3,May 13 2015 01: +0,1431475200
135.013,6,May 16 2015 01: +0,1431734400
152.953,4,May 17 2015 01: +0,1431820800
165.926,1,May 18 2015 01: +0,1431907200
166.949,1,May 19 2015 01: +0,1431993600
153.438,2,May 20 2015 01: +0,1432080000
175.981,1,May 24 2015 01: +0,1432425600
158.651,3,May 27 2015 01: +0,1432684800
164.147,2,May 29 2015 01: +0,1432857600
171.611,2,May 31 2015 01: +0,1433030400
177.975,1,Jun 08 2015 01: +0,1433721600
148.865,2,Jun 11 2015 01: +0,1433980800
142.687,1,Jun 12 2015 01: +0,1434067200
157.617,3,Jun 15 2015 01: +0,1434326400
162.803,1,Jun 16 2015 01: +0,1434412800
146.945,2,Jun 17 2015 01: +0,1434499200
150.729,1,Jun 18 2015 01: +0,1434585600
161.014,3,Jun 23 2015 01: +0,1435017600
173.814,2,Jun 29 2015 01: +0,1435536000
164.5,1,Jun 30 2015 01: +0,1435622400
174.009,1,Jul 02 2015 01: +0,1435795200
167.136,2,Jul 04 2015 01: +0,1435968000
165.061,2,Jul 05 2015 01: +0,1436054400
159.524,1,Jul 07 2015 01: +0,1436227200
148.273,3,Jul 08 2015 01: +0,1436313600
173.59,1,Jul 09 2015 01: +0,1436400000
172.879,1,Jul 11 2015 01: +0,1436572800
168.033,3,Jul 12 2015 01: +0,1436659200
200.477,1,Jul 13 2015 01: +0,1436745600
90.989,1,Jul 14 2015 01: +0,1436832000
157.586,3,Jul 15 2015 01: +0,1436918400
160.343,3,Jul 16 2015 01: +0,1437004800
159.209,2,Jul 18 2015 01: +0,1437177600
160.766,2,Jul 20 2015 01: +0,1437350400
162.371,1,Jul 21 2015 01: +0,1437436800
158.439,2,Jul 24 2015 01: +0,1437696000
160.505,1,Jul 30 2015 01: +0,1438214400
160.761,1,Jul 31 2015 01: +0,1438300800
181.961,1,Aug 03 2015 01: +0,1438560000
154.413,2,Aug 05 2015 01: +0,1438732800
164.467,1,Aug 08 2015 01: +0,1438992000
156.395,1,Aug 12 2015 01: +0,1439337600
148.801,3,Aug 13 2015 01: +0,1439424000
176.534,1,Aug 14 2015 01: +0,1439510400
162.816,2,Aug 17 2015 01: +0,1439769600
152.771,1,Aug 19 2015 01: +0,1439942400
159.102,2,Aug 20 2015 01: +0,1440028800
176.484,3,Aug 21 2015 01: +0,1440115200
148.891,1,Aug 22 2015 01: +0,1440201600
151.885,4,Aug 23 2015 01: +0,1440288000
183.094,1,Aug 24 2015 01: +0,1440374400
183.441,1,Aug 25 2015 01: +0,1440460800
223.721,1,Aug 26 2015 01: +0,1440547200
179.14,1,Aug 28 2015 01: +0,1440720000
184.67,2,Aug 29 2015 01: +0,1440806400
185.622,1,Aug 31 2015 01: +0,1440979200
177.842,1,Sep 05 2015 01: +0,1441411200
185.353,1,Sep 11 2015 01: +0,1441929600
186.199,1,Sep 17 2015 01: +0,1442448000
181.887,1,Sep 20 2015 01: +0,1442707200
168.398,1,Sep 23 2015 01: +0,1442966400
188.74,2,Sep 27 2015 01: +0,1443312000
172.698,1,Sep 29 2015 01: +0,1443484800
179.745,1,Oct 03 2015 01: +0,1443830400
178.78,1,Oct 05 2015 01: +0,1444003200
179.492,2,Oct 07 2015 01: +0,1444176000
190.251,1,Oct 08 2015 01: +0,1444262400
173.703,1,Oct 11 2015 01: +0,1444521600
169.43,1,Oct 14 2015 01: +0,1444780800
179.664,2,Oct 17 2015 01: +0,1445040000
176.19,1,Oct 20 2015 01: +0,1445299200
171.885,2,Oct 21 2015 01: +0,1445385600
149.822,1,Oct 23 2015 01: +0,1445558400
178.129,1,Oct 25 2015 01: +0,1445731200
178.119,2,Oct 26 2015 01: +0,1445821200
187.913,1,Oct 28 2015 01: +0,1445994000
182.906,1,Nov 04 2015 01: +0,1446598800
179.813,1,Nov 06 2015 01: +0,1446771600
177.631,1,Nov 07 2015 01: +0,1446858000
173.594,2,Nov 08 2015 01: +0,1446944400
162.051,1,Nov 09 2015 01: +0,1447030800
172.415,2,Nov 13 2015 01: +0,1447376400
147.779,3,Nov 20 2015 01: +0,1447981200
155.36,2,Nov 21 2015 01: +0,1448067600
170.672,2,Nov 24 2015 01: +0,1448326800
150.618,1,Nov 25 2015 01: +0,1448413200
164.38,1,Nov 27 2015 01: +0,1448586000
165.423,1,Nov 28 2015 01: +0,1448672400
174.081,1,Nov 29 2015 01: +0,1448758800
161.964,1,Dec 01 2015 01: +0,1448931600
167.512,2,Dec 02 2015 01: +0,1449018000
155.507,2,Dec 03 2015 01: +0,1449104400
160.767,2,Dec 04 2015 01: +0,1449190800
139.696,3,Dec 05 2015 01: +0,1449277200
177.842,1,Dec 08 2015 01: +0,1449536400
156.053,1,Dec 09 2015 01: +0,1449622800
127.033,2,Dec 11 2015 01: +0,1449795600
138.892,1,Dec 12 2015 01: +0,1449882000
161.519,1,Dec 14 2015 01: +0,1450054800
134.401,1,Dec 17 2015 01: +0,1450314000
182.181,2,Dec 18 2015 01: +0,1450400400
163.775,1,Dec 22 2015 01: +0,1450746000
168.139,1,Dec 25 2015 01: +0,1451005200
166.59,4,Dec 26 2015 01: +0,1451091600
191.409,1,Dec 27 2015 01: +0,1451178000
163.3,1,Dec 29 2015 01: +0,1451350800
163.73,2,Dec 31 2015 01: +0,1451523600
159.525,2,Jan 01 2016 01: +0,1451610000
164.81,2,Jan 02 2016 01: +0,1451696400
177.85,1,Jan 03 2016 01: +0,1451782800
190.192,1,Jan 07 2016 01: +0,1452128400
177.213,1,Jan 08 2016 01: +0,1452214800
169.413,2,Jan 10 2016 01: +0,1452387600
161.461,1,Jan 13 2016 01: +0,1452646800
158.222,1,Jan 15 2016 01: +0,1452819600
156.008,1,Jan 17 2016 01: +0,1452992400
157.994,2,Jan 18 2016 01: +0,1453078800
156.084,2,Jan 19 2016 01: +0,1453165200
158.608,4,Jan 20 2016 01: +0,1453251600
159.766,1,Jan 21 2016 01: +0,1453338000
163.465,1,Jan 22 2016 01: +0,1453424400
167.743,1,Jan 23 2016 01: +0,1453510800
160.873,1,Jan 24 2016 01: +0,1453597200
184.903,1,Jan 30 2016 01: +0,1454115600
142.277,2,Feb 02 2016 01: +0,1454374800
156.219,1,Feb 03 2016 01: +0,1454461200
165.435,1,Feb 04 2016 01: +0,1454547600
158.589,2,Feb 08 2016 01: +0,1454893200
160.844,1,Feb 09 2016 01: +0,1454979600
156.249,2,Feb 10 2016 01: +0,1455066000
136.988,2,Feb 11 2016 01: +0,1455152400
158.866,1,Feb 12 2016 01: +0,1455238800
157.767,1,Feb 13 2016 01: +0,1455325200
161.299,1,Feb 14 2016 01: +0,1455411600
153.39,1,Feb 15 2016 01: +0,1455498000
158.04,1,Feb 16 2016 01: +0,1455584400
161.106,1,Feb 18 2016 01: +0,1455757200
153.845,1,Feb 20 2016 01: +0,1455930000
153.333,1,Feb 22 2016 01: +0,1456102800
136.402,1,Feb 24 2016 01: +0,1456275600
156.742,1,Feb 25 2016 01: +0,1456362000
150.468,2,Feb 26 2016 01: +0,1456448400
148.105,1,Feb 28 2016 01: +0,1456621200
143.06,2,Mar 01 2016 01: +0,1456794000
145.043,3,Mar 03 2016 01: +0,1456966800
164.922,1,Mar 04 2016 01: +0,1457053200
177.842,1,Mar 05 2016 01: +0,1457139600
138.138,1,Mar 06 2016 01: +0,1457226000
160.246,1,Mar 08 2016 01: +0,1457398800
158.164,1,Mar 09 2016 01: +0,1457485200
161.071,2,Mar 10 2016 01: +0,1457571600
178.197,2,Mar 11 2016 01: +0,1457658000
176.502,1,Mar 13 2016 01: +0,1457830800
139.713,1,Mar 16 2016 01: +0,1458090000
162.341,2,Mar 17 2016 01: +0,1458176400
158.819,1,Mar 19 2016 01: +0,1458349200
153.101,1,Mar 24 2016 01: +0,1458781200
156.956,1,Mar 25 2016 01: +0,1458867600
166.017,1,Mar 26 2016 01: +0,1458954000
154.948,1,Mar 27 2016 01: +0,1459040400
147.803,3,Mar 28 2016 01: +0,1459123200
161.81,2,Mar 29 2016 01: +0,1459209600
160.864,3,Apr 01 2016 01: +0,1459468800
169.032,1,Apr 02 2016 01: +0,1459555200
162.473,1,Apr 03 2016 01: +0,1459641600
178.926,1,Apr 04 2016 01: +0,1459728000
178.928,1,Apr 05 2016 01: +0,1459814400
158.789,3,Apr 07 2016 01: +0,1459987200
172.476,1,Apr 08 2016 01: +0,1460073600
181.798,1,Apr 10 2016 01: +0,1460246400
179.096,1,Apr 13 2016 01: +0,1460505600
176.992,1,Apr 16 2016 01: +0,1460764800
193.008,1,Apr 19 2016 01: +0,1461024000
188.775,1,Apr 21 2016 01: +0,1461196800
185.802,2,Apr 24 2016 01: +0,1461456000
171.964,2,Apr 28 2016 01: +0,1461801600
187.662,1,Apr 29 2016 01: +0,1461888000
172.046,3,May 01 2016 01: +0,1462060800
190.24,1,May 04 2016 01: +0,1462320000
175.934,2,May 05 2016 01: +0,1462406400
187.631,1,May 06 2016 01: +0,1462492800
186.536,1,May 07 2016 01: +0,1462579200
186.807,1,May 08 2016 01: +0,1462665600
175.352,1,May 09 2016 01: +0,1462752000
164.992,3,May 12 2016 01: +0,1463011200
185.63,1,May 13 2016 01: +0,1463097600
187.52,1,May 14 2016 01: +0,1463184000
157.241,2,May 15 2016 01: +0,1463270400
166.589,2,May 16 2016 01: +0,1463356800
169.921,2,May 18 2016 01: +0,1463529600
184.013,1,May 19 2016 01: +0,1463616000
157.165,1,May 21 2016 01: +0,1463788800
175.617,1,May 22 2016 01: +0,1463875200
