price,quantity,date,unix timestamp
151.534,1,Mar 01 2018 01: +0,1519866000
145.905,3,Mar 03 2018 01: +0,1520038800
158.499,2,Mar 04 2018 01: +0,1520125200
186.947,1,Mar 05 2018 01: +0,1520211600
200.413,2,Mar 08 2018 01: +0,1520470800
114.765,2,Mar 10 2018 01: +0,1520643600
124.073,1,Mar 12 2018 01: +0,1520816400
169.581,1,Mar 14 2018 01: +0,1520989200
165.648,4,Mar 15 2018 01: +0,1521075600
173.706,1,Mar 17 2018 01: +0,1521248400
149.313,1,Mar 21 2018 01: +0,1521594000
139.792,1,Mar 28 2018 01: +0,1522195200
175.77,1,Apr 01 2018 01: +0,1522540800
141.658,1,Apr 02 2018 01: +0,1522627200
164.094,1,Apr 03 2018 01: +0,1522713600
181.97,1,Apr 04 2018 01: +0,1522800000
181.569,1,Apr 15 2018 01: +0,1523750400
129.873,1,Apr 16 2018 01: +0,1523836800
135.457,1,Apr 20 2018 01: +0,1524182400
143.06,2,Apr 23 2018 01: +0,1524441600
174.377,1,Apr 24 2018 01: +0,1524528000
157.163,1,Apr 27 2018 01: +0,1524787200
169.168,2,Apr 30 2018 01: +0,1525046400
169.007,1,May 03 2018 01: +0,1525305600
169.943,1,May 05 2018 01: +0,1525478400
124.076,1,May 25 2018 01: +0,1527206400
173.707,1,May 26 2018 01: +0,1527292800
129.089,1,May 27 2018 01: +0,1527379200
125.532,1,May 28 2018 01: +0,1527465600
153.697,1,May 30 2018 01: +0,1527638400
144.559,3,Jun 01 2018 01: +0,1527811200
160.72,1,Jun 03 2018 01: +0,1527984000
124.53,3,Jun 08 2018 01: +0,1528416000
133.102,1,Jun 10 2018 01: +0,1528588800
144.769,1,Jun 14 2018 01: +0,1528934400
144.491,1,Jun 15 2018 01: +0,1529020800
165.693,1,Jun 16 2018 01: +0,1529107200
148.899,1,Jun 17 2018 01: +0,1529193600
124.754,1,Jun 20 2018 01: +0,1529452800
99.261,1,Jun 21 2018 01: +0,1529539200
111.652,1,Jun 25 2018 01: +0,1529884800
107.491,1,Jun 28 2018 01: +0,1530144000
157.597,2,Jul 01 2018 01: +0,1530403200
112.106,1,Jul 03 2018 01: +0,1530576000
144.73,1,Jul 10 2018 01: +0,1531180800
157.159,1,Jul 11 2018 01: +0,1531267200
155.86,1,Jul 13 2018 01: +0,1531440000
165.426,1,Jul 15 2018 01: +0,1531612800
165.521,1,Jul 16 2018 01: +0,1531699200
146.178,1,Jul 20 2018 01: +0,1532044800
164.571,1,Jul 21 2018 01: +0,1532131200
177.592,1,Jul 28 2018 01: +0,1532736000
124.746,1,Jul 30 2018 01: +0,1532908800
132.341,1,Aug 03 2018 01: +0,1533254400
126.508,1,Aug 04 2018 01: +0,1533340800
140.363,2,Aug 05 2018 01: +0,1533427200
149.731,2,Aug 06 2018 01: +0,1533513600
147.535,1,Aug 07 2018 01: +0,1533600000
152.204,1,Aug 10 2018 01: +0,1533859200
134.331,4,Aug 15 2018 01: +0,1534291200
132.364,1,Aug 17 2018 01: +0,1534464000
127.621,3,Aug 19 2018 01: +0,1534636800
144.764,1,Aug 20 2018 01: +0,1534723200
144.597,1,Aug 26 2018 01: +0,1535241600
153.019,1,Aug 27 2018 01: +0,1535328000
152.175,1,Aug 28 2018 01: +0,1535414400
145.589,1,Aug 29 2018 01: +0,1535500800
159.101,1,Aug 30 2018 01: +0,1535587200
143.101,1,Sep 02 2018 01: +0,1535846400
145.549,1,Sep 03 2018 01: +0,1535932800
138.929,4,Sep 06 2018 01: +0,1536192000
121.658,1,Sep 07 2018 01: +0,1536278400
138.734,2,Sep 08 2018 01: +0,1536364800
152.026,1,Sep 09 2018 01: +0,1536451200
121.327,1,Sep 10 2018 01: +0,1536537600
128.915,1,Sep 13 2018 01: +0,1536796800
137.359,1,Sep 15 2018 01: +0,1536969600
154.282,1,Sep 16 2018 01: +0,1537056000
155.095,1,Sep 23 2018 01: +0,1537660800
127.873,1,Sep 25 2018 01: +0,1537833600
149.521,1,Sep 29 2018 01: +0,1538179200
151.243,2,Sep 30 2018 01: +0,1538265600
127.949,1,Oct 06 2018 01: +0,1538784000
127.343,2,Oct 09 2018 01: +0,1539043200
157.398,2,Oct 11 2018 01: +0,1539216000
162.844,1,Oct 17 2018 01: +0,1539734400
142.642,2,Oct 18 2018 01: +0,1539820800
158.718,1,Oct 19 2018 01: +0,1539907200
161.059,1,Oct 20 2018 01: +0,1539993600
144.115,1,Nov 01 2018 01: +0,1541034000
