price,quantity,date,unix timestamp
203.635,1,Aug 13 2018 01: +0,1534118400
109.94,1,Sep 10 2018 01: +0,1536537600
88.715,2,Sep 23 2018 01: +0,1537660800
116.862,1,Sep 25 2018 01: +0,1537833600
90.018,1,Oct 24 2018 01: +0,1540339200
123.662,1,Nov 03 2018 01: +0,1541206800
72.472,1,Nov 23 2018 01: +0,1542934800
81.978,1,Nov 29 2018 01: +0,1543453200
114.506,1,Dec 05 2018 01: +0,1543971600
120.503,1,Dec 06 2018 01: +0,1544058000
89.704,2,Dec 16 2018 01: +0,1544922000
60.143,1,Dec 26 2018 01: +0,1545786000
72.607,1,Dec 31 2018 01: +0,1546218000
79.28,1,Jan 03 2019 01: +0,1546477200
87.209,1,Jan 06 2019 01: +0,1546736400
83.255,1,Jan 12 2019 01: +0,1547254800
70.558,1,Jan 23 2019 01: +0,1548205200
85.588,1,Jan 27 2019 01: +0,1548550800
84.857,1,Jan 29 2019 01: +0,1548723600
72.089,3,Jan 31 2019 01: +0,1548896400
89.814,1,Feb 05 2019 01: +0,1549328400
90.369,1,Feb 09 2019 01: +0,1549674000
98.033,3,Mar 15 2019 01: +0,1552611600
74.453,1,Mar 19 2019 01: +0,1552957200
98.095,1,Mar 24 2019 01: +0,1553389200
75.446,1,Apr 02 2019 01: +0,1554163200
47.561,1,Apr 06 2019 01: +0,1554508800
62.356,1,Apr 30 2019 01: +0,1556582400
97.594,1,May 03 2019 01: +0,1556841600
66.537,1,May 08 2019 01: +0,1557273600
83.248,1,May 12 2019 01: +0,1557619200
66.148,1,May 14 2019 01: +0,1557792000
70.942,1,May 16 2019 01: +0,1557964800
82.844,2,May 17 2019 01: +0,1558051200
69.244,1,Jun 01 2019 01: +0,1559347200
77.991,2,Jun 02 2019 01: +0,1559433600
89.134,1,Jun 06 2019 01: +0,1559779200
89.689,1,Jun 07 2019 01: +0,1559865600
86.373,1,Jun 08 2019 01: +0,1559952000
75.967,2,Jun 10 2019 01: +0,1560124800
70.823,1,Jun 12 2019 01: +0,1560297600
77.7,2,Jun 17 2019 01: +0,1560729600
67.001,1,Jun 18 2019 01: +0,1560816000
86.934,1,Jun 19 2019 01: +0,1560902400
67.611,1,Jun 21 2019 01: +0,1561075200
77.474,2,Jun 22 2019 01: +0,1561161600
87.829,1,Jun 23 2019 01: +0,1561248000
86.514,1,Jun 24 2019 01: +0,1561334400
87.581,1,Jun 26 2019 01: +0,1561507200
87.695,1,Jun 30 2019 01: +0,1561852800
71.344,1,Jul 09 2019 01: +0,1562630400
79.471,2,Jul 11 2019 01: +0,1562803200
80.854,1,Jul 17 2019 01: +0,1563321600
98.343,1,Jul 25 2019 01: +0,1564012800
100.42,1,Jul 31 2019 01: +0,1564531200
109.653,1,Aug 01 2019 01: +0,1564617600
108.721,1,Aug 07 2019 01: +0,1565136000
95.113,1,Aug 08 2019 01: +0,1565222400
110.045,1,Aug 11 2019 01: +0,1565481600
122.147,2,Aug 13 2019 01: +0,1565654400
90.403,1,Aug 23 2019 01: +0,1566518400
89.844,1,Sep 06 2019 01: +0,1567728000
90.493,1,Sep 07 2019 01: +0,1567814400
89.45,1,Sep 09 2019 01: +0,1567987200
82.885,1,Sep 13 2019 01: +0,1568332800
86.291,1,Sep 15 2019 01: +0,1568505600
88.108,3,Sep 18 2019 01: +0,1568764800
84.421,1,Sep 19 2019 01: +0,1568851200
87.771,1,Sep 20 2019 01: +0,1568937600
83.52,1,Sep 24 2019 01: +0,1569283200
81.088,1,Oct 03 2019 01: +0,1570060800
110.561,1,Oct 05 2019 01: +0,1570233600
80.5,2,Oct 13 2019 01: +0,1570924800
91.378,1,Oct 16 2019 01: +0,1571184000
87.258,1,Oct 18 2019 01: +0,1571356800
82.022,1,Nov 12 2019 01: +0,1573520400
77.04,1,Nov 20 2019 01: +0,1574211600
71.559,1,Nov 23 2019 01: +0,1574470800
70.715,1,Dec 05 2019 01: +0,1575507600
83.364,1,Dec 21 2019 01: +0,1576890000
84.272,1,Dec 24 2019 01: +0,1577149200
82.535,1,Dec 27 2019 01: +0,1577408400
71.713,1,Dec 31 2019 01: +0,1577754000
78.416,1,Jan 05 2020 01: +0,1578186000
73.301,1,Jan 06 2020 01: +0,1578272400
71.468,1,Jan 08 2020 01: +0,1578445200
94.282,1,Jan 09 2020 01: +0,1578531600
103.721,1,Jan 10 2020 01: +0,1578618000
96.341,1,Jan 14 2020 01: +0,1578963600
78.583,1,Jan 19 2020 01: +0,1579395600
76.232,1,Jan 22 2020 01: +0,1579654800
94.716,1,Jan 26 2020 01: +0,1580000400
98.74,1,Feb 01 2020 01: +0,1580518800
76.935,1,Feb 03 2020 01: +0,1580691600
85.378,2,Feb 06 2020 01: +0,1580950800
75.355,1,Feb 17 2020 01: +0,1581901200
78.548,1,Mar 16 2020 01: +0,1584320400
78.002,1,Apr 01 2020 01: +0,1585699200
79.094,1,Apr 06 2020 01: +0,1586131200
98.131,1,Apr 13 2020 01: +0,1586736000
78.978,1,Apr 17 2020 01: +0,1587081600
76.158,1,Apr 18 2020 01: +0,1587168000
97.036,1,Apr 20 2020 01: +0,1587340800
9.923,1,Apr 23 2020 01: +0,1587600000
81.683,1,Apr 28 2020 01: +0,1588032000
80.641,1,Apr 30 2020 01: +0,1588204800
93.537,2,May 03 2020 01: +0,1588464000
101.101,1,May 12 2020 01: +0,1589241600
83.463,1,May 16 2020 01: +0,1589587200
91.81,1,May 30 2020 01: +0,1590796800
78.904,1,Jun 09 2020 01: +0,1591660800
76.687,1,Jun 18 2020 01: +0,1592438400
75.765,1,Jun 25 2020 01: +0,1593043200
88.326,1,Jul 01 2020 01: +0,1593561600
88.488,1,Jul 06 2020 01: +0,1593993600
72.638,1,Jul 07 2020 01: +0,1594080000
77.638,2,Jul 14 2020 01: +0,1594684800
82.684,1,Jul 23 2020 01: +0,1595462400
88.799,1,Aug 01 2020 01: +0,1596240000
84.744,2,Aug 03 2020 01: +0,1596412800
77.672,1,Aug 06 2020 01: +0,1596672000
88.685,1,Aug 09 2020 01: +0,1596931200
80.534,1,Aug 12 2020 01: +0,1597190400
81.065,1,Aug 14 2020 01: +0,1597363200
79.847,1,Aug 15 2020 01: +0,1597449600
78.789,1,Aug 19 2020 01: +0,1597795200
88.707,1,Aug 20 2020 01: +0,1597881600
76.381,1,Aug 21 2020 01: +0,1597968000
89.094,1,Aug 25 2020 01: +0,1598313600
89.989,1,Sep 03 2020 01: +0,1599091200
70.318,1,Sep 12 2020 01: +0,1599868800
70.194,1,Sep 13 2020 01: +0,1599955200
89.31,1,Sep 16 2020 01: +0,1600214400
85.681,1,Sep 21 2020 01: +0,1600646400
61.021,1,Sep 22 2020 01: +0,1600732800
92.362,1,Oct 14 2020 01: +0,1602633600
71.698,1,Oct 16 2020 01: +0,1602806400
85.844,2,Oct 24 2020 01: +0,1603497600
72.022,1,Oct 28 2020 01: +0,1603846800
80.292,1,Oct 31 2020 01: +0,1604106000
80.294,1,Nov 05 2020 01: +0,1604538000
65.082,1,Dec 08 2020 01: +0,1607389200
65.114,1,Dec 10 2020 01: +0,1607562000
90.439,1,Dec 13 2020 01: +0,1607821200
142.683,1,Dec 21 2020 01: +0,1608512400
64.478,1,Dec 26 2020 01: +0,1608944400
65.292,1,Dec 27 2020 01: +0,1609030800
83.655,1,Jan 08 2021 01: +0,1610067600
84.503,1,Jan 10 2021 01: +0,1610240400
83.536,1,Jan 15 2021 01: +0,1610672400
70.632,1,Jan 27 2021 01: +0,1611709200
89.442,1,Feb 02 2021 01: +0,1612227600
83.79,2,Feb 10 2021 01: +0,1612918800
71.48,1,Feb 14 2021 01: +0,1613264400
60.394,1,Feb 15 2021 01: +0,1613350800
83.659,1,Feb 18 2021 01: +0,1613610000
90.964,1,Feb 21 2021 01: +0,1613869200
67.844,1,Feb 22 2021 01: +0,1613955600
93.521,3,Feb 23 2021 01: +0,1614042000
74.446,1,Mar 02 2021 01: +0,1614646800
88.775,1,Mar 07 2021 01: +0,1615078800
85.888,2,Mar 15 2021 01: +0,1615770000
75.361,2,Mar 16 2021 01: +0,1615856400
76.433,1,Mar 18 2021 01: +0,1616029200
90.687,2,Mar 20 2021 01: +0,1616202000
74.843,1,Mar 26 2021 01: +0,1616720400
75.661,1,Mar 28 2021 01: +0,1616893200
77.978,1,Apr 07 2021 01: +0,1617753600
92.283,1,Apr 11 2021 01: +0,1618099200
91.003,1,Apr 15 2021 01: +0,1618444800
76.307,1,Apr 18 2021 01: +0,1618704000
92.607,1,Apr 21 2021 01: +0,1618963200
77.875,1,Apr 27 2021 01: +0,1619481600
90.724,1,May 01 2021 01: +0,1619827200
100.089,1,May 03 2021 01: +0,1620000000
72.874,1,May 04 2021 01: +0,1620086400
95.115,1,May 05 2021 01: +0,1620172800
76.091,1,May 15 2021 01: +0,1621036800
80.846,1,May 18 2021 01: +0,1621296000
94.941,1,May 19 2021 01: +0,1621382400
83.862,1,May 24 2021 01: +0,1621814400
79.475,1,Jun 01 2021 01: +0,1622505600
78.509,1,Jun 07 2021 01: +0,1623024000
77.953,1,Jun 08 2021 01: +0,1623110400
77.757,1,Jun 10 2021 01: +0,1623283200
73.213,1,Jun 15 2021 01: +0,1623715200
93.484,1,Jun 23 2021 01: +0,1624406400
75.058,1,Jun 28 2021 01: +0,1624838400
88.047,1,Jul 05 2021 01: +0,1625443200
88.267,1,Jul 16 2021 01: +0,1626393600
64.875,1,Jul 20 2021 01: +0,1626739200
80.106,1,Jul 24 2021 01: +0,1627084800
70.268,1,Jul 29 2021 01: +0,1627516800
74.443,1,Aug 01 2021 01: +0,1627776000
81.26,2,Aug 05 2021 01: +0,1628121600
77.862,1,Aug 20 2021 01: +0,1629417600
65.347,1,Aug 27 2021 01: +0,1630022400
77.688,1,Aug 29 2021 01: +0,1630195200
78.003,1,Sep 15 2021 01: +0,1631664000
69.538,1,Sep 22 2021 01: +0,1632268800
62.874,1,Sep 24 2021 01: +0,1632441600
85.337,1,Sep 26 2021 01: +0,1632614400
58.729,1,Oct 01 2021 01: +0,1633046400
84.106,1,Oct 04 2021 01: +0,1633305600
62.526,1,Oct 05 2021 01: +0,1633392000
57.135,2,Oct 12 2021 01: +0,1633996800
