price,quantity,date,unix timestamp
61.214,1,Mar 16 2019 01: +0,1552698000
48.1,1,Mar 18 2019 01: +0,1552870800
70.402,1,Mar 20 2019 01: +0,1553043600
58.087,2,Mar 21 2019 01: +0,1553130000
54.783,3,Mar 23 2019 01: +0,1553302800
68.432,2,Mar 24 2019 01: +0,1553389200
53.621,3,Mar 27 2019 01: +0,1553648400
57.507,2,Mar 28 2019 01: +0,1553734800
67.262,1,Apr 06 2019 01: +0,1554508800
57.278,3,Apr 07 2019 01: +0,1554595200
55.189,3,Apr 08 2019 01: +0,1554681600
44.72,2,Apr 09 2019 01: +0,1554768000
54.444,2,Apr 10 2019 01: +0,1554854400
51.294,3,Apr 11 2019 01: +0,1554940800
59.901,6,Apr 12 2019 01: +0,1555027200
63.689,2,Apr 13 2019 01: +0,1555113600
59.918,3,Apr 14 2019 01: +0,1555200000
32.558,2,Apr 15 2019 01: +0,1555286400
66.503,1,Apr 16 2019 01: +0,1555372800
60.233,4,Apr 17 2019 01: +0,1555459200
67.962,1,Apr 18 2019 01: +0,1555545600
58.101,3,Apr 20 2019 01: +0,1555718400
60.409,1,Apr 21 2019 01: +0,1555804800
63.229,1,Apr 22 2019 01: +0,1555891200
63.271,2,Apr 23 2019 01: +0,1555977600
67.518,1,Apr 25 2019 01: +0,1556150400
64.47,1,Apr 26 2019 01: +0,1556236800
57.265,3,Apr 27 2019 01: +0,1556323200
51.783,3,Apr 28 2019 01: +0,1556409600
67.425,1,Apr 29 2019 01: +0,1556496000
65.434,1,Apr 30 2019 01: +0,1556582400
57.542,2,May 01 2019 01: +0,1556668800
61.13,2,May 02 2019 01: +0,1556755200
59.745,3,May 03 2019 01: +0,1556841600
55.571,3,May 04 2019 01: +0,1556928000
57.173,4,May 05 2019 01: +0,1557014400
57.511,2,May 06 2019 01: +0,1557100800
63.089,2,May 07 2019 01: +0,1557187200
56.728,6,May 08 2019 01: +0,1557273600
60.185,1,May 09 2019 01: +0,1557360000
53.278,3,May 10 2019 01: +0,1557446400
51.822,4,May 11 2019 01: +0,1557532800
56.346,4,May 12 2019 01: +0,1557619200
57.789,4,May 13 2019 01: +0,1557705600
52.852,4,May 14 2019 01: +0,1557792000
59.628,6,May 15 2019 01: +0,1557878400
58.406,3,May 16 2019 01: +0,1557964800
62.655,3,May 17 2019 01: +0,1558051200
51.938,2,May 18 2019 01: +0,1558137600
56.715,2,May 19 2019 01: +0,1558224000
59.826,1,May 20 2019 01: +0,1558310400
54.523,1,May 21 2019 01: +0,1558396800
58.778,3,May 22 2019 01: +0,1558483200
59.666,3,May 23 2019 01: +0,1558569600
54.229,2,May 25 2019 01: +0,1558742400
57.053,4,May 26 2019 01: +0,1558828800
61.027,4,May 27 2019 01: +0,1558915200
61.894,1,May 28 2019 01: +0,1559001600
63.832,1,May 30 2019 01: +0,1559174400
54.821,4,May 31 2019 01: +0,1559260800
54.898,1,Jun 03 2019 01: +0,1559520000
61.111,5,Jun 04 2019 01: +0,1559606400
56.037,3,Jun 06 2019 01: +0,1559779200
63.077,2,Jun 07 2019 01: +0,1559865600
61.37,6,Jun 08 2019 01: +0,1559952000
62.203,2,Jun 09 2019 01: +0,1560038400
60.368,3,Jun 10 2019 01: +0,1560124800
59.862,4,Jun 11 2019 01: +0,1560211200
33.244,2,Jun 12 2019 01: +0,1560297600
58.018,3,Jun 13 2019 01: +0,1560384000
68.983,3,Jun 14 2019 01: +0,1560470400
62.224,2,Jun 16 2019 01: +0,1560643200
62.501,3,Jun 17 2019 01: +0,1560729600
63.098,2,Jun 18 2019 01: +0,1560816000
57.546,3,Jun 20 2019 01: +0,1560988800
66.711,4,Jun 22 2019 01: +0,1561161600
57.837,2,Jun 24 2019 01: +0,1561334400
57.11,4,Jun 25 2019 01: +0,1561420800
68.663,1,Jun 26 2019 01: +0,1561507200
61.831,1,Jun 27 2019 01: +0,1561593600
68.457,1,Jun 28 2019 01: +0,1561680000
58.372,4,Jun 29 2019 01: +0,1561766400
57.614,4,Jul 01 2019 01: +0,1561939200
62.424,3,Jul 02 2019 01: +0,1562025600
61.223,1,Jul 03 2019 01: +0,1562112000
