price,quantity,date,unix timestamp
138.714,6,Nov 20 2019 01: +0,1574211600
146.302,1,Nov 21 2019 01: +0,1574298000
152.622,1,Nov 24 2019 01: +0,1574557200
124.081,1,Dec 03 2019 01: +0,1575334800
153.956,2,Dec 04 2019 01: +0,1575421200
123.887,1,Dec 07 2019 01: +0,1575680400
124.084,1,Dec 08 2019 01: +0,1575766800
123.348,1,Dec 09 2019 01: +0,1575853200
119.066,1,Dec 11 2019 01: +0,1576026000
118.647,1,Dec 12 2019 01: +0,1576112400
113.598,1,Dec 14 2019 01: +0,1576285200
174.296,1,Dec 15 2019 01: +0,1576371600
177.411,1,Dec 18 2019 01: +0,1576630800
190.254,1,Dec 20 2019 01: +0,1576803600
198.688,2,Dec 28 2019 01: +0,1577494800
161.045,2,Dec 31 2019 01: +0,1577754000
166.049,1,Jan 05 2020 01: +0,1578186000
177.234,2,Jan 06 2020 01: +0,1578272400
162.503,5,Jan 08 2020 01: +0,1578445200
171.126,1,Jan 09 2020 01: +0,1578531600
155.597,2,Jan 11 2020 01: +0,1578704400
163.237,1,Jan 14 2020 01: +0,1578963600
170.108,1,Jan 15 2020 01: +0,1579050000
165.857,2,Jan 16 2020 01: +0,1579136400
153.59,1,Jan 19 2020 01: +0,1579395600
153.579,1,Jan 20 2020 01: +0,1579482000
150.81,1,Jan 21 2020 01: +0,1579568400
157.695,1,Jan 31 2020 01: +0,1580432400
184.027,1,Feb 02 2020 01: +0,1580605200
188.099,1,Feb 07 2020 01: +0,1581037200
153.201,1,Feb 10 2020 01: +0,1581296400
153.543,1,Feb 11 2020 01: +0,1581382800
139.391,2,Feb 12 2020 01: +0,1581469200
140.105,1,Feb 14 2020 01: +0,1581642000
168.715,1,Feb 15 2020 01: +0,1581728400
157.707,2,Feb 16 2020 01: +0,1581814800
142.481,1,Feb 17 2020 01: +0,1581901200
144.526,1,Feb 21 2020 01: +0,1582246800
149.362,1,Feb 24 2020 01: +0,1582506000
198.035,1,Feb 25 2020 01: +0,1582592400
190.25,1,Mar 08 2020 01: +0,1583629200
127.42,1,Mar 24 2020 01: +0,1585011600
160.501,1,Mar 26 2020 01: +0,1585184400
162.131,1,Mar 28 2020 01: +0,1585357200
