price,quantity,date,unix timestamp
267.63,3,Sep 18 2015 01: +0,1442534400
221.765,4,Sep 19 2015 01: +0,1442620800
150.082,1,Sep 20 2015 01: +0,1442707200
156.259,13,Sep 21 2015 01: +0,1442793600
163.695,3,Sep 22 2015 01: +0,1442880000
114.881,5,Sep 23 2015 01: +0,1442966400
126.942,7,Sep 24 2015 01: +0,1443052800
137.991,2,Sep 25 2015 01: +0,1443139200
122.319,9,Sep 26 2015 01: +0,1443225600
120.037,1,Sep 27 2015 01: +0,1443312000
101.869,6,Sep 28 2015 01: +0,1443398400
107.941,5,Sep 29 2015 01: +0,1443484800
113.882,4,Sep 30 2015 01: +0,1443571200
111.161,6,Oct 01 2015 01: +0,1443657600
110.191,6,Oct 02 2015 01: +0,1443744000
106.335,13,Oct 03 2015 01: +0,1443830400
107.974,7,Oct 04 2015 01: +0,1443916800
100.311,7,Oct 05 2015 01: +0,1444003200
104.368,10,Oct 06 2015 01: +0,1444089600
106.757,6,Oct 07 2015 01: +0,1444176000
104.129,4,Oct 08 2015 01: +0,1444262400
97.853,7,Oct 09 2015 01: +0,1444348800
97.566,4,Oct 10 2015 01: +0,1444435200
93.477,13,Oct 11 2015 01: +0,1444521600
98.829,7,Oct 12 2015 01: +0,1444608000
96.677,5,Oct 13 2015 01: +0,1444694400
98.035,5,Oct 14 2015 01: +0,1444780800
98.39,7,Oct 15 2015 01: +0,1444867200
98.837,6,Oct 16 2015 01: +0,1444953600
97.265,6,Oct 17 2015 01: +0,1445040000
91.281,3,Oct 18 2015 01: +0,1445126400
89.508,9,Oct 19 2015 01: +0,1445212800
94.692,9,Oct 20 2015 01: +0,1445299200
92.714,6,Oct 21 2015 01: +0,1445385600
84.631,11,Oct 22 2015 01: +0,1445472000
77.756,8,Oct 23 2015 01: +0,1445558400
86.728,10,Oct 24 2015 01: +0,1445644800
91.641,7,Oct 25 2015 01: +0,1445731200
77.799,7,Oct 26 2015 01: +0,1445821200
77.649,8,Oct 27 2015 01: +0,1445907600
85.545,4,Oct 28 2015 01: +0,1445994000
83.065,7,Oct 29 2015 01: +0,1446080400
84.857,5,Oct 30 2015 01: +0,1446166800
86.268,10,Oct 31 2015 01: +0,1446253200
83.604,7,Nov 01 2015 01: +0,1446339600
