price,quantity,date,unix timestamp
323.247,2,Nov 30 2016 01: +0,1480467600
175.946,1,Dec 04 2016 01: +0,1480813200
172.057,1,Dec 05 2016 01: +0,1480899600
180.107,3,Dec 06 2016 01: +0,1480986000
134.623,1,Dec 15 2016 01: +0,1481763600
159.637,2,Dec 18 2016 01: +0,1482022800
171.718,1,Dec 23 2016 01: +0,1482454800
182.029,1,Dec 25 2016 01: +0,1482627600
242.568,1,Dec 27 2016 01: +0,1482800400
177.705,1,Dec 29 2016 01: +0,1482973200
187.31,1,Jan 02 2017 01: +0,1483318800
192.547,1,Jan 08 2017 01: +0,1483837200
155.215,1,Jan 09 2017 01: +0,1483923600
139.185,1,Jan 13 2017 01: +0,1484269200
153.252,5,Jan 14 2017 01: +0,1484355600
175.352,1,Jan 15 2017 01: +0,1484442000
142.696,1,Jan 16 2017 01: +0,1484528400
174.535,1,Jan 18 2017 01: +0,1484701200
171.903,1,Jan 19 2017 01: +0,1484787600
165.513,1,Jan 20 2017 01: +0,1484874000
158.453,1,Jan 22 2017 01: +0,1485046800
167.509,2,Jan 23 2017 01: +0,1485133200
168.528,1,Jan 25 2017 01: +0,1485306000
178.811,2,Jan 26 2017 01: +0,1485392400
166.469,1,Jan 27 2017 01: +0,1485478800
166.846,2,Jan 29 2017 01: +0,1485651600
157.337,2,Jan 30 2017 01: +0,1485738000
204.725,2,Jan 31 2017 01: +0,1485824400
204.386,1,Feb 01 2017 01: +0,1485910800
161.54,1,Feb 02 2017 01: +0,1485997200
164.525,1,Feb 05 2017 01: +0,1486256400
213.32,1,Feb 07 2017 01: +0,1486429200
208.989,2,Feb 08 2017 01: +0,1486515600
206.59,2,Feb 10 2017 01: +0,1486688400
190.25,1,Feb 11 2017 01: +0,1486774800
179.794,1,Feb 15 2017 01: +0,1487120400
232.894,1,Feb 16 2017 01: +0,1487206800
199.824,1,Feb 22 2017 01: +0,1487725200
248.161,1,Mar 01 2017 01: +0,1488330000
229.781,1,Mar 03 2017 01: +0,1488502800
284.419,1,Mar 04 2017 01: +0,1488589200
210.738,2,Mar 07 2017 01: +0,1488848400
240.815,1,Mar 11 2017 01: +0,1489194000
220.516,2,Mar 18 2017 01: +0,1489798800
232.163,1,Mar 26 2017 01: +0,1490490000
227.003,1,Mar 29 2017 01: +0,1490745600
227.348,1,Apr 04 2017 01: +0,1491264000
210.94,1,Apr 06 2017 01: +0,1491436800
227.261,1,Apr 07 2017 01: +0,1491523200
226.624,2,Apr 09 2017 01: +0,1491696000
236.138,1,Apr 11 2017 01: +0,1491868800
240.699,1,Apr 19 2017 01: +0,1492560000
199.026,1,Apr 22 2017 01: +0,1492819200
198.865,1,Apr 27 2017 01: +0,1493251200
198.389,1,Apr 30 2017 01: +0,1493510400
244.625,2,May 01 2017 01: +0,1493596800
250.026,3,May 02 2017 01: +0,1493683200
202.624,1,May 05 2017 01: +0,1493942400
256.407,1,May 06 2017 01: +0,1494028800
215.892,2,May 08 2017 01: +0,1494201600
244.184,1,May 09 2017 01: +0,1494288000
198.514,1,May 10 2017 01: +0,1494374400
233.813,3,May 11 2017 01: +0,1494460800
222.282,3,May 12 2017 01: +0,1494547200
270.031,3,May 13 2017 01: +0,1494633600
239.553,2,May 19 2017 01: +0,1495152000
240.182,1,May 27 2017 01: +0,1495843200
219.807,2,Jun 01 2017 01: +0,1496275200
232.345,1,Jun 06 2017 01: +0,1496707200
199.994,1,Jun 07 2017 01: +0,1496793600
199.688,1,Jun 11 2017 01: +0,1497139200
222.884,1,Jun 16 2017 01: +0,1497571200
240.993,1,Jun 17 2017 01: +0,1497657600
202.641,1,Jun 19 2017 01: +0,1497830400
248.166,1,Jun 21 2017 01: +0,1498003200
