price,quantity,date,unix timestamp
95.075,1,Aug 23 2013 01: +0,1377216000
128.419,2,Sep 02 2013 01: +0,1378080000
125.062,1,Sep 16 2013 01: +0,1379289600
164.555,1,Sep 18 2013 01: +0,1379462400
118.906,1,Oct 16 2013 01: +0,1381881600
151.555,2,Oct 19 2013 01: +0,1382140800
113.108,1,Oct 21 2013 01: +0,1382313600
97.776,2,Nov 01 2013 01: +0,1383267600
161.712,1,Nov 02 2013 01: +0,1383354000
133.194,1,Nov 13 2013 01: +0,1384304400
152.958,1,Nov 25 2013 01: +0,1385341200
83.02,1,Nov 29 2013 01: +0,1385686800
155.384,1,Dec 01 2013 01: +0,1385859600
136.484,1,Dec 15 2013 01: +0,1387069200
138.906,2,Dec 18 2013 01: +0,1387328400
128.484,1,Dec 19 2013 01: +0,1387414800
130.162,1,Dec 28 2013 01: +0,1388192400
130.894,1,Jan 01 2014 01: +0,1388538000
136.819,1,Jan 02 2014 01: +0,1388624400
122.591,1,Jan 05 2014 01: +0,1388883600
144.11,1,Jan 25 2014 01: +0,1390611600
149.702,1,Feb 01 2014 01: +0,1391216400
99.385,1,Feb 09 2014 01: +0,1391907600
113.579,2,Feb 10 2014 01: +0,1391994000
139.172,1,Feb 12 2014 01: +0,1392166800
105.191,1,Feb 13 2014 01: +0,1392253200
135.722,1,Feb 14 2014 01: +0,1392339600
65.167,1,Feb 20 2014 01: +0,1392858000
130.106,1,Feb 27 2014 01: +0,1393462800
114.003,1,Feb 28 2014 01: +0,1393549200
145.959,2,Mar 01 2014 01: +0,1393635600
136.409,1,Mar 06 2014 01: +0,1394067600
132.358,1,Mar 08 2014 01: +0,1394240400
105.514,1,Mar 16 2014 01: +0,1394931600
150.665,2,Mar 17 2014 01: +0,1395018000
114.892,1,Mar 18 2014 01: +0,1395104400
130.117,2,Apr 05 2014 01: +0,1396656000
137.446,1,Apr 10 2014 01: +0,1397088000
137.664,1,Apr 12 2014 01: +0,1397260800
137.675,1,Apr 17 2014 01: +0,1397692800
137.551,1,Apr 26 2014 01: +0,1398470400
91.689,1,Apr 27 2014 01: +0,1398556800
131.744,1,Apr 30 2014 01: +0,1398816000
114.209,1,May 02 2014 01: +0,1398988800
119.599,1,May 11 2014 01: +0,1399766400
157.163,1,May 19 2014 01: +0,1400457600
95.125,1,May 23 2014 01: +0,1400803200
87.039,2,May 26 2014 01: +0,1401062400
96.151,2,May 28 2014 01: +0,1401235200
99.363,2,May 29 2014 01: +0,1401321600
104.624,1,May 30 2014 01: +0,1401408000
103.342,2,May 31 2014 01: +0,1401494400
92.963,2,Jun 01 2014 01: +0,1401580800
106.829,1,Jun 02 2014 01: +0,1401667200
112.711,1,Jun 03 2014 01: +0,1401753600
108.054,1,Jun 06 2014 01: +0,1402012800
