price,quantity,date,unix timestamp
133.739,2,Sep 24 2021 01: +0,1632441600
113.733,5,Sep 26 2021 01: +0,1632614400
134.348,1,Sep 29 2021 01: +0,1632873600
97.325,1,Oct 02 2021 01: +0,1633132800
129.618,5,Oct 03 2021 01: +0,1633219200
165.435,1,Oct 07 2021 01: +0,1633564800
108.892,1,Oct 09 2021 01: +0,1633737600
172.896,1,Oct 11 2021 01: +0,1633910400
113.772,1,Oct 14 2021 01: +0,1634169600
113.215,1,Oct 16 2021 01: +0,1634342400
148.006,1,Oct 17 2021 01: +0,1634428800
152.07,1,Oct 18 2021 01: +0,1634515200
142.805,1,Oct 21 2021 01: +0,1634774400
110.267,1,Oct 22 2021 01: +0,1634860800
100.048,1,Oct 24 2021 01: +0,1635033600
121.413,2,Oct 25 2021 01: +0,1635120000
129.571,1,Oct 26 2021 01: +0,1635206400
101.762,1,Oct 27 2021 01: +0,1635292800
128.436,1,Oct 28 2021 01: +0,1635379200
123.948,2,Oct 29 2021 01: +0,1635465600
131.716,1,Oct 30 2021 01: +0,1635552000
130.402,1,Nov 02 2021 01: +0,1635814800
115.873,2,Nov 06 2021 01: +0,1636160400
114.665,2,Nov 07 2021 01: +0,1636246800
110.358,3,Nov 10 2021 01: +0,1636506000
116.876,1,Nov 12 2021 01: +0,1636678800
107.99,3,Nov 13 2021 01: +0,1636765200
127.272,1,Nov 14 2021 01: +0,1636851600
122.204,2,Nov 16 2021 01: +0,1637024400
125.128,1,Nov 18 2021 01: +0,1637197200
127.824,1,Nov 19 2021 01: +0,1637283600
127.955,1,Nov 22 2021 01: +0,1637542800
102.189,1,Nov 23 2021 01: +0,1637629200
103.951,1,Nov 24 2021 01: +0,1637715600
130.592,1,Nov 28 2021 01: +0,1638061200
133.168,1,Nov 29 2021 01: +0,1638147600
141.605,1,Dec 01 2021 01: +0,1638320400
118.092,1,Dec 05 2021 01: +0,1638666000
139.878,1,Dec 11 2021 01: +0,1639184400
155.241,2,Dec 15 2021 01: +0,1639530000
111.199,2,Dec 16 2021 01: +0,1639616400
132.838,2,Dec 20 2021 01: +0,1639962000
160.505,1,Dec 27 2021 01: +0,1640566800
124.162,2,Dec 30 2021 01: +0,1640826000
150.979,1,Dec 31 2021 01: +0,1640912400
148.15,1,Jan 03 2022 01: +0,1641171600
137.727,2,Jan 04 2022 01: +0,1641258000
125.971,2,Jan 05 2022 01: +0,1641344400
137.24,2,Jan 06 2022 01: +0,1641430800
147.508,1,Jan 07 2022 01: +0,1641517200
153.785,1,Jan 11 2022 01: +0,1641862800
145.135,2,Jan 12 2022 01: +0,1641949200
149.075,1,Jan 13 2022 01: +0,1642035600
128.171,1,Jan 16 2022 01: +0,1642294800
128.169,1,Jan 18 2022 01: +0,1642467600
133.741,2,Jan 19 2022 01: +0,1642554000
