price,quantity,date,unix timestamp
161.734,1,Nov 04 2013 01: +0,1383526800
146.083,2,Mar 01 2014 01: +0,1393635600
217.864,1,Mar 10 2014 01: +0,1394413200
197.86,1,Mar 17 2014 01: +0,1395018000
232.907,1,Jun 21 2014 01: +0,1403308800
152.671,1,Aug 12 2014 01: +0,1407801600
165.443,1,Sep 02 2014 01: +0,1409616000
125.192,1,Sep 04 2014 01: +0,1409788800
152.423,1,Sep 09 2014 01: +0,1410220800
131.847,1,Oct 16 2014 01: +0,1413417600
152.259,1,Oct 25 2014 01: +0,1414195200
143.672,1,Nov 09 2014 01: +0,1415494800
144.817,1,Dec 18 2014 01: +0,1418864400
140.421,1,Dec 19 2014 01: +0,1418950800
194.154,1,Dec 21 2014 01: +0,1419123600
153.647,1,Jan 03 2015 01: +0,1420246800
139.348,1,Jan 24 2015 01: +0,1422061200
146.224,1,Feb 13 2015 01: +0,1423789200
117.446,2,Feb 21 2015 01: +0,1424480400
113.748,1,Feb 26 2015 01: +0,1424912400
146.807,1,Mar 07 2015 01: +0,1425690000
118.906,1,Mar 13 2015 01: +0,1426208400
104.646,1,Mar 14 2015 01: +0,1426294800
110.044,1,Mar 20 2015 01: +0,1426813200
141.352,1,Mar 21 2015 01: +0,1426899600
161.812,1,Apr 01 2015 01: +0,1427846400
162.953,1,Apr 06 2015 01: +0,1428278400
89.435,1,Apr 08 2015 01: +0,1428451200
94.726,1,Apr 15 2015 01: +0,1429056000
64.331,1,Apr 20 2015 01: +0,1429488000
83.223,2,May 01 2015 01: +0,1430438400
149.962,1,Jun 13 2015 01: +0,1434153600
90.981,1,Aug 01 2015 01: +0,1438387200
136.484,1,Aug 03 2015 01: +0,1438560000
151.844,1,Aug 27 2015 01: +0,1440633600
332.502,1,Sep 04 2015 01: +0,1441324800
119.256,1,Dec 20 2015 01: +0,1450573200
311.613,1,Dec 21 2015 01: +0,1450659600
166.722,1,Jan 06 2016 01: +0,1452042000
161.7,1,Jan 25 2016 01: +0,1453683600
95.125,1,Apr 11 2017 01: +0,1491868800
118.906,1,Apr 25 2017 01: +0,1493078400
454.954,1,Aug 12 2017 01: +0,1502496000
191.695,1,Oct 30 2017 01: +0,1509325200
223.122,1,Nov 11 2017 01: +0,1510362000
103.299,1,Dec 26 2017 01: +0,1514250000
189.456,1,Feb 18 2018 01: +0,1518915600
112.685,1,Dec 16 2018 01: +0,1544922000
187.36,1,Dec 27 2019 01: +0,1577408400
221.699,1,May 01 2020 01: +0,1588291200
138.982,1,Jun 27 2020 01: +0,1593216000
161.82,1,Aug 06 2020 01: +0,1596672000
157.163,1,May 24 2021 01: +0,1621814400
136.707,1,Jul 08 2021 01: +0,1625702400
165.079,1,Apr 04 2022 01: +0,1649030400
125.086,1,May 07 2022 01: +0,1651881600
162.83,2,May 12 2022 01: +0,1652313600
152.498,1,Jul 03 2022 01: +0,1656806400
206.742,1,Jul 18 2022 01: +0,1658102400
147.682,1,Oct 31 2022 01: +0,1667178000
172.656,1,Aug 23 2023 09: +0,1692777600
