price,quantity,date,unix timestamp
156.173,1,Nov 23 2019 01: +0,1574470800
115.78,1,Dec 07 2019 01: +0,1575680400
96.866,1,Feb 19 2020 01: +0,1582074000
103.947,1,Feb 25 2020 01: +0,1582592400
123.538,1,Feb 26 2020 01: +0,1582678800
143.722,1,Mar 02 2020 01: +0,1583110800
113.017,1,Apr 27 2020 01: +0,1587945600
107.539,1,Apr 30 2020 01: +0,1588204800
113.62,1,May 06 2020 01: +0,1588723200
154.441,1,May 12 2020 01: +0,1589241600
133.324,1,Oct 16 2020 01: +0,1602806400
116.971,1,Oct 20 2020 01: +0,1603152000
140.619,1,Oct 29 2020 01: +0,1603933200
131.777,1,Dec 28 2020 01: +0,1609117200
139.933,1,Feb 15 2021 01: +0,1613350800
135.378,1,Feb 28 2021 01: +0,1614474000
132.348,1,Mar 06 2021 01: +0,1614992400
135.946,1,Mar 18 2021 01: +0,1616029200
134.606,1,Mar 24 2021 01: +0,1616547600
137.17,1,Apr 04 2021 01: +0,1617494400
127.467,1,Apr 05 2021 01: +0,1617580800
130.743,1,Apr 22 2021 01: +0,1619049600
162.644,1,Apr 26 2021 01: +0,1619395200
131.248,1,Apr 27 2021 01: +0,1619481600
108.418,1,May 09 2021 01: +0,1620518400
136.925,1,May 18 2021 01: +0,1621296000
121.549,2,May 19 2021 01: +0,1621382400
125.606,1,May 28 2021 01: +0,1622160000
128.418,1,May 30 2021 01: +0,1622332800
108.85,1,Jun 17 2021 01: +0,1623888000
122.28,2,Jun 27 2021 01: +0,1624752000
150.815,1,Jul 26 2021 01: +0,1627257600
95.972,1,Aug 17 2021 01: +0,1629158400
95.125,1,Aug 19 2021 01: +0,1629331200
95.836,1,Aug 23 2021 01: +0,1629676800
97.769,1,Aug 29 2021 01: +0,1630195200
123.999,1,Sep 19 2021 01: +0,1632009600
101.742,1,Sep 22 2021 01: +0,1632268800
116.003,1,Oct 06 2021 01: +0,1633478400
95.369,2,Oct 10 2021 01: +0,1633824000
90.368,1,Oct 12 2021 01: +0,1633996800
74.239,1,Oct 28 2021 01: +0,1635379200
81.402,1,Nov 30 2021 01: +0,1638234000
87.986,1,Dec 06 2021 01: +0,1638752400
118.495,1,Dec 17 2021 01: +0,1639702800
115.815,1,Dec 30 2021 01: +0,1640826000
98.14,1,Feb 02 2022 01: +0,1643763600
104.634,1,Apr 07 2022 01: +0,1649289600
138.022,1,Apr 12 2022 01: +0,1649721600
139.834,1,Apr 24 2022 01: +0,1650758400
140.098,1,Apr 27 2022 01: +0,1651017600
162.968,2,May 02 2022 01: +0,1651449600
139.891,1,May 03 2022 01: +0,1651536000
125.499,1,Jun 26 2022 01: +0,1656201600
109.845,1,Jul 31 2022 01: +0,1659225600
130.398,1,Aug 10 2022 01: +0,1660089600
127.352,1,Aug 26 2022 01: +0,1661472000
127.327,1,Aug 29 2022 01: +0,1661731200
122.116,1,Sep 22 2022 01: +0,1663804800
118.567,1,Sep 28 2022 01: +0,1664323200
128.113,1,Dec 21 2022 01: +0,1671584400
131.934,1,Dec 31 2022 01: +0,1672448400
131.934,1,Jan 25 2023 01: +0,1674608400
144.168,1,Jan 30 2023 01: +0,1675040400
142.002,1,Mar 02 2023 06: +0,1677736800
207.822,1,Mar 06 2023 05: +0,1678078800
172.391,1,Mar 11 2023 14: +0,1678543200
180.257,1,Mar 16 2023 20: +0,1678996800
145.368,1,Mar 17 2023 04: +0,1679025600
163.899,1,Mar 24 2023 10: +0,1679652000
175.307,1,Apr 04 2023 07: +0,1680588000
230.383,1,Apr 17 2023 03: +0,1681696800
186.227,1,May 15 2023 18: +0,1684170000
186.243,1,May 16 2023 20: +0,1684263600
187.06,1,May 17 2023 18: +0,1684342800
251.585,1,May 20 2023 21: +0,1684612800
