price,quantity,date,unix timestamp
289.759,1,Feb 23 2020 01: +0,1582419600
268.421,1,Mar 05 2020 01: +0,1583370000
215.301,1,Mar 10 2020 01: +0,1583802000
269.119,1,Mar 25 2020 01: +0,1585098000
208.53,1,Mar 31 2020 01: +0,1585612800
238.163,1,Apr 07 2020 01: +0,1586217600
269.849,1,Apr 09 2020 01: +0,1586390400
252.321,1,May 07 2020 01: +0,1588809600
258.847,1,May 22 2020 01: +0,1590105600
305.531,1,Jun 15 2020 01: +0,1592179200
320.041,1,Jun 23 2020 01: +0,1592870400
237.812,1,Jun 24 2020 01: +0,1592956800
232.839,2,Sep 07 2020 01: +0,1599436800
244.847,1,Sep 19 2020 01: +0,1600473600
293.605,1,Sep 22 2020 01: +0,1600732800
239.88,1,Sep 26 2020 01: +0,1601078400
243.274,1,Oct 04 2020 01: +0,1601769600
280.486,1,Oct 05 2020 01: +0,1601856000
252.743,1,Nov 01 2020 01: +0,1604192400
317.833,1,Nov 03 2020 01: +0,1604365200
207.066,1,Dec 04 2020 01: +0,1607043600
190.92,1,Dec 05 2020 01: +0,1607130000
308.892,1,Dec 08 2020 01: +0,1607389200
191.685,1,Dec 14 2020 01: +0,1607907600
232.229,1,Dec 22 2020 01: +0,1608598800
208.232,1,Jan 02 2021 01: +0,1609549200
235.827,1,Jan 12 2021 01: +0,1610413200
204.267,2,Jan 22 2021 01: +0,1611277200
291.918,1,Jan 27 2021 01: +0,1611709200
214.429,1,Feb 03 2021 01: +0,1612314000
216.579,1,Feb 05 2021 01: +0,1612486800
212.906,1,Feb 17 2021 01: +0,1613523600
220.822,1,Feb 22 2021 01: +0,1613955600
273.933,1,Feb 23 2021 01: +0,1614042000
282.281,1,Feb 24 2021 01: +0,1614128400
234.967,1,Mar 06 2021 01: +0,1614992400
235.554,1,Mar 12 2021 01: +0,1615510800
264.307,1,Mar 15 2021 01: +0,1615770000
240.807,1,Mar 16 2021 01: +0,1615856400
285.375,1,Mar 19 2021 01: +0,1616115600
272.98,1,Mar 21 2021 01: +0,1616288400
263.527,1,Mar 23 2021 01: +0,1616461200
234.992,2,Mar 25 2021 01: +0,1616634000
285.374,1,Mar 27 2021 01: +0,1616806800
273.114,1,Mar 30 2021 01: +0,1617062400
238.226,1,Apr 03 2021 01: +0,1617408000
284.753,1,Apr 04 2021 01: +0,1617494400
239.855,1,Apr 12 2021 01: +0,1618185600
256.833,1,Apr 19 2021 01: +0,1618790400
254.534,2,Apr 26 2021 01: +0,1619395200
261.583,1,Apr 30 2021 01: +0,1619740800
225.802,1,May 06 2021 01: +0,1620259200
225.917,1,May 07 2021 01: +0,1620345600
271.76,1,May 11 2021 01: +0,1620691200
285.36,1,May 12 2021 01: +0,1620777600
