price,quantity,date,unix timestamp
0.264,2022,Sep 22 2021 01: +0,1632268800
0.259,1535,Sep 23 2021 01: +0,1632355200
0.315,1048,Sep 24 2021 01: +0,1632441600
0.354,1018,Sep 25 2021 01: +0,1632528000
0.37,835,Sep 26 2021 01: +0,1632614400
0.357,671,Sep 27 2021 01: +0,1632700800
0.355,630,Sep 28 2021 01: +0,1632787200
0.354,859,Sep 29 2021 01: +0,1632873600
0.363,741,Sep 30 2021 01: +0,1632960000
0.33,600,Oct 01 2021 01: +0,1633046400
0.306,537,Oct 02 2021 01: +0,1633132800
0.295,503,Oct 03 2021 01: +0,1633219200
0.319,493,Oct 04 2021 01: +0,1633305600
0.349,486,Oct 05 2021 01: +0,1633392000
0.331,555,Oct 06 2021 01: +0,1633478400
0.321,430,Oct 07 2021 01: +0,1633564800
0.327,561,Oct 08 2021 01: +0,1633651200
0.312,406,Oct 09 2021 01: +0,1633737600
0.309,356,Oct 10 2021 01: +0,1633824000
0.287,286,Oct 11 2021 01: +0,1633910400
0.274,339,Oct 12 2021 01: +0,1633996800
0.257,389,Oct 13 2021 01: +0,1634083200
0.233,351,Oct 14 2021 01: +0,1634169600
0.236,309,Oct 15 2021 01: +0,1634256000
0.236,342,Oct 16 2021 01: +0,1634342400
0.225,257,Oct 17 2021 01: +0,1634428800
0.22,236,Oct 18 2021 01: +0,1634515200
0.227,241,Oct 19 2021 01: +0,1634601600
0.228,428,Oct 20 2021 01: +0,1634688000
0.227,301,Oct 21 2021 01: +0,1634774400
0.208,481,Oct 22 2021 01: +0,1634860800
0.189,329,Oct 23 2021 01: +0,1634947200
0.185,205,Oct 24 2021 01: +0,1635033600
0.183,336,Oct 25 2021 01: +0,1635120000
0.194,247,Oct 26 2021 01: +0,1635206400
0.203,406,Oct 27 2021 01: +0,1635292800
0.209,326,Oct 28 2021 01: +0,1635379200
0.216,331,Oct 29 2021 01: +0,1635465600
0.231,348,Oct 30 2021 01: +0,1635552000
0.223,240,Oct 31 2021 01: +0,1635638400
0.218,207,Nov 01 2021 01: +0,1635728400
0.226,238,Nov 02 2021 01: +0,1635814800
0.227,322,Nov 03 2021 01: +0,1635901200
0.239,248,Nov 04 2021 01: +0,1635987600
0.232,226,Nov 05 2021 01: +0,1636074000
0.251,235,Nov 06 2021 01: +0,1636160400
0.243,328,Nov 07 2021 01: +0,1636246800
0.244,283,Nov 08 2021 01: +0,1636333200
0.242,218,Nov 09 2021 01: +0,1636419600
0.208,340,Nov 10 2021 01: +0,1636506000
0.219,326,Nov 11 2021 01: +0,1636592400
0.211,266,Nov 12 2021 01: +0,1636678800
0.21,227,Nov 13 2021 01: +0,1636765200
0.217,246,Nov 14 2021 01: +0,1636851600
0.222,202,Nov 15 2021 01: +0,1636938000
0.228,194,Nov 16 2021 01: +0,1637024400
0.212,262,Nov 17 2021 01: +0,1637110800
0.212,248,Nov 18 2021 01: +0,1637197200
0.218,231,Nov 19 2021 01: +0,1637283600
0.215,279,Nov 20 2021 01: +0,1637370000
0.198,231,Nov 21 2021 01: +0,1637456400
0.217,234,Nov 22 2021 01: +0,1637542800
0.213,321,Nov 23 2021 01: +0,1637629200
0.215,430,Nov 24 2021 01: +0,1637715600
0.216,243,Nov 25 2021 01: +0,1637802000
0.22,264,Nov 26 2021 01: +0,1637888400
0.216,262,Nov 27 2021 01: +0,1637974800
0.217,263,Nov 28 2021 01: +0,1638061200
0.222,157,Nov 29 2021 01: +0,1638147600
0.211,330,Nov 30 2021 01: +0,1638234000
0.209,320,Dec 01 2021 01: +0,1638320400
0.215,255,Dec 02 2021 01: +0,1638406800
0.227,305,Dec 03 2021 01: +0,1638493200
0.266,303,Dec 04 2021 01: +0,1638579600
0.294,304,Dec 05 2021 01: +0,1638666000
0.281,215,Dec 06 2021 01: +0,1638752400
0.285,225,Dec 07 2021 01: +0,1638838800
0.279,348,Dec 08 2021 01: +0,1638925200
0.283,254,Dec 09 2021 01: +0,1639011600
0.288,252,Dec 10 2021 01: +0,1639098000
0.274,232,Dec 11 2021 01: +0,1639184400
0.266,205,Dec 12 2021 01: +0,1639270800
0.264,208,Dec 13 2021 01: +0,1639357200
0.289,255,Dec 14 2021 01: +0,1639443600
0.283,252,Dec 15 2021 01: +0,1639530000
0.269,246,Dec 16 2021 01: +0,1639616400
0.283,181,Dec 17 2021 01: +0,1639702800
0.282,186,Dec 18 2021 01: +0,1639789200
0.285,228,Dec 19 2021 01: +0,1639875600
0.273,210,Dec 20 2021 01: +0,1639962000
0.28,241,Dec 21 2021 01: +0,1640048400
0.267,257,Dec 22 2021 01: +0,1640134800
0.257,261,Dec 23 2021 01: +0,1640221200
0.272,255,Dec 24 2021 01: +0,1640307600
0.265,242,Dec 25 2021 01: +0,1640394000
0.266,249,Dec 26 2021 01: +0,1640480400
0.269,310,Dec 27 2021 01: +0,1640566800
0.266,274,Dec 28 2021 01: +0,1640653200
0.268,339,Dec 29 2021 01: +0,1640739600
0.274,307,Dec 30 2021 01: +0,1640826000
0.281,321,Dec 31 2021 01: +0,1640912400
0.285,306,Jan 01 2022 01: +0,1640998800
0.274,286,Jan 02 2022 01: +0,1641085200
0.269,296,Jan 03 2022 01: +0,1641171600
0.268,325,Jan 04 2022 01: +0,1641258000
0.271,498,Jan 05 2022 01: +0,1641344400
0.284,429,Jan 06 2022 01: +0,1641430800
0.291,333,Jan 07 2022 01: +0,1641517200
0.294,352,Jan 08 2022 01: +0,1641603600
0.29,361,Jan 09 2022 01: +0,1641690000
0.296,287,Jan 10 2022 01: +0,1641776400
0.3,288,Jan 11 2022 01: +0,1641862800
0.306,250,Jan 12 2022 01: +0,1641949200
0.306,266,Jan 13 2022 01: +0,1642035600
0.307,240,Jan 14 2022 01: +0,1642122000
