price,quantity,date,unix timestamp
0.963,1,Jun 24 2016 01: +0,1466726400
0.907,112,Jun 25 2016 01: +0,1466812800
0.9,57,Jun 26 2016 01: +0,1466899200
0.863,45,Jun 27 2016 01: +0,1466985600
0.846,32,Jun 28 2016 01: +0,1467072000
0.835,29,Jun 29 2016 01: +0,1467158400
0.898,23,Jun 30 2016 01: +0,1467244800
0.822,20,Jul 01 2016 01: +0,1467331200
0.853,28,Jul 02 2016 01: +0,1467417600
0.876,34,Jul 03 2016 01: +0,1467504000
0.918,49,Jul 04 2016 01: +0,1467590400
0.898,42,Jul 05 2016 01: +0,1467676800
0.927,73,Jul 06 2016 01: +0,1467763200
0.921,73,Jul 07 2016 01: +0,1467849600
0.907,62,Jul 08 2016 01: +0,1467936000
0.908,57,Jul 09 2016 01: +0,1468022400
0.314,1027,Jul 10 2016 01: +0,1468108800
0.235,445,Jul 11 2016 01: +0,1468195200
0.285,478,Jul 12 2016 01: +0,1468281600
0.306,305,Jul 13 2016 01: +0,1468368000
0.297,312,Jul 14 2016 01: +0,1468454400
0.301,249,Jul 15 2016 01: +0,1468540800
0.31,249,Jul 16 2016 01: +0,1468627200
0.323,203,Jul 17 2016 01: +0,1468713600
0.311,213,Jul 18 2016 01: +0,1468800000
0.3,172,Jul 19 2016 01: +0,1468886400
0.289,254,Jul 20 2016 01: +0,1468972800
0.297,173,Jul 21 2016 01: +0,1469059200
0.305,138,Jul 22 2016 01: +0,1469145600
0.303,192,Jul 23 2016 01: +0,1469232000
0.298,149,Jul 24 2016 01: +0,1469318400
0.304,173,Jul 25 2016 01: +0,1469404800
0.31,172,Jul 26 2016 01: +0,1469491200
0.327,166,Jul 27 2016 01: +0,1469577600
0.328,153,Jul 28 2016 01: +0,1469664000
0.337,183,Jul 29 2016 01: +0,1469750400
0.331,171,Jul 30 2016 01: +0,1469836800
0.324,150,Jul 31 2016 01: +0,1469923200
0.324,126,Aug 01 2016 01: +0,1470009600
0.317,149,Aug 02 2016 01: +0,1470096000
0.316,163,Aug 03 2016 01: +0,1470182400
0.312,130,Aug 04 2016 01: +0,1470268800
0.315,118,Aug 05 2016 01: +0,1470355200
0.311,114,Aug 06 2016 01: +0,1470441600
0.31,116,Aug 07 2016 01: +0,1470528000
