price,quantity,date,unix timestamp
2.249,112,Aug 23 2019 01: +0,1566518400
2.373,185,Aug 24 2019 01: +0,1566604800
2.265,131,Aug 25 2019 01: +0,1566691200
2.133,197,Aug 26 2019 01: +0,1566777600
2.283,77,Aug 27 2019 01: +0,1566864000
2.219,171,Aug 28 2019 01: +0,1566950400
2.207,175,Aug 29 2019 01: +0,1567036800
2.375,119,Aug 30 2019 01: +0,1567123200
2.408,85,Aug 31 2019 01: +0,1567209600
2.325,136,Sep 01 2019 01: +0,1567296000
2.043,184,Sep 02 2019 01: +0,1567382400
2.189,109,Sep 03 2019 01: +0,1567468800
2.338,91,Sep 04 2019 01: +0,1567555200
2.08,354,Sep 05 2019 01: +0,1567641600
2.019,333,Sep 06 2019 01: +0,1567728000
1.948,336,Sep 07 2019 01: +0,1567814400
1.888,367,Sep 08 2019 01: +0,1567900800
1.867,202,Sep 09 2019 01: +0,1567987200
1.9,124,Sep 10 2019 01: +0,1568073600
2.069,86,Sep 11 2019 01: +0,1568160000
2.169,53,Sep 12 2019 01: +0,1568246400
2.086,53,Sep 13 2019 01: +0,1568332800
2.106,42,Sep 14 2019 01: +0,1568419200
2.145,54,Sep 15 2019 01: +0,1568505600
2.37,54,Sep 16 2019 01: +0,1568592000
2.245,154,Sep 17 2019 01: +0,1568678400
2.189,50,Sep 18 2019 01: +0,1568764800
2.065,111,Sep 19 2019 01: +0,1568851200
2.078,85,Sep 20 2019 01: +0,1568937600
2.279,40,Sep 21 2019 01: +0,1569024000
1.991,49,Sep 22 2019 01: +0,1569110400
2.026,111,Sep 23 2019 01: +0,1569196800
2.045,27,Sep 24 2019 01: +0,1569283200
2.065,20,Sep 25 2019 01: +0,1569369600
2.067,29,Sep 26 2019 01: +0,1569456000
2.193,46,Sep 27 2019 01: +0,1569542400
2.302,24,Sep 28 2019 01: +0,1569628800
2.431,36,Sep 29 2019 01: +0,1569715200
2.465,21,Sep 30 2019 01: +0,1569801600
2.527,19,Oct 01 2019 01: +0,1569888000
2.514,24,Oct 02 2019 01: +0,1569974400
2.556,52,Oct 03 2019 01: +0,1570060800
2.577,37,Oct 04 2019 01: +0,1570147200
2.41,22,Oct 05 2019 01: +0,1570233600
2.663,7,Oct 06 2019 01: +0,1570320000
2.46,18,Oct 07 2019 01: +0,1570406400
2.342,14,Oct 08 2019 01: +0,1570492800
2.542,19,Oct 09 2019 01: +0,1570579200
2.649,14,Oct 10 2019 01: +0,1570665600
2.714,10,Oct 11 2019 01: +0,1570752000
2.68,10,Oct 12 2019 01: +0,1570838400
2.563,14,Oct 13 2019 01: +0,1570924800
2.518,8,Oct 14 2019 01: +0,1571011200
2.67,11,Oct 15 2019 01: +0,1571097600
2.643,7,Oct 16 2019 01: +0,1571184000
2.569,12,Oct 17 2019 01: +0,1571270400
2.522,19,Oct 18 2019 01: +0,1571356800
2.372,34,Oct 19 2019 01: +0,1571443200
2.34,22,Oct 20 2019 01: +0,1571529600
2.093,16,Oct 21 2019 01: +0,1571616000
2.219,19,Oct 22 2019 01: +0,1571702400
2.19,13,Oct 23 2019 01: +0,1571788800
2.142,5,Oct 24 2019 01: +0,1571875200
2.241,11,Oct 25 2019 01: +0,1571961600
2.235,6,Oct 26 2019 01: +0,1572048000
2.33,9,Oct 27 2019 01: +0,1572134400
2.148,12,Oct 28 2019 01: +0,1572224400
2.047,8,Oct 29 2019 01: +0,1572310800
2.181,12,Oct 30 2019 01: +0,1572397200
2.294,8,Oct 31 2019 01: +0,1572483600
2.298,8,Nov 01 2019 01: +0,1572570000
2.357,19,Nov 02 2019 01: +0,1572656400
2.426,14,Nov 03 2019 01: +0,1572742800
2.455,8,Nov 04 2019 01: +0,1572829200
2.429,4,Nov 05 2019 01: +0,1572915600
2.355,10,Nov 06 2019 01: +0,1573002000
2.295,9,Nov 07 2019 01: +0,1573088400
2.69,13,Nov 08 2019 01: +0,1573174800
2.564,34,Nov 09 2019 01: +0,1573261200
2.771,17,Nov 10 2019 01: +0,1573347600
2.454,2,Nov 11 2019 01: +0,1573434000
2.253,7,Nov 12 2019 01: +0,1573520400
2.429,5,Nov 13 2019 01: +0,1573606800
2.247,8,Nov 14 2019 01: +0,1573693200
2.463,8,Nov 15 2019 01: +0,1573779600
2.202,8,Nov 16 2019 01: +0,1573866000
2.585,13,Nov 17 2019 01: +0,1573952400
2.369,2,Nov 18 2019 01: +0,1574038800
1.884,204,Nov 19 2019 01: +0,1574125200
1.904,22,Nov 20 2019 01: +0,1574211600
1.887,13,Nov 21 2019 01: +0,1574298000
1.972,23,Nov 22 2019 01: +0,1574384400
1.932,11,Nov 23 2019 01: +0,1574470800
2.03,9,Nov 24 2019 01: +0,1574557200
1.844,7,Nov 25 2019 01: +0,1574643600
2.08,12,Nov 26 2019 01: +0,1574730000
1.813,6,Nov 27 2019 01: +0,1574816400
1.94,6,Nov 28 2019 01: +0,1574902800
2.039,6,Nov 29 2019 01: +0,1574989200
1.827,8,Nov 30 2019 01: +0,1575075600
2.175,11,Dec 01 2019 01: +0,1575162000
1.825,4,Dec 02 2019 01: +0,1575248400
1.995,14,Dec 03 2019 01: +0,1575334800
2.146,10,Dec 04 2019 01: +0,1575421200
2.312,3,Dec 05 2019 01: +0,1575507600
2.39,6,Dec 06 2019 01: +0,1575594000
2.194,12,Dec 07 2019 01: +0,1575680400
2.3,12,Dec 08 2019 01: +0,1575766800
2.22,2,Dec 09 2019 01: +0,1575853200
2.478,3,Dec 10 2019 01: +0,1575939600
2.2,5,Dec 11 2019 01: +0,1576026000
2.194,3,Dec 12 2019 01: +0,1576112400
2.214,7,Dec 13 2019 01: +0,1576198800
2.244,12,Dec 14 2019 01: +0,1576285200
2.238,4,Dec 15 2019 01: +0,1576371600
2.243,7,Dec 16 2019 01: +0,1576458000
2.325,7,Dec 17 2019 01: +0,1576544400
2.452,11,Dec 18 2019 01: +0,1576630800
2.239,6,Dec 19 2019 01: +0,1576717200
2.166,7,Dec 20 2019 01: +0,1576803600
2.212,17,Dec 21 2019 01: +0,1576890000
2.206,11,Dec 22 2019 01: +0,1576976400
1.975,6,Dec 23 2019 01: +0,1577062800
2.19,8,Dec 24 2019 01: +0,1577149200
2.216,9,Dec 25 2019 01: +0,1577235600
2.407,13,Dec 26 2019 01: +0,1577322000
2.433,7,Dec 27 2019 01: +0,1577408400
2.363,7,Dec 28 2019 01: +0,1577494800
2.31,8,Dec 29 2019 01: +0,1577581200
2.646,7,Dec 30 2019 01: +0,1577667600
2.673,8,Dec 31 2019 01: +0,1577754000
2.722,6,Jan 01 2020 01: +0,1577840400
2.528,3,Jan 02 2020 01: +0,1577926800
2.537,11,Jan 04 2020 01: +0,1578099600
2.591,21,Jan 05 2020 01: +0,1578186000
2.546,5,Jan 06 2020 01: +0,1578272400
2.657,6,Jan 07 2020 01: +0,1578358800
2.665,7,Jan 08 2020 01: +0,1578445200
2.787,12,Jan 09 2020 01: +0,1578531600
2.796,12,Jan 10 2020 01: +0,1578618000
