price,quantity,date,unix timestamp
0.834,2085,Feb 06 2014 01: +0,1391648400
0.814,2032,Feb 07 2014 01: +0,1391734800
0.81,2909,Feb 08 2014 01: +0,1391821200
0.809,3278,Feb 09 2014 01: +0,1391907600
0.812,1915,Feb 10 2014 01: +0,1391994000
0.819,1636,Feb 11 2014 01: +0,1392080400
0.816,1933,Feb 12 2014 01: +0,1392166800
0.819,2147,Feb 13 2014 01: +0,1392253200
0.819,1712,Feb 14 2014 01: +0,1392339600
0.814,1761,Feb 15 2014 01: +0,1392426000
0.816,1222,Feb 16 2014 01: +0,1392512400
0.813,949,Feb 17 2014 01: +0,1392598800
0.813,935,Feb 18 2014 01: +0,1392685200
0.81,805,Feb 19 2014 01: +0,1392771600
0.805,769,Feb 20 2014 01: +0,1392858000
0.803,760,Feb 21 2014 01: +0,1392944400
0.833,675,Feb 22 2014 01: +0,1393030800
0.822,766,Feb 23 2014 01: +0,1393117200
0.811,500,Feb 24 2014 01: +0,1393203600
0.815,532,Feb 25 2014 01: +0,1393290000
0.823,536,Feb 26 2014 01: +0,1393376400
0.798,617,Feb 27 2014 01: +0,1393462800
0.806,2135,Feb 28 2014 01: +0,1393549200
0.799,3242,Mar 01 2014 01: +0,1393635600
0.798,1812,Mar 02 2014 01: +0,1393722000
0.795,1465,Mar 03 2014 01: +0,1393808400
0.787,916,Mar 04 2014 01: +0,1393894800
0.79,1176,Mar 05 2014 01: +0,1393981200
0.793,1172,Mar 06 2014 01: +0,1394067600
0.883,355,Mar 07 2014 01: +0,1394154000
0.915,238,Mar 08 2014 01: +0,1394240400
0.937,170,Mar 09 2014 01: +0,1394326800
0.928,143,Mar 10 2014 01: +0,1394413200
0.928,109,Mar 11 2014 01: +0,1394499600
0.925,115,Mar 12 2014 01: +0,1394586000
0.937,84,Mar 13 2014 01: +0,1394672400
0.954,123,Mar 14 2014 01: +0,1394758800
0.939,243,Mar 15 2014 01: +0,1394845200
0.934,217,Mar 16 2014 01: +0,1394931600
0.892,125,Mar 17 2014 01: +0,1395018000
0.934,115,Mar 18 2014 01: +0,1395104400
0.937,152,Mar 19 2014 01: +0,1395190800
0.946,137,Mar 20 2014 01: +0,1395277200
0.963,173,Mar 21 2014 01: +0,1395363600
0.948,177,Mar 22 2014 01: +0,1395450000
0.945,129,Mar 23 2014 01: +0,1395536400
0.951,131,Mar 24 2014 01: +0,1395622800
0.959,120,Mar 25 2014 01: +0,1395709200
0.941,102,Mar 26 2014 01: +0,1395795600
0.945,120,Mar 27 2014 01: +0,1395882000
0.949,101,Mar 28 2014 01: +0,1395968400
0.95,136,Mar 29 2014 01: +0,1396054800
0.943,148,Mar 30 2014 01: +0,1396141200
0.955,138,Mar 31 2014 01: +0,1396224000
0.989,107,Apr 01 2014 01: +0,1396310400
0.942,116,Apr 02 2014 01: +0,1396396800
0.952,145,Apr 03 2014 01: +0,1396483200
0.941,183,Apr 04 2014 01: +0,1396569600
0.955,171,Apr 05 2014 01: +0,1396656000
0.957,173,Apr 06 2014 01: +0,1396742400
0.945,107,Apr 07 2014 01: +0,1396828800
0.941,173,Apr 08 2014 01: +0,1396915200
0.934,144,Apr 09 2014 01: +0,1397001600
0.957,144,Apr 10 2014 01: +0,1397088000
0.956,182,Apr 11 2014 01: +0,1397174400
0.961,184,Apr 12 2014 01: +0,1397260800
0.956,156,Apr 13 2014 01: +0,1397347200
0.944,167,Apr 14 2014 01: +0,1397433600
0.952,186,Apr 15 2014 01: +0,1397520000
0.947,136,Apr 16 2014 01: +0,1397606400
0.941,168,Apr 17 2014 01: +0,1397692800
0.952,149,Apr 18 2014 01: +0,1397779200
0.954,193,Apr 19 2014 01: +0,1397865600
0.962,174,Apr 20 2014 01: +0,1397952000
0.959,181,Apr 21 2014 01: +0,1398038400
0.963,248,Apr 22 2014 01: +0,1398124800
0.953,160,Apr 23 2014 01: +0,1398211200
0.935,149,Apr 24 2014 01: +0,1398297600
0.952,169,Apr 25 2014 01: +0,1398384000
0.951,186,Apr 26 2014 01: +0,1398470400
0.944,184,Apr 27 2014 01: +0,1398556800
0.95,167,Apr 28 2014 01: +0,1398643200
0.946,155,Apr 29 2014 01: +0,1398729600
0.952,167,Apr 30 2014 01: +0,1398816000
0.951,147,May 01 2014 01: +0,1398902400
0.95,124,May 02 2014 01: +0,1398988800
0.949,122,May 03 2014 01: +0,1399075200
0.94,172,May 04 2014 01: +0,1399161600
0.941,138,May 05 2014 01: +0,1399248000
0.92,141,May 06 2014 01: +0,1399334400
0.935,169,May 07 2014 01: +0,1399420800
0.949,159,May 08 2014 01: +0,1399507200
0.894,162,May 09 2014 01: +0,1399593600
0.934,149,May 10 2014 01: +0,1399680000
0.901,135,May 11 2014 01: +0,1399766400
0.937,111,May 12 2014 01: +0,1399852800
0.938,95,May 13 2014 01: +0,1399939200
0.941,119,May 14 2014 01: +0,1400025600
0.934,103,May 15 2014 01: +0,1400112000
0.951,96,May 16 2014 01: +0,1400198400
0.945,124,May 17 2014 01: +0,1400284800
0.951,129,May 18 2014 01: +0,1400371200
0.936,91,May 19 2014 01: +0,1400457600
0.955,108,May 20 2014 01: +0,1400544000
0.914,99,May 21 2014 01: +0,1400630400
0.922,78,May 22 2014 01: +0,1400716800
0.928,132,May 23 2014 01: +0,1400803200
0.964,129,May 24 2014 01: +0,1400889600
0.945,160,May 25 2014 01: +0,1400976000
0.95,119,May 26 2014 01: +0,1401062400
0.945,127,May 27 2014 01: +0,1401148800
0.922,98,May 28 2014 01: +0,1401235200
0.926,96,May 29 2014 01: +0,1401321600
0.899,104,May 30 2014 01: +0,1401408000
0.939,105,May 31 2014 01: +0,1401494400
0.934,110,Jun 01 2014 01: +0,1401580800
0.93,82,Jun 02 2014 01: +0,1401667200
0.938,113,Jun 03 2014 01: +0,1401753600
0.929,82,Jun 04 2014 01: +0,1401840000
0.922,126,Jun 05 2014 01: +0,1401926400
0.944,122,Jun 06 2014 01: +0,1402012800
0.951,108,Jun 07 2014 01: +0,1402099200
0.895,96,Jun 08 2014 01: +0,1402185600
0.938,111,Jun 09 2014 01: +0,1402272000
0.932,80,Jun 10 2014 01: +0,1402358400
0.938,114,Jun 11 2014 01: +0,1402444800
0.927,135,Jun 12 2014 01: +0,1402531200
0.921,118,Jun 13 2014 01: +0,1402617600
0.945,159,Jun 14 2014 01: +0,1402704000
0.938,137,Jun 15 2014 01: +0,1402790400
0.939,113,Jun 16 2014 01: +0,1402876800
0.923,104,Jun 17 2014 01: +0,1402963200
0.938,101,Jun 18 2014 01: +0,1403049600
0.933,97,Jun 19 2014 01: +0,1403136000
0.94,171,Jun 20 2014 01: +0,1403222400
0.896,130,Jun 21 2014 01: +0,1403308800
0.919,133,Jun 22 2014 01: +0,1403395200
0.935,144,Jun 23 2014 01: +0,1403481600
0.913,129,Jun 24 2014 01: +0,1403568000
0.906,133,Jun 25 2014 01: +0,1403654400
0.937,152,Jun 26 2014 01: +0,1403740800
0.938,132,Jun 27 2014 01: +0,1403827200
0.928,167,Jun 28 2014 01: +0,1403913600
0.957,158,Jun 29 2014 01: +0,1404000000
0.939,171,Jun 30 2014 01: +0,1404086400
0.927,163,Jul 01 2014 01: +0,1404172800
0.94,135,Jul 02 2014 01: +0,1404259200
0.944,113,Jul 03 2014 01: +0,1404345600
0.924,126,Jul 04 2014 01: +0,1404432000
0.939,125,Jul 05 2014 01: +0,1404518400
0.937,142,Jul 06 2014 01: +0,1404604800
0.941,165,Jul 07 2014 01: +0,1404691200
0.907,133,Jul 08 2014 01: +0,1404777600
0.929,172,Jul 09 2014 01: +0,1404864000
0.937,167,Jul 10 2014 01: +0,1404950400
0.936,165,Jul 11 2014 01: +0,1405036800
0.943,132,Jul 12 2014 01: +0,1405123200
0.933,162,Jul 13 2014 01: +0,1405209600
0.926,155,Jul 14 2014 01: +0,1405296000
0.925,141,Jul 15 2014 01: +0,1405382400
0.924,146,Jul 16 2014 01: +0,1405468800
0.93,134,Jul 17 2014 01: +0,1405555200
0.912,118,Jul 18 2014 01: +0,1405641600
0.932,119,Jul 19 2014 01: +0,1405728000
0.937,121,Jul 20 2014 01: +0,1405814400
0.942,149,Jul 21 2014 01: +0,1405900800
0.92,147,Jul 22 2014 01: +0,1405987200
0.932,139,Jul 23 2014 01: +0,1406073600
0.925,137,Jul 24 2014 01: +0,1406160000
0.903,159,Jul 25 2014 01: +0,1406246400
0.932,219,Jul 26 2014 01: +0,1406332800
0.918,186,Jul 27 2014 01: +0,1406419200
0.926,212,Jul 28 2014 01: +0,1406505600
0.925,157,Jul 29 2014 01: +0,1406592000
0.923,150,Jul 30 2014 01: +0,1406678400
0.925,183,Jul 31 2014 01: +0,1406764800
0.926,201,Aug 01 2014 01: +0,1406851200
0.922,214,Aug 02 2014 01: +0,1406937600
0.925,235,Aug 03 2014 01: +0,1407024000
0.934,236,Aug 04 2014 01: +0,1407110400
0.899,186,Aug 05 2014 01: +0,1407196800
0.915,153,Aug 06 2014 01: +0,1407283200
0.917,152,Aug 07 2014 01: +0,1407369600
0.916,168,Aug 08 2014 01: +0,1407456000
0.91,167,Aug 09 2014 01: +0,1407542400
0.915,135,Aug 10 2014 01: +0,1407628800
0.902,172,Aug 11 2014 01: +0,1407715200
0.921,138,Aug 12 2014 01: +0,1407801600
0.913,175,Aug 13 2014 01: +0,1407888000
0.923,239,Aug 14 2014 01: +0,1407974400
0.892,191,Aug 15 2014 01: +0,1408060800
0.89,207,Aug 16 2014 01: +0,1408147200
0.852,267,Aug 17 2014 01: +0,1408233600
