price,quantity,date,unix timestamp
0.486,1903,Sep 22 2021 01: +0,1632268800
0.369,1521,Sep 23 2021 01: +0,1632355200
0.396,1091,Sep 24 2021 01: +0,1632441600
0.442,1137,Sep 25 2021 01: +0,1632528000
0.416,803,Sep 26 2021 01: +0,1632614400
0.426,787,Sep 27 2021 01: +0,1632700800
0.425,838,Sep 28 2021 01: +0,1632787200
0.365,1181,Sep 29 2021 01: +0,1632873600
0.367,904,Sep 30 2021 01: +0,1632960000
0.335,725,Oct 01 2021 01: +0,1633046400
0.345,921,Oct 02 2021 01: +0,1633132800
0.377,961,Oct 03 2021 01: +0,1633219200
0.375,667,Oct 04 2021 01: +0,1633305600
0.376,730,Oct 05 2021 01: +0,1633392000
0.347,1141,Oct 06 2021 01: +0,1633478400
0.341,847,Oct 07 2021 01: +0,1633564800
0.367,873,Oct 08 2021 01: +0,1633651200
0.367,752,Oct 09 2021 01: +0,1633737600
0.348,684,Oct 10 2021 01: +0,1633824000
0.348,592,Oct 11 2021 01: +0,1633910400
0.343,590,Oct 12 2021 01: +0,1633996800
0.332,937,Oct 13 2021 01: +0,1634083200
0.341,769,Oct 14 2021 01: +0,1634169600
0.315,585,Oct 15 2021 01: +0,1634256000
0.305,709,Oct 16 2021 01: +0,1634342400
0.294,497,Oct 17 2021 01: +0,1634428800
0.286,418,Oct 18 2021 01: +0,1634515200
0.286,663,Oct 19 2021 01: +0,1634601600
0.277,887,Oct 20 2021 01: +0,1634688000
0.276,726,Oct 21 2021 01: +0,1634774400
0.237,1199,Oct 22 2021 01: +0,1634860800
0.237,816,Oct 23 2021 01: +0,1634947200
0.254,658,Oct 24 2021 01: +0,1635033600
0.261,624,Oct 25 2021 01: +0,1635120000
0.266,615,Oct 26 2021 01: +0,1635206400
0.249,1017,Oct 27 2021 01: +0,1635292800
0.252,706,Oct 28 2021 01: +0,1635379200
0.258,771,Oct 29 2021 01: +0,1635465600
0.263,714,Oct 30 2021 01: +0,1635552000
0.273,695,Oct 31 2021 01: +0,1635638400
0.27,581,Nov 01 2021 01: +0,1635728400
0.28,672,Nov 02 2021 01: +0,1635814800
0.272,1084,Nov 03 2021 01: +0,1635901200
0.284,805,Nov 04 2021 01: +0,1635987600
0.287,725,Nov 05 2021 01: +0,1636074000
0.29,778,Nov 06 2021 01: +0,1636160400
0.31,837,Nov 07 2021 01: +0,1636246800
0.307,643,Nov 08 2021 01: +0,1636333200
0.298,698,Nov 09 2021 01: +0,1636419600
0.265,1376,Nov 10 2021 01: +0,1636506000
0.258,875,Nov 11 2021 01: +0,1636592400
0.261,730,Nov 12 2021 01: +0,1636678800
0.26,712,Nov 13 2021 01: +0,1636765200
0.265,751,Nov 14 2021 01: +0,1636851600
0.273,609,Nov 15 2021 01: +0,1636938000
0.281,595,Nov 16 2021 01: +0,1637024400
0.273,977,Nov 17 2021 01: +0,1637110800
0.273,811,Nov 18 2021 01: +0,1637197200
0.281,872,Nov 19 2021 01: +0,1637283600
0.283,764,Nov 20 2021 01: +0,1637370000
0.278,667,Nov 21 2021 01: +0,1637456400
0.285,526,Nov 22 2021 01: +0,1637542800
0.282,515,Nov 23 2021 01: +0,1637629200
0.277,855,Nov 24 2021 01: +0,1637715600
0.269,787,Nov 25 2021 01: +0,1637802000
0.27,734,Nov 26 2021 01: +0,1637888400
0.264,780,Nov 27 2021 01: +0,1637974800
0.265,664,Nov 28 2021 01: +0,1638061200
0.262,527,Nov 29 2021 01: +0,1638147600
0.266,990,Nov 30 2021 01: +0,1638234000
0.264,1057,Dec 01 2021 01: +0,1638320400
0.255,730,Dec 02 2021 01: +0,1638406800
0.259,769,Dec 03 2021 01: +0,1638493200
0.27,776,Dec 04 2021 01: +0,1638579600
0.278,725,Dec 05 2021 01: +0,1638666000
0.292,661,Dec 06 2021 01: +0,1638752400
0.308,577,Dec 07 2021 01: +0,1638838800
0.309,984,Dec 08 2021 01: +0,1638925200
0.317,698,Dec 09 2021 01: +0,1639011600
0.308,665,Dec 10 2021 01: +0,1639098000
0.294,729,Dec 11 2021 01: +0,1639184400
0.293,593,Dec 12 2021 01: +0,1639270800
0.295,463,Dec 13 2021 01: +0,1639357200
0.305,523,Dec 14 2021 01: +0,1639443600
0.304,795,Dec 15 2021 01: +0,1639530000
0.308,589,Dec 16 2021 01: +0,1639616400
0.313,575,Dec 17 2021 01: +0,1639702800
0.308,613,Dec 18 2021 01: +0,1639789200
0.308,562,Dec 19 2021 01: +0,1639875600
0.308,505,Dec 20 2021 01: +0,1639962000
0.309,446,Dec 21 2021 01: +0,1640048400
0.301,925,Dec 22 2021 01: +0,1640134800
0.299,831,Dec 23 2021 01: +0,1640221200
0.305,705,Dec 24 2021 01: +0,1640307600
0.309,681,Dec 25 2021 01: +0,1640394000
0.3,639,Dec 26 2021 01: +0,1640480400
0.308,633,Dec 27 2021 01: +0,1640566800
0.305,669,Dec 28 2021 01: +0,1640653200
0.305,1139,Dec 29 2021 01: +0,1640739600
0.309,879,Dec 30 2021 01: +0,1640826000
0.309,655,Dec 31 2021 01: +0,1640912400
0.306,695,Jan 01 2022 01: +0,1640998800
0.305,780,Jan 02 2022 01: +0,1641085200
0.302,690,Jan 03 2022 01: +0,1641171600
0.301,820,Jan 04 2022 01: +0,1641258000
0.298,1335,Jan 05 2022 01: +0,1641344400
0.298,1003,Jan 06 2022 01: +0,1641430800
0.3,850,Jan 07 2022 01: +0,1641517200
0.307,837,Jan 08 2022 01: +0,1641603600
0.311,845,Jan 09 2022 01: +0,1641690000
0.319,694,Jan 10 2022 01: +0,1641776400
0.322,589,Jan 11 2022 01: +0,1641862800
0.328,600,Jan 12 2022 01: +0,1641949200
0.326,573,Jan 13 2022 01: +0,1642035600
0.328,560,Jan 14 2022 01: +0,1642122000
0.326,608,Jan 15 2022 01: +0,1642208400
0.333,593,Jan 16 2022 01: +0,1642294800
0.335,510,Jan 17 2022 01: +0,1642381200
0.339,485,Jan 18 2022 01: +0,1642467600
0.34,532,Jan 19 2022 01: +0,1642554000
0.336,446,Jan 20 2022 01: +0,1642640400
0.326,678,Jan 21 2022 01: +0,1642726800
0.318,699,Jan 22 2022 01: +0,1642813200
0.325,691,Jan 23 2022 01: +0,1642899600
0.311,563,Jan 24 2022 01: +0,1642986000
0.32,581,Jan 25 2022 01: +0,1643072400
0.328,570,Jan 26 2022 01: +0,1643158800
0.325,533,Jan 27 2022 01: +0,1643245200
0.313,583,Jan 28 2022 01: +0,1643331600
0.319,660,Jan 29 2022 01: +0,1643418000
0.311,598,Jan 30 2022 01: +0,1643504400
0.314,556,Jan 31 2022 01: +0,1643590800
0.312,553,Feb 01 2022 01: +0,1643677200
0.306,543,Feb 02 2022 01: +0,1643763600
0.306,496,Feb 03 2022 01: +0,1643850000
0.297,546,Feb 04 2022 01: +0,1643936400
0.302,486,Feb 05 2022 01: +0,1644022800
0.301,501,Feb 06 2022 01: +0,1644109200
0.308,492,Feb 07 2022 01: +0,1644195600
0.306,455,Feb 08 2022 01: +0,1644282000
0.308,426,Feb 09 2022 01: +0,1644368400
0.312,423,Feb 10 2022 01: +0,1644454800
0.317,386,Feb 11 2022 01: +0,1644541200
0.322,495,Feb 12 2022 01: +0,1644627600
0.33,503,Feb 13 2022 01: +0,1644714000
0.332,377,Feb 14 2022 01: +0,1644800400
0.338,377,Feb 15 2022 01: +0,1644886800
0.338,393,Feb 16 2022 01: +0,1644973200
0.35,510,Feb 17 2022 01: +0,1645059600
0.381,588,Feb 18 2022 01: +0,1645146000
0.378,454,Feb 19 2022 01: +0,1645232400
0.386,453,Feb 20 2022 01: +0,1645318800
0.382,309,Feb 21 2022 01: +0,1645405200
0.405,398,Feb 22 2022 01: +0,1645491600
0.404,338,Feb 23 2022 01: +0,1645578000
0.396,257,Feb 24 2022 01: +0,1645664400
0.392,383,Feb 25 2022 01: +0,1645750800
0.382,353,Feb 26 2022 01: +0,1645837200
0.365,315,Feb 27 2022 01: +0,1645923600
0.378,286,Feb 28 2022 01: +0,1646010000
0.381,309,Mar 01 2022 01: +0,1646096400
0.401,282,Mar 02 2022 01: +0,1646182800
0.396,267,Mar 03 2022 01: +0,1646269200
0.39,305,Mar 04 2022 01: +0,1646355600
0.391,265,Mar 05 2022 01: +0,1646442000
0.394,307,Mar 06 2022 01: +0,1646528400
0.393,332,Mar 07 2022 01: +0,1646614800
0.39,401,Mar 08 2022 01: +0,1646701200
0.366,288,Mar 09 2022 01: +0,1646787600
0.375,308,Mar 10 2022 01: +0,1646874000
0.409,213,Mar 11 2022 01: +0,1646960400
0.396,287,Mar 12 2022 01: +0,1647046800
0.375,236,Mar 13 2022 01: +0,1647133200
0.397,208,Mar 14 2022 01: +0,1647219600
0.419,198,Mar 15 2022 01: +0,1647306000
0.418,257,Mar 16 2022 01: +0,1647392400
0.421,215,Mar 17 2022 01: +0,1647478800
0.437,223,Mar 18 2022 01: +0,1647565200
0.402,220,Mar 19 2022 01: +0,1647651600
0.406,225,Mar 20 2022 01: +0,1647738000
0.408,189,Mar 21 2022 01: +0,1647824400
0.418,217,Mar 22 2022 01: +0,1647910800
0.435,202,Mar 23 2022 01: +0,1647997200
0.43,172,Mar 24 2022 01: +0,1648083600
0.439,160,Mar 25 2022 01: +0,1648170000
0.448,215,Mar 26 2022 01: +0,1648256400
0.445,183,Mar 27 2022 01: +0,1648342800
0.44,165,Mar 28 2022 01: +0,1648425600
0.441,216,Mar 29 2022 01: +0,1648512000
0.436,142,Mar 30 2022 01: +0,1648598400
0.436,156,Mar 31 2022 01: +0,1648684800
0.44,186,Apr 01 2022 01: +0,1648771200
0.444,197,Apr 02 2022 01: +0,1648857600
0.433,195,Apr 03 2022 01: +0,1648944000
0.456,127,Apr 04 2022 01: +0,1649030400
0.46,127,Apr 05 2022 01: +0,1649116800
0.457,154,Apr 06 2022 01: +0,1649203200
0.473,154,Apr 07 2022 01: +0,1649289600
0.454,174,Apr 08 2022 01: +0,1649376000
0.446,153,Apr 09 2022 01: +0,1649462400
0.443,162,Apr 10 2022 01: +0,1649548800
0.445,147,Apr 11 2022 01: +0,1649635200
0.455,104,Apr 12 2022 01: +0,1649721600
0.462,109,Apr 13 2022 01: +0,1649808000
0.442,138,Apr 14 2022 01: +0,1649894400
0.444,186,Apr 15 2022 01: +0,1649980800
0.453,188,Apr 16 2022 01: +0,1650067200
0.457,153,Apr 17 2022 01: +0,1650153600
0.456,149,Apr 18 2022 01: +0,1650240000
0.469,136,Apr 19 2022 01: +0,1650326400
0.46,154,Apr 20 2022 01: +0,1650412800
0.439,125,Apr 21 2022 01: +0,1650499200
0.452,126,Apr 22 2022 01: +0,1650585600
0.462,165,Apr 23 2022 01: +0,1650672000
0.457,143,Apr 24 2022 01: +0,1650758400
0.458,159,Apr 25 2022 01: +0,1650844800
0.448,146,Apr 26 2022 01: +0,1650931200
0.446,159,Apr 27 2022 01: +0,1651017600
0.441,138,Apr 28 2022 01: +0,1651104000
0.433,116,Apr 29 2022 01: +0,1651190400
0.433,132,Apr 30 2022 01: +0,1651276800
0.436,281,May 01 2022 01: +0,1651363200
0.452,161,May 02 2022 01: +0,1651449600
0.461,121,May 03 2022 01: +0,1651536000
0.461,317,May 04 2022 01: +0,1651622400
0.471,677,May 05 2022 01: +0,1651708800
0.469,230,May 06 2022 01: +0,1651795200
0.5,125,May 07 2022 01: +0,1651881600
0.512,168,May 08 2022 01: +0,1651968000
0.504,218,May 09 2022 01: +0,1652054400
0.481,117,May 10 2022 01: +0,1652140800
0.484,162,May 11 2022 01: +0,1652227200
0.458,296,May 12 2022 01: +0,1652313600
0.439,125,May 13 2022 01: +0,1652400000
0.431,138,May 14 2022 01: +0,1652486400
0.426,159,May 15 2022 01: +0,1652572800
0.435,197,May 16 2022 01: +0,1652659200
0.443,149,May 17 2022 01: +0,1652745600
0.444,133,May 18 2022 01: +0,1652832000
0.438,137,May 19 2022 01: +0,1652918400
0.461,112,May 20 2022 01: +0,1653004800
0.425,127,May 21 2022 01: +0,1653091200
0.403,122,May 22 2022 01: +0,1653177600
0.397,110,May 23 2022 01: +0,1653264000
0.398,108,May 24 2022 01: +0,1653350400
0.385,105,May 25 2022 01: +0,1653436800
0.411,114,May 26 2022 01: +0,1653523200
0.389,142,May 27 2022 01: +0,1653609600
0.382,135,May 28 2022 01: +0,1653696000
0.388,132,May 29 2022 01: +0,1653782400
0.383,99,May 30 2022 01: +0,1653868800
0.382,125,May 31 2022 01: +0,1653955200
0.395,152,Jun 01 2022 01: +0,1654041600
0.406,120,Jun 02 2022 01: +0,1654128000
0.389,374,Jun 03 2022 01: +0,1654214400
0.376,185,Jun 04 2022 01: +0,1654300800
0.377,262,Jun 05 2022 01: +0,1654387200
0.384,100,Jun 06 2022 01: +0,1654473600
0.386,135,Jun 07 2022 01: +0,1654560000
0.379,122,Jun 08 2022 01: +0,1654646400
0.382,141,Jun 09 2022 01: +0,1654732800
0.395,260,Jun 10 2022 01: +0,1654819200
0.38,137,Jun 11 2022 01: +0,1654905600
0.396,145,Jun 12 2022 01: +0,1654992000
0.375,115,Jun 13 2022 01: +0,1655078400
0.382,108,Jun 14 2022 01: +0,1655164800
0.378,144,Jun 15 2022 01: +0,1655251200
0.417,191,Jun 16 2022 01: +0,1655337600
0.432,164,Jun 17 2022 01: +0,1655424000
0.466,134,Jun 18 2022 01: +0,1655510400
0.452,115,Jun 19 2022 01: +0,1655596800
0.444,130,Jun 20 2022 01: +0,1655683200
0.421,113,Jun 21 2022 01: +0,1655769600
0.403,135,Jun 22 2022 01: +0,1655856000
0.402,482,Jun 23 2022 01: +0,1655942400
0.384,146,Jun 24 2022 01: +0,1656028800
0.385,140,Jun 25 2022 01: +0,1656115200
0.388,140,Jun 26 2022 01: +0,1656201600
0.391,103,Jun 27 2022 01: +0,1656288000
0.397,85,Jun 28 2022 01: +0,1656374400
0.391,104,Jun 29 2022 01: +0,1656460800
0.389,108,Jun 30 2022 01: +0,1656547200
0.385,122,Jul 01 2022 01: +0,1656633600
0.395,191,Jul 02 2022 01: +0,1656720000
