price,quantity,date,unix timestamp
6.057,385,Jan 09 2015 01: +0,1420765200
4.144,433,Jan 10 2015 01: +0,1420851600
3.155,485,Jan 11 2015 01: +0,1420938000
2.969,364,Jan 12 2015 01: +0,1421024400
2.805,377,Jan 13 2015 01: +0,1421110800
2.526,362,Jan 14 2015 01: +0,1421197200
2.557,393,Jan 15 2015 01: +0,1421283600
2.233,477,Jan 16 2015 01: +0,1421370000
2.182,454,Jan 17 2015 01: +0,1421456400
1.937,522,Jan 18 2015 01: +0,1421542800
1.867,478,Jan 19 2015 01: +0,1421629200
1.75,481,Jan 20 2015 01: +0,1421715600
1.751,485,Jan 21 2015 01: +0,1421802000
1.705,500,Jan 22 2015 01: +0,1421888400
1.748,560,Jan 23 2015 01: +0,1421974800
1.784,577,Jan 24 2015 01: +0,1422061200
1.573,679,Jan 25 2015 01: +0,1422147600
1.47,600,Jan 26 2015 01: +0,1422234000
1.451,590,Jan 27 2015 01: +0,1422320400
1.394,578,Jan 28 2015 01: +0,1422406800
1.359,559,Jan 29 2015 01: +0,1422493200
1.345,673,Jan 30 2015 01: +0,1422579600
1.293,849,Jan 31 2015 01: +0,1422666000
1.271,791,Feb 01 2015 01: +0,1422752400
1.202,675,Feb 02 2015 01: +0,1422838800
1.212,743,Feb 03 2015 01: +0,1422925200
1.18,715,Feb 04 2015 01: +0,1423011600
1.161,701,Feb 05 2015 01: +0,1423098000
1.131,785,Feb 06 2015 01: +0,1423184400
1.119,908,Feb 07 2015 01: +0,1423270800
1.08,797,Feb 08 2015 01: +0,1423357200
1.015,782,Feb 09 2015 01: +0,1423443600
1.012,710,Feb 10 2015 01: +0,1423530000
1.012,834,Feb 11 2015 01: +0,1423616400
1.03,731,Feb 12 2015 01: +0,1423702800
1.017,811,Feb 13 2015 01: +0,1423789200
1.006,938,Feb 14 2015 01: +0,1423875600
0.963,950,Feb 15 2015 01: +0,1423962000
0.934,912,Feb 16 2015 01: +0,1424048400
0.946,828,Feb 17 2015 01: +0,1424134800
0.948,769,Feb 18 2015 01: +0,1424221200
0.957,745,Feb 19 2015 01: +0,1424307600
0.962,827,Feb 20 2015 01: +0,1424394000
0.953,886,Feb 21 2015 01: +0,1424480400
0.941,907,Feb 22 2015 01: +0,1424566800
0.936,752,Feb 23 2015 01: +0,1424653200
0.931,744,Feb 24 2015 01: +0,1424739600
0.914,714,Feb 25 2015 01: +0,1424826000
0.922,760,Feb 26 2015 01: +0,1424912400
0.855,1007,Feb 27 2015 01: +0,1424998800
0.872,1046,Feb 28 2015 01: +0,1425085200
0.847,985,Mar 01 2015 01: +0,1425171600
0.847,807,Mar 02 2015 01: +0,1425258000
0.869,719,Mar 03 2015 01: +0,1425344400
0.85,750,Mar 04 2015 01: +0,1425430800
0.829,814,Mar 05 2015 01: +0,1425517200
0.83,935,Mar 06 2015 01: +0,1425603600
0.809,1083,Mar 07 2015 01: +0,1425690000
0.785,1073,Mar 08 2015 01: +0,1425776400
0.779,847,Mar 09 2015 01: +0,1425862800
0.791,751,Mar 10 2015 01: +0,1425949200
0.772,776,Mar 11 2015 01: +0,1426035600
0.722,878,Mar 12 2015 01: +0,1426122000
0.718,1030,Mar 13 2015 01: +0,1426208400
0.688,1267,Mar 14 2015 01: +0,1426294800
0.611,1208,Mar 15 2015 01: +0,1426381200
0.592,1025,Mar 16 2015 01: +0,1426467600
0.664,902,Mar 17 2015 01: +0,1426554000
0.714,915,Mar 18 2015 01: +0,1426640400
0.702,862,Mar 19 2015 01: +0,1426726800
0.72,1027,Mar 20 2015 01: +0,1426813200
0.715,1175,Mar 21 2015 01: +0,1426899600
