price,quantity,date,unix timestamp
5.947,334,Nov 22 2014 01: +0,1416618000
6.521,52,Nov 23 2014 01: +0,1416704400
6.393,52,Nov 24 2014 01: +0,1416790800
8.198,24,Nov 25 2014 01: +0,1416877200
7.977,25,Nov 26 2014 01: +0,1416963600
5.867,637,Nov 27 2014 01: +0,1417050000
6.058,155,Nov 28 2014 01: +0,1417136400
11.797,30,Nov 29 2014 01: +0,1417222800
5.639,562,Nov 30 2014 01: +0,1417309200
5.081,160,Dec 01 2014 01: +0,1417395600
5.551,114,Dec 02 2014 01: +0,1417482000
6.7,46,Dec 03 2014 01: +0,1417568400
6.705,40,Dec 04 2014 01: +0,1417654800
6.282,55,Dec 05 2014 01: +0,1417741200
6.225,65,Dec 06 2014 01: +0,1417827600
6.401,24,Dec 07 2014 01: +0,1417914000
5.642,27,Dec 08 2014 01: +0,1418000400
6.033,47,Dec 09 2014 01: +0,1418086800
5.991,41,Dec 10 2014 01: +0,1418173200
6.211,33,Dec 11 2014 01: +0,1418259600
6.297,41,Dec 12 2014 01: +0,1418346000
6.374,41,Dec 13 2014 01: +0,1418432400
6.305,25,Dec 14 2014 01: +0,1418518800
5.894,19,Dec 15 2014 01: +0,1418605200
5.941,31,Dec 16 2014 01: +0,1418691600
6.103,40,Dec 17 2014 01: +0,1418778000
6.287,23,Dec 18 2014 01: +0,1418864400
6.221,19,Dec 19 2014 01: +0,1418950800
6.407,36,Dec 20 2014 01: +0,1419037200
6.787,18,Dec 21 2014 01: +0,1419123600
6.81,28,Dec 22 2014 01: +0,1419210000
6.89,12,Dec 23 2014 01: +0,1419296400
6.902,24,Dec 24 2014 01: +0,1419382800
7.711,24,Dec 25 2014 01: +0,1419469200
7.903,21,Dec 26 2014 01: +0,1419555600
8.081,38,Dec 27 2014 01: +0,1419642000
8.304,11,Dec 28 2014 01: +0,1419728400
8.712,19,Dec 29 2014 01: +0,1419814800
9.434,9,Dec 30 2014 01: +0,1419901200
8.818,10,Dec 31 2014 01: +0,1419987600
9.123,9,Jan 01 2015 01: +0,1420074000
9.253,11,Jan 02 2015 01: +0,1420160400
9.549,11,Jan 03 2015 01: +0,1420246800
9.678,10,Jan 04 2015 01: +0,1420333200
9.546,14,Jan 05 2015 01: +0,1420419600
9.65,11,Jan 06 2015 01: +0,1420506000
10.193,18,Jan 07 2015 01: +0,1420592400
10.69,5,Jan 08 2015 01: +0,1420678800
10.438,6,Jan 09 2015 01: +0,1420765200
9.338,7,Jan 10 2015 01: +0,1420851600
9.754,4,Jan 11 2015 01: +0,1420938000
8.88,5,Jan 12 2015 01: +0,1421024400
8.903,3,Jan 13 2015 01: +0,1421110800
8.772,12,Jan 14 2015 01: +0,1421197200
8.553,2,Jan 15 2015 01: +0,1421283600
7.635,7,Jan 16 2015 01: +0,1421370000
7.062,13,Jan 17 2015 01: +0,1421456400
8.575,11,Jan 18 2015 01: +0,1421542800
8.833,11,Jan 19 2015 01: +0,1421629200
9.214,6,Jan 20 2015 01: +0,1421715600
9.457,10,Jan 21 2015 01: +0,1421802000
9.419,15,Jan 22 2015 01: +0,1421888400
9.58,10,Jan 23 2015 01: +0,1421974800
9.038,8,Jan 24 2015 01: +0,1422061200
8.511,5,Jan 25 2015 01: +0,1422147600
9.054,7,Jan 26 2015 01: +0,1422234000
9.156,3,Jan 27 2015 01: +0,1422320400
8.741,12,Jan 28 2015 01: +0,1422406800
9.294,7,Jan 29 2015 01: +0,1422493200
9.212,6,Jan 30 2015 01: +0,1422579600
9.154,4,Jan 31 2015 01: +0,1422666000
9.251,13,Feb 01 2015 01: +0,1422752400
9.29,4,Feb 02 2015 01: +0,1422838800
9.674,12,Feb 03 2015 01: +0,1422925200
10.057,8,Feb 04 2015 01: +0,1423011600
10.284,3,Feb 05 2015 01: +0,1423098000
10.188,11,Feb 06 2015 01: +0,1423184400
10.293,5,Feb 07 2015 01: +0,1423270800
10.09,11,Feb 08 2015 01: +0,1423357200
10.312,2,Feb 09 2015 01: +0,1423443600
10.49,8,Feb 10 2015 01: +0,1423530000
10.644,7,Feb 11 2015 01: +0,1423616400
10.738,6,Feb 12 2015 01: +0,1423702800
10.675,11,Feb 13 2015 01: +0,1423789200
10.595,9,Feb 14 2015 01: +0,1423875600
10.839,8,Feb 15 2015 01: +0,1423962000
11.053,8,Feb 16 2015 01: +0,1424048400
12.295,14,Feb 17 2015 01: +0,1424134800
12.361,3,Feb 18 2015 01: +0,1424221200
12.7,2,Feb 19 2015 01: +0,1424307600
9.793,4,Feb 20 2015 01: +0,1424394000
12.544,2,Feb 21 2015 01: +0,1424480400
12.603,5,Feb 22 2015 01: +0,1424566800
12.688,8,Feb 23 2015 01: +0,1424653200
12.744,10,Feb 24 2015 01: +0,1424739600
12.787,3,Feb 25 2015 01: +0,1424826000
13.2,6,Feb 26 2015 01: +0,1424912400
12.568,4,Feb 27 2015 01: +0,1424998800
12.305,12,Feb 28 2015 01: +0,1425085200
13.61,5,Mar 01 2015 01: +0,1425171600
11.295,6,Mar 02 2015 01: +0,1425258000
12.412,4,Mar 03 2015 01: +0,1425344400
12.598,4,Mar 04 2015 01: +0,1425430800
12.753,4,Mar 05 2015 01: +0,1425517200
12.705,2,Mar 06 2015 01: +0,1425603600
12.173,9,Mar 07 2015 01: +0,1425690000
11.661,5,Mar 08 2015 01: +0,1425776400
11.689,6,Mar 09 2015 01: +0,1425862800
10.157,1,Mar 10 2015 01: +0,1425949200
11.444,3,Mar 11 2015 01: +0,1426035600
9.153,3,Mar 12 2015 01: +0,1426122000
7.849,5,Mar 13 2015 01: +0,1426208400
8.64,4,Mar 14 2015 01: +0,1426294800
7.778,7,Mar 15 2015 01: +0,1426381200
8.246,2,Mar 16 2015 01: +0,1426467600
8.057,1,Mar 17 2015 01: +0,1426554000
8.048,2,Mar 18 2015 01: +0,1426640400
8.333,4,Mar 19 2015 01: +0,1426726800
9.487,2,Mar 20 2015 01: +0,1426813200
10.344,5,Mar 21 2015 01: +0,1426899600
10.257,1,Mar 22 2015 01: +0,1426986000
11.324,2,Mar 23 2015 01: +0,1427072400
12.405,1,Mar 24 2015 01: +0,1427158800
10.272,3,Mar 25 2015 01: +0,1427245200
10.881,1,Mar 27 2015 01: +0,1427418000
10.64,3,Mar 29 2015 01: +0,1427590800
10.785,1,Mar 30 2015 01: +0,1427673600
11.281,1,Mar 31 2015 01: +0,1427760000
11.168,3,Apr 01 2015 01: +0,1427846400
11.513,1,Apr 02 2015 01: +0,1427932800
11.394,6,Apr 03 2015 01: +0,1428019200
11.063,1,Apr 04 2015 01: +0,1428105600
11.25,1,Apr 05 2015 01: +0,1428192000
10.419,1,Apr 08 2015 01: +0,1428451200
10.328,2,Apr 09 2015 01: +0,1428537600
10.624,2,Apr 14 2015 01: +0,1428969600
10.701,4,Apr 16 2015 01: +0,1429142400
10.746,2,Apr 18 2015 01: +0,1429315200
11.043,1,Apr 19 2015 01: +0,1429401600
8.711,2,Apr 21 2015 01: +0,1429574400
9.703,1,Apr 22 2015 01: +0,1429660800
10.662,1,Apr 23 2015 01: +0,1429747200
9.964,3,Apr 24 2015 01: +0,1429833600
8.076,1,Apr 26 2015 01: +0,1430006400
8.871,1,Apr 27 2015 01: +0,1430092800
8.112,4,Apr 30 2015 01: +0,1430352000
9.879,2,May 01 2015 01: +0,1430438400
9.926,1,May 02 2015 01: +0,1430524800
9.004,1,May 05 2015 01: +0,1430784000
9.601,1,May 06 2015 01: +0,1430870400
9.732,4,May 09 2015 01: +0,1431129600
10.224,3,May 10 2015 01: +0,1431216000
10.132,1,May 12 2015 01: +0,1431388800
10.23,3,May 13 2015 01: +0,1431475200
10.417,1,May 14 2015 01: +0,1431561600
10.413,3,May 15 2015 01: +0,1431648000
10.622,3,May 16 2015 01: +0,1431734400
11.792,2,May 18 2015 01: +0,1431907200
11.744,1,May 19 2015 01: +0,1431993600
11.895,1,May 21 2015 01: +0,1432166400
12.097,3,May 22 2015 01: +0,1432252800
12.366,1,May 23 2015 01: +0,1432339200
12.35,4,May 25 2015 01: +0,1432512000
12.573,1,May 26 2015 01: +0,1432598400
11.481,2,May 27 2015 01: +0,1432684800
10.464,1,May 28 2015 01: +0,1432771200
11.79,1,May 30 2015 01: +0,1432944000
12.557,1,Jun 01 2015 01: +0,1433116800
10.426,1,Jun 03 2015 01: +0,1433289600
12.583,3,Jun 05 2015 01: +0,1433462400
10.538,2,Jun 09 2015 01: +0,1433808000
11.15,1,Jun 10 2015 01: +0,1433894400
10.985,2,Jun 12 2015 01: +0,1434067200
11.236,1,Jun 13 2015 01: +0,1434153600
12.386,3,Jun 14 2015 01: +0,1434240000
12.515,1,Jun 15 2015 01: +0,1434326400
11.84,2,Jun 16 2015 01: +0,1434412800
11.549,1,Jun 18 2015 01: +0,1434585600
12.601,2,Jun 19 2015 01: +0,1434672000
12.047,2,Jun 21 2015 01: +0,1434844800
11.721,2,Jun 23 2015 01: +0,1435017600
10.212,1,Jun 24 2015 01: +0,1435104000
11.857,1,Jun 25 2015 01: +0,1435190400
11.823,1,Jun 26 2015 01: +0,1435276800
11.868,1,Jun 27 2015 01: +0,1435363200
11.647,1,Jun 30 2015 01: +0,1435622400
11.728,2,Jul 03 2015 01: +0,1435881600
12.084,4,Jul 04 2015 01: +0,1435968000
