price,quantity,date,unix timestamp
0.89,163,Dec 03 2020 01: +0,1606957200
0.659,2429,Dec 04 2020 01: +0,1607043600
0.693,1805,Dec 05 2020 01: +0,1607130000
0.729,1531,Dec 06 2020 01: +0,1607216400
0.724,1393,Dec 07 2020 01: +0,1607302800
0.742,1107,Dec 08 2020 01: +0,1607389200
0.684,1047,Dec 09 2020 01: +0,1607475600
0.702,870,Dec 10 2020 01: +0,1607562000
0.731,923,Dec 11 2020 01: +0,1607648400
0.759,1015,Dec 12 2020 01: +0,1607734800
0.705,820,Dec 13 2020 01: +0,1607821200
0.701,684,Dec 14 2020 01: +0,1607907600
0.708,714,Dec 15 2020 01: +0,1607994000
0.712,868,Dec 16 2020 01: +0,1608080400
0.734,663,Dec 17 2020 01: +0,1608166800
0.792,694,Dec 18 2020 01: +0,1608253200
0.825,664,Dec 19 2020 01: +0,1608339600
0.767,656,Dec 20 2020 01: +0,1608426000
0.729,587,Dec 21 2020 01: +0,1608512400
0.706,655,Dec 22 2020 01: +0,1608598800
0.682,666,Dec 23 2020 01: +0,1608685200
0.677,624,Dec 24 2020 01: +0,1608771600
0.668,638,Dec 25 2020 01: +0,1608858000
0.668,650,Dec 26 2020 01: +0,1608944400
0.687,491,Dec 27 2020 01: +0,1609030800
0.672,578,Dec 28 2020 01: +0,1609117200
0.654,591,Dec 29 2020 01: +0,1609203600
0.658,718,Dec 30 2020 01: +0,1609290000
0.647,577,Dec 31 2020 01: +0,1609376400
0.672,600,Jan 01 2021 01: +0,1609462800
0.666,617,Jan 02 2021 01: +0,1609549200
0.694,702,Jan 03 2021 01: +0,1609635600
0.718,596,Jan 04 2021 01: +0,1609722000
0.721,497,Jan 05 2021 01: +0,1609808400
0.729,663,Jan 06 2021 01: +0,1609894800
0.725,540,Jan 07 2021 01: +0,1609981200
0.735,666,Jan 08 2021 01: +0,1610067600
0.734,658,Jan 09 2021 01: +0,1610154000
0.74,647,Jan 10 2021 01: +0,1610240400
0.749,533,Jan 11 2021 01: +0,1610326800
0.737,528,Jan 12 2021 01: +0,1610413200
0.718,722,Jan 13 2021 01: +0,1610499600
0.716,682,Jan 14 2021 01: +0,1610586000
0.704,564,Jan 15 2021 01: +0,1610672400
0.701,633,Jan 16 2021 01: +0,1610758800
0.712,569,Jan 17 2021 01: +0,1610845200
0.726,568,Jan 18 2021 01: +0,1610931600
0.717,468,Jan 19 2021 01: +0,1611018000
0.702,566,Jan 20 2021 01: +0,1611104400
0.69,548,Jan 21 2021 01: +0,1611190800
0.686,558,Jan 22 2021 01: +0,1611277200
