price,quantity,date,unix timestamp
9.582,46,May 27 2015 01: +0,1432684800
7.682,34,May 28 2015 01: +0,1432771200
8.307,27,May 29 2015 01: +0,1432857600
11.587,16,May 30 2015 01: +0,1432944000
12.887,11,May 31 2015 01: +0,1433030400
15.437,5,Jun 01 2015 01: +0,1433116800
18.07,5,Jun 02 2015 01: +0,1433203200
8.92,58,Jun 03 2015 01: +0,1433289600
6.488,55,Jun 04 2015 01: +0,1433376000
7.413,28,Jun 05 2015 01: +0,1433462400
7.915,16,Jun 06 2015 01: +0,1433548800
8.749,26,Jun 07 2015 01: +0,1433635200
10.627,10,Jun 08 2015 01: +0,1433721600
10.511,12,Jun 09 2015 01: +0,1433808000
6.588,58,Jun 10 2015 01: +0,1433894400
6.819,48,Jun 11 2015 01: +0,1433980800
8.333,23,Jun 12 2015 01: +0,1434067200
9.105,19,Jun 13 2015 01: +0,1434153600
8.882,17,Jun 14 2015 01: +0,1434240000
9.15,23,Jun 15 2015 01: +0,1434326400
7.802,13,Jun 16 2015 01: +0,1434412800
6.848,65,Jun 17 2015 01: +0,1434499200
6.905,51,Jun 18 2015 01: +0,1434585600
7.233,30,Jun 19 2015 01: +0,1434672000
8.014,33,Jun 20 2015 01: +0,1434758400
8.565,16,Jun 21 2015 01: +0,1434844800
7.827,17,Jun 22 2015 01: +0,1434931200
8.879,17,Jun 23 2015 01: +0,1435017600
7.793,44,Jun 24 2015 01: +0,1435104000
7.151,42,Jun 25 2015 01: +0,1435190400
7.722,38,Jun 26 2015 01: +0,1435276800
8.233,36,Jun 27 2015 01: +0,1435363200
9.016,22,Jun 28 2015 01: +0,1435449600
9.049,30,Jun 29 2015 01: +0,1435536000
9.454,13,Jun 30 2015 01: +0,1435622400
7.782,35,Jul 01 2015 01: +0,1435708800
7.745,35,Jul 02 2015 01: +0,1435795200
8.062,37,Jul 03 2015 01: +0,1435881600
9.245,42,Jul 04 2015 01: +0,1435968000
10.463,30,Jul 05 2015 01: +0,1436054400
11.348,21,Jul 06 2015 01: +0,1436140800
12.362,28,Jul 07 2015 01: +0,1436227200
9.11,42,Jul 08 2015 01: +0,1436313600
8.965,54,Jul 09 2015 01: +0,1436400000
10.759,37,Jul 10 2015 01: +0,1436486400
10.669,19,Jul 11 2015 01: +0,1436572800
10.571,22,Jul 12 2015 01: +0,1436659200
11.003,32,Jul 13 2015 01: +0,1436745600
11.85,29,Jul 14 2015 01: +0,1436832000
10.343,45,Jul 15 2015 01: +0,1436918400
9.311,49,Jul 16 2015 01: +0,1437004800
10.313,45,Jul 17 2015 01: +0,1437091200
9.671,26,Jul 18 2015 01: +0,1437177600
11.123,31,Jul 19 2015 01: +0,1437264000
11.119,30,Jul 20 2015 01: +0,1437350400
11.217,18,Jul 21 2015 01: +0,1437436800
9.738,36,Jul 22 2015 01: +0,1437523200
9.079,41,Jul 23 2015 01: +0,1437609600
9.084,27,Jul 24 2015 01: +0,1437696000
9.263,29,Jul 25 2015 01: +0,1437782400
9.762,35,Jul 26 2015 01: +0,1437868800
10.396,25,Jul 27 2015 01: +0,1437955200
10.696,55,Jul 28 2015 01: +0,1438041600
9.541,39,Jul 29 2015 01: +0,1438128000
9.139,42,Jul 30 2015 01: +0,1438214400
9.442,27,Jul 31 2015 01: +0,1438300800
9.816,26,Aug 01 2015 01: +0,1438387200
9.398,28,Aug 02 2015 01: +0,1438473600
9.619,39,Aug 03 2015 01: +0,1438560000
10.381,27,Aug 04 2015 01: +0,1438646400
8.684,48,Aug 05 2015 01: +0,1438732800
8.59,44,Aug 06 2015 01: +0,1438819200
9.244,39,Aug 07 2015 01: +0,1438905600
9.512,30,Aug 08 2015 01: +0,1438992000
9.772,26,Aug 09 2015 01: +0,1439078400
8.238,18,Aug 10 2015 01: +0,1439164800
8.954,23,Aug 11 2015 01: +0,1439251200
8.295,36,Aug 12 2015 01: +0,1439337600
8.799,59,Aug 13 2015 01: +0,1439424000
10.163,51,Aug 14 2015 01: +0,1439510400
11.112,30,Aug 15 2015 01: +0,1439596800
9.414,13,Aug 16 2015 01: +0,1439683200
9.809,44,Aug 17 2015 01: +0,1439769600
9.591,22,Aug 18 2015 01: +0,1439856000
8.557,36,Aug 19 2015 01: +0,1439942400
7.702,44,Aug 20 2015 01: +0,1440028800
7.714,48,Aug 21 2015 01: +0,1440115200
8.37,39,Aug 22 2015 01: +0,1440201600
9.017,34,Aug 23 2015 01: +0,1440288000
9.413,31,Aug 24 2015 01: +0,1440374400
9.297,28,Aug 25 2015 01: +0,1440460800
9.005,84,Aug 26 2015 01: +0,1440547200
9.348,38,Aug 27 2015 01: +0,1440633600
11.056,52,Aug 28 2015 01: +0,1440720000
11.426,35,Aug 29 2015 01: +0,1440806400
11.881,27,Aug 30 2015 01: +0,1440892800
11.514,28,Aug 31 2015 01: +0,1440979200
12.16,15,Sep 01 2015 01: +0,1441065600
9.978,36,Sep 02 2015 01: +0,1441152000
9.522,77,Sep 03 2015 01: +0,1441238400
10.215,50,Sep 04 2015 01: +0,1441324800
10.823,37,Sep 05 2015 01: +0,1441411200
11.518,25,Sep 06 2015 01: +0,1441497600
11.198,35,Sep 07 2015 01: +0,1441584000
12.419,19,Sep 08 2015 01: +0,1441670400
10.42,21,Sep 09 2015 01: +0,1441756800
10.016,42,Sep 10 2015 01: +0,1441843200
10.195,51,Sep 11 2015 01: +0,1441929600
10.237,31,Sep 12 2015 01: +0,1442016000
11.829,53,Sep 13 2015 01: +0,1442102400
11.841,32,Sep 14 2015 01: +0,1442188800
12.826,28,Sep 15 2015 01: +0,1442275200
9.959,23,Sep 16 2015 01: +0,1442361600
8.862,20,Sep 17 2015 01: +0,1442448000
7.385,43,Sep 18 2015 01: +0,1442534400
6.892,51,Sep 19 2015 01: +0,1442620800
7.067,30,Sep 20 2015 01: +0,1442707200
7.358,27,Sep 21 2015 01: +0,1442793600
7.532,35,Sep 22 2015 01: +0,1442880000
5.99,30,Sep 23 2015 01: +0,1442966400
5.95,38,Sep 24 2015 01: +0,1443052800
6.028,34,Sep 25 2015 01: +0,1443139200
6.75,43,Sep 26 2015 01: +0,1443225600
6.895,21,Sep 27 2015 01: +0,1443312000
6.885,32,Sep 28 2015 01: +0,1443398400
7.029,28,Sep 29 2015 01: +0,1443484800
6.539,49,Sep 30 2015 01: +0,1443571200
6.169,40,Oct 01 2015 01: +0,1443657600
6.804,34,Oct 02 2015 01: +0,1443744000
7.494,37,Oct 03 2015 01: +0,1443830400
8.077,19,Oct 04 2015 01: +0,1443916800
6.855,14,Oct 05 2015 01: +0,1444003200
8.242,14,Oct 06 2015 01: +0,1444089600
7.838,6,Oct 07 2015 01: +0,1444176000
8.26,13,Oct 08 2015 01: +0,1444262400
8.89,10,Oct 09 2015 01: +0,1444348800
8.271,30,Oct 10 2015 01: +0,1444435200
9.266,13,Oct 11 2015 01: +0,1444521600
9.193,13,Oct 12 2015 01: +0,1444608000
9.388,20,Oct 13 2015 01: +0,1444694400
10.082,9,Oct 14 2015 01: +0,1444780800
8.723,12,Oct 15 2015 01: +0,1444867200
9.445,6,Oct 16 2015 01: +0,1444953600
9.1,8,Oct 17 2015 01: +0,1445040000
9.688,8,Oct 18 2015 01: +0,1445126400
9.806,9,Oct 19 2015 01: +0,1445212800
10.042,7,Oct 20 2015 01: +0,1445299200
9.542,17,Oct 21 2015 01: +0,1445385600
9.773,1,Oct 22 2015 01: +0,1445472000
9.047,10,Oct 23 2015 01: +0,1445558400
8.654,23,Oct 24 2015 01: +0,1445644800
9.049,4,Oct 25 2015 01: +0,1445731200
8.871,17,Oct 26 2015 01: +0,1445821200
8.719,16,Oct 27 2015 01: +0,1445907600
7.793,8,Oct 28 2015 01: +0,1445994000
9.128,3,Oct 29 2015 01: +0,1446080400
9.031,5,Oct 30 2015 01: +0,1446166800
8.998,2,Oct 31 2015 01: +0,1446253200
8.83,14,Nov 01 2015 01: +0,1446339600
8.802,11,Nov 02 2015 01: +0,1446426000
9.003,14,Nov 03 2015 01: +0,1446512400
9.429,5,Nov 04 2015 01: +0,1446598800
9.13,6,Nov 05 2015 01: +0,1446685200
9.282,11,Nov 06 2015 01: +0,1446771600
8.887,4,Nov 07 2015 01: +0,1446858000
9.666,22,Nov 08 2015 01: +0,1446944400
9.629,5,Nov 09 2015 01: +0,1447030800
9.689,18,Nov 10 2015 01: +0,1447117200
10.253,3,Nov 11 2015 01: +0,1447203600
10.446,12,Nov 12 2015 01: +0,1447290000
11.396,9,Nov 13 2015 01: +0,1447376400
12.242,3,Nov 14 2015 01: +0,1447462800
10.613,4,Nov 15 2015 01: +0,1447549200
11.19,3,Nov 16 2015 01: +0,1447635600
7.234,1,Nov 17 2015 01: +0,1447722000
11.091,7,Nov 18 2015 01: +0,1447808400
11.684,3,Nov 19 2015 01: +0,1447894800
11.708,4,Nov 20 2015 01: +0,1447981200
12.023,6,Nov 21 2015 01: +0,1448067600
11.94,2,Nov 23 2015 01: +0,1448240400
10.703,12,Nov 24 2015 01: +0,1448326800
13.115,2,Nov 25 2015 01: +0,1448413200
11.063,13,Nov 26 2015 01: +0,1448499600
11.364,9,Nov 27 2015 01: +0,1448586000
11.165,3,Nov 28 2015 01: +0,1448672400
10.714,4,Nov 29 2015 01: +0,1448758800
11.112,3,Nov 30 2015 01: +0,1448845200
10.555,9,Dec 01 2015 01: +0,1448931600
9.76,2,Dec 02 2015 01: +0,1449018000
10.717,11,Dec 03 2015 01: +0,1449104400
11.675,7,Dec 04 2015 01: +0,1449190800
11.922,4,Dec 05 2015 01: +0,1449277200
11.285,9,Dec 06 2015 01: +0,1449363600
11.615,2,Dec 07 2015 01: +0,1449450000
11.909,3,Dec 08 2015 01: +0,1449536400
10.249,6,Dec 10 2015 01: +0,1449709200
10.039,11,Dec 11 2015 01: +0,1449795600
11.082,3,Dec 12 2015 01: +0,1449882000
10.141,2,Dec 13 2015 01: +0,1449968400
11.666,2,Dec 14 2015 01: +0,1450054800
11.821,3,Dec 15 2015 01: +0,1450141200
12.541,7,Dec 16 2015 01: +0,1450227600
11.889,2,Dec 18 2015 01: +0,1450400400
10.833,11,Dec 19 2015 01: +0,1450486800
12.546,3,Dec 20 2015 01: +0,1450573200
10.43,9,Dec 23 2015 01: +0,1450832400
11.374,7,Dec 24 2015 01: +0,1450918800
12.428,6,Dec 25 2015 01: +0,1451005200
11.355,5,Dec 26 2015 01: +0,1451091600
12.746,5,Dec 27 2015 01: +0,1451178000
12.425,2,Dec 28 2015 01: +0,1451264400
11.044,10,Dec 29 2015 01: +0,1451350800
12.836,6,Dec 30 2015 01: +0,1451437200
11.415,6,Dec 31 2015 01: +0,1451523600
11.054,5,Jan 01 2016 01: +0,1451610000
12.876,8,Jan 02 2016 01: +0,1451696400
10.855,9,Jan 03 2016 01: +0,1451782800
10.829,7,Jan 04 2016 01: +0,1451869200
11.936,6,Jan 05 2016 01: +0,1451955600
12.564,4,Jan 06 2016 01: +0,1452042000
13.459,3,Jan 07 2016 01: +0,1452128400
11.431,5,Jan 08 2016 01: +0,1452214800
11.663,4,Jan 09 2016 01: +0,1452301200
11.662,5,Jan 10 2016 01: +0,1452387600
12.453,8,Jan 11 2016 01: +0,1452474000
12.827,1,Jan 12 2016 01: +0,1452560400
11.693,11,Jan 13 2016 01: +0,1452646800
12.031,3,Jan 14 2016 01: +0,1452733200
12.242,2,Jan 15 2016 01: +0,1452819600
12.569,8,Jan 16 2016 01: +0,1452906000
12.413,6,Jan 17 2016 01: +0,1452992400
12.141,3,Jan 18 2016 01: +0,1453078800
12.741,4,Jan 19 2016 01: +0,1453165200
11.633,3,Jan 20 2016 01: +0,1453251600
13.438,5,Jan 21 2016 01: +0,1453338000
12.43,5,Jan 22 2016 01: +0,1453424400
13.223,5,Jan 23 2016 01: +0,1453510800
12.976,3,Jan 24 2016 01: +0,1453597200
14.054,1,Jan 25 2016 01: +0,1453683600
13.109,3,Jan 26 2016 01: +0,1453770000
13.637,3,Jan 27 2016 01: +0,1453856400
12.194,3,Jan 28 2016 01: +0,1453942800
12.763,4,Jan 30 2016 01: +0,1454115600
14.269,1,Jan 31 2016 01: +0,1454202000
13.897,1,Feb 01 2016 01: +0,1454288400
12.202,5,Feb 02 2016 01: +0,1454374800
12.883,3,Feb 03 2016 01: +0,1454461200
14.864,1,Feb 04 2016 01: +0,1454547600
13.163,2,Feb 05 2016 01: +0,1454634000
14.5,2,Feb 06 2016 01: +0,1454720400
15.565,6,Feb 08 2016 01: +0,1454893200
