price,quantity,date,unix timestamp
9.953,160,Apr 16 2015 01: +0,1429142400
7.71,153,Apr 17 2015 01: +0,1429228800
5.984,252,Apr 18 2015 01: +0,1429315200
5.499,193,Apr 19 2015 01: +0,1429401600
5.172,182,Apr 20 2015 01: +0,1429488000
5.199,185,Apr 21 2015 01: +0,1429574400
4.917,181,Apr 22 2015 01: +0,1429660800
4.905,186,Apr 23 2015 01: +0,1429747200
4.965,183,Apr 24 2015 01: +0,1429833600
4.843,234,Apr 25 2015 01: +0,1429920000
4.523,226,Apr 26 2015 01: +0,1430006400
4.281,264,Apr 27 2015 01: +0,1430092800
4.239,196,Apr 28 2015 01: +0,1430179200
4.311,205,Apr 29 2015 01: +0,1430265600
4.365,248,Apr 30 2015 01: +0,1430352000
4.419,240,May 01 2015 01: +0,1430438400
4.389,303,May 02 2015 01: +0,1430524800
4.216,263,May 03 2015 01: +0,1430611200
4.068,261,May 04 2015 01: +0,1430697600
4.028,255,May 05 2015 01: +0,1430784000
4.015,207,May 06 2015 01: +0,1430870400
4.024,229,May 07 2015 01: +0,1430956800
3.983,290,May 08 2015 01: +0,1431043200
3.971,295,May 09 2015 01: +0,1431129600
3.819,268,May 10 2015 01: +0,1431216000
3.757,232,May 11 2015 01: +0,1431302400
3.651,231,May 12 2015 01: +0,1431388800
3.649,247,May 13 2015 01: +0,1431475200
3.661,255,May 14 2015 01: +0,1431561600
3.752,273,May 15 2015 01: +0,1431648000
3.699,306,May 16 2015 01: +0,1431734400
3.577,299,May 17 2015 01: +0,1431820800
3.618,257,May 18 2015 01: +0,1431907200
3.509,245,May 19 2015 01: +0,1431993600
3.347,261,May 20 2015 01: +0,1432080000
3.444,288,May 21 2015 01: +0,1432166400
3.392,292,May 22 2015 01: +0,1432252800
3.424,343,May 23 2015 01: +0,1432339200
3.281,314,May 24 2015 01: +0,1432425600
3.346,281,May 25 2015 01: +0,1432512000
3.197,251,May 26 2015 01: +0,1432598400
2.333,583,May 27 2015 01: +0,1432684800
2.675,401,May 28 2015 01: +0,1432771200
2.823,447,May 29 2015 01: +0,1432857600
2.976,439,May 30 2015 01: +0,1432944000
2.94,350,May 31 2015 01: +0,1433030400
3.033,342,Jun 01 2015 01: +0,1433116800
2.95,290,Jun 02 2015 01: +0,1433203200
2.86,330,Jun 03 2015 01: +0,1433289600
2.727,338,Jun 04 2015 01: +0,1433376000
2.586,395,Jun 05 2015 01: +0,1433462400
2.622,333,Jun 06 2015 01: +0,1433548800
2.617,352,Jun 07 2015 01: +0,1433635200
2.623,330,Jun 08 2015 01: +0,1433721600
2.651,304,Jun 09 2015 01: +0,1433808000
2.614,338,Jun 10 2015 01: +0,1433894400
2.607,387,Jun 11 2015 01: +0,1433980800
2.452,385,Jun 12 2015 01: +0,1434067200
2.563,409,Jun 13 2015 01: +0,1434153600
2.435,352,Jun 14 2015 01: +0,1434240000
2.32,340,Jun 15 2015 01: +0,1434326400
2.368,377,Jun 16 2015 01: +0,1434412800
2.33,376,Jun 17 2015 01: +0,1434499200
