price,quantity,date,unix timestamp
10.877,2,Sep 22 2021 01: +0,1632268800
13.805,3,Sep 23 2021 01: +0,1632355200
14.492,3,Sep 24 2021 01: +0,1632441600
17.323,1,Sep 25 2021 01: +0,1632528000
16.898,3,Sep 26 2021 01: +0,1632614400
14.338,2,Sep 27 2021 01: +0,1632700800
13.19,3,Sep 28 2021 01: +0,1632787200
12.759,6,Sep 29 2021 01: +0,1632873600
14.591,6,Sep 30 2021 01: +0,1632960000
14.566,3,Oct 01 2021 01: +0,1633046400
11.586,2,Oct 02 2021 01: +0,1633132800
9.878,1,Oct 03 2021 01: +0,1633219200
14.697,2,Oct 04 2021 01: +0,1633305600
17.619,1,Oct 05 2021 01: +0,1633392000
14.701,2,Oct 06 2021 01: +0,1633478400
14.111,5,Oct 08 2021 01: +0,1633651200
12.907,4,Oct 10 2021 01: +0,1633824000
11.592,2,Oct 11 2021 01: +0,1633910400
16.593,9,Oct 12 2021 01: +0,1633996800
14.268,3,Oct 14 2021 01: +0,1634169600
12.204,2,Oct 15 2021 01: +0,1634256000
14.884,2,Oct 16 2021 01: +0,1634342400
16.002,1,Oct 18 2021 01: +0,1634515200
13.215,1,Oct 20 2021 01: +0,1634688000
14.04,5,Oct 21 2021 01: +0,1634774400
13.988,1,Oct 23 2021 01: +0,1634947200
11.1,1,Oct 24 2021 01: +0,1635033600
14.645,4,Oct 27 2021 01: +0,1635292800
15.155,2,Oct 30 2021 01: +0,1635552000
10.371,1,Oct 31 2021 01: +0,1635638400
14.819,1,Nov 02 2021 01: +0,1635814800
14.46,1,Nov 04 2021 01: +0,1635987600
11.804,3,Nov 06 2021 01: +0,1636160400
13.843,3,Nov 07 2021 01: +0,1636246800
12.82,1,Nov 08 2021 01: +0,1636333200
10.476,1,Nov 12 2021 01: +0,1636678800
13.45,2,Nov 13 2021 01: +0,1636765200
11.651,2,Nov 14 2021 01: +0,1636851600
12.018,2,Nov 15 2021 01: +0,1636938000
12.587,3,Nov 16 2021 01: +0,1637024400
13.5,2,Nov 18 2021 01: +0,1637197200
11.239,3,Nov 20 2021 01: +0,1637370000
10.884,1,Nov 22 2021 01: +0,1637542800
12.922,2,Nov 24 2021 01: +0,1637715600
12.173,2,Nov 25 2021 01: +0,1637802000
13.005,2,Nov 26 2021 01: +0,1637888400
11.762,1,Nov 27 2021 01: +0,1637974800
11.773,1,Nov 29 2021 01: +0,1638147600
13.31,4,Nov 30 2021 01: +0,1638234000
11.76,3,Dec 01 2021 01: +0,1638320400
10.807,1,Dec 02 2021 01: +0,1638406800
13.699,4,Dec 04 2021 01: +0,1638579600
10.897,2,Dec 05 2021 01: +0,1638666000
12.67,2,Dec 06 2021 01: +0,1638752400
11.517,1,Dec 08 2021 01: +0,1638925200
15.789,1,Dec 13 2021 01: +0,1639357200
11.993,1,Dec 14 2021 01: +0,1639443600
12.777,1,Dec 16 2021 01: +0,1639616400
11.98,1,Dec 17 2021 01: +0,1639702800
11.038,2,Dec 18 2021 01: +0,1639789200
15.028,3,Dec 19 2021 01: +0,1639875600
14.057,2,Dec 21 2021 01: +0,1640048400
13.585,3,Dec 24 2021 01: +0,1640307600
11.937,2,Dec 27 2021 01: +0,1640566800
12.392,2,Dec 28 2021 01: +0,1640653200
14.356,4,Dec 29 2021 01: +0,1640739600
12.753,3,Dec 30 2021 01: +0,1640826000
14.344,3,Dec 31 2021 01: +0,1640912400
12.468,1,Jan 01 2022 01: +0,1640998800
13.752,3,Jan 03 2022 01: +0,1641171600
12.512,1,Jan 04 2022 01: +0,1641258000
13.284,6,Jan 05 2022 01: +0,1641344400
13.389,2,Jan 07 2022 01: +0,1641517200
12.686,1,Jan 08 2022 01: +0,1641603600
12.686,1,Jan 09 2022 01: +0,1641690000
14.406,3,Jan 11 2022 01: +0,1641862800
14.714,2,Jan 12 2022 01: +0,1641949200
17.015,4,Jan 13 2022 01: +0,1642035600
13.733,1,Jan 15 2022 01: +0,1642208400
13.858,3,Jan 17 2022 01: +0,1642381200
15.453,1,Jan 19 2022 01: +0,1642554000
7.912,2,Jan 21 2022 01: +0,1642726800
11.045,2,Jan 22 2022 01: +0,1642813200
14.973,1,Jan 23 2022 01: +0,1642899600
12.589,2,Jan 25 2022 01: +0,1643072400
