price,quantity,date,unix timestamp
12.348,84,Feb 10 2023 01: +0,1675990800
8.623,71,Feb 11 2023 01: +0,1676077200
7.86,70,Feb 12 2023 01: +0,1676163600
7.608,63,Feb 13 2023 01: +0,1676250000
6.921,63,Feb 14 2023 01: +0,1676336400
6.629,52,Feb 15 2023 01: +0,1676422800
6.524,69,Feb 16 2023 01: +0,1676509200
6.828,75,Feb 17 2023 01: +0,1676595600
6.922,58,Feb 18 2023 01: +0,1676682000
6.091,63,Feb 19 2023 01: +0,1676768400
5.655,58,Feb 20 2023 01: +0,1676854800
5.44,62,Feb 21 2023 01: +0,1676941200
5.56,70,Feb 22 2023 01: +0,1677027600
5.748,61,Feb 23 2023 01: +0,1677114000
5.546,70,Feb 24 2023 01: +0,1677200400
5.279,68,Feb 25 2023 01: +0,1677286800
5.199,66,Feb 26 2023 01: +0,1677373200
5.288,74,Feb 27 2023 01: +0,1677459600
5.356,81,Feb 28 2023 01: +0,1677546000
5.381,70,Mar 01 2023 01: +0,1677632400
5.391,70,Mar 02 2023 01: +0,1677718800
5.147,90,Mar 03 2023 01: +0,1677805200
5.263,82,Mar 04 2023 01: +0,1677891600
5.225,73,Mar 05 2023 01: +0,1677978000
5.072,71,Mar 06 2023 01: +0,1678064400
5.123,76,Mar 07 2023 01: +0,1678150800
4.904,87,Mar 08 2023 01: +0,1678237200
4.969,84,Mar 09 2023 01: +0,1678323600
4.752,56,Mar 10 2023 01: +0,1678410000
4.798,4,Mar 10 2023 19: +0,1678474800
4.954,10,Mar 10 2023 20: +0,1678478400
4.303,7,Mar 10 2023 21: +0,1678482000
4.421,8,Mar 10 2023 22: +0,1678485600
4.691,4,Mar 10 2023 23: +0,1678489200
4.282,1,Mar 11 2023 00: +0,1678492800
4.979,6,Mar 11 2023 01: +0,1678496400
4.282,3,Mar 11 2023 02: +0,1678500000
4.644,2,Mar 11 2023 03: +0,1678503600
4.661,4,Mar 11 2023 04: +0,1678507200
4.277,1,Mar 11 2023 06: +0,1678514400
4.764,1,Mar 11 2023 07: +0,1678518000
4.229,5,Mar 11 2023 08: +0,1678521600
4.407,3,Mar 11 2023 09: +0,1678525200
4.636,3,Mar 11 2023 10: +0,1678528800
4.592,8,Mar 11 2023 11: +0,1678532400
4.177,4,Mar 11 2023 12: +0,1678536000
4.251,8,Mar 11 2023 13: +0,1678539600
4.609,6,Mar 11 2023 14: +0,1678543200
4.733,11,Mar 11 2023 15: +0,1678546800
4.761,6,Mar 11 2023 16: +0,1678550400
4.653,7,Mar 11 2023 17: +0,1678554000
4.766,9,Mar 11 2023 18: +0,1678557600
4.441,6,Mar 11 2023 19: +0,1678561200
4.226,8,Mar 11 2023 20: +0,1678564800
4.669,5,Mar 11 2023 21: +0,1678568400
4.652,4,Mar 11 2023 22: +0,1678572000
4.592,4,Mar 11 2023 23: +0,1678575600
4.475,2,Mar 12 2023 00: +0,1678579200
4.829,2,Mar 12 2023 01: +0,1678582800
4.266,2,Mar 12 2023 02: +0,1678586400
4.177,3,Mar 12 2023 03: +0,1678590000
4.177,3,Mar 12 2023 04: +0,1678593600
4.692,3,Mar 12 2023 05: +0,1678597200
4.441,1,Mar 12 2023 06: +0,1678600800
4.177,5,Mar 12 2023 07: +0,1678604400
4.186,4,Mar 12 2023 08: +0,1678608000
4.902,6,Mar 12 2023 10: +0,1678615200
4.235,2,Mar 12 2023 11: +0,1678618800
4.828,4,Mar 12 2023 12: +0,1678622400
4.447,4,Mar 12 2023 13: +0,1678626000
4.457,8,Mar 12 2023 14: +0,1678629600
4.955,3,Mar 12 2023 15: +0,1678633200
4.537,6,Mar 12 2023 16: +0,1678636800
4.794,5,Mar 12 2023 17: +0,1678640400
4.837,3,Mar 12 2023 18: +0,1678644000
4.856,10,Mar 12 2023 19: +0,1678647600
4.845,6,Mar 12 2023 20: +0,1678651200
4.229,10,Mar 12 2023 21: +0,1678654800
4.85,7,Mar 12 2023 22: +0,1678658400
4.182,5,Mar 12 2023 23: +0,1678662000
4.307,6,Mar 13 2023 00: +0,1678665600
4.859,3,Mar 13 2023 01: +0,1678669200
4.854,1,Mar 13 2023 02: +0,1678672800
3.863,1,Mar 13 2023 03: +0,1678676400
4.44,1,Mar 13 2023 07: +0,1678690800
4.526,1,Mar 13 2023 08: +0,1678694400
4.652,1,Mar 13 2023 09: +0,1678698000
4.641,3,Mar 13 2023 10: +0,1678701600
4.503,4,Mar 13 2023 11: +0,1678705200
4.821,3,Mar 13 2023 12: +0,1678708800
4.647,8,Mar 13 2023 14: +0,1678716000
4.685,6,Mar 13 2023 15: +0,1678719600
4.766,7,Mar 13 2023 16: +0,1678723200
4.432,8,Mar 13 2023 17: +0,1678726800
4.189,12,Mar 13 2023 18: +0,1678730400
4.587,8,Mar 13 2023 19: +0,1678734000
4.588,7,Mar 13 2023 20: +0,1678737600
4.645,12,Mar 13 2023 21: +0,1678741200
4.522,2,Mar 13 2023 22: +0,1678744800
4.539,4,Mar 13 2023 23: +0,1678748400
4.751,5,Mar 14 2023 00: +0,1678752000
4.044,1,Mar 14 2023 01: +0,1678755600
4.275,4,Mar 14 2023 02: +0,1678759200
4.442,1,Mar 14 2023 04: +0,1678766400
4.618,2,Mar 14 2023 05: +0,1678770000
