price,quantity,date,unix timestamp
74.27,3,May 04 2021 01: +0,1620086400
70.486,4,May 05 2021 01: +0,1620172800
55.025,3,May 06 2021 01: +0,1620259200
49.2,5,May 07 2021 01: +0,1620345600
48.075,5,May 08 2021 01: +0,1620432000
45.636,7,May 09 2021 01: +0,1620518400
42.396,5,May 10 2021 01: +0,1620604800
47.692,9,May 11 2021 01: +0,1620691200
46.107,3,May 12 2021 01: +0,1620777600
41.847,7,May 13 2021 01: +0,1620864000
43.557,6,May 14 2021 01: +0,1620950400
48.725,5,May 15 2021 01: +0,1621036800
41.748,2,May 16 2021 01: +0,1621123200
41.044,2,May 17 2021 01: +0,1621209600
40.966,2,May 18 2021 01: +0,1621296000
40.706,2,May 19 2021 01: +0,1621382400
35.208,11,May 20 2021 01: +0,1621468800
41.858,7,May 21 2021 01: +0,1621555200
33.697,4,May 22 2021 01: +0,1621641600
34.539,6,May 23 2021 01: +0,1621728000
33.677,7,May 24 2021 01: +0,1621814400
32.514,8,May 25 2021 01: +0,1621900800
34.372,4,May 26 2021 01: +0,1621987200
32.51,4,May 27 2021 01: +0,1622073600
30.944,4,May 28 2021 01: +0,1622160000
32.966,7,May 29 2021 01: +0,1622246400
29.536,6,May 30 2021 01: +0,1622332800
27.338,13,May 31 2021 01: +0,1622419200
26.496,11,Jun 01 2021 01: +0,1622505600
27.168,12,Jun 02 2021 01: +0,1622592000
29.56,7,Jun 03 2021 01: +0,1622678400
26.3,10,Jun 04 2021 01: +0,1622764800
28.342,7,Jun 05 2021 01: +0,1622851200
29.357,10,Jun 06 2021 01: +0,1622937600
30.155,7,Jun 07 2021 01: +0,1623024000
30.96,7,Jun 08 2021 01: +0,1623110400
29.067,8,Jun 09 2021 01: +0,1623196800
29.137,8,Jun 10 2021 01: +0,1623283200
29.198,6,Jun 11 2021 01: +0,1623369600
28.723,7,Jun 12 2021 01: +0,1623456000
27.744,8,Jun 13 2021 01: +0,1623542400
26.202,8,Jun 14 2021 01: +0,1623628800
27.884,7,Jun 15 2021 01: +0,1623715200
28.592,4,Jun 16 2021 01: +0,1623801600
26.763,6,Jun 17 2021 01: +0,1623888000
27.373,10,Jun 18 2021 01: +0,1623974400
27.819,7,Jun 19 2021 01: +0,1624060800
28.97,7,Jun 20 2021 01: +0,1624147200
26.372,8,Jun 21 2021 01: +0,1624233600
29.838,5,Jun 22 2021 01: +0,1624320000
27.153,10,Jun 23 2021 01: +0,1624406400
24.959,9,Jun 24 2021 01: +0,1624492800
23.645,10,Jun 25 2021 01: +0,1624579200
23.812,3,Jun 26 2021 01: +0,1624665600
23.391,10,Jun 27 2021 01: +0,1624752000
23.481,7,Jun 28 2021 01: +0,1624838400
23.906,6,Jun 29 2021 01: +0,1624924800
22.833,3,Jun 30 2021 01: +0,1625011200
24.342,14,Jul 01 2021 01: +0,1625097600
