price,quantity,date,unix timestamp
5.682,1066,Apr 17 2020 01: +0,1587081600
6.02,567,Apr 18 2020 01: +0,1587168000
5.917,407,Apr 19 2020 01: +0,1587254400
6.441,266,Apr 20 2020 01: +0,1587340800
6.37,209,Apr 21 2020 01: +0,1587427200
6.345,189,Apr 22 2020 01: +0,1587513600
6.231,168,Apr 23 2020 01: +0,1587600000
6.236,173,Apr 24 2020 01: +0,1587686400
6.102,144,Apr 25 2020 01: +0,1587772800
6.133,131,Apr 26 2020 01: +0,1587859200
5.884,130,Apr 27 2020 01: +0,1587945600
6.059,137,Apr 28 2020 01: +0,1588032000
6.09,104,Apr 29 2020 01: +0,1588118400
5.976,148,Apr 30 2020 01: +0,1588204800
6.056,128,May 01 2020 01: +0,1588291200
5.842,152,May 02 2020 01: +0,1588377600
6.111,131,May 03 2020 01: +0,1588464000
5.936,143,May 04 2020 01: +0,1588550400
6.124,145,May 05 2020 01: +0,1588636800
6.043,123,May 06 2020 01: +0,1588723200
5.974,114,May 07 2020 01: +0,1588809600
5.949,144,May 08 2020 01: +0,1588896000
5.884,135,May 09 2020 01: +0,1588982400
6.01,113,May 10 2020 01: +0,1589068800
6.023,120,May 11 2020 01: +0,1589155200
5.887,104,May 12 2020 01: +0,1589241600
5.905,95,May 13 2020 01: +0,1589328000
5.921,77,May 14 2020 01: +0,1589414400
5.877,106,May 15 2020 01: +0,1589500800
6.334,86,May 16 2020 01: +0,1589587200
6.258,74,May 17 2020 01: +0,1589673600
6.127,79,May 18 2020 01: +0,1589760000
6.156,64,May 19 2020 01: +0,1589846400
5.767,65,May 20 2020 01: +0,1589932800
5.637,60,May 21 2020 01: +0,1590019200
5.446,72,May 22 2020 01: +0,1590105600
5.763,76,May 23 2020 01: +0,1590192000
5.735,68,May 24 2020 01: +0,1590278400
5.633,57,May 25 2020 01: +0,1590364800
5.266,61,May 26 2020 01: +0,1590451200
5.315,47,May 27 2020 01: +0,1590537600
5.609,68,May 28 2020 01: +0,1590624000
5.528,69,May 29 2020 01: +0,1590710400
5.527,74,May 30 2020 01: +0,1590796800
5.948,60,May 31 2020 01: +0,1590883200
5.816,50,Jun 01 2020 01: +0,1590969600
5.725,48,Jun 02 2020 01: +0,1591056000
5.82,54,Jun 03 2020 01: +0,1591142400
5.731,49,Jun 04 2020 01: +0,1591228800
5.89,41,Jun 05 2020 01: +0,1591315200
5.575,58,Jun 06 2020 01: +0,1591401600
5.631,66,Jun 07 2020 01: +0,1591488000
5.681,45,Jun 08 2020 01: +0,1591574400
5.614,46,Jun 09 2020 01: +0,1591660800
5.589,39,Jun 10 2020 01: +0,1591747200
5.632,49,Jun 11 2020 01: +0,1591833600
5.58,42,Jun 12 2020 01: +0,1591920000
5.534,64,Jun 13 2020 01: +0,1592006400
5.505,49,Jun 14 2020 01: +0,1592092800
5.455,40,Jun 15 2020 01: +0,1592179200
5.593,44,Jun 16 2020 01: +0,1592265600
5.209,61,Jun 17 2020 01: +0,1592352000
5.533,35,Jun 18 2020 01: +0,1592438400
5.518,33,Jun 19 2020 01: +0,1592524800
5.264,42,Jun 20 2020 01: +0,1592611200
5.252,44,Jun 21 2020 01: +0,1592697600
5.338,46,Jun 22 2020 01: +0,1592784000
5.402,81,Jun 23 2020 01: +0,1592870400
5.232,69,Jun 24 2020 01: +0,1592956800
5.016,58,Jun 25 2020 01: +0,1593043200
4.673,61,Jun 26 2020 01: +0,1593129600
4.825,46,Jun 27 2020 01: +0,1593216000
4.675,53,Jun 28 2020 01: +0,1593302400
4.733,41,Jun 29 2020 01: +0,1593388800
4.769,45,Jun 30 2020 01: +0,1593475200
4.928,37,Jul 01 2020 01: +0,1593561600
4.791,49,Jul 02 2020 01: +0,1593648000
4.818,64,Jul 03 2020 01: +0,1593734400
4.77,58,Jul 04 2020 01: +0,1593820800
4.729,41,Jul 05 2020 01: +0,1593907200
4.782,52,Jul 06 2020 01: +0,1593993600
4.82,30,Jul 07 2020 01: +0,1594080000
4.866,34,Jul 08 2020 01: +0,1594166400
4.786,34,Jul 09 2020 01: +0,1594252800
5.118,55,Jul 10 2020 01: +0,1594339200
5.281,41,Jul 11 2020 01: +0,1594425600
4.977,50,Jul 12 2020 01: +0,1594512000
5.126,39,Jul 13 2020 01: +0,1594598400
5.027,35,Jul 14 2020 01: +0,1594684800
4.995,45,Jul 15 2020 01: +0,1594771200
5.04,62,Jul 16 2020 01: +0,1594857600
4.932,65,Jul 17 2020 01: +0,1594944000
4.868,60,Jul 18 2020 01: +0,1595030400
4.902,52,Jul 19 2020 01: +0,1595116800
4.829,43,Jul 20 2020 01: +0,1595203200
4.785,47,Jul 21 2020 01: +0,1595289600
4.962,58,Jul 22 2020 01: +0,1595376000
5.03,54,Jul 23 2020 01: +0,1595462400
4.897,67,Jul 24 2020 01: +0,1595548800
4.801,53,Jul 25 2020 01: +0,1595635200
4.726,61,Jul 26 2020 01: +0,1595721600
4.876,47,Jul 27 2020 01: +0,1595808000
