price,quantity,date,unix timestamp
4.128,1,Aug 15 2013 01: +0,1376524800
0.819,1,Aug 16 2013 01: +0,1376611200
2.498,2,Aug 17 2013 01: +0,1376697600
4.662,2,Aug 21 2013 01: +0,1377043200
4.616,1,Aug 22 2013 01: +0,1377129600
2.297,3,Aug 23 2013 01: +0,1377216000
1.92,4,Aug 24 2013 01: +0,1377302400
2.566,4,Aug 25 2013 01: +0,1377388800
2.491,2,Aug 26 2013 01: +0,1377475200
2.225,1,Aug 27 2013 01: +0,1377561600
2.396,4,Aug 28 2013 01: +0,1377648000
2.607,4,Aug 29 2013 01: +0,1377734400
2.316,1,Aug 30 2013 01: +0,1377820800
2.436,2,Aug 31 2013 01: +0,1377907200
2.458,3,Sep 01 2013 01: +0,1377993600
2.501,6,Sep 02 2013 01: +0,1378080000
3.197,1,Sep 03 2013 01: +0,1378166400
3.093,2,Sep 04 2013 01: +0,1378252800
3.234,1,Sep 05 2013 01: +0,1378339200
2.139,2,Sep 06 2013 01: +0,1378425600
2.501,5,Sep 07 2013 01: +0,1378512000
2.118,7,Sep 08 2013 01: +0,1378598400
2.232,7,Sep 09 2013 01: +0,1378684800
3.409,3,Sep 10 2013 01: +0,1378771200
2.773,1,Sep 11 2013 01: +0,1378857600
1.863,2,Sep 12 2013 01: +0,1378944000
1.902,1,Sep 13 2013 01: +0,1379030400
2.018,5,Sep 14 2013 01: +0,1379116800
2.641,4,Sep 15 2013 01: +0,1379203200
2.117,2,Sep 17 2013 01: +0,1379376000
1.919,3,Sep 18 2013 01: +0,1379462400
1.505,3,Sep 19 2013 01: +0,1379548800
1.941,7,Sep 20 2013 01: +0,1379635200
1.493,1,Sep 22 2013 01: +0,1379808000
1.212,2,Sep 24 2013 01: +0,1379980800
0.962,3,Sep 25 2013 01: +0,1380067200
0.898,9,Sep 26 2013 01: +0,1380153600
1.321,4,Sep 27 2013 01: +0,1380240000
1.409,4,Sep 28 2013 01: +0,1380326400
1.508,4,Sep 29 2013 01: +0,1380412800
1.668,5,Sep 30 2013 01: +0,1380499200
1.075,1,Oct 02 2013 01: +0,1380672000
1.056,1,Oct 03 2013 01: +0,1380758400
1.065,3,Oct 04 2013 01: +0,1380844800
1.13,5,Oct 05 2013 01: +0,1380931200
1.264,3,Oct 06 2013 01: +0,1381017600
0.98,6,Oct 07 2013 01: +0,1381104000
1.214,5,Oct 08 2013 01: +0,1381190400
1.315,4,Oct 09 2013 01: +0,1381276800
1.505,3,Oct 11 2013 01: +0,1381449600
0.981,2,Oct 12 2013 01: +0,1381536000
1.205,3,Oct 13 2013 01: +0,1381622400
1.142,4,Oct 14 2013 01: +0,1381708800
1.137,2,Oct 15 2013 01: +0,1381795200
1.063,1,Oct 16 2013 01: +0,1381881600
0.793,7,Oct 18 2013 01: +0,1382054400
1.02,6,Oct 19 2013 01: +0,1382140800
1.015,8,Oct 20 2013 01: +0,1382227200
1.043,4,Oct 21 2013 01: +0,1382313600
1.101,5,Oct 22 2013 01: +0,1382400000
1.543,7,Oct 23 2013 01: +0,1382486400
1.735,1,Oct 24 2013 01: +0,1382572800
1.603,5,Oct 25 2013 01: +0,1382659200
1.595,1,Oct 26 2013 01: +0,1382745600
1.54,3,Oct 27 2013 01: +0,1382832000
0.815,4,Oct 28 2013 01: +0,1382922000
1.208,1,Oct 29 2013 01: +0,1383008400
1.153,2,Oct 30 2013 01: +0,1383094800
0.936,1,Oct 31 2013 01: +0,1383181200
1.027,5,Nov 01 2013 01: +0,1383267600
0.94,3,Nov 02 2013 01: +0,1383354000
0.989,3,Nov 03 2013 01: +0,1383440400
1.141,7,Nov 04 2013 01: +0,1383526800
1.101,4,Nov 06 2013 01: +0,1383699600
1.225,1,Nov 08 2013 01: +0,1383872400
1.072,3,Nov 09 2013 01: +0,1383958800
1.516,4,Nov 10 2013 01: +0,1384045200
0.939,2,Nov 11 2013 01: +0,1384131600
0.781,3,Nov 13 2013 01: +0,1384304400
1.022,3,Nov 14 2013 01: +0,1384390800
0.998,4,Nov 15 2013 01: +0,1384477200
0.564,4,Nov 16 2013 01: +0,1384563600
0.862,7,Nov 17 2013 01: +0,1384650000
0.787,4,Nov 18 2013 01: +0,1384736400
0.747,4,Nov 19 2013 01: +0,1384822800
1.162,2,Nov 20 2013 01: +0,1384909200
1.117,1,Nov 21 2013 01: +0,1384995600
0.895,3,Nov 22 2013 01: +0,1385082000
1.013,3,Nov 23 2013 01: +0,1385168400
1.082,9,Nov 24 2013 01: +0,1385254800
1.507,2,Nov 25 2013 01: +0,1385341200
1.375,1,Nov 26 2013 01: +0,1385427600
1.202,4,Nov 27 2013 01: +0,1385514000
1.373,6,Nov 28 2013 01: +0,1385600400
1.224,2,Nov 29 2013 01: +0,1385686800
1.259,4,Nov 30 2013 01: +0,1385773200
0.843,3,Dec 01 2013 01: +0,1385859600
1.324,5,Dec 02 2013 01: +0,1385946000
1.997,1,Dec 03 2013 01: +0,1386032400
1.577,4,Dec 04 2013 01: +0,1386118800
1.981,1,Dec 05 2013 01: +0,1386205200
1.605,1,Dec 06 2013 01: +0,1386291600
1.973,2,Dec 07 2013 01: +0,1386378000
1.883,1,Dec 09 2013 01: +0,1386550800
1.836,1,Dec 11 2013 01: +0,1386723600
1.481,2,Dec 12 2013 01: +0,1386810000
1.737,1,Dec 13 2013 01: +0,1386896400
1.861,1,Dec 14 2013 01: +0,1386982800
1.872,1,Dec 16 2013 01: +0,1387155600
1.009,1,Dec 19 2013 01: +0,1387414800
1.096,3,Dec 20 2013 01: +0,1387501200
1.117,3,Dec 21 2013 01: +0,1387587600
1.267,9,Dec 22 2013 01: +0,1387674000
0.959,2,Dec 23 2013 01: +0,1387760400
1.796,7,Dec 24 2013 01: +0,1387846800
1.928,3,Dec 26 2013 01: +0,1388019600
1.481,2,Dec 27 2013 01: +0,1388106000
1.591,3,Dec 31 2013 01: +0,1388451600
1.723,1,Jan 01 2014 01: +0,1388538000
1.673,2,Jan 02 2014 01: +0,1388624400
1.716,3,Jan 03 2014 01: +0,1388710800
1.661,4,Jan 04 2014 01: +0,1388797200
1.643,3,Jan 05 2014 01: +0,1388883600
1.856,6,Jan 06 2014 01: +0,1388970000
2.837,3,Jan 08 2014 01: +0,1389142800
3.25,2,Jan 09 2014 01: +0,1389229200
1.863,3,Jan 11 2014 01: +0,1389402000
1.698,3,Jan 12 2014 01: +0,1389488400
2.482,1,Jan 13 2014 01: +0,1389574800
2.175,2,Jan 14 2014 01: +0,1389661200
2.258,1,Jan 17 2014 01: +0,1389920400
2.567,2,Jan 18 2014 01: +0,1390006800
0.943,2,Jan 19 2014 01: +0,1390093200
2.239,1,Jan 21 2014 01: +0,1390266000
2.014,8,Jan 22 2014 01: +0,1390352400
2.592,2,Jan 24 2014 01: +0,1390525200
0.988,2,Jan 26 2014 01: +0,1390698000
1.541,4,Jan 27 2014 01: +0,1390784400
1.332,2,Jan 28 2014 01: +0,1390870800
2.209,9,Jan 30 2014 01: +0,1391043600
2.077,1,Feb 02 2014 01: +0,1391302800
1.936,1,Feb 03 2014 01: +0,1391389200
2.257,2,Feb 04 2014 01: +0,1391475600
2.13,2,Feb 05 2014 01: +0,1391562000
1.29,1,Feb 06 2014 01: +0,1391648400
3.775,1,Feb 07 2014 01: +0,1391734800
1.654,1,Feb 08 2014 01: +0,1391821200
1.55,1,Feb 09 2014 01: +0,1391907600
3.385,6,Feb 10 2014 01: +0,1391994000
7.613,1,Feb 12 2014 01: +0,1392166800
2.147,2,Feb 17 2014 01: +0,1392598800
3.193,1,Feb 18 2014 01: +0,1392685200
3.185,1,Feb 20 2014 01: +0,1392858000
2.647,5,Feb 21 2014 01: +0,1392944400
2.573,1,Feb 22 2014 01: +0,1393030800
2.154,7,Feb 23 2014 01: +0,1393117200
3.022,2,Feb 24 2014 01: +0,1393203600
2.681,3,Feb 27 2014 01: +0,1393462800
1.58,1,Feb 28 2014 01: +0,1393549200
2.596,3,Mar 02 2014 01: +0,1393722000
2.669,7,Mar 04 2014 01: +0,1393894800
2.879,1,Mar 05 2014 01: +0,1393981200
2.483,1,Mar 06 2014 01: +0,1394067600
2.555,2,Mar 07 2014 01: +0,1394154000
2.521,3,Mar 08 2014 01: +0,1394240400
2.338,3,Mar 09 2014 01: +0,1394326800
3.211,3,Mar 10 2014 01: +0,1394413200
3.574,7,Mar 13 2014 01: +0,1394672400
2.141,4,Mar 15 2014 01: +0,1394845200
2.888,1,Mar 16 2014 01: +0,1394931600
3.735,3,Mar 18 2014 01: +0,1395104400
3.528,1,Mar 20 2014 01: +0,1395277200
3.876,12,Mar 22 2014 01: +0,1395450000
4.583,1,Mar 23 2014 01: +0,1395536400
3.925,2,Mar 27 2014 01: +0,1395882000
3.309,1,Mar 28 2014 01: +0,1395968400
5.219,3,Mar 29 2014 01: +0,1396054800
2.665,1,Mar 30 2014 01: +0,1396141200
4.504,4,Mar 31 2014 01: +0,1396224000
1.606,2,Apr 02 2014 01: +0,1396396800
4.88,3,Apr 03 2014 01: +0,1396483200
5.194,3,Apr 04 2014 01: +0,1396569600
3.279,2,Apr 05 2014 01: +0,1396656000
8.603,7,Apr 07 2014 01: +0,1396828800
4.963,1,Apr 08 2014 01: +0,1396915200
5.577,3,Apr 10 2014 01: +0,1397088000
7.091,2,Apr 11 2014 01: +0,1397174400
5.702,1,Apr 13 2014 01: +0,1397347200
7.09,1,Apr 14 2014 01: +0,1397433600
7.115,1,Apr 15 2014 01: +0,1397520000
5.046,2,Apr 17 2014 01: +0,1397692800
5.745,2,Apr 19 2014 01: +0,1397865600
6.144,2,Apr 21 2014 01: +0,1398038400
6.179,1,Apr 25 2014 01: +0,1398384000
6.637,2,Apr 26 2014 01: +0,1398470400
6.055,3,Apr 30 2014 01: +0,1398816000
7.395,1,May 01 2014 01: +0,1398902400
5.802,1,May 03 2014 01: +0,1399075200
5.707,1,May 05 2014 01: +0,1399248000
4.834,4,May 06 2014 01: +0,1399334400
5.624,4,May 07 2014 01: +0,1399420800
5.798,1,May 10 2014 01: +0,1399680000
5.795,1,May 11 2014 01: +0,1399766400
4.203,2,May 12 2014 01: +0,1399852800
7.323,4,May 13 2014 01: +0,1399939200
4.748,1,May 14 2014 01: +0,1400025600
8.243,6,May 15 2014 01: +0,1400112000
10.911,1,May 17 2014 01: +0,1400284800
9.788,3,May 20 2014 01: +0,1400544000
9.93,1,May 23 2014 01: +0,1400803200
11.655,1,May 24 2014 01: +0,1400889600
9.719,1,May 26 2014 01: +0,1401062400
10.935,1,May 28 2014 01: +0,1401235200
8.277,1,Jun 02 2014 01: +0,1401667200
6.808,1,Jun 03 2014 01: +0,1401753600
8.433,2,Jun 04 2014 01: +0,1401840000
8.561,1,Jun 05 2014 01: +0,1401926400
8.065,1,Jun 06 2014 01: +0,1402012800
7.908,5,Jun 07 2014 01: +0,1402099200
8.929,6,Jun 08 2014 01: +0,1402185600
6.869,2,Jun 09 2014 01: +0,1402272000
9.033,1,Jun 12 2014 01: +0,1402531200
2.574,2,Jun 16 2014 01: +0,1402876800
7.591,3,Jun 17 2014 01: +0,1402963200
6.488,1,Jun 20 2014 01: +0,1403222400
8.283,1,Jun 21 2014 01: +0,1403308800
7.817,1,Jun 24 2014 01: +0,1403568000
8.098,5,Jun 25 2014 01: +0,1403654400
8.797,2,Jun 27 2014 01: +0,1403827200
7.133,1,Jun 29 2014 01: +0,1404000000
8.671,1,Jun 30 2014 01: +0,1404086400
8.693,1,Jul 01 2014 01: +0,1404172800
7.6,1,Jul 02 2014 01: +0,1404259200
3.823,2,Jul 03 2014 01: +0,1404345600
4.138,1,Jul 06 2014 01: +0,1404604800
8.277,1,Jul 10 2014 01: +0,1404950400
8.231,2,Jul 11 2014 01: +0,1405036800
8.417,2,Jul 12 2014 01: +0,1405123200
7.846,2,Jul 13 2014 01: +0,1405209600
8.545,2,Jul 15 2014 01: +0,1405382400
8.561,1,Jul 17 2014 01: +0,1405555200
6.569,7,Jul 19 2014 01: +0,1405728000
4.756,1,Jul 21 2014 01: +0,1405900800
6.515,2,Jul 22 2014 01: +0,1405987200
