price,quantity,date,unix timestamp
1.636,346,Apr 01 2020 01: +0,1585699200
1.204,357,Apr 02 2020 01: +0,1585785600
0.954,237,Apr 03 2020 01: +0,1585872000
0.877,290,Apr 04 2020 01: +0,1585958400
0.784,316,Apr 05 2020 01: +0,1586044800
0.659,256,Apr 06 2020 01: +0,1586131200
0.645,333,Apr 07 2020 01: +0,1586217600
0.692,342,Apr 08 2020 01: +0,1586304000
0.792,265,Apr 09 2020 01: +0,1586390400
0.752,295,Apr 10 2020 01: +0,1586476800
0.709,314,Apr 11 2020 01: +0,1586563200
0.645,232,Apr 12 2020 01: +0,1586649600
0.65,261,Apr 13 2020 01: +0,1586736000
0.56,229,Apr 14 2020 01: +0,1586822400
0.546,240,Apr 15 2020 01: +0,1586908800
0.571,316,Apr 16 2020 01: +0,1586995200
0.54,249,Apr 17 2020 01: +0,1587081600
0.488,277,Apr 18 2020 01: +0,1587168000
0.497,286,Apr 19 2020 01: +0,1587254400
0.485,291,Apr 20 2020 01: +0,1587340800
0.445,221,Apr 21 2020 01: +0,1587427200
0.423,324,Apr 22 2020 01: +0,1587513600
0.421,319,Apr 23 2020 01: +0,1587600000
0.426,272,Apr 24 2020 01: +0,1587686400
0.423,254,Apr 25 2020 01: +0,1587772800
0.401,225,Apr 26 2020 01: +0,1587859200
0.384,290,Apr 27 2020 01: +0,1587945600
0.398,195,Apr 28 2020 01: +0,1588032000
0.346,205,Apr 29 2020 01: +0,1588118400
0.357,281,Apr 30 2020 01: +0,1588204800
0.375,248,May 01 2020 01: +0,1588291200
0.364,250,May 02 2020 01: +0,1588377600
0.353,238,May 03 2020 01: +0,1588464000
0.351,230,May 04 2020 01: +0,1588550400
0.363,235,May 05 2020 01: +0,1588636800
0.35,264,May 06 2020 01: +0,1588723200
0.36,298,May 07 2020 01: +0,1588809600
0.336,217,May 08 2020 01: +0,1588896000
0.357,231,May 09 2020 01: +0,1588982400
0.366,209,May 10 2020 01: +0,1589068800
0.341,227,May 11 2020 01: +0,1589155200
0.331,253,May 12 2020 01: +0,1589241600
0.345,218,May 13 2020 01: +0,1589328000
0.342,222,May 14 2020 01: +0,1589414400
0.346,248,May 15 2020 01: +0,1589500800
0.349,265,May 16 2020 01: +0,1589587200
0.328,245,May 17 2020 01: +0,1589673600
0.33,215,May 18 2020 01: +0,1589760000
0.34,246,May 19 2020 01: +0,1589846400
0.351,252,May 20 2020 01: +0,1589932800
0.327,235,May 21 2020 01: +0,1590019200
0.332,223,May 22 2020 01: +0,1590105600
0.329,262,May 23 2020 01: +0,1590192000
0.352,270,May 24 2020 01: +0,1590278400
0.361,237,May 25 2020 01: +0,1590364800
0.33,192,May 26 2020 01: +0,1590451200
0.3,192,May 27 2020 01: +0,1590537600
0.291,205,May 28 2020 01: +0,1590624000
0.286,211,May 29 2020 01: +0,1590710400
0.286,253,May 30 2020 01: +0,1590796800
0.289,243,May 31 2020 01: +0,1590883200
0.283,223,Jun 01 2020 01: +0,1590969600
0.287,185,Jun 02 2020 01: +0,1591056000
0.28,176,Jun 03 2020 01: +0,1591142400
0.272,214,Jun 04 2020 01: +0,1591228800
0.279,203,Jun 05 2020 01: +0,1591315200
0.283,222,Jun 06 2020 01: +0,1591401600
0.289,190,Jun 07 2020 01: +0,1591488000
0.274,197,Jun 08 2020 01: +0,1591574400
0.292,193,Jun 09 2020 01: +0,1591660800
0.285,168,Jun 10 2020 01: +0,1591747200
0.286,179,Jun 11 2020 01: +0,1591833600
0.303,270,Jun 12 2020 01: +0,1591920000
0.349,289,Jun 13 2020 01: +0,1592006400
0.326,193,Jun 14 2020 01: +0,1592092800
0.32,200,Jun 15 2020 01: +0,1592179200
0.292,169,Jun 16 2020 01: +0,1592265600
0.299,226,Jun 17 2020 01: +0,1592352000
0.291,155,Jun 18 2020 01: +0,1592438400
0.285,206,Jun 19 2020 01: +0,1592524800
0.269,196,Jun 20 2020 01: +0,1592611200
0.267,200,Jun 21 2020 01: +0,1592697600
0.267,282,Jun 22 2020 01: +0,1592784000
0.279,140,Jun 23 2020 01: +0,1592870400
0.284,149,Jun 24 2020 01: +0,1592956800
0.289,176,Jun 25 2020 01: +0,1593043200
0.268,158,Jun 26 2020 01: +0,1593129600
0.262,139,Jun 27 2020 01: +0,1593216000
0.269,148,Jun 28 2020 01: +0,1593302400
0.271,140,Jun 29 2020 01: +0,1593388800
0.267,192,Jun 30 2020 01: +0,1593475200
0.26,200,Jul 01 2020 01: +0,1593561600
