price,quantity,date,unix timestamp
2.629,228,Nov 08 2013 01: +0,1383872400
0.689,317,Nov 09 2013 01: +0,1383958800
0.491,371,Nov 10 2013 01: +0,1384045200
0.499,248,Nov 11 2013 01: +0,1384131600
0.45,260,Nov 12 2013 01: +0,1384218000
0.432,197,Nov 13 2013 01: +0,1384304400
0.407,225,Nov 14 2013 01: +0,1384390800
0.417,262,Nov 15 2013 01: +0,1384477200
0.387,253,Nov 16 2013 01: +0,1384563600
0.337,340,Nov 17 2013 01: +0,1384650000
0.346,233,Nov 18 2013 01: +0,1384736400
0.319,247,Nov 19 2013 01: +0,1384822800
0.363,156,Nov 20 2013 01: +0,1384909200
0.344,203,Nov 21 2013 01: +0,1384995600
0.34,271,Nov 22 2013 01: +0,1385082000
0.352,320,Nov 23 2013 01: +0,1385168400
0.341,265,Nov 24 2013 01: +0,1385254800
0.279,273,Nov 25 2013 01: +0,1385341200
0.295,287,Nov 26 2013 01: +0,1385427600
0.271,208,Nov 27 2013 01: +0,1385514000
0.278,276,Nov 28 2013 01: +0,1385600400
0.263,260,Nov 29 2013 01: +0,1385686800
0.232,339,Nov 30 2013 01: +0,1385773200
0.238,369,Dec 01 2013 01: +0,1385859600
0.264,328,Dec 02 2013 01: +0,1385946000
0.263,347,Dec 03 2013 01: +0,1386032400
0.299,288,Dec 04 2013 01: +0,1386118800
0.277,351,Dec 05 2013 01: +0,1386205200
0.278,256,Dec 06 2013 01: +0,1386291600
0.248,376,Dec 07 2013 01: +0,1386378000
0.267,469,Dec 08 2013 01: +0,1386464400
0.251,330,Dec 09 2013 01: +0,1386550800
0.242,327,Dec 10 2013 01: +0,1386637200
0.254,339,Dec 11 2013 01: +0,1386723600
0.231,376,Dec 12 2013 01: +0,1386810000
0.236,329,Dec 13 2013 01: +0,1386896400
0.248,337,Dec 14 2013 01: +0,1386982800
0.243,341,Dec 15 2013 01: +0,1387069200
0.231,353,Dec 16 2013 01: +0,1387155600
0.251,337,Dec 17 2013 01: +0,1387242000
0.231,279,Dec 18 2013 01: +0,1387328400
0.197,331,Dec 19 2013 01: +0,1387414800
0.196,404,Dec 20 2013 01: +0,1387501200
0.192,385,Dec 21 2013 01: +0,1387587600
0.198,411,Dec 22 2013 01: +0,1387674000
0.191,346,Dec 23 2013 01: +0,1387760400
0.198,333,Dec 24 2013 01: +0,1387846800
0.2,215,Dec 25 2013 01: +0,1387933200
0.2,343,Dec 26 2013 01: +0,1388019600
0.184,432,Dec 27 2013 01: +0,1388106000
0.207,416,Dec 28 2013 01: +0,1388192400
