price,quantity,date,unix timestamp
0.678,83,Nov 28 2013 01: +0,1385600400
0.272,135,Nov 29 2013 01: +0,1385686800
0.205,171,Nov 30 2013 01: +0,1385773200
0.196,173,Dec 01 2013 01: +0,1385859600
0.154,137,Dec 02 2013 01: +0,1385946000
0.141,155,Dec 03 2013 01: +0,1386032400
0.13,169,Dec 04 2013 01: +0,1386118800
0.128,172,Dec 05 2013 01: +0,1386205200
0.125,208,Dec 06 2013 01: +0,1386291600
0.125,264,Dec 07 2013 01: +0,1386378000
0.111,258,Dec 08 2013 01: +0,1386464400
0.11,179,Dec 09 2013 01: +0,1386550800
0.101,208,Dec 10 2013 01: +0,1386637200
0.085,168,Dec 11 2013 01: +0,1386723600
0.077,152,Dec 12 2013 01: +0,1386810000
0.072,170,Dec 13 2013 01: +0,1386896400
0.083,223,Dec 14 2013 01: +0,1386982800
0.072,183,Dec 15 2013 01: +0,1387069200
0.061,180,Dec 16 2013 01: +0,1387155600
0.049,199,Dec 17 2013 01: +0,1387242000
0.045,224,Dec 18 2013 01: +0,1387328400
0.042,207,Dec 19 2013 01: +0,1387414800
0.039,262,Dec 20 2013 01: +0,1387501200
0.041,289,Dec 21 2013 01: +0,1387587600
0.041,367,Dec 22 2013 01: +0,1387674000
0.046,328,Dec 23 2013 01: +0,1387760400
0.047,330,Dec 24 2013 01: +0,1387846800
0.056,254,Dec 25 2013 01: +0,1387933200
0.053,305,Dec 26 2013 01: +0,1388019600
0.052,304,Dec 27 2013 01: +0,1388106000
0.052,340,Dec 28 2013 01: +0,1388192400
0.045,352,Dec 29 2013 01: +0,1388278800
0.044,382,Dec 30 2013 01: +0,1388365200
0.049,306,Dec 31 2013 01: +0,1388451600
0.047,367,Jan 01 2014 01: +0,1388538000
0.042,386,Jan 02 2014 01: +0,1388624400
0.04,275,Jan 03 2014 01: +0,1388710800
0.045,475,Jan 04 2014 01: +0,1388797200
0.045,525,Jan 05 2014 01: +0,1388883600
0.045,397,Jan 06 2014 01: +0,1388970000
0.042,402,Jan 07 2014 01: +0,1389056400
0.041,308,Jan 08 2014 01: +0,1389142800
0.035,379,Jan 09 2014 01: +0,1389229200
0.037,457,Jan 10 2014 01: +0,1389315600
0.044,384,Jan 11 2014 01: +0,1389402000
0.036,416,Jan 12 2014 01: +0,1389488400
0.034,365,Jan 13 2014 01: +0,1389574800
0.032,377,Jan 14 2014 01: +0,1389661200
0.032,326,Jan 15 2014 01: +0,1389747600
0.03,422,Jan 16 2014 01: +0,1389834000
0.032,414,Jan 17 2014 01: +0,1389920400
0.03,527,Jan 18 2014 01: +0,1390006800
0.033,495,Jan 19 2014 01: +0,1390093200
0.03,511,Jan 20 2014 01: +0,1390179600
0.031,470,Jan 21 2014 01: +0,1390266000
0.03,349,Jan 22 2014 01: +0,1390352400
0.03,399,Jan 23 2014 01: +0,1390438800
0.03,461,Jan 24 2014 01: +0,1390525200
0.03,463,Jan 25 2014 01: +0,1390611600
0.03,529,Jan 26 2014 01: +0,1390698000
0.03,442,Jan 27 2014 01: +0,1390784400
0.03,435,Jan 28 2014 01: +0,1390870800
0.03,437,Jan 29 2014 01: +0,1390957200
0.03,425,Jan 30 2014 01: +0,1391043600
0.03,409,Jan 31 2014 01: +0,1391130000
0.03,583,Feb 01 2014 01: +0,1391216400
0.03,470,Feb 02 2014 01: +0,1391302800
0.03,456,Feb 03 2014 01: +0,1391389200
0.03,392,Feb 04 2014 01: +0,1391475600
0.03,339,Feb 05 2014 01: +0,1391562000
0.03,465,Feb 06 2014 01: +0,1391648400
0.03,518,Feb 07 2014 01: +0,1391734800
0.03,599,Feb 08 2014 01: +0,1391821200
0.03,621,Feb 09 2014 01: +0,1391907600
0.03,467,Feb 10 2014 01: +0,1391994000
0.03,513,Feb 11 2014 01: +0,1392080400
0.03,463,Feb 12 2014 01: +0,1392166800
0.03,484,Feb 13 2014 01: +0,1392253200
0.03,461,Feb 14 2014 01: +0,1392339600
0.03,577,Feb 15 2014 01: +0,1392426000
0.03,573,Feb 16 2014 01: +0,1392512400
0.03,456,Feb 17 2014 01: +0,1392598800
0.03,423,Feb 18 2014 01: +0,1392685200
0.03,412,Feb 19 2014 01: +0,1392771600
0.03,360,Feb 20 2014 01: +0,1392858000
0.03,414,Feb 21 2014 01: +0,1392944400
0.03,440,Feb 22 2014 01: +0,1393030800
0.03,466,Feb 23 2014 01: +0,1393117200
0.03,473,Feb 24 2014 01: +0,1393203600
0.03,602,Feb 25 2014 01: +0,1393290000
0.03,546,Feb 26 2014 01: +0,1393376400
0.03,473,Feb 27 2014 01: +0,1393462800
0.03,492,Feb 28 2014 01: +0,1393549200
0.03,551,Mar 01 2014 01: +0,1393635600
0.03,748,Mar 02 2014 01: +0,1393722000
0.03,479,Mar 03 2014 01: +0,1393808400
0.03,546,Mar 04 2014 01: +0,1393894800
0.03,553,Mar 05 2014 01: +0,1393981200
0.03,490,Mar 06 2014 01: +0,1394067600
