price,quantity,date,unix timestamp
0.567,4,Dec 04 2020 01: +0,1607043600
0.592,1,Dec 05 2020 01: +0,1607130000
0.672,4,Dec 06 2020 01: +0,1607216400
0.677,2,Dec 07 2020 01: +0,1607302800
0.993,1,Dec 08 2020 01: +0,1607389200
0.247,1,Dec 11 2020 01: +0,1607648400
0.536,2,Dec 13 2020 01: +0,1607821200
0.554,1,Dec 14 2020 01: +0,1607907600
0.251,1,Dec 15 2020 01: +0,1607994000
0.45,1,Dec 16 2020 01: +0,1608080400
0.766,2,Dec 17 2020 01: +0,1608166800
0.326,2,Dec 24 2020 01: +0,1608771600
0.558,1,Dec 25 2020 01: +0,1608858000
0.471,2,Dec 26 2020 01: +0,1608944400
0.491,4,Dec 30 2020 01: +0,1609290000
0.363,3,Dec 31 2020 01: +0,1609376400
0.488,1,Jan 01 2021 01: +0,1609462800
0.288,2,Jan 02 2021 01: +0,1609549200
0.386,1,Jan 04 2021 01: +0,1609722000
0.523,3,Jan 05 2021 01: +0,1609808400
0.376,1,Jan 06 2021 01: +0,1609894800
0.32,1,Jan 07 2021 01: +0,1609981200
0.467,1,Jan 08 2021 01: +0,1610067600
0.496,1,Jan 09 2021 01: +0,1610154000
0.268,1,Jan 11 2021 01: +0,1610326800
0.525,1,Jan 12 2021 01: +0,1610413200
0.265,2,Jan 13 2021 01: +0,1610499600
0.434,3,Jan 14 2021 01: +0,1610586000
0.552,1,Jan 15 2021 01: +0,1610672400
0.441,3,Jan 16 2021 01: +0,1610758800
0.49,4,Jan 18 2021 01: +0,1610931600
0.442,2,Jan 20 2021 01: +0,1611104400
0.337,2,Jan 21 2021 01: +0,1611190800
0.402,2,Jan 23 2021 01: +0,1611363600
0.502,1,Jan 24 2021 01: +0,1611450000
0.496,1,Jan 27 2021 01: +0,1611709200
0.495,1,Jan 28 2021 01: +0,1611795600
0.45,1,Jan 29 2021 01: +0,1611882000
0.325,1,Jan 30 2021 01: +0,1611968400
0.339,2,Feb 01 2021 01: +0,1612141200
0.337,2,Feb 02 2021 01: +0,1612227600
0.313,2,Feb 03 2021 01: +0,1612314000
0.418,2,Feb 04 2021 01: +0,1612400400
0.415,1,Feb 05 2021 01: +0,1612486800
0.298,2,Feb 06 2021 01: +0,1612573200
0.343,2,Feb 10 2021 01: +0,1612918800
0.333,2,Feb 11 2021 01: +0,1613005200
0.413,1,Feb 12 2021 01: +0,1613091600
0.376,2,Feb 13 2021 01: +0,1613178000
0.403,2,Feb 17 2021 01: +0,1613523600
0.474,1,Feb 18 2021 01: +0,1613610000
0.444,1,Feb 19 2021 01: +0,1613696400
0.376,2,Feb 22 2021 01: +0,1613955600
0.321,1,Feb 24 2021 01: +0,1614128400
0.208,1,Feb 25 2021 01: +0,1614214800
0.384,1,Feb 26 2021 01: +0,1614301200
0.402,2,Feb 27 2021 01: +0,1614387600
0.412,2,Mar 02 2021 01: +0,1614646800
0.472,1,Mar 03 2021 01: +0,1614733200
0.302,3,Mar 04 2021 01: +0,1614819600
0.433,2,Mar 05 2021 01: +0,1614906000
0.42,3,Mar 07 2021 01: +0,1615078800
0.257,1,Mar 08 2021 01: +0,1615165200
0.414,3,Mar 09 2021 01: +0,1615251600
0.485,1,Mar 12 2021 01: +0,1615510800
0.353,1,Mar 13 2021 01: +0,1615597200
0.385,3,Mar 14 2021 01: +0,1615683600
0.502,1,Mar 16 2021 01: +0,1615856400
0.38,4,Mar 17 2021 01: +0,1615942800
0.432,1,Mar 18 2021 01: +0,1616029200
0.44,2,Mar 19 2021 01: +0,1616115600
0.44,1,Mar 21 2021 01: +0,1616288400
0.395,1,Mar 22 2021 01: +0,1616374800
0.392,2,Mar 23 2021 01: +0,1616461200
0.444,6,Mar 24 2021 01: +0,1616547600
0.405,1,Mar 25 2021 01: +0,1616634000
0.331,2,Mar 26 2021 01: +0,1616720400
0.405,2,Mar 27 2021 01: +0,1616806800
0.415,2,Mar 29 2021 01: +0,1616976000
0.571,1,Mar 31 2021 01: +0,1617148800
0.357,1,Apr 01 2021 01: +0,1617235200
0.561,1,Apr 05 2021 01: +0,1617580800
0.354,1,Apr 07 2021 01: +0,1617753600
0.302,1,Apr 08 2021 01: +0,1617840000
0.246,1,Apr 09 2021 01: +0,1617926400
0.388,3,Apr 10 2021 01: +0,1618012800
0.472,1,Apr 12 2021 01: +0,1618185600
0.529,1,Apr 15 2021 01: +0,1618444800
0.562,1,Apr 16 2021 01: +0,1618531200
0.472,1,Apr 17 2021 01: +0,1618617600
0.576,1,Apr 18 2021 01: +0,1618704000
0.581,1,Apr 19 2021 01: +0,1618790400
0.536,2,Apr 21 2021 01: +0,1618963200
0.376,1,Apr 22 2021 01: +0,1619049600
0.314,1,Apr 23 2021 01: +0,1619136000
0.356,1,Apr 24 2021 01: +0,1619222400
0.323,1,Apr 25 2021 01: +0,1619308800
0.314,1,Apr 28 2021 01: +0,1619568000
0.493,4,Apr 29 2021 01: +0,1619654400
0.422,1,Apr 30 2021 01: +0,1619740800
0.479,2,May 01 2021 01: +0,1619827200
0.574,1,May 02 2021 01: +0,1619913600
0.554,6,May 06 2021 01: +0,1620259200
0.389,1,May 07 2021 01: +0,1620345600
0.437,2,May 08 2021 01: +0,1620432000
0.457,2,May 09 2021 01: +0,1620518400
0.6,3,May 10 2021 01: +0,1620604800
0.59,1,May 11 2021 01: +0,1620691200
0.545,2,May 12 2021 01: +0,1620777600
0.553,2,May 13 2021 01: +0,1620864000
0.666,1,May 14 2021 01: +0,1620950400
0.592,1,May 15 2021 01: +0,1621036800
0.672,1,May 16 2021 01: +0,1621123200
1.019,4,May 18 2021 01: +0,1621296000
2.111,1,May 20 2021 01: +0,1621468800
0.872,1,May 21 2021 01: +0,1621555200
1.907,1,May 27 2021 01: +0,1622073600
1.223,1,May 29 2021 01: +0,1622246400
1.898,1,May 30 2021 01: +0,1622332800
1.241,1,Jun 02 2021 01: +0,1622592000
1.226,1,Jun 06 2021 01: +0,1622937600
1.128,1,Jun 10 2021 01: +0,1623283200
0.916,1,Jun 11 2021 01: +0,1623369600
1.136,1,Jun 25 2021 01: +0,1624579200
0.836,1,Jun 29 2021 01: +0,1624924800
0.834,1,Jul 01 2021 01: +0,1625097600
0.849,2,Jul 02 2021 01: +0,1625184000
1.218,1,Jul 09 2021 01: +0,1625788800
1.189,1,Aug 01 2021 01: +0,1627776000
0.887,1,Aug 04 2021 01: +0,1628035200
0.895,1,Aug 06 2021 01: +0,1628208000
0.892,1,Aug 09 2021 01: +0,1628467200
1.109,8,Aug 14 2021 01: +0,1628899200
1.014,1,Aug 15 2021 01: +0,1628985600
1.729,1,Aug 19 2021 01: +0,1629331200
1.651,1,Aug 29 2021 01: +0,1630195200
1.651,1,Aug 30 2021 01: +0,1630281600
1.662,1,Sep 01 2021 01: +0,1630454400
2.11,1,Sep 06 2021 01: +0,1630886400
2.142,1,Sep 07 2021 01: +0,1630972800
1.791,1,Sep 22 2021 01: +0,1632268800
2.006,1,Sep 25 2021 01: +0,1632528000
1.771,1,Oct 07 2021 01: +0,1633564800
1.515,1,Oct 15 2021 01: +0,1634256000
1.662,3,Oct 17 2021 01: +0,1634428800
1.439,2,Oct 18 2021 01: +0,1634515200
1.241,1,Oct 26 2021 01: +0,1635206400
1.189,2,Oct 27 2021 01: +0,1635292800
1.187,5,Oct 28 2021 01: +0,1635379200
1.17,2,Oct 29 2021 01: +0,1635465600
0.148,1,Oct 31 2021 01: +0,1635638400
0.93,1,Nov 02 2021 01: +0,1635814800
0.957,1,Nov 04 2021 01: +0,1635987600
1.319,1,Nov 10 2021 01: +0,1636506000
1.031,1,Nov 13 2021 01: +0,1636765200
1.017,6,Nov 16 2021 01: +0,1637024400
1.163,1,Nov 17 2021 01: +0,1637110800
1.256,1,Nov 24 2021 01: +0,1637715600
1.218,1,Nov 27 2021 01: +0,1637974800
1.027,1,Nov 28 2021 01: +0,1638061200
0.985,1,Dec 02 2021 01: +0,1638406800
1.248,1,Dec 04 2021 01: +0,1638579600
1.239,2,Dec 09 2021 01: +0,1639011600
1.231,1,Dec 13 2021 01: +0,1639357200
1.035,1,Dec 14 2021 01: +0,1639443600
1.249,1,Dec 15 2021 01: +0,1639530000
1.01,2,Dec 20 2021 01: +0,1639962000
1.002,1,Dec 21 2021 01: +0,1640048400
1.002,2,Dec 22 2021 01: +0,1640134800
1.232,1,Dec 23 2021 01: +0,1640221200
1.009,1,Dec 26 2021 01: +0,1640480400
1.175,2,Dec 27 2021 01: +0,1640566800
1.26,7,Jan 04 2022 01: +0,1641258000
1.312,1,Jan 06 2022 01: +0,1641430800
1.873,1,Jan 12 2022 01: +0,1641949200
1.679,1,Jan 16 2022 01: +0,1642294800
1.862,1,Jan 17 2022 01: +0,1642381200
2.101,1,Jan 19 2022 01: +0,1642554000
1.609,1,Jan 25 2022 01: +0,1643072400
2.359,2,Feb 01 2022 01: +0,1643677200
3.805,1,Feb 13 2022 01: +0,1644714000
2.483,1,Feb 21 2022 01: +0,1645405200
2.368,1,Mar 03 2022 01: +0,1646269200
2.368,1,Mar 05 2022 01: +0,1646442000
1.623,2,Mar 14 2022 01: +0,1647219600
0.726,1,Mar 25 2022 01: +0,1648170000
1.654,1,Mar 31 2022 01: +0,1648684800
1.654,1,Apr 03 2022 01: +0,1648944000
1.625,1,Apr 22 2022 01: +0,1650585600
2.067,1,May 01 2022 01: +0,1651363200
1.563,1,May 05 2022 01: +0,1651708800
1.529,2,May 17 2022 01: +0,1652745600
1.864,3,May 27 2022 01: +0,1653609600
1.773,1,Jun 09 2022 01: +0,1654732800
2.045,1,Jun 18 2022 01: +0,1655510400
2.049,2,Jul 09 2022 01: +0,1657324800
4.466,1,Jul 20 2022 01: +0,1658275200
4.502,2,Jul 21 2022 01: +0,1658361600
3.912,2,Aug 08 2022 01: +0,1659916800
8.379,1,Aug 17 2022 01: +0,1660694400
3.095,1,Aug 22 2022 01: +0,1661126400
3.322,1,Sep 20 2022 01: +0,1663632000
3.292,1,Sep 23 2022 01: +0,1663891200
3.097,1,Sep 24 2022 01: +0,1663977600
5.77,1,Sep 28 2022 01: +0,1664323200
2.829,1,Oct 04 2022 01: +0,1664841600
3.155,1,Oct 21 2022 01: +0,1666310400
3.141,1,Nov 09 2022 01: +0,1667955600
2.985,1,Nov 13 2022 01: +0,1668301200
5.251,1,Dec 08 2022 01: +0,1670461200
0.942,1,Dec 09 2022 01: +0,1670547600
1.602,1,Mar 02 2023 07: +0,1677740400
1.578,1,Mar 21 2023 11: +0,1679396400
1.938,1,Mar 27 2023 12: +0,1679914800
1.95,1,Mar 28 2023 14: +0,1680008400
1.942,1,Mar 29 2023 22: +0,1680123600
3.193,1,Mar 31 2023 20: +0,1680289200
4.443,1,Apr 18 2023 22: +0,1681851600
3.378,1,Apr 25 2023 03: +0,1682388000
3.335,1,Apr 28 2023 06: +0,1682658000
4.218,1,Apr 30 2023 18: +0,1682874000
3.273,1,May 12 2023 22: +0,1683925200
2.131,1,May 20 2023 14: +0,1684587600
2.986,1,May 30 2023 00: +0,1685401200
3.573,1,Jun 12 2023 00: +0,1686524400
