price,quantity,date,unix timestamp
0.999,1,Dec 06 2020 01: +0,1607216400
0.358,1,Dec 07 2020 01: +0,1607302800
0.249,2,Dec 12 2020 01: +0,1607734800
0.073,2,Dec 16 2020 01: +0,1608080400
0.115,1,Dec 18 2020 01: +0,1608253200
0.096,2,Dec 19 2020 01: +0,1608339600
0.135,1,Dec 20 2020 01: +0,1608426000
0.14,1,Dec 21 2020 01: +0,1608512400
0.106,3,Dec 23 2020 01: +0,1608685200
0.123,2,Dec 24 2020 01: +0,1608771600
0.162,1,Dec 25 2020 01: +0,1608858000
0.206,2,Dec 26 2020 01: +0,1608944400
0.29,1,Dec 27 2020 01: +0,1609030800
0.037,1,Dec 31 2020 01: +0,1609376400
0.034,1,Jan 05 2021 01: +0,1609808400
0.15,4,Jan 06 2021 01: +0,1609894800
0.094,1,Jan 08 2021 01: +0,1610067600
0.108,2,Jan 09 2021 01: +0,1610154000
0.078,1,Jan 10 2021 01: +0,1610240400
0.113,3,Jan 11 2021 01: +0,1610326800
0.165,1,Jan 13 2021 01: +0,1610499600
0.128,1,Jan 15 2021 01: +0,1610672400
0.167,3,Jan 16 2021 01: +0,1610758800
0.219,2,Jan 17 2021 01: +0,1610845200
0.171,3,Jan 19 2021 01: +0,1611018000
0.076,1,Jan 21 2021 01: +0,1611190800
0.182,1,Jan 22 2021 01: +0,1611277200
0.16,1,Jan 24 2021 01: +0,1611450000
0.114,1,Jan 29 2021 01: +0,1611882000
0.11,1,Jan 30 2021 01: +0,1611968400
0.109,1,Feb 03 2021 01: +0,1612314000
0.103,1,Feb 04 2021 01: +0,1612400400
0.133,1,Feb 05 2021 01: +0,1612486800
0.133,1,Feb 06 2021 01: +0,1612573200
0.118,2,Feb 07 2021 01: +0,1612659600
0.091,1,Feb 08 2021 01: +0,1612746000
0.107,1,Feb 09 2021 01: +0,1612832400
0.094,2,Feb 10 2021 01: +0,1612918800
0.12,2,Feb 11 2021 01: +0,1613005200
0.147,1,Feb 12 2021 01: +0,1613091600
0.148,1,Feb 13 2021 01: +0,1613178000
0.078,1,Feb 15 2021 01: +0,1613350800
0.093,2,Feb 16 2021 01: +0,1613437200
0.115,2,Feb 17 2021 01: +0,1613523600
0.141,1,Feb 20 2021 01: +0,1613782800
0.1,2,Feb 24 2021 01: +0,1614128400
0.131,1,Feb 25 2021 01: +0,1614214800
0.087,2,Feb 26 2021 01: +0,1614301200
0.106,1,Feb 27 2021 01: +0,1614387600
0.087,4,Feb 28 2021 01: +0,1614474000
0.162,1,Mar 02 2021 01: +0,1614646800
0.181,5,Mar 03 2021 01: +0,1614733200
0.03,1,Mar 06 2021 01: +0,1614992400
0.148,1,Mar 07 2021 01: +0,1615078800
0.146,1,Mar 08 2021 01: +0,1615165200
0.131,3,Mar 10 2021 01: +0,1615338000
0.168,1,Mar 12 2021 01: +0,1615510800
0.125,2,Mar 16 2021 01: +0,1615856400
0.141,2,Mar 17 2021 01: +0,1615942800
0.123,2,Mar 19 2021 01: +0,1616115600
0.136,3,Mar 20 2021 01: +0,1616202000
0.124,1,Mar 21 2021 01: +0,1616288400
0.141,1,Mar 22 2021 01: +0,1616374800
0.138,1,Mar 23 2021 01: +0,1616461200
0.137,7,Mar 24 2021 01: +0,1616547600
0.223,3,Mar 25 2021 01: +0,1616634000
0.167,2,Mar 27 2021 01: +0,1616806800
0.159,4,Mar 30 2021 01: +0,1617062400
0.163,1,Mar 31 2021 01: +0,1617148800
0.164,1,Apr 01 2021 01: +0,1617235200
0.16,2,Apr 02 2021 01: +0,1617321600
0.173,1,Apr 03 2021 01: +0,1617408000
0.142,2,Apr 04 2021 01: +0,1617494400
0.153,4,Apr 06 2021 01: +0,1617667200
0.148,2,Apr 07 2021 01: +0,1617753600
0.168,2,Apr 08 2021 01: +0,1617840000
0.147,1,Apr 10 2021 01: +0,1618012800
0.14,3,Apr 13 2021 01: +0,1618272000
0.141,1,Apr 16 2021 01: +0,1618531200
0.142,1,Apr 18 2021 01: +0,1618704000
0.154,11,Apr 21 2021 01: +0,1618963200
