price,quantity,date,unix timestamp
0.286,1,Dec 16 2020 01: +0,1608080400
0.065,3,Dec 18 2020 01: +0,1608253200
0.141,1,Dec 19 2020 01: +0,1608339600
0.124,1,Dec 20 2020 01: +0,1608426000
0.114,2,Dec 21 2020 01: +0,1608512400
0.109,2,Dec 22 2020 01: +0,1608598800
0.234,3,Dec 23 2020 01: +0,1608685200
0.091,1,Dec 30 2020 01: +0,1609290000
0.167,1,Jan 02 2021 01: +0,1609549200
0.129,2,Jan 04 2021 01: +0,1609722000
0.149,2,Jan 06 2021 01: +0,1609894800
0.167,3,Jan 07 2021 01: +0,1609981200
0.154,2,Jan 08 2021 01: +0,1610067600
0.186,1,Jan 09 2021 01: +0,1610154000
0.11,1,Jan 12 2021 01: +0,1610413200
0.092,1,Jan 14 2021 01: +0,1610586000
0.218,1,Jan 16 2021 01: +0,1610758800
0.23,1,Jan 17 2021 01: +0,1610845200
0.231,1,Jan 19 2021 01: +0,1611018000
0.214,1,Jan 23 2021 01: +0,1611363600
0.225,1,Jan 24 2021 01: +0,1611450000
0.103,1,Jan 26 2021 01: +0,1611622800
0.225,2,Jan 27 2021 01: +0,1611709200
0.108,1,Jan 28 2021 01: +0,1611795600
0.217,1,Jan 29 2021 01: +0,1611882000
0.23,1,Jan 30 2021 01: +0,1611968400
0.232,1,Jan 31 2021 01: +0,1612054800
0.118,2,Feb 05 2021 01: +0,1612486800
0.244,1,Feb 06 2021 01: +0,1612573200
0.219,1,Feb 07 2021 01: +0,1612659600
0.216,1,Feb 08 2021 01: +0,1612746000
0.157,2,Feb 13 2021 01: +0,1613178000
0.136,1,Feb 14 2021 01: +0,1613264400
0.138,1,Feb 16 2021 01: +0,1613437200
0.153,3,Feb 17 2021 01: +0,1613523600
0.151,2,Feb 20 2021 01: +0,1613782800
0.119,1,Feb 21 2021 01: +0,1613869200
0.116,1,Feb 22 2021 01: +0,1613955600
0.123,5,Feb 23 2021 01: +0,1614042000
0.131,2,Feb 24 2021 01: +0,1614128400
0.174,1,Feb 26 2021 01: +0,1614301200
0.16,1,Feb 28 2021 01: +0,1614474000
0.189,1,Mar 01 2021 01: +0,1614560400
0.178,1,Mar 03 2021 01: +0,1614733200
0.198,2,Mar 04 2021 01: +0,1614819600
0.171,1,Mar 05 2021 01: +0,1614906000
0.148,1,Mar 10 2021 01: +0,1615338000
0.148,2,Mar 11 2021 01: +0,1615424400
0.106,1,Mar 12 2021 01: +0,1615510800
0.16,2,Mar 13 2021 01: +0,1615597200
0.193,1,Mar 14 2021 01: +0,1615683600
0.123,1,Mar 15 2021 01: +0,1615770000
0.175,3,Mar 16 2021 01: +0,1615856400
0.207,1,Mar 17 2021 01: +0,1615942800
0.112,1,Mar 18 2021 01: +0,1616029200
0.164,3,Mar 19 2021 01: +0,1616115600
0.124,1,Mar 20 2021 01: +0,1616202000
0.125,1,Mar 21 2021 01: +0,1616288400
0.163,3,Mar 23 2021 01: +0,1616461200
0.216,2,Mar 24 2021 01: +0,1616547600
0.232,2,Mar 25 2021 01: +0,1616634000
0.247,3,Mar 27 2021 01: +0,1616806800
0.17,2,Mar 30 2021 01: +0,1617062400
0.154,3,Mar 31 2021 01: +0,1617148800
0.23,1,Apr 03 2021 01: +0,1617408000
0.09,1,Apr 05 2021 01: +0,1617580800
0.147,1,Apr 09 2021 01: +0,1617926400
0.142,3,Apr 12 2021 01: +0,1618185600
0.174,1,Apr 13 2021 01: +0,1618272000
0.174,1,Apr 16 2021 01: +0,1618531200
0.168,5,Apr 19 2021 01: +0,1618790400
0.206,1,Apr 20 2021 01: +0,1618876800
0.194,3,Apr 21 2021 01: +0,1618963200
0.177,1,Apr 22 2021 01: +0,1619049600
0.16,1,Apr 24 2021 01: +0,1619222400
0.161,1,Apr 26 2021 01: +0,1619395200
0.193,4,Apr 27 2021 01: +0,1619481600
0.236,3,Apr 29 2021 01: +0,1619654400
0.209,1,May 01 2021 01: +0,1619827200
0.208,1,May 03 2021 01: +0,1620000000
0.161,1,May 05 2021 01: +0,1620172800
0.233,5,May 07 2021 01: +0,1620345600
0.227,2,May 10 2021 01: +0,1620604800
0.335,3,May 11 2021 01: +0,1620691200
0.784,1,May 12 2021 01: +0,1620777600
0.56,1,May 15 2021 01: +0,1621036800
0.56,1,May 17 2021 01: +0,1621209600
0.713,4,May 18 2021 01: +0,1621296000
0.733,2,May 27 2021 01: +0,1622073600
0.618,1,May 29 2021 01: +0,1622246400
0.79,2,May 31 2021 01: +0,1622419200
0.609,1,Jun 02 2021 01: +0,1622592000
0.802,2,Jun 05 2021 01: +0,1622851200
0.645,1,Jun 08 2021 01: +0,1623110400
0.83,1,Jun 16 2021 01: +0,1623801600
0.629,1,Jun 20 2021 01: +0,1624147200
0.615,2,Jun 25 2021 01: +0,1624579200
0.572,1,Jun 28 2021 01: +0,1624838400
0.572,1,Jun 29 2021 01: +0,1624924800
0.566,1,Jul 02 2021 01: +0,1625184000
0.564,1,Jul 03 2021 01: +0,1625270400
0.555,1,Jul 07 2021 01: +0,1625616000
0.553,1,Jul 10 2021 01: +0,1625875200
0.556,1,Jul 11 2021 01: +0,1625961600
0.553,1,Jul 12 2021 01: +0,1626048000
0.564,1,Jul 22 2021 01: +0,1626912000
0.565,1,Aug 02 2021 01: +0,1627862400
0.786,1,Aug 04 2021 01: +0,1628035200
0.802,1,Aug 08 2021 01: +0,1628380800
0.801,1,Aug 23 2021 01: +0,1629676800
0.57,1,Aug 28 2021 01: +0,1630108800
0.761,1,Aug 31 2021 01: +0,1630368000
0.727,4,Sep 07 2021 01: +0,1630972800
1.152,1,Sep 09 2021 01: +0,1631145600
0.81,1,Sep 11 2021 01: +0,1631318400
1.118,1,Sep 17 2021 01: +0,1631836800
0.948,2,Sep 23 2021 01: +0,1632355200
1.041,1,Sep 24 2021 01: +0,1632441600
1.038,1,Sep 25 2021 01: +0,1632528000
0.662,1,Sep 30 2021 01: +0,1632960000
0.662,1,Oct 01 2021 01: +0,1633046400
0.666,3,Oct 20 2021 01: +0,1634688000
0.64,1,Oct 21 2021 01: +0,1634774400
0.645,1,Oct 23 2021 01: +0,1634947200
0.645,1,Oct 24 2021 01: +0,1635033600
0.636,1,Nov 05 2021 01: +0,1636074000
0.544,1,Nov 07 2021 01: +0,1636246800
1.24,1,Nov 17 2021 01: +0,1637110800
0.918,6,Nov 29 2021 01: +0,1638147600
1.012,3,Nov 30 2021 01: +0,1638234000
1.141,1,Dec 04 2021 01: +0,1638579600
0.546,1,Dec 14 2021 01: +0,1639443600
0.559,1,Dec 22 2021 01: +0,1640134800
0.562,2,Dec 24 2021 01: +0,1640307600
0.769,1,Jan 10 2022 01: +0,1641776400
0.588,1,Jan 26 2022 01: +0,1643158800
0.592,1,Feb 01 2022 01: +0,1643677200
0.531,1,Feb 04 2022 01: +0,1643936400
0.565,1,Feb 13 2022 01: +0,1644714000
0.566,1,Feb 14 2022 01: +0,1644800400
0.544,1,Feb 28 2022 01: +0,1646010000
0.651,5,Mar 03 2022 01: +0,1646269200
0.721,12,Mar 07 2022 01: +0,1646614800
0.798,1,Mar 19 2022 01: +0,1647651600
0.678,1,Apr 19 2022 01: +0,1650326400
0.78,1,Apr 22 2022 01: +0,1650585600
0.687,1,Apr 23 2022 01: +0,1650672000
0.678,1,May 03 2022 01: +0,1651536000
0.637,1,May 13 2022 01: +0,1652400000
0.763,7,May 19 2022 01: +0,1652918400
1.266,2,Jun 02 2022 01: +0,1654128000
1.763,1,Jul 01 2022 01: +0,1656633600
0.708,1,Jul 11 2022 01: +0,1657497600
0.641,6,Aug 01 2022 01: +0,1659312000
0.678,1,Aug 06 2022 01: +0,1659744000
0.786,1,Aug 09 2022 01: +0,1660003200
0.795,2,Aug 12 2022 01: +0,1660262400
0.678,1,Aug 18 2022 01: +0,1660780800
0.637,1,Aug 25 2022 01: +0,1661385600
0.579,1,Aug 28 2022 01: +0,1661644800
0.703,2,Sep 05 2022 01: +0,1662336000
0.831,1,Sep 10 2022 01: +0,1662768000
0.645,20,Sep 23 2022 01: +0,1663891200
1.068,2,Sep 29 2022 01: +0,1664409600
0.813,1,Oct 25 2022 01: +0,1666656000
0.71,1,Nov 12 2022 01: +0,1668214800
0.798,1,Dec 26 2022 01: +0,1672016400
0.637,1,Jan 12 2023 01: +0,1673485200
0.8,1,Jan 16 2023 01: +0,1673830800
0.793,1,Jan 31 2023 01: +0,1675126800
0.894,26,Feb 09 2023 01: +0,1675904400
1.138,11,Feb 20 2023 16: +0,1676908800
1.009,1,Feb 24 2023 23: +0,1677279600
1.132,1,Mar 05 2023 15: +0,1678028400
0.971,1,Mar 15 2023 03: +0,1678849200
0.94,1,Mar 18 2023 12: +0,1679140800
0.865,1,Apr 17 2023 00: +0,1681686000
0.963,1,Apr 25 2023 10: +0,1682413200
0.997,1,Apr 27 2023 22: +0,1682629200
1.105,2,May 02 2023 06: +0,1683003600
1.144,1,May 06 2023 13: +0,1683374400
1.988,2,May 07 2023 21: +0,1683489600
0.626,6,May 11 2023 16: +0,1683817200
0.624,1,May 11 2023 17: +0,1683820800
1.017,1,May 18 2023 18: +0,1684429200
